Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Mew,87.98926,1056,67.692,815,71.627
2,Tauros,85.23198,615,39.423,392,34.451
3,Exeggutor,74.62397,519,33.269,382,33.573
4,Snorlax,72.93041,670,42.949,471,41.394
5,Chansey,69.85817,652,41.795,462,40.603
6,Gengar,36.95548,679,43.526,514,45.174
7,Golem,34.80625,323,20.705,220,19.335
8,Alakazam,25.65545,575,36.859,463,40.691
9,Zapdos,25.47833,419,26.859,311,27.333
10,Jynx,24.63820,133,8.526,122,10.722
11,Dragonite,14.25793,321,20.577,233,20.478
12,Slowbro,11.30275,136,8.718,110,9.667
13,Starmie,11.02593,217,13.910,172,15.116
14,Lapras,8.84892,335,21.474,265,23.290
15,Rhydon,7.51542,300,19.231,217,19.071
16,Jolteon,5.55490,274,17.564,206,18.105
17,Cloyster,2.25058,146,9.359,117,10.283
18,Articuno,0.62451,126,8.077,96,8.437
19,Charizard,0.08321,287,18.397,216,18.983
20,Kabutops,0.05838,16,1.026,8,0.703
21,Tentacruel,0.05424,16,1.026,8,0.703
22,Venusaur,0.04910,137,8.782,96,8.437
23,Blastoise,0.04547,142,9.103,105,9.228
24,Clefable,0.04437,19,1.218,16,1.406
25,Muk,0.03893,13,0.833,9,0.791
26,Mr.-Mime,0.01945,13,0.833,10,0.879
27,Moltres,0.01899,79,5.064,55,4.834
28,Vaporeon,0.01532,30,1.923,20,1.758
29,Golbat,0.01532,3,0.192,3,0.264
30,Arcanine,0.00359,93,5.962,68,5.976
31,Poliwrath,0.00229,20,1.282,18,1.582
32,Ditto,0.00170,45,2.885,36,3.164
33,Fearow,0.00061,3,0.192,2,0.176
34,Weezing,0.00000,4,0.256,3,0.264
35,Kadabra,0.00000,6,0.385,5,0.439
36,Growlithe,0.00000,1,0.064,1,0.088
37,Kangaskhan,0.00000,6,0.385,5,0.439
38,Beedrill,0.00000,12,0.769,8,0.703
39,Hitmonlee,0.00000,27,1.731,23,2.021
40,Machamp,0.00000,48,3.077,34,2.988
41,Butterfree,0.00000,6,0.385,4,0.352
42,Raichu,0.00000,40,2.564,36,3.164
43,Omanyte,0.00000,2,0.128,2,0.176
44,Tangela,0.00000,2,0.128,1,0.088
45,Dragonair,0.00000,9,0.577,8,0.703
46,Farfetch'd,0.00000,4,0.256,4,0.352
47,Parasect,0.00000,7,0.449,6,0.527
48,Magnemite,0.00000,3,0.192,1,0.088
49,Aerodactyl,0.00000,35,2.244,26,2.285
50,Shellder,0.00000,1,0.064,1,0.088
51,Dratini,0.00000,1,0.064,1,0.088
52,Raticate,0.00000,1,0.064,1,0.088
53,Charmeleon,0.00000,1,0.064,0,0.000
54,Sandslash,0.00000,3,0.192,1,0.088
55,Omastar,0.00000,2,0.128,2,0.176
56,Pinsir,0.00000,9,0.577,8,0.703
57,Eevee,0.00000,2,0.128,1,0.088
58,Bulbasaur,0.00000,6,0.385,5,0.439
59,Arbok,0.00000,10,0.641,7,0.615
60,Marowak,0.00000,21,1.346,15,1.318
61,Wigglytuff,0.00000,7,0.449,6,0.527
62,Magikarp,0.00000,7,0.449,7,0.615
63,Pidgeotto,0.00000,1,0.064,1,0.088
64,Rattata,0.00000,5,0.321,3,0.264
65,Primeape,0.00000,4,0.256,3,0.264
66,Squirtle,0.00000,6,0.385,5,0.439
67,Vulpix,0.00000,1,0.064,1,0.088
68,Meowth,0.00000,2,0.128,0,0.000
69,Golduck,0.00000,9,0.577,7,0.615
70,Scyther,0.00000,13,0.833,11,0.967
71,Nidoqueen,0.00000,9,0.577,7,0.615
72,Voltorb,0.00000,1,0.064,1,0.088
73,Gyarados,0.00000,53,3.397,41,3.603
74,Metapod,0.00000,3,0.192,2,0.176
75,Jigglypuff,0.00000,2,0.128,1,0.088
76,Lickitung,0.00000,1,0.064,1,0.088
77,Haunter,0.00000,3,0.192,2,0.176
78,Ivysaur,0.00000,3,0.192,2,0.176
79,Vileplume,0.00000,11,0.705,9,0.791
80,Hypno,0.00000,5,0.321,3,0.264
81,Machoke,0.00000,1,0.064,1,0.088
82,Porygon,0.00000,9,0.577,8,0.703
83,Victreebel,0.00000,22,1.410,14,1.230
84,Pidgeot,0.00000,35,2.244,29,2.549
85,Kingler,0.00000,9,0.577,8,0.703
86,Rapidash,0.00000,4,0.256,2,0.176
87,Dugtrio,0.00000,15,0.962,12,1.055
88,Dodrio,0.00000,9,0.577,7,0.615
89,Seadra,0.00000,3,0.192,3,0.264
90,Persian,0.00000,23,1.474,18,1.582
91,Nidoking,0.00000,41,2.628,34,2.988
92,Zubat,0.00000,1,0.064,1,0.088
93,Charmander,0.00000,4,0.256,3,0.264
94,Electrode,0.00000,16,1.026,11,0.967
95,Flareon,0.00000,29,1.859,20,1.758
96,Electabuzz,0.00000,12,0.769,7,0.615
97,Weedle,0.00000,1,0.064,1,0.088
98,Pikachu,0.00000,46,2.949,36,3.164
99,Dewgong,0.00000,4,0.256,4,0.352
100,Hitmonchan,0.00000,7,0.449,5,0.439
101,Rhyhorn,0.00000,4,0.256,4,0.352
102,Ninetales,0.00000,23,1.474,12,1.055
103,Onix,0.00000,7,0.449,5,0.439
104,Magneton,0.00000,8,0.513,8,0.703
105,Venomoth,0.00000,4,0.256,3,0.264
106,Magmar,0.00000,11,0.705,9,0.791
107,Staryu,0.00000,3,0.192,2,0.176
