Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Tyranitar,35.95032,1251,13.738,999,14.339
2,Landorus-Therian,35.48578,1181,12.969,960,13.780
3,Politoed,31.10740,1624,17.834,1480,21.244
4,Garchomp,30.10258,1675,18.394,1177,16.894
5,Latios,29.91402,1207,13.255,880,12.631
6,Jirachi,26.86414,937,10.290,733,10.521
7,Ferrothorn,23.28315,2211,24.281,1890,27.129
8,Skarmory,21.32002,805,8.840,677,9.717
9,Scizor,18.29362,1824,20.031,1424,20.440
10,Starmie,17.81019,1136,12.475,846,12.143
11,Keldeo,17.07891,901,9.895,662,9.502
12,Tentacruel,15.01455,720,7.907,562,8.067
13,Dragonite,14.59016,1352,14.847,1009,14.483
14,Jellicent,13.47361,784,8.610,572,8.210
15,Rotom-Wash,13.33289,946,10.389,772,11.081
16,Breloom,12.77206,1039,11.410,795,11.411
17,Amoonguss,12.09978,297,3.262,245,3.517
18,Heatran,11.85556,814,8.939,655,9.402
19,Latias,11.72662,290,3.185,227,3.258
20,Excadrill,11.61002,718,7.885,542,7.780
21,Alakazam,11.47534,1048,11.509,740,10.622
22,Magnezone,10.32590,613,6.732,476,6.832
23,Celebi,9.08921,345,3.789,262,3.761
24,Kyurem-Black,8.62338,575,6.315,402,5.770
25,Toxicroak,7.29360,440,4.832,323,4.636
26,Donphan,7.22106,336,3.690,270,3.876
27,Thundurus-Therian,6.62495,741,8.137,557,7.995
28,Terrakion,6.10087,397,4.360,267,3.832
29,Chansey,5.90153,459,5.041,345,4.952
30,Tangrowth,5.78518,121,1.329,102,1.464
31,Gliscor,5.72181,802,8.807,594,8.526
32,Ludicolo,5.45932,107,1.175,82,1.177
33,Mew,5.23036,179,1.966,138,1.981
34,Volcarona,4.90192,977,10.729,689,9.890
35,Reuniclus,4.84858,351,3.855,246,3.531
36,Hydreigon,4.78748,851,9.345,631,9.057
37,Forretress,4.78000,446,4.898,388,5.569
38,Abomasnow,4.57134,244,2.680,206,2.957
39,Mamoswine,4.12952,525,5.765,397,5.698
40,Tornadus,4.03175,312,3.426,227,3.258
41,Salamence,3.91054,601,6.600,418,6.000
42,Kyurem,3.82953,112,1.230,74,1.062
43,Gyarados,3.21542,796,8.741,569,8.167
44,Slowbro,2.92123,151,1.658,118,1.694
45,Slowking,2.84731,66,0.725,48,0.689
46,Gengar,2.73471,755,8.291,551,7.909
47,Bronzong,2.72173,202,2.218,166,2.383
48,Nidoqueen,2.68447,35,0.384,33,0.474
49,Shaymin,2.64390,27,0.297,23,0.330
50,Conkeldurr,2.52168,498,5.469,385,5.526
51,Dugtrio,2.00490,377,4.140,255,3.660
52,Mienshao,1.91899,306,3.360,250,3.588
53,Gastrodon,1.75676,277,3.042,218,3.129
54,Metagross,1.67152,340,3.734,244,3.502
55,Virizion,1.63168,64,0.703,61,0.876
56,Sharpedo,1.58298,60,0.659,45,0.646
57,Aerodactyl,1.47305,123,1.351,110,1.579
58,Vaporeon,1.42612,420,4.612,328,4.708
59,Xatu,1.41578,108,1.186,81,1.163
60,Weavile,1.30802,197,2.163,150,2.153
61,Cofagrigus,1.22793,204,2.240,166,2.383
62,Blissey,1.17646,298,3.273,219,3.143
63,Hippowdon,1.16719,541,5.941,483,6.933
64,Chandelure,1.16197,412,4.524,291,4.177
65,Zapdos,1.14755,151,1.658,122,1.751
66,Mandibuzz,1.06963,52,0.571,43,0.617
67,Froslass,1.02099,121,1.329,98,1.407
68,Suicune,0.90894,77,0.846,55,0.789
69,Jolteon,0.86906,656,7.204,493,7.076
70,Staraptor,0.85022,169,1.856,122,1.751
71,Azelf,0.84211,63,0.692,57,0.818
72,Haxorus,0.74567,432,4.744,317,4.550
73,Espeon,0.57865,475,5.216,354,5.081
74,Machamp,0.57298,209,2.295,171,2.454
75,Crobat,0.55412,210,2.306,162,2.325
76,Gothitelle,0.51414,128,1.406,98,1.407
77,Ninetales,0.51226,350,3.844,313,4.493
78,Lucario,0.47803,417,4.579,307,4.407
79,Quagsire,0.41670,61,0.670,42,0.603
80,Cloyster,0.38366,733,8.050,554,7.952
81,Parasect,0.34222,6,0.066,5,0.072
82,Kingdra,0.33127,191,2.098,158,2.268
83,Sableye,0.31670,177,1.944,143,2.053
84,Cresselia,0.31351,149,1.636,111,1.593
85,Milotic,0.29314,205,2.251,165,2.368
86,Roserade,0.28422,106,1.164,86,1.234
87,Porygon2,0.22929,168,1.845,124,1.780
88,Infernape,0.21817,507,5.568,396,5.684
89,Victini,0.19997,127,1.395,106,1.521
90,Slaking,0.19983,24,0.264,20,0.287
91,Empoleon,0.17888,46,0.505,35,0.502
92,Entei,0.16165,70,0.769,54,0.775
93,Feraligatr,0.14739,53,0.582,48,0.689
94,Heracross,0.14347,167,1.834,124,1.780
95,Arcanine,0.13927,212,2.328,149,2.139
96,Darmanitan,0.13229,197,2.163,165,2.368
97,Moltres,0.12594,72,0.791,55,0.789
98,Alomomola,0.12241,23,0.253,21,0.301
99,Swampert,0.12101,188,2.065,147,2.110
100,Armaldo,0.11909,32,0.351,25,0.359
101,Raikou,0.11873,109,1.197,81,1.163
102,Bisharp,0.11466,142,1.559,108,1.550
103,Rhydon,0.11205,32,0.351,24,0.344
104,Sceptile,0.11200,110,1.208,86,1.234
105,Wobbuffet,0.11157,68,0.747,51,0.732
106,Pelipper,0.10627,5,0.055,3,0.043
107,Ditto,0.09640,39,0.428,29,0.416
108,Azumarill,0.09535,61,0.670,36,0.517
109,Ninjask,0.07898,41,0.450,36,0.517
110,Mismagius,0.07684,45,0.494,41,0.589
111,Arbok,0.07616,30,0.329,24,0.344
112,Liepard,0.07614,21,0.231,12,0.172
113,Magneton,0.07238,8,0.088,8,0.115
114,Scrafty,0.06857,142,1.559,111,1.593
115,Rhyperior,0.06724,38,0.417,26,0.373
116,Krookodile,0.06518,231,2.537,173,2.483
117,Typhlosion,0.06456,174,1.911,124,1.780
118,Rampardos,0.06225,39,0.428,31,0.445
119,Lapras,0.05947,124,1.362,99,1.421
120,Cradily,0.05227,39,0.428,34,0.488
121,Blastoise,0.05143,201,2.207,160,2.297
122,Whimsicott,0.05102,36,0.395,32,0.459
123,Weezing,0.05070,44,0.483,34,0.488
124,Dusknoir,0.05036,29,0.318,26,0.373
125,Venusaur,0.04722,244,2.680,193,2.770
126,Hitmontop,0.04598,106,1.164,86,1.234
127,Snorlax,0.04535,279,3.064,211,3.029
128,Kabutops,0.03848,26,0.286,20,0.287
129,Sigilyph,0.03832,70,0.769,49,0.703
130,Charizard,0.03623,281,3.086,213,3.057
131,Nidoking,0.03586,141,1.548,111,1.593
132,Walrein,0.03498,35,0.384,28,0.402
133,Cinccino,0.03332,93,1.021,69,0.990
134,Togekiss,0.02849,159,1.746,126,1.809
135,Garbodor,0.02753,11,0.121,9,0.129
136,Flygon,0.02678,84,0.922,61,0.876
137,Rotom,0.02566,6,0.066,6,0.086
138,Umbreon,0.02375,164,1.801,102,1.464
139,Archeops,0.02340,106,1.164,75,1.077
140,Aron,0.01961,31,0.340,19,0.273
141,Dusclops,0.01861,120,1.318,80,1.148
142,Swoobat,0.01811,28,0.307,21,0.301
143,Zoroark,0.01697,122,1.340,67,0.962
144,Shiftry,0.01541,2,0.022,2,0.029
145,Victreebel,0.01510,20,0.220,15,0.215
146,Muk,0.01509,21,0.231,19,0.273
147,Golbat,0.01509,12,0.132,10,0.144
148,Pikachu,0.01504,108,1.186,93,1.335
149,Riolu,0.01477,90,0.988,67,0.962
150,Durant,0.01435,49,0.538,40,0.574
151,Emolga,0.01379,22,0.242,18,0.258
152,Stoutland,0.01359,29,0.318,22,0.316
153,Primeape,0.01345,43,0.472,32,0.459
154,Uxie,0.01218,3,0.033,3,0.043
155,Electivire,0.01195,72,0.791,58,0.833
156,Serperior,0.01061,128,1.406,103,1.478
157,Swanna,0.00968,38,0.417,31,0.445
158,Lanturn,0.00945,63,0.692,45,0.646
159,Vanilluxe,0.00945,17,0.187,11,0.158
160,Zangoose,0.00916,33,0.362,27,0.388
161,Misdreavus,0.00911,1,0.011,1,0.014
162,Golduck,0.00903,15,0.165,14,0.201
163,Articuno,0.00901,83,0.911,49,0.703
164,Accelgor,0.00831,26,0.286,21,0.301
165,Jynx,0.00751,71,0.780,60,0.861
166,Spiritomb,0.00712,98,1.076,78,1.120
167,Exeggutor,0.00621,24,0.264,18,0.258
168,Tangela,0.00604,23,0.253,20,0.287
169,Honchkrow,0.00558,48,0.527,32,0.459
170,Porygon-Z,0.00546,103,1.131,77,1.105
171,Golurk,0.00536,30,0.329,21,0.301
172,Swellow,0.00527,36,0.395,31,0.445
173,Altaria,0.00481,14,0.154,12,0.172
