Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Archeops,0.00000,1,1.250,1,2.857
2,Bronzong,0.00000,1,1.250,0,0.000
3,Volcarona,0.00000,2,2.500,2,5.714
4,Thundurus,0.00000,11,13.750,6,17.143
5,Snorlax,0.00000,1,1.250,0,0.000
6,Beedrill,0.00000,2,2.500,0,0.000
7,Machamp,0.00000,2,2.500,1,2.857
8,Florges,0.00000,1,1.250,1,2.857
9,Raichu,0.00000,4,5.000,2,5.714
10,Altaria-Mega,0.00000,2,2.500,1,2.857
11,Cresselia,0.00000,6,7.500,2,5.714
12,Alakazam-Mega,0.00000,8,10.000,2,5.714
13,Emboar,0.00000,1,1.250,1,2.857
14,Blaziken,0.00000,2,2.500,1,2.857
15,Absol,0.00000,1,1.250,1,2.857
16,Garchomp,0.00000,5,6.250,2,5.714
17,Gardevoir-Mega,0.00000,4,5.000,2,5.714
18,Mawile-Mega,0.00000,3,3.750,3,8.571
19,Ferrothorn,0.00000,2,2.500,1,2.857
20,Cobalion,0.00000,1,1.250,1,2.857
21,Minun,0.00000,2,2.500,0,0.000
22,Scrafty,0.00000,2,2.500,1,2.857
23,Milotic,0.00000,5,6.250,1,2.857
24,Ditto,0.00000,1,1.250,1,2.857
25,Aerodactyl,0.00000,1,1.250,1,2.857
26,Eelektross,0.00000,1,1.250,1,2.857
27,Lilligant,0.00000,2,2.500,2,5.714
28,Hippowdon,0.00000,1,1.250,0,0.000
29,Pidgeot-Mega,0.00000,1,1.250,1,2.857
30,Landorus-Therian,0.00000,9,11.250,3,8.571
31,Bisharp,0.00000,4,5.000,0,0.000
32,Lucario,0.00000,4,5.000,0,0.000
33,Blastoise-Mega,0.00000,4,5.000,2,5.714
34,Tyranitar-Mega,0.00000,2,2.500,0,0.000
35,Aurorus,0.00000,1,1.250,1,2.857
36,Infernape,0.00000,1,1.250,1,2.857
37,Nidoqueen,0.00000,1,1.250,0,0.000
38,Altaria,0.00000,1,1.250,0,0.000
39,Gallade-Mega,0.00000,1,1.250,1,2.857
40,Blaziken-Mega,0.00000,7,8.750,2,5.714
41,Leafeon,0.00000,3,3.750,0,0.000
42,Slowbro,0.00000,2,2.500,1,2.857
43,Serperior,0.00000,4,5.000,3,8.571
44,Heliolisk,0.00000,2,2.500,1,2.857
45,Arcanine,0.00000,8,10.000,3,8.571
46,Cofagrigus,0.00000,3,3.750,0,0.000
47,Venusaur,0.00000,2,2.500,1,2.857
48,Articuno,0.00000,2,2.500,1,2.857
49,Blastoise,0.00000,2,2.500,1,2.857
50,Swampert-Mega,0.00000,1,1.250,1,2.857
51,Spinda,0.00000,2,2.500,2,5.714
52,Meowstic,0.00000,1,1.250,0,0.000
53,Banette,0.00000,1,1.250,1,2.857
54,Ampharos-Mega,0.00000,5,6.250,4,11.429
55,Cloyster,0.00000,2,2.500,0,0.000
56,Pachirisu,0.00000,2,2.500,2,5.714
57,Togekiss,0.00000,5,6.250,2,5.714
58,Salamence,0.00000,1,1.250,0,0.000
59,Gengar-Mega,0.00000,2,2.500,2,5.714
60,Haxorus,0.00000,1,1.250,1,2.857
61,Absol-Mega,0.00000,5,6.250,2,5.714
62,Crobat,0.00000,3,3.750,1,2.857
63,Scizor,0.00000,5,6.250,2,5.714
64,Plusle,0.00000,2,2.500,0,0.000
65,Bellossom,0.00000,2,2.500,2,5.714
66,Politoed,0.00000,7,8.750,4,11.429
67,Donphan,0.00000,1,1.250,1,2.857
68,Gothitelle,0.00000,3,3.750,0,0.000
69,Greninja,0.00000,7,8.750,3,8.571
70,Relicanth,0.00000,1,1.250,0,0.000
71,Sylveon,0.00000,11,13.750,7,20.000
72,Gardevoir,0.00000,1,1.250,1,2.857
73,Tangrowth,0.00000,1,1.250,1,2.857
74,Charizard-Mega-X,0.00000,9,11.250,5,14.286
75,Charizard-Mega-Y,0.00000,3,3.750,3,8.571
76,Amoonguss,0.00000,17,21.250,10,28.571
77,Jolteon,0.00000,2,2.500,2,5.714
78,Gliscor,0.00000,1,1.250,1,2.857
79,Linoone,0.00000,1,1.250,1,2.857
80,Slaking,0.00000,1,1.250,0,0.000
81,Delphox,0.00000,4,5.000,1,2.857
82,Golduck,0.00000,1,1.250,0,0.000
83,Chesnaught,0.00000,1,1.250,0,0.000
84,Talonflame,0.00000,4,5.000,2,5.714
85,Magnezone,0.00000,4,5.000,3,8.571
86,Alakazam,0.00000,2,2.500,0,0.000
87,Heracross,0.00000,1,1.250,1,2.857
88,Feraligatr,0.00000,1,1.250,1,2.857
89,Mr.-Mime,0.00000,1,1.250,1,2.857
90,Toxicroak,0.00000,1,1.250,0,0.000
91,Dedenne,0.00000,1,1.250,0,0.000
92,Carbink,0.00000,2,2.500,2,5.714
93,Dragonite,0.00000,2,2.500,1,2.857
94,Gyarados,0.00000,1,1.250,1,2.857
95,Vaporeon,0.00000,2,2.500,1,2.857
96,Chandelure,0.00000,3,3.750,1,2.857
