Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Kangaskhan-Mega,39.49944,96,9.195,38,7.595
2,Hitmontop,30.86611,88,8.429,43,8.594
3,Sylveon,29.15075,144,13.793,73,14.590
4,Camerupt-Mega,27.93563,104,9.962,37,7.395
5,Clefairy,24.88590,75,7.184,18,3.598
6,Smeargle,24.62715,124,11.877,37,7.395
7,Talonflame,24.13215,105,10.057,56,11.193
8,Politoed,21.86374,88,8.429,45,8.994
9,Kingdra,21.86325,66,6.322,21,4.197
10,Ludicolo,21.82212,54,5.172,42,8.394
11,Landorus-Therian,19.04907,92,8.812,46,9.194
12,Infernape,18.57645,55,5.268,17,3.398
13,Serperior,18.51984,58,5.556,38,7.595
14,Tyranitar-Mega,18.44847,56,5.364,33,6.596
15,Cofagrigus,18.44847,37,3.544,19,3.797
16,Excadrill,18.41919,51,4.885,23,4.597
17,Swampert,18.31859,38,3.640,11,2.199
18,Rhyperior,16.95707,43,4.119,18,3.598
19,Aegislash,15.52305,105,10.057,49,9.793
20,Greninja,14.14609,147,14.080,72,14.390
21,Porygon2,13.47189,32,3.065,12,2.398
22,Snorlax,13.47024,60,5.747,37,7.395
23,Hypno,13.42199,32,3.065,3,0.600
24,Reuniclus,13.08784,50,4.789,16,3.198
25,Aromatisse,11.29468,41,3.927,37,7.395
26,Escavalier,10.53338,35,3.352,16,3.198
27,Meowstic,6.23345,35,3.352,7,1.399
28,Whimsicott,5.07360,61,5.843,37,7.395
29,Gastrodon,4.18100,51,4.885,30,5.996
30,Tyranitar,4.00288,47,4.502,20,3.997
31,Charizard-Mega-Y,3.69576,58,5.556,26,5.197
32,Conkeldurr,3.53817,25,2.395,13,2.598
33,Dusclops,3.53214,10,0.958,3,0.600
34,Heatran,3.50441,36,3.448,13,2.598
35,Salamence-Mega,3.41927,29,2.778,9,1.799
36,Weavile,2.98046,40,3.831,22,4.397
37,Venusaur,2.60914,24,2.299,10,1.999
38,Zapdos,2.60782,18,1.724,4,0.799
39,Kangaskhan,2.55445,12,1.149,8,1.599
40,Aron,2.55445,20,1.916,9,1.799
41,Aurorus,2.52117,25,2.395,13,2.598
42,Terrakion,2.47117,31,2.969,9,1.799
43,Porygon-Z,2.05831,22,2.107,18,3.598
44,Jolteon,2.04792,33,3.161,11,2.199
45,Klefki,1.74036,22,2.107,15,2.998
46,Ferrothorn,1.45761,48,4.598,23,4.597
