Rank,Pokemon,Usage %,Raw,%,Real,%
1,Swampert-Mega,63.17090%,143,10.720%,111,10.695%
2,Forretress,35.77578%,163,12.219%,135,13.008%
3,Florges,34.69770%,161,12.069%,124,11.948%
4,Moltres,34.23230%,45,3.373%,39,3.758%
5,Articuno,33.65067%,42,3.148%,29,2.794%
6,Tangela,33.65063%,44,3.298%,31,2.987%
7,Entei,27.63416%,97,7.271%,74,7.130%
8,Tentacruel,26.24911%,89,6.672%,72,6.938%
9,Heracross,21.99039%,86,6.447%,69,6.648%
10,Hydreigon,20.11612%,123,9.220%,99,9.539%
11,Metagross,20.11249%,93,6.972%,68,6.552%
12,Crobat,18.79226%,182,13.643%,143,13.779%
13,Crawdaunt,17.98835%,85,6.372%,63,6.070%
14,Sylveon,16.78024%,160,11.994%,128,12.333%
15,Galvantula,16.52676%,115,8.621%,106,10.214%
16,Aggron-Mega,15.26389%,106,7.946%,74,7.130%
17,Chandelure,14.41059%,155,11.619%,106,10.214%
18,Goodra,10.73701%,64,4.798%,44,4.240%
19,Celebi,8.53966%,90,6.747%,72,6.938%
20,Roserade,8.07604%,95,7.121%,78,7.516%
21,Arcanine,7.54517%,224,16.792%,173,16.669%
22,Doublade,5.84300%,51,3.823%,39,3.758%
23,Slowking,5.81704%,19,1.424%,11,1.060%
24,Cobalion,5.61186%,40,2.999%,32,3.083%
25,Krookodile,5.45985%,103,7.721%,81,7.805%
26,Umbreon,4.59614%,157,11.769%,118,11.370%
27,Hitmontop,4.50820%,74,5.547%,56,5.396%
28,Espeon,4.32553%,167,12.519%,138,13.297%
29,Haxorus,4.06507%,79,5.922%,62,5.974%
30,Vaporeon,3.97735%,143,10.720%,122,11.755%
31,Sawk,3.88936%,42,3.148%,27,2.602%
32,Alomomola,3.88936%,61,4.573%,55,5.300%
33,Cloyster,3.72566%,88,6.597%,60,5.781%
34,Lucario,3.65673%,70,5.247%,50,4.818%
35,Beedrill-Mega,3.51331%,161,12.069%,114,10.984%
36,Venusaur,3.51101%,30,2.249%,21,2.023%
37,Gligar,3.31983%,98,7.346%,86,8.286%
38,Ampharos-Mega,2.78392%,95,7.121%,72,6.938%
39,Qwilfish,2.69881%,31,2.324%,25,2.409%
40,Infernape,2.61683%,136,10.195%,109,10.503%
41,Scrafty,2.43406%,34,2.549%,22,2.120%
42,Blissey,2.40349%,103,7.721%,85,8.190%
43,Tyrantrum,2.18438%,35,2.624%,28,2.698%
44,Jolteon,1.78375%,64,4.798%,54,5.203%
45,Snorlax,1.77945%,86,6.447%,62,5.974%
46,Swampert,1.74866%,51,3.823%,40,3.854%
47,Aerodactyl-Mega,1.58289%,68,5.097%,44,4.240%
48,Milotic,1.16270%,61,4.573%,48,4.625%
49,Slurpuff,1.08342%,36,2.699%,19,1.831%
50,Shuckle,0.95284%,62,4.648%,58,5.589%
51,Feraligatr,0.93580%,63,4.723%,52,5.010%
52,Sharpedo-Mega,0.86168%,42,3.148%,29,2.794%
53,Tornadus,0.84625%,34,2.549%,26,2.505%
54,Chesnaught,0.81159%,107,8.021%,91,8.768%
55,Houndoom-Mega,0.79684%,91,6.822%,68,6.552%
56,Furfrou,0.79609%,55,4.123%,41,3.951%
57,Houndoom,0.74708%,30,2.249%,29,2.794%
58,Mienshao,0.63694%,36,2.699%,30,2.891%
59,Absol-Mega,0.63436%,45,3.373%,31,2.987%
60,Porygon-Z,0.63108%,57,4.273%,42,4.047%
61,Weezing,0.62848%,31,2.324%,25,2.409%
62,Nidoking,0.60261%,88,6.597%,71,6.841%
63,Ninjask,0.58511%,24,1.799%,16,1.542%
64,Suicune,0.58198%,49,3.673%,41,3.951%
65,Darmanitan,0.58013%,67,5.022%,45,4.336%
66,Blastoise-Mega,0.53945%,111,8.321%,94,9.057%
67,Drapion,0.52951%,20,1.499%,16,1.542%
68,Reuniclus,0.52804%,45,3.373%,31,2.987%
69,Zangoose,0.48116%,19,1.424%,12,1.156%
70,Drifblim,0.48079%,12,0.900%,9,0.867%
71,Steelix,0.48079%,20,1.499%,17,1.638%
72,Whimsicott,0.45840%,54,4.048%,46,4.432%
73,Gardevoir,0.45606%,46,3.448%,34,3.276%
74,Heliolisk,0.42664%,49,3.673%,40,3.854%
75,Gyarados,0.37045%,107,8.021%,94,9.057%
76,Conkeldurr,0.29386%,93,6.972%,73,7.034%
77,Leafeon,0.21715%,15,1.124%,10,0.964%
78,Flareon,0.21714%,17,1.274%,13,1.253%
79,Stoutland,0.20365%,2,0.150%,1,0.096%
80,Ditto,0.20365%,6,0.450%,3,0.289%
81,Golurk,0.20365%,5,0.375%,3,0.289%
82,Zebstrika,0.20365%,2,0.150%,1,0.096%
83,Gastrodon,0.20365%,3,0.225%,2,0.193%
84,Sceptile-Mega,0.16776%,76,5.697%,53,5.107%
85,Toxicroak,0.16553%,27,2.024%,18,1.734%
86,Braviary,0.16203%,12,0.900%,12,1.156%
87,Sceptile,0.16128%,26,1.949%,23,2.216%
88,Donphan,0.15548%,76,5.697%,68,6.552%
89,Mismagius,0.14766%,27,2.024%,23,2.216%
90,Torterra,0.14406%,12,0.900%,11,1.060%
91,Machamp,0.14052%,49,3.673%,44,4.240%
92,Steelix-Mega,0.10619%,19,1.424%,16,1.542%
93,Fletchinder,0.10618%,18,1.349%,14,1.349%
94,Escavalier,0.08484%,14,1.049%,13,1.253%
95,Nidoqueen,0.07746%,38,2.849%,37,3.565%
96,Gallade,0.04343%,11,0.825%,9,0.867%
97,Mamoswine,0.03352%,34,2.549%,28,2.698%
98,Dragalge,0.02323%,20,1.499%,14,1.349%
99,Swellow,0.02111%,14,1.049%,9,0.867%
100,Cinccino,0.02111%,10,0.750%,8,0.771%
101,Empoleon,0.01865%,73,5.472%,66,6.359%
102,Archeops,0.01697%,21,1.574%,20,1.927%
103,Lapras,0.01688%,29,2.174%,24,2.313%
104,Eelektross,0.01688%,17,1.274%,16,1.542%
105,Delphox,0.01688%,18,1.349%,15,1.445%
106,Banette-Mega,0.01688%,20,1.499%,16,1.542%
107,Golbat,0.01688%,16,1.199%,12,1.156%
108,Froslass,0.01313%,16,1.199%,9,0.867%
109,Kyurem,0.00828%,8,0.600%,3,0.289%
110,Aggron,0.00806%,25,1.874%,19,1.831%
111,Ampharos,0.00806%,18,1.349%,14,1.349%
112,Rotom-Heat,0.00485%,41,3.073%,32,3.083%
113,Absol,0.00439%,25,1.874%,18,1.734%
114,Arbok,0.00363%,17,1.274%,14,1.349%
115,Noctowl,0.00363%,16,1.199%,11,1.060%
116,Gourgeist,0.00363%,15,1.124%,10,0.964%
117,Ariados,0.00363%,18,1.349%,17,1.638%
118,Honchkrow,0.00286%,16,1.199%,13,1.253%
119,Porygon2,0.00189%,41,3.073%,33,3.180%
120,Butterfree,0.00162%,5,0.375%,4,0.385%
121,Parasect,0.00162%,3,0.225%,2,0.193%
122,Scyther,0.00162%,3,0.225%,2,0.193%
123,Armaldo,0.00162%,2,0.150%,2,0.193%
124,Sableye,0.00155%,20,1.499%,13,1.253%
125,Mandibuzz,0.00118%,35,2.624%,30,2.891%
126,Sneasel,0.00079%,1,0.075%,1,0.096%
127,Sharpedo,0.00076%,8,0.600%,7,0.674%
128,Shiftry,0.00076%,6,0.450%,6,0.578%
129,Uxie,0.00039%,6,0.450%,6,0.578%
130,Dusclops,0.00039%,14,1.049%,13,1.253%
131,Magneton,0.00037%,4,0.300%,3,0.289%
132,Jynx,0.00034%,4,0.300%,4,0.385%
133,Zoroark,0.00021%,11,0.825%,4,0.385%
134,Yanmega,0.00021%,15,1.124%,14,1.349%
135,Xatu,0.00021%,2,0.150%,0,0.000%
136,Heatmor,0.00009%,4,0.300%,1,0.096%
137,Registeel,0.00007%,8,0.600%,5,0.482%
138,Kingdra,0.00007%,13,0.975%,10,0.964%
139,Raichu,0.00006%,13,0.975%,11,1.060%
140,Charizard,0.00006%,30,2.249%,24,2.313%
141,Dusknoir,0.00005%,2,0.150%,2,0.193%
142,Seismitoad,0.00003%,6,0.450%,5,0.482%
143,Torkoal,0.00002%,5,0.375%,5,0.482%
144,Rapidash,0.00002%,2,0.150%,2,0.193%
145,Typhlosion,0.00002%,11,0.825%,8,0.771%
146,Glaceon,0.00002%,11,0.825%,11,1.060%
147,Samurott,0.00001%,7,0.525%,7,0.674%
148,Pikachu,0.00001%,26,1.949%,24,2.313%
149,Hitmonlee,0.00001%,7,0.525%,7,0.674%
150,Hariyama,0.00001%,5,0.375%,5,0.482%
151,Electivire,0.00000%,19,1.424%,15,1.445%
152,Ninetales,0.00000%,5,0.375%,2,0.193%
153,Bronzong,0.00000%,8,0.600%,7,0.674%
154,Corsola,0.00000%,1,0.075%,0,0.000%
155,Mightyena,0.00000%,1,0.075%,1,0.096%
156,Liepard,0.00000%,6,0.450%,6,0.578%
157,Growlithe,0.00000%,1,0.075%,1,0.096%
158,Beedrill,0.00000%,1,0.075%,1,0.096%
159,Ambipom,0.00000%,20,1.499%,14,1.349%
160,Magmortar,0.00000%,5,0.375%,4,0.385%
161,Poliwrath,0.00000%,5,0.375%,5,0.482%
162,Emolga,0.00000%,2,0.150%,1,0.096%
163,Cacturne,0.00000%,2,0.150%,1,0.096%
164,Wobbuffet,0.00000%,1,0.075%,1,0.096%
165,Cresselia,0.00000%,47,3.523%,28,2.698%
166,Rampardos,0.00000%,3,0.225%,1,0.096%
167,Emboar,0.00000%,5,0.375%,4,0.385%
168,Shedinja,0.00000%,2,0.150%,2,0.193%
169,Rhydon,0.00000%,2,0.150%,2,0.193%
170,Exeggutor,0.00000%,1,0.075%,1,0.096%
171,Frogadier,0.00000%,2,0.150%,0,0.000%
172,Vivillon,0.00000%,5,0.375%,2,0.193%
173,Aerodactyl,0.00000%,4,0.300%,4,0.385%
174,Lilligant,0.00000%,2,0.150%,1,0.096%
175,Cleffa,0.00000%,1,0.075%,1,0.096%
176,Diancie,0.00000%,1,0.075%,0,0.000%
177,Mesprit,0.00000%,1,0.075%,1,0.096%
178,Pyroar,0.00000%,2,0.150%,1,0.096%
179,Mawile,0.00000%,3,0.225%,3,0.289%
180,Aurorus,0.00000%,2,0.150%,2,0.193%
181,Mantine,0.00000%,4,0.300%,3,0.289%
182,Pineco,0.00000%,1,0.075%,1,0.096%
183,Altaria,0.00000%,4,0.300%,3,0.289%
184,Houndour,0.00000%,1,0.075%,1,0.096%
