Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Groudon-Primal,83.85520,483,41.854,323,63.292
2,Xerneas,80.83785,382,33.102,229,44.873
3,Talonflame,77.40671,212,18.371,74,14.500
4,Smeargle,77.05095,301,26.083,123,24.102
5,Raichu,75.63188,296,25.650,138,27.041
6,Salamence-Mega,75.62802,332,28.769,122,23.906
7,Kyogre-Primal,19.10500,524,45.407,337,66.035
8,Kangaskhan-Mega,13.91413,366,31.716,125,24.494
9,Rayquaza-Mega,13.60766,340,29.463,181,35.467
10,Bronzong,12.47959,257,22.270,89,17.440
11,Hitmontop,10.24556,223,19.324,107,20.967
12,Cresselia,9.17801,207,17.938,74,14.500
13,Gengar-Mega,7.01643,232,20.104,59,11.561
14,Ferrothorn,6.30701,168,14.558,65,12.737
15,Weavile,4.61083,78,6.759,33,6.466
16,Porygon2,4.43102,43,3.726,39,7.642
17,Zapdos,4.42507,55,4.766,9,1.764
18,Mawile-Mega,3.75000,68,5.893,29,5.683
19,Thundurus,3.05762,122,10.572,43,8.426
20,Uxie,2.61349,11,0.953,2,0.392
21,Amoonguss,2.31159,90,7.799,26,5.095
22,Mewtwo-Mega-X,1.99208,16,1.386,5,0.980
23,Liepard,1.32063,31,2.686,8,1.568
24,Meowstic,1.04332,29,2.513,17,3.331
25,Tyranitar-Mega,1.03181,15,1.300,8,1.568
26,Scrafty,1.02719,40,3.466,10,1.960
27,Landorus-Therian,0.76190,79,6.846,33,6.466
28,Crobat,0.68414,115,9.965,36,7.054
29,Manectric-Mega,0.66635,46,3.986,22,4.311
30,Ditto,0.63292,27,2.340,6,1.176
31,Toxicroak,0.42398,3,0.260,2,0.392
32,Yveltal,0.36125,82,7.106,40,7.838
33,Gastrodon,0.35626,27,2.340,15,2.939
34,Aegislash,0.32345,54,4.679,20,3.919
35,Togekiss,0.30706,37,3.206,15,2.939
36,Blaziken,0.29666,13,1.127,2,0.392
37,Sableye,0.27703,42,3.640,10,1.960
38,Infernape,0.16101,20,1.733,5,0.980
39,Golduck,0.13726,25,2.166,7,1.372
40,Sceptile-Mega,0.12738,22,1.906,7,1.372
41,Mewtwo,0.08630,26,2.253,14,2.743
42,Greninja,0.07247,41,3.553,8,1.568
43,Arcanine,0.07110,37,3.206,10,1.960
44,Venusaur,0.05174,16,1.386,3,0.588
45,Golbat,0.05037,14,1.213,7,1.372
46,Heliolisk,0.03843,4,0.347,1,0.196
47,Charizard-Mega-X,0.02536,15,1.300,9,1.764
48,Sylveon,0.02081,29,2.513,9,1.764
49,Klefki,0.01805,24,2.080,10,1.960
50,Carbink,0.01159,7,0.607,7,1.372
51,Audino-Mega,0.01159,8,0.693,1,0.196
52,Aromatisse,0.01159,11,0.953,3,0.588
53,Shedinja,0.01159,9,0.780,5,0.980
54,Whimsicott,0.01011,37,3.206,16,3.135
55,Landorus,0.00999,17,1.473,6,1.176
56,Kyogre,0.00968,9,0.780,5,0.980
57,Gengar,0.00911,30,2.600,6,1.176
58,Dialga,0.00828,25,2.166,11,2.155
59,Noctowl,0.00682,7,0.607,4,0.784
60,Medicham-Mega,0.00682,7,0.607,5,0.980
61,Furfrou,0.00682,7,0.607,2,0.392
62,Milotic,0.00673,17,1.473,3,0.588
63,Gliscor,0.00647,12,1.040,3,0.588
64,Slowbro-Mega,0.00647,10,0.867,9,1.764
65,Clefable,0.00647,15,1.300,9,1.764
66,Mewtwo-Mega-Y,0.00605,11,0.953,7,1.372
67,Zygarde,0.00596,3,0.260,3,0.588
68,Reshiram,0.00520,6,0.520,3,0.588
69,Volcarona,0.00463,20,1.733,7,1.372
70,Bibarel,0.00162,1,0.087,1,0.196
71,Blaziken-Mega,0.00082,17,1.473,9,1.764
72,Jumpluff,0.00070,19,1.646,8,1.568
73,Mantyke,0.00070,5,0.433,1,0.196
74,Aggron-Mega,0.00064,8,0.693,3,0.588
75,Garchomp,0.00050,47,4.073,24,4.703
76,Alakazam,0.00044,6,0.520,3,0.588
77,Gyarados,0.00044,9,0.780,6,1.176
78,Gyarados-Mega,0.00027,12,1.040,6,1.176
79,Wailord,0.00027,1,0.087,1,0.196
80,Luvdisc,0.00027,1,0.087,1,0.196
81,Whiscash,0.00027,1,0.087,0,0.000
82,Lugia,0.00026,11,0.953,6,1.176
83,Serperior,0.00022,7,0.607,1,0.196
84,Dragalge,0.00008,8,0.693,3,0.588
85,Clefairy,0.00006,19,1.646,9,1.764
86,Golurk,0.00006,6,0.520,3,0.588
87,Beedrill-Mega,0.00006,7,0.607,3,0.588
88,Mismagius,0.00006,5,0.433,1,0.196
89,Clawitzer,0.00006,8,0.693,6,1.176
90,Minun,0.00005,10,0.867,3,0.588
91,Ampharos,0.00005,3,0.260,1,0.196
92,Plusle,0.00005,8,0.693,1,0.196
93,Klinklang,0.00005,1,0.087,1,0.196
94,Manectric,0.00005,5,0.433,3,0.588
95,Kyurem-Black,0.00004,5,0.433,4,0.784
96,Azumarill,0.00004,15,1.300,7,1.372
97,Aggron,0.00001,13,1.127,8,1.568
98,Gothitelle,0.00001,17,1.473,10,1.960
99,Chesnaught,0.00001,11,0.953,6,1.176
100,Absol-Mega,0.00001,6,0.520,4,0.784
101,Kyurem-White,0.00000,18,1.560,11,2.155
102,Porygon-Z,0.00000,3,0.260,1,0.196
103,Archeops,0.00000,3,0.260,0,0.000
104,Swampert,0.00000,1,0.087,0,0.000
105,Snorlax,0.00000,4,0.347,1,0.196
106,Swellow,0.00000,1,0.087,0,0.000
107,Kangaskhan,0.00000,3,0.260,2,0.392
108,Ambipom,0.00000,1,0.087,0,0.000
109,Hitmonlee,0.00000,1,0.087,0,0.000
110,Poliwrath,0.00000,1,0.087,0,0.000
111,Machamp,0.00000,4,0.347,3,0.588
112,Altaria-Mega,0.00000,5,0.433,3,0.588
113,Rayquaza,0.00000,3,0.260,1,0.196
114,Noivern,0.00000,7,0.607,2,0.392
115,Sceptile,0.00000,1,0.087,1,0.196
116,Exeggutor,0.00000,4,0.347,1,0.196
117,Absol,0.00000,2,0.173,1,0.196
118,Gardevoir-Mega,0.00000,16,1.386,6,1.176
119,Dragonite,0.00000,9,0.780,4,0.784
120,Vivillon,0.00000,2,0.173,0,0.000
121,Aerodactyl,0.00000,8,0.693,3,0.588
122,Pidgeot-Mega,0.00000,3,0.260,2,0.392
123,Bouffalant,0.00000,1,0.087,0,0.000
124,Lapras,0.00000,6,0.520,2,0.392
125,Bisharp,0.00000,18,1.560,5,0.980
126,Zangoose,0.00000,1,0.087,0,0.000
127,Krookodile,0.00000,3,0.260,2,0.392
128,Lucario,0.00000,7,0.607,4,0.784
129,Blastoise-Mega,0.00000,4,0.347,1,0.196
130,Venusaur-Mega,0.00000,6,0.520,2,0.392
131,Aurorus,0.00000,1,0.087,0,0.000
132,Mantine,0.00000,1,0.087,0,0.000
133,Cinccino,0.00000,2,0.173,1,0.196
134,Altaria,0.00000,1,0.087,1,0.196
135,Gallade-Mega,0.00000,1,0.087,1,0.196
136,Leafeon,0.00000,1,0.087,0,0.000
137,Omastar,0.00000,1,0.087,0,0.000
138,Cofagrigus,0.00000,4,0.347,1,0.196
139,Basculin,0.00000,1,0.087,1,0.196
140,Swampert-Mega,0.00000,6,0.520,4,0.784
141,Durant,0.00000,1,0.087,0,0.000
142,Staraptor,0.00000,3,0.260,1,0.196
143,Palkia,0.00000,8,0.693,2,0.392
144,Sharpedo-Mega,0.00000,1,0.087,1,0.196
145,Cloyster,0.00000,4,0.347,2,0.392
146,Pachirisu,0.00000,5,0.433,1,0.196
147,Slowbro,0.00000,5,0.433,2,0.392
148,Giratina,0.00000,1,0.087,0,0.000
149,Regirock,0.00000,2,0.173,1,0.196
150,Skitty,0.00000,1,0.087,0,0.000
151,Piloswine,0.00000,2,0.173,2,0.392
152,Salamence,0.00000,8,0.693,1,0.196
153,Haxorus,0.00000,2,0.173,1,0.196
154,Crawdaunt,0.00000,3,0.260,2,0.392
155,Magikarp,0.00000,1,0.087,1,0.196
156,Goodra,0.00000,6,0.520,2,0.392
157,Dusknoir,0.00000,2,0.173,0,0.000
158,Rotom-Heat,0.00000,2,0.173,2,0.392
159,Chansey,0.00000,4,0.347,1,0.196
160,Blissey,0.00000,2,0.173,1,0.196
161,Nidoking,0.00000,1,0.087,1,0.196
162,Ampharos-Mega,0.00000,6,0.520,2,0.392
163,Metagross,0.00000,7,0.607,7,1.372
164,Garchomp-Mega,0.00000,5,0.433,2,0.392
165,Pinsir-Mega,0.00000,1,0.087,1,0.196
166,Hariyama,0.00000,2,0.173,0,0.000
167,Lanturn,0.00000,9,0.780,0,0.000
168,Charizard-Mega-Y,0.00000,17,1.473,7,1.372
169,Dedenne,0.00000,2,0.173,2,0.392
170,Seismitoad,0.00000,1,0.087,1,0.196
171,Beautifly,0.00000,1,0.087,0,0.000
172,Musharna,0.00000,2,0.173,0,0.000
173,Slaking,0.00000,8,0.693,5,0.980
174,Delphox,0.00000,2,0.173,1,0.196
175,Rotom-Wash,0.00000,12,1.040,2,0.392
176,Avalugg,0.00000,1,0.087,0,0.000
177,Honchkrow,0.00000,1,0.087,0,0.000
178,Hippowdon,0.00000,2,0.173,1,0.196
179,Politoed,0.00000,9,0.780,5,0.980
180,Torchic,0.00000,1,0.087,0,0.000
181,Togetic,0.00000,2,0.173,0,0.000
182,Metagross-Mega,0.00000,6,0.520,3,0.588
183,Blastoise,0.00000,3,0.260,2,0.392
184,Vigoroth,0.00000,1,0.087,0,0.000
185,Cottonee,0.00000,1,0.087,1,0.196
186,Emboar,0.00000,1,0.087,0,0.000
187,Zekrom,0.00000,7,0.607,5,0.980
188,Vaporeon,0.00000,1,0.087,1,0.196
189,Chandelure,0.00000,1,0.087,0,0.000
190,Camerupt-Mega,0.00000,1,0.087,1,0.196
191,Reuniclus,0.00000,1,0.087,0,0.000
192,Heatran,0.00000,12,1.040,7,1.372
193,Druddigon,0.00000,1,0.087,0,0.000
194,Pangoro,0.00000,1,0.087,1,0.196
195,Terrakion,0.00000,8,0.693,2,0.392
196,Gardevoir,0.00000,3,0.260,0,0.000
197,Houndoom-Mega,0.00000,1,0.087,1,0.196
198,Conkeldurr,0.00000,6,0.520,1,0.196
199,Breloom,0.00000,4,0.347,0,0.000
200,Thundurus-Therian,0.00000,6,0.520,2,0.392
201,Beheeyem,0.00000,1,0.087,0,0.000
202,Torterra,0.00000,5,0.433,1,0.196
203,Audino,0.00000,6,0.520,2,0.392
204,Hawlucha,0.00000,1,0.087,1,0.196
205,Fennekin,0.00000,1,0.087,0,0.000
206,Torkoal,0.00000,1,0.087,0,0.000
207,Excadrill,0.00000,3,0.260,0,0.000
208,Groudon,0.00000,1,0.087,1,0.196
209,Giratina-Origin,0.00000,12,1.040,6,1.176
210,Regigigas,0.00000,4,0.347,1,0.196
211,Regice,0.00000,1,0.087,0,0.000
212,Medicham,0.00000,1,0.087,0,0.000
213,Lucario-Mega,0.00000,9,0.780,3,0.588
214,Lickilicky,0.00000,1,0.087,0,0.000
215,Aerodactyl-Mega,0.00000,1,0.087,1,0.196
216,Scizor-Mega,0.00000,5,0.433,0,0.000
217,Parasect,0.00000,7,0.607,3,0.588
218,Dugtrio,0.00000,1,0.087,1,0.196
219,Abomasnow-Mega,0.00000,2,0.173,2,0.392
220,Braviary,0.00000,1,0.087,1,0.196
221,Electivire,0.00000,2,0.173,2,0.392
222,Gourgeist-Super,0.00000,1,0.087,0,0.000
223,Scizor,0.00000,7,0.607,2,0.392
224,Tyranitar,0.00000,15,1.300,4,0.784
225,Floatzel,0.00000,1,0.087,1,0.196
226,Zebstrika,0.00000,2,0.173,0,0.000
227,Gourgeist,0.00000,1,0.087,0,0.000
228,Suicune,0.00000,3,0.260,0,0.000
229,Flareon,0.00000,3,0.260,2,0.392
230,Illumise,0.00000,2,0.173,1,0.196
231,Registeel,0.00000,1,0.087,0,0.000
232,Empoleon,0.00000,4,0.347,2,0.392
233,Jellicent,0.00000,2,0.173,1,0.196
234,Heracross-Mega,0.00000,4,0.347,1,0.196
235,Froslass,0.00000,2,0.173,0,0.000
236,Charizard,0.00000,3,0.260,2,0.392
237,Ho-Oh,0.00000,3,0.260,1,0.196
