Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Kyurem-Black,22.18567,28705,15.273,9450,30.726
2,Gyarados-Mega,18.73294,21675,11.532,6484,21.082
3,Charizard-Mega-X,16.24048,18534,9.861,6805,22.126
4,Marshadow,14.48178,25083,13.346,10104,32.852
5,Tapu-Koko,14.42376,18763,9.983,5842,18.995
6,Mimikyu,9.48621,13570,7.220,5326,17.317
7,Charizard-Mega-Y,8.27346,13814,7.350,4699,15.278
8,Metagross-Mega,8.24908,8507,4.526,2381,7.742
9,Magearna,7.88498,7332,3.901,2488,8.089
10,Mawile-Mega,7.83290,11210,5.964,3412,11.094
11,Donphan,5.82296,8423,4.482,3281,10.668
12,Tapu-Lele,5.71973,8420,4.480,2505,8.145
13,Porygon-Z,5.53247,6932,3.688,2307,7.501
14,Aegislash,5.37806,6408,3.409,2342,7.615
15,Golem,5.30278,2704,1.439,1034,3.362
16,Deoxys-Defense,5.17970,8471,4.507,3149,10.239
17,Magnezone,4.96393,7656,4.073,2706,8.798
18,Aggron-Mega,4.94994,5600,2.980,2372,7.712
19,Dragonite,4.94141,7304,3.886,2669,8.678
20,Lopunny-Mega,4.68957,12785,6.802,4903,15.942
21,Jirachi,4.35591,5953,3.167,2063,6.708
22,Greninja,4.14982,8680,4.618,2718,8.837
23,Genesect,4.06577,3909,2.080,1326,4.311
24,Venusaur-Mega,4.05910,5618,2.989,1908,6.204
25,Tapu-Fini,3.70607,3394,1.806,1217,3.957
26,Heracross-Mega,3.59028,5081,2.703,1533,4.984
27,Victini,3.15122,3569,1.899,1229,3.996
28,Garchomp,2.86329,4602,2.449,1520,4.942
29,Landorus-Therian,2.50611,4899,2.607,1818,5.911
30,Celesteela,2.39043,5656,3.009,2015,6.552
31,Mandibuzz,2.36409,395,0.210,128,0.416
32,Blastoise-Mega,2.33492,3354,1.785,1064,3.459
33,Carracosta,2.18929,918,0.488,364,1.184
34,Ferrothorn,2.12211,4289,2.282,1360,4.422
35,Sableye-Mega,2.03084,3403,1.811,1094,3.557
36,Alakazam-Mega,1.95184,6693,3.561,1959,6.369
37,Gardevoir-Mega,1.91723,5152,2.741,1631,5.303
38,Heatran,1.88270,2977,1.584,906,2.946
39,Pheromosa,1.84881,2672,1.422,875,2.845
40,Blissey,1.75731,1394,0.742,388,1.262
41,Meloetta,1.66067,2757,1.467,926,3.011
42,Slowbro-Mega,1.61861,2608,1.388,857,2.786
43,Kartana,1.42016,3188,1.696,885,2.877
44,Blaziken-Mega,1.38768,5583,2.971,1996,6.490
45,Pinsir-Mega,1.37770,3363,1.789,1062,3.453
46,Snorlax,1.34489,3077,1.637,1127,3.664
47,Medicham-Mega,1.19039,2683,1.428,840,2.731
48,Landorus,1.12634,1475,0.785,545,1.772
49,Whimsicott,1.07728,2434,1.295,864,2.809
50,Latios,1.07508,1904,1.013,602,1.957
