Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Magearna,35.23268,1560,21.036,1203,22.022
2,Hoopa-Unbound,32.05230,1443,19.458,992,18.159
3,Tapu-Fini,25.93126,835,11.259,668,12.228
4,Victini,25.43219,886,11.947,659,12.063
5,Mew,23.35672,874,11.785,691,12.649
6,Zapdos,22.54325,827,11.152,652,11.935
7,Gengar,22.32226,1098,14.806,769,14.077
8,Buzzwole,22.04651,525,7.079,362,6.627
9,Terrakion,20.38856,862,11.624,617,11.295
10,Heatran,19.05345,555,7.484,413,7.560
11,Chansey,18.99462,826,11.138,598,10.947
12,Zygarde,17.84114,1344,18.123,998,18.269
13,Tapu-Koko,15.89898,692,9.331,519,9.501
14,Ferrothorn,14.79789,948,12.783,794,14.535
15,Diancie,12.75135,146,1.969,120,2.197
16,Manaphy,12.27444,786,10.599,536,9.812
17,Uxie,10.94857,105,1.416,94,1.721
18,Excadrill,10.47005,280,3.776,219,4.009
19,Skarmory,9.52295,862,11.624,680,12.448
20,Toxapex,9.37072,310,4.180,250,4.576
21,Celesteela,8.89143,521,7.025,388,7.103
22,Mandibuzz,8.14997,256,3.452,195,3.570
23,Metagross-Mega,7.77022,132,1.780,87,1.593
24,Medicham-Mega,7.39219,156,2.104,113,2.069
25,Landorus-Therian,7.04639,668,9.008,546,9.995
26,Minior,6.92314,280,3.776,201,3.679
27,Volcarona,6.85011,971,13.093,701,12.832
28,Alakazam-Mega,6.24601,642,8.657,450,8.237
29,Weavile,6.21723,667,8.994,508,9.299
30,Thundurus,5.81873,264,3.560,161,2.947
31,Lopunny-Mega,5.47401,166,2.238,132,2.416
32,Nihilego,5.39515,371,5.003,300,5.492
33,Smeargle,5.16264,454,6.122,428,7.835
34,Noivern,5.11794,881,11.880,637,11.661
35,Muk-Alola,4.84578,167,2.252,128,2.343
36,Entei,4.58440,398,5.367,278,5.089
37,Salamence,4.54829,316,4.261,204,3.734
38,Golisopod,4.52247,798,10.761,583,10.672
39,Garchomp,4.21001,500,6.742,355,6.498
40,Mimikyu,4.13993,250,3.371,138,2.526
41,Doublade,4.06840,134,1.807,112,2.050
42,Marowak-Alola,3.97325,218,2.940,171,3.130
43,Rhydon,3.88581,45,0.607,34,0.622
44,Hippowdon,3.82704,133,1.793,111,2.032
45,Shuckle,3.39361,372,5.016,341,6.242
46,Suicune,3.11975,258,3.479,187,3.423
47,Xurkitree,2.99371,447,6.028,332,6.077
48,Tapu-Bulu,2.97474,203,2.737,153,2.801
49,Tyranitar,2.73322,105,1.416,70,1.281
50,Mamoswine,2.50767,273,3.681,207,3.789
