Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Mimikyu,45.14033,66304,26.183,27854,26.356
2,Salamence-Mega,31.44806,50545,19.960,20533,19.429
3,Celesteela,27.38025,36918,14.579,14340,13.569
4,Landorus-Therian,25.19369,45617,18.014,22235,21.039
5,Hippowdon,21.59791,24697,9.753,11313,10.705
6,Tapu-Fini,19.60105,32351,12.775,13880,13.133
7,Tapu-Lele,19.49085,40835,16.126,17314,16.383
8,Thundurus-Therian,19.35933,28882,11.405,10967,10.377
9,Tapu-Koko,19.28961,44741,17.668,19137,18.108
10,Kangaskhan-Mega,16.63473,23506,9.282,10786,10.206
11,Gengar-Mega,15.66379,31552,12.460,11158,10.558
12,Garchomp,15.10308,30019,11.854,12332,11.669
13,Greninja,14.51189,27868,11.005,12230,11.572
14,Blaziken-Mega,13.69240,26279,10.378,13986,13.234
15,Aegislash,13.34724,28290,11.172,10830,10.247
16,Porygon2,12.31453,27468,10.847,11695,11.066
17,Breloom,11.97328,20855,8.236,9250,8.752
18,Metagross-Mega,11.47012,18996,7.501,7916,7.490
19,Volcarona,9.53682,20941,8.270,8120,7.683
20,Suicune,9.11017,10878,4.296,4197,3.971
21,Blaziken,9.10815,21635,8.544,10454,9.892
22,Heatran,7.69033,15839,6.255,6514,6.164
23,Charizard-Mega-X,7.50984,22108,8.730,9520,9.008
24,Cresselia,7.20814,16606,6.558,6718,6.357
25,Ferrothorn,6.27562,27060,10.686,11858,11.220
26,Scolipede,6.11598,3508,1.385,1988,1.881
27,Sharpedo-Mega,5.98484,2936,1.159,1531,1.449
28,Gliscor,5.94931,14340,5.663,5187,4.908
29,Mamoswine,5.79630,17617,6.957,8356,7.907
30,Nihilego,5.63851,9270,3.661,3855,3.648
31,Primarina,5.42791,14005,5.531,5613,5.311
32,Lopunny-Mega,5.00570,11718,4.627,7019,6.641
33,Diggersby,4.67538,1874,0.740,864,0.818
34,Rotom-Wash,4.45583,10612,4.191,4532,4.288
35,Tyranitar,4.22871,11690,4.616,4519,4.276
36,Excadrill,4.07342,14225,5.617,5726,5.418
37,Kartana,4.06498,10566,4.172,4241,4.013
38,Rotom-Heat,3.99867,8714,3.441,3777,3.574
39,Zapdos,3.70116,8673,3.425,3421,3.237
40,Thundurus,3.67417,5294,2.091,2245,2.124
41,Dragonite,3.62289,10675,4.216,4109,3.888
42,Tyranitar-Mega,3.57159,7374,2.912,3099,2.932
43,Charizard-Mega-Y,3.45282,14907,5.887,6628,6.272
44,Gyarados-Mega,3.42319,15571,6.149,6487,6.138
45,Toxapex,3.23285,13793,5.447,5642,5.339
46,Tapu-Bulu,3.20233,9686,3.825,4144,3.921
47,Cloyster,3.18229,10961,4.328,4539,4.295
48,Latias,3.14142,3807,1.503,1275,1.206
49,Mawile-Mega,3.06356,9572,3.780,4250,4.021
50,Glalie,2.79931,3957,1.563,1615,1.528
51,Venusaur-Mega,2.70319,9162,3.618,3797,3.593
52,Magnezone,2.69171,8353,3.299,3101,2.934
53,Chandelure,2.65248,7353,2.904,3238,3.064
54,Gengar,2.60002,5737,2.266,2316,2.191
55,Skarmory,2.57693,6911,2.729,3544,3.353
56,Azumarill,2.50077,8725,3.445,3590,3.397
57,Lanturn,2.45695,1311,0.518,533,0.504
58,Snorlax,2.43486,7698,3.040,3143,2.974
59,Porygon-Z,2.32720,6406,2.530,2650,2.507
60,Serperior,2.24579,11576,4.571,5056,4.784
61,Banette-Mega,2.20717,4239,1.674,2274,2.152
62,Chansey,1.99164,5278,2.084,2015,1.907
63,Abomasnow-Mega,1.79001,2157,0.852,893,0.845
64,Latios,1.61425,6346,2.506,2311,2.187
65,Pheromosa,1.57266,7024,2.774,3329,3.150
66,Gyarados,1.51730,9123,3.603,4098,3.878
67,Manectric-Mega,1.49354,5425,2.142,2833,2.681
68,Swampert-Mega,1.45095,6670,2.634,3470,3.283
69,Xurkitree,1.42331,4064,1.605,1908,1.805
70,Politoed,1.19687,4353,1.719,1963,1.857
71,Umbreon,1.13872,5190,2.050,1788,1.692
72,Lucario-Mega,1.12865,10272,4.056,4237,4.009
73,Scizor-Mega,1.02377,6751,2.666,2740,2.593
74,Xatu,0.89520,402,0.159,142,0.134
75,Muk-Alola,0.89323,7185,2.837,2695,2.550
76,Scizor,0.88864,2875,1.135,1041,0.985
77,Pelipper,0.82492,3828,1.512,2340,2.214
78,Amoonguss,0.80461,1754,0.693,704,0.666
79,Venusaur,0.77499,2134,0.843,777,0.735
80,Hydreigon,0.76957,7930,3.132,2803,2.652
