Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Glameow,1.08892,1652,0.775,102,0.359
2,Cofagrigus,1.07630,1605,0.753,208,0.733
3,Bibarel,1.06241,1690,0.793,271,0.954
4,Slurpuff,1.05664,1578,0.740,157,0.553
5,Bulbasaur,1.04680,1573,0.738,80,0.282
6,Passimian,1.04304,1613,0.757,302,1.064
7,Machoke,1.04042,1604,0.752,303,1.067
8,Chikorita,1.03144,1665,0.781,69,0.243
9,Pelipper,1.02996,1605,0.753,223,0.785
10,Amaura,1.02830,1598,0.750,154,0.542
11,Phantump,1.02606,1602,0.751,123,0.433
12,Mimikyu,1.02488,1650,0.774,375,1.321
13,Pyroar,1.01120,1571,0.737,271,0.954
14,Necrozma,1.00911,1581,0.742,448,1.578
15,Minccino,1.00648,1653,0.775,93,0.328
16,Garchomp,1.00622,1580,0.741,439,1.546
17,Primarina,0.97557,1608,0.754,460,1.620
18,Spinarak,0.97423,1645,0.772,76,0.268
19,Morelull,0.96758,1671,0.784,137,0.482
20,Fletchinder,0.96564,1598,0.750,159,0.560
21,Murkrow,0.96329,1562,0.733,121,0.426
22,Crobat,0.96028,1594,0.748,261,0.919
23,Quilava,0.95851,1586,0.744,178,0.627
24,Skorupi,0.95602,1555,0.729,78,0.275
25,Magnemite,0.95473,1570,0.736,122,0.430
26,Totodile,0.95455,1631,0.765,164,0.578
27,Roggenrola,0.95018,1626,0.763,101,0.356
28,Carnivine,0.94799,1588,0.745,162,0.571
29,Zygarde,0.94303,1658,0.778,594,2.092
30,Bronzor,0.94277,1557,0.730,68,0.239
31,Wimpod,0.94276,1604,0.752,72,0.254
32,Nidoqueen,0.94053,1568,0.735,344,1.211
33,Wailord,0.93988,1591,0.746,255,0.898
34,Tangrowth,0.93655,1621,0.760,230,0.810
35,Heatran,0.93380,1557,0.730,408,1.437
36,Jangmo-o,0.93325,1583,0.743,149,0.525
37,Cryogonal,0.93303,1581,0.742,200,0.704
38,Vullaby,0.93219,1624,0.762,94,0.331
39,Togepi,0.92729,1604,0.752,85,0.299
40,Watchog,0.92579,1595,0.748,185,0.652
41,Fomantis,0.92471,1575,0.739,98,0.345
42,Diancie,0.92097,1589,0.745,265,0.933
43,Mismagius,0.92066,1585,0.743,260,0.916
44,Kangaskhan,0.92033,1619,0.759,314,1.106
45,Floatzel,0.91890,1564,0.734,266,0.937
46,Swanna,0.91873,1678,0.787,319,1.123
47,Snorlax,0.91838,1589,0.745,398,1.402
48,Tyrogue,0.91764,1592,0.747,87,0.306
49,Samurott,0.91590,1651,0.774,326,1.148
50,Staravia,0.91356,1632,0.765,136,0.479
51,Eelektross,0.91256,1640,0.769,439,1.546
52,Dartrix,0.91095,1658,0.778,154,0.542
53,Bronzong,0.90829,1612,0.756,234,0.824
54,Deoxys,0.90790,1618,0.759,401,1.412
55,Zoroark,0.90634,1600,0.750,351,1.236
56,Conkeldurr,0.90598,1655,0.776,482,1.697
57,Torchic,0.90440,1648,0.773,102,0.359
58,Octillery,0.90386,1580,0.741,296,1.042
59,Froakie,0.90380,1612,0.756,124,0.437
60,Staryu,0.90236,1637,0.768,128,0.451
61,Ekans,0.90231,1675,0.786,86,0.303
62,Rowlet,0.90142,1551,0.727,88,0.310
63,Kingdra,0.90098,1580,0.741,357,1.257
64,Shuckle,0.89948,1646,0.772,168,0.592
65,Absol,0.89851,1560,0.732,278,0.979
66,Druddigon,0.89747,1534,0.720,375,1.321
67,Liepard,0.89693,1617,0.758,205,0.722
68,Jirachi,0.89665,1587,0.744,389,1.370
69,Electabuzz,0.89660,1616,0.758,240,0.845
70,Mudkip,0.89627,1635,0.767,102,0.359
71,NidoranF,0.89608,1602,0.751,61,0.215
72,Tropius,0.89048,1664,0.781,200,0.704
73,Nuzleaf,0.88951,1590,0.746,121,0.426
74,Golisopod,0.88887,1558,0.731,409,1.440
75,Cyndaquil,0.88818,1638,0.768,136,0.479
76,Hawlucha,0.88812,1586,0.744,347,1.222
77,Snover,0.88792,1642,0.770,154,0.542
78,Chimecho,0.88606,1694,0.795,105,0.370
79,Palpitoad,0.88554,1542,0.723,166,0.585
80,Altaria,0.88512,1557,0.730,257,0.905
81,Araquanid,0.88440,1755,0.823,325,1.145
82,Tepig,0.88364,1523,0.714,99,0.349
83,Braviary,0.88288,1548,0.726,352,1.240
84,Magcargo,0.88255,1576,0.739,206,0.725
85,Mewtwo,0.88050,1658,0.778,521,1.835
86,Tapu-Bulu,0.87819,1586,0.744,369,1.299
87,Giratina,0.87775,1595,0.748,424,1.493
88,Rockruff,0.87705,1623,0.761,111,0.391
89,Serperior,0.87494,1533,0.719,230,0.810
90,Cinccino,0.87393,1581,0.742,207,0.729
91,Cacnea,0.87371,1613,0.757,128,0.451
92,Smoochum,0.87365,1570,0.736,89,0.313
93,Weezing,0.87362,1629,0.764,189,0.666
94,Sentret,0.87287,1619,0.759,71,0.250
95,Cubchoo,0.87283,1586,0.744,131,0.461
96,Frogadier,0.87188,1664,0.781,273,0.961
97,Boldore,0.87115,1613,0.757,170,0.599
98,Relicanth,0.87100,1550,0.727,209,0.736
99,Slakoth,0.86895,1511,0.709,67,0.236
100,Lombre,0.86883,1533,0.719,168,0.592
101,Luxray,0.86853,1671,0.784,322,1.134
102,Camerupt,0.86698,1553,0.728,303,1.067
103,Wooper,0.86675,1586,0.744,105,0.370
104,Corsola,0.86673,1573,0.738,119,0.419
105,Breloom,0.86660,1600,0.750,309,1.088
106,Aegislash,0.86642,1627,0.763,364,1.282
107,Phione,0.86634,1636,0.767,185,0.652
108,Landorus,0.86609,1605,0.753,424,1.493
109,Cutiefly,0.86459,1543,0.724,118,0.416
110,Tapu-Fini,0.86402,1612,0.756,378,1.331
111,Voltorb,0.86271,1568,0.735,86,0.303
112,Arbok,0.86252,1585,0.743,243,0.856
113,Houndour,0.86113,1582,0.742,131,0.461
114,Hoopa,0.86031,1625,0.762,335,1.180
115,Pansage,0.86012,1606,0.753,87,0.306
116,Delibird,0.85969,1632,0.765,153,0.539
117,Flaaffy,0.85962,1638,0.768,173,0.609
118,Metagross,0.85938,1591,0.746,429,1.511
119,Pinsir,0.85779,1535,0.720,222,0.782
120,Xerneas,0.85770,1627,0.763,445,1.567
121,Yamask,0.85764,1542,0.723,78,0.275
122,Shellder,0.85711,1598,0.750,111,0.391
123,Dewott,0.85625,1652,0.775,187,0.659
124,Riolu,0.85532,1640,0.769,186,0.655
125,Braixen,0.85502,1605,0.753,149,0.525
126,Lickilicky,0.85476,1603,0.752,281,0.990
127,Shuppet,0.85187,1588,0.745,103,0.363
128,Lucario,0.85183,1504,0.705,407,1.433
129,Cranidos,0.85046,1560,0.732,214,0.754
130,Manectric,0.85044,1501,0.704,229,0.806
131,Minun,0.85019,1573,0.738,121,0.426
132,Uxie,0.84973,1652,0.775,244,0.859
133,Squirtle,0.84957,1559,0.731,112,0.394
134,Zangoose,0.84942,1608,0.754,311,1.095
135,Sunflora,0.84934,1665,0.781,131,0.461
136,Gyarados,0.84887,1613,0.757,393,1.384
137,Porygon2,0.84843,1589,0.745,283,0.997
