Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Landorus-Therian,39.90519,41697,10.721,0,0.000
2,Marshadow,31.53579,27288,7.016,0,0.000
3,Tapu-Fini,31.33590,29241,7.518,0,0.000
4,Heatran,20.73578,20045,5.154,0,0.000
5,Tapu-Lele,20.60443,33653,8.653,0,0.000
6,Tapu-Koko,20.56835,49012,12.601,0,0.000
7,Zapdos,19.08916,22475,5.779,0,0.000
8,Salamence-Mega,19.01001,15317,3.938,0,0.000
9,Aegislash,15.33771,21667,5.571,0,0.000
10,Tapu-Bulu,14.96706,16039,4.124,0,0.000
11,Amoonguss,14.16041,15675,4.030,0,0.000
12,Pelipper,12.82917,26002,6.685,0,0.000
13,Hoopa-Unbound,12.75983,9988,2.568,0,0.000
14,Tyranitar,12.04748,18904,4.860,0,0.000
15,Charizard-Mega-Y,11.71324,32282,8.300,0,0.000
16,Ferrothorn,11.33889,22359,5.749,0,0.000
17,Volcanion,11.33283,11584,2.978,0,0.000
18,Scrafty,10.77933,9790,2.517,0,0.000
19,Gardevoir-Mega,10.34628,13310,3.422,0,0.000
20,Metagross-Mega,9.97352,11557,2.971,0,0.000
21,Kingdra,9.23998,16897,4.344,0,0.000
22,Celesteela,8.93061,27448,7.057,0,0.000
23,Diancie,8.53898,7643,1.965,0,0.000
24,Deoxys-Attack,7.79151,9134,2.348,0,0.000
25,Kyurem-Black,7.58538,6815,1.752,0,0.000
26,Bronzong,7.51970,8214,2.112,0,0.000
27,Swampert-Mega,6.41050,16932,4.353,0,0.000
28,Genesect,6.21027,6938,1.784,0,0.000
29,Zygarde,5.85629,7643,1.965,0,0.000
30,Snorlax,5.63193,23958,6.160,0,0.000
31,Excadrill,5.62567,13463,3.461,0,0.000
32,Mawile-Mega,5.61582,10472,2.692,0,0.000
33,Kartana,4.98126,19503,5.014,0,0.000
34,Thundurus,4.67192,4994,1.284,0,0.000
35,Porygon2,4.63164,18053,4.642,0,0.000
36,Politoed,4.60956,15681,4.032,0,0.000
37,Gigalith,4.29166,9215,2.369,0,0.000
38,Ninetales-Alola,4.10146,21997,5.656,0,0.000
39,Gengar-Mega,3.70643,9155,2.354,0,0.000
40,Raichu,3.67143,7120,1.831,0,0.000
41,Suicune,3.61662,6139,1.578,0,0.000
42,Thundurus-Therian,3.61033,8305,2.135,0,0.000
43,Meloetta,3.47516,1388,0.357,0,0.000
44,Abomasnow-Mega,3.31615,6718,1.727,0,0.000
45,Shaymin-Sky,3.31217,3262,0.839,0,0.000
46,Ludicolo,3.29620,9429,2.424,0,0.000
47,Blastoise-Mega,3.21302,6118,1.573,0,0.000
48,Lopunny-Mega,3.19737,9652,2.482,0,0.000
49,Victini,3.10451,6553,1.685,0,0.000
50,Gyarados-Mega,2.68750,7202,1.852,0,0.000
51,Tyranitar-Mega,2.60375,9826,2.526,0,0.000
52,Aerodactyl,2.58136,3920,1.008,0,0.000
53,Hippowdon,2.56783,4405,1.133,0,0.000
54,Milotic,2.45309,16669,4.286,0,0.000
55,Camerupt-Mega,2.34204,8773,2.256,0,0.000
56,Volcarona,2.28387,22088,5.679,0,0.000
57,Mew,2.22347,8429,2.167,0,0.000
58,Scizor-Mega,2.21024,6464,1.662,0,0.000
59,Arcanine,2.19365,36738,9.446,0,0.000
60,Landorus,1.93750,2425,0.623,0,0.000
61,Rotom-Wash,1.91278,13178,3.388,0,0.000
62,Mimikyu,1.81258,22718,5.841,0,0.000
63,Marowak-Alola,1.80661,21215,5.455,0,0.000
64,Pheromosa,1.76599,8184,2.104,0,0.000
65,Garchomp,1.76255,32918,8.464,0,0.000
66,Cresselia,1.75307,11528,2.964,0,0.000
67,Nihilego,1.71286,6885,1.770,0,0.000
68,Whimsicott,1.69392,15508,3.987,0,0.000
69,Oranguru,1.55605,22112,5.685,0,0.000
70,Weavile,1.44109,15591,4.009,0,0.000
71,Terrakion,1.42941,6914,1.778,0,0.000
72,Gastrodon,1.42923,16649,4.281,0,0.000
73,Smeargle,1.40332,11873,3.053,0,0.000
74,Latios,1.30210,4906,1.261,0,0.000
75,Gyarados,1.16965,10389,2.671,0,0.000
76,Venusaur,1.16200,8659,2.226,0,0.000
77,Raichu-Alola,1.11842,9127,2.347,0,0.000
78,Bisharp,1.11334,7186,1.848,0,0.000
79,Sylveon,1.09487,13295,3.418,0,0.000
80,Greninja,1.08439,15766,4.054,0,0.000
81,Rotom-Heat,1.06754,2721,0.700,0,0.000
82,Togekiss,1.05272,15704,4.038,0,0.000
83,Lycanroc,1.03007,2921,0.751,0,0.000
84,Aerodactyl-Mega,1.00809,5547,1.426,0,0.000
85,Araquanid,0.99117,9334,2.400,0,0.000
86,Hariyama,0.98528,3922,1.008,0,0.000
87,Hitmontop,0.97796,5182,1.332,0,0.000
88,Torkoal,0.91602,11954,3.073,0,0.000
89,Muk-Alola,0.89356,16144,4.151,0,0.000
90,Omastar,0.85251,1415,0.364,0,0.000
91,Xurkitree,0.81449,6483,1.667,0,0.000
92,Manectric-Mega,0.79248,6230,1.602,0,0.000
93,Hydreigon,0.78323,5236,1.346,0,0.000
94,Murkrow,0.77171,2250,0.578,0,0.000
95,Blaziken,0.74719,5254,1.351,0,0.000
96,Scizor,0.69073,5148,1.324,0,0.000
97,Porygon-Z,0.68500,8276,2.128,0,0.000
98,Gothitelle,0.67329,3807,0.979,0,0.000
99,Venusaur-Mega,0.64090,13521,3.476,0,0.000
100,Salamence,0.58243,6135,1.577,0,0.000
101,Chandelure,0.57908,8485,2.182,0,0.000
102,Clefairy,0.56711,2781,0.715,0,0.000
103,Greninja-Ash,0.54881,17080,4.391,0,0.000
104,Sceptile-Mega,0.47307,16656,4.282,0,0.000
105,Dhelmise,0.45680,2856,0.734,0,0.000
106,Kyurem,0.45244,618,0.159,0,0.000
107,Conkeldurr,0.44666,5455,1.403,0,0.000
108,Cradily,0.44202,7627,1.961,0,0.000
109,Goodra,0.42526,8156,2.097,0,0.000
110,Charizard-Mega-X,0.42211,9375,2.410,0,0.000
111,Buzzwole,0.41282,3269,0.840,0,0.000
112,Tsareena,0.37194,3442,0.885,0,0.000
113,Drampa,0.37171,5078,1.306,0,0.000
114,Rhydon,0.36305,1669,0.429,0,0.000
115,Heracross-Mega,0.35127,4504,1.158,0,0.000
116,Dusclops,0.33690,5800,1.491,0,0.000
117,Clefable,0.33090,13168,3.386,0,0.000
118,Breloom,0.32096,7341,1.887,0,0.000
119,Rhyperior,0.31860,3657,0.940,0,0.000
120,Alakazam-Mega,0.31317,7091,1.823,0,0.000
121,Serperior,0.30546,10729,2.759,0,0.000
122,Noivern,0.29923,4186,1.076,0,0.000
123,Regigigas,0.29110,2925,0.752,0,0.000
124,Slowbro-Mega,0.27804,4396,1.130,0,0.000
125,Azumarill,0.27448,7987,2.054,0,0.000
126,Spinda,0.27118,3294,0.847,0,0.000
127,Pikachu,0.26579,3151,0.810,0,0.000
128,Sandslash-Alola,0.25683,5350,1.376,0,0.000
129,Hawlucha,0.25516,4427,1.138,0,0.000
130,Magnezone,0.25500,5670,1.458,0,0.000
131,Incineroar,0.25054,3155,0.811,0,0.000
132,Banette-Mega,0.24237,4149,1.067,0,0.000
133,Krookodile,0.23733,6779,1.743,0,0.000
134,Persian-Alola,0.23419,2817,0.724,0,0.000
135,Blaziken-Mega,0.23216,4839,1.244,0,0.000
136,Jolteon,0.22891,9130,2.347,0,0.000
137,Vikavolt,0.22564,4285,1.102,0,0.000
138,Virizion,0.22422,429,0.110,0,0.000
139,Keldeo,0.22322,2693,0.692,0,0.000
140,Infernape,0.22007,8520,2.191,0,0.000
141,Metagross,0.21666,7887,2.028,0,0.000
142,Crobat,0.21609,6895,1.773,0,0.000
143,Exeggutor-Alola,0.21154,3736,0.961,0,0.000
144,Escavalier,0.20763,1690,0.435,0,0.000
145,Shuckle,0.20736,7732,1.988,0,0.000
146,Talonflame,0.20664,6831,1.756,0,0.000
147,Beedrill-Mega,0.20147,5370,1.381,0,0.000
148,Camerupt,0.19977,1135,0.292,0,0.000
149,Klefki,0.19094,4484,1.153,0,0.000
150,Cofagrigus,0.18992,6101,1.569,0,0.000
151,Slowbro,0.18559,5352,1.376,0,0.000
152,Mandibuzz,0.18378,2395,0.616,0,0.000
153,Mudsdale,0.17898,3261,0.838,0,0.000
154,Ninetales,0.17760,10113,2.600,0,0.000
155,Primarina,0.17741,4791,1.232,0,0.000
156,Medicham-Mega,0.17618,4989,1.283,0,0.000
157,Slowking,0.17474,2503,0.644,0,0.000
158,Gallade-Mega,0.17287,5225,1.343,0,0.000
159,Mamoswine,0.16729,4634,1.191,0,0.000
160,Manaphy,0.16500,2537,0.652,0,0.000
161,Aromatisse,0.16278,3377,0.868,0,0.000
162,Crawdaunt,0.15513,2958,0.761,0,0.000
163,Gengar,0.15352,9140,2.350,0,0.000
164,Lilligant,0.15057,6362,1.636,0,0.000
165,Wishiwashi,0.15056,2910,0.748,0,0.000
166,Deoxys-Speed,0.14425,736,0.189,0,0.000
167,Jellicent,0.14263,2230,0.573,0,0.000
168,Latias,0.13440,3108,0.799,0,0.000
169,Toxapex,0.13385,9747,2.506,0,0.000
170,Heliolisk,0.13197,6529,1.679,0,0.000
171,Garchomp-Mega,0.12878,8411,2.163,0,0.000
172,Tornadus,0.12439,1261,0.324,0,0.000
173,Ribombee,0.12424,5248,1.349,0,0.000
174,Kommo-o,0.12401,3111,0.800,0,0.000
175,Absol,0.12378,1321,0.340,0,0.000
176,Cloyster,0.12005,5330,1.370,0,0.000
177,Abomasnow,0.11910,798,0.205,0,0.000
178,Braviary,0.11778,1313,0.338,0,0.000
179,Regice,0.11649,870,0.224,0,0.000
180,Dragonite,0.10881,10099,2.597,0,0.000
181,Reuniclus,0.10677,3696,0.950,0,0.000
182,Parasect,0.10609,1262,0.324,0,0.000
183,Darmanitan,0.10565,3257,0.837,0,0.000
184,Salazzle,0.10392,6109,1.571,0,0.000
185,Chansey,0.10235,6415,1.649,0,0.000
186,Dugtrio,0.10163,2789,0.717,0,0.000
187,Sableye,0.10015,5284,1.359,0,0.000
188,Shiftry,0.09711,1564,0.402,0,0.000
189,Houndoom-Mega,0.09668,3547,0.912,0,0.000
190,Gallade,0.09596,2802,0.720,0,0.000
191,Oricorio-Pom-Pom,0.08977,6810,1.751,0,0.000
192,Comfey,0.08875,9268,2.383,0,0.000
193,Lapras,0.08681,5480,1.409,0,0.000
194,Raikou,0.08553,1821,0.468,0,0.000
195,Typhlosion,0.08181,6541,1.682,0,0.000
196,Skarmory,0.08158,4918,1.264,0,0.000
197,Umbreon,0.08088,5935,1.526,0,0.000
198,Staraptor,0.08001,4844,1.245,0,0.000
199,Sableye-Mega,0.07736,4703,1.209,0,0.000
200,Rampardos,0.07734,3026,0.778,0,0.000
201,Tangrowth,0.07646,2756,0.709,0,0.000
202,Blastoise,0.07637,4544,1.168,0,0.000
203,Avalugg,0.07605,949,0.244,0,0.000
204,Pachirisu,0.07280,3993,1.027,0,0.000
205,Mienshao,0.06987,1995,0.513,0,0.000
206,Minior,0.06949,1797,0.462,0,0.000
207,Toxicroak,0.06917,3345,0.860,0,0.000
208,Charjabug,0.06887,1506,0.387,0,0.000
209,Audino-Mega,0.06860,6835,1.757,0,0.000
210,Crabominable,0.06855,2050,0.527,0,0.000
211,Aggron,0.06816,3440,0.884,0,0.000
212,Stoutland,0.06572,2034,0.523,0,0.000
213,Golduck,0.06556,2531,0.651,0,0.000
214,Electivire,0.06471,6875,1.768,0,0.000
215,Eelektross,0.06400,4732,1.217,0,0.000
