Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Joltik,1.12177,669,0.766,496,0.773
2,Emboar,1.10237,702,0.804,516,0.804
3,Ariados,1.09215,644,0.737,451,0.703
4,Grubbin,1.07724,662,0.758,492,0.767
5,Tirtouga,1.07373,648,0.742,464,0.723
6,Gallade,1.02940,692,0.792,519,0.809
7,Salandit,1.02428,667,0.764,501,0.781
8,Zekrom,1.02307,666,0.763,490,0.764
9,Ho-Oh,1.02027,713,0.816,539,0.840
10,Quilladin,1.01415,634,0.726,464,0.723
11,Druddigon,1.00799,665,0.761,513,0.800
12,Ninjask,1.00134,669,0.766,489,0.762
13,Flygon,0.99192,636,0.728,459,0.716
14,Froslass,0.99090,671,0.768,493,0.769
15,Hoothoot,0.98999,628,0.719,455,0.709
16,Luxio,0.98962,632,0.724,461,0.719
17,Empoleon,0.97790,694,0.795,526,0.820
18,Larvesta,0.97640,693,0.793,473,0.737
19,Liepard,0.97530,656,0.751,497,0.775
20,Feraligatr,0.96249,651,0.745,479,0.747
21,Scolipede,0.95924,649,0.743,503,0.784
22,Lickitung,0.95809,660,0.756,505,0.787
23,Klang,0.95716,651,0.745,504,0.786
24,Snorlax,0.95543,653,0.748,493,0.769
25,Cosmog,0.95535,675,0.773,496,0.773
26,Samurott,0.95081,632,0.724,475,0.740
27,Boldore,0.95006,681,0.780,508,0.792
28,Probopass,0.94542,710,0.813,524,0.817
29,Squirtle,0.94448,680,0.779,506,0.789
30,Kyogre,0.94352,687,0.787,514,0.801
31,Raikou,0.94351,678,0.776,517,0.806
32,Galvantula,0.94156,618,0.708,464,0.723
33,Yamask,0.94124,679,0.777,502,0.783
34,Cresselia,0.94048,679,0.777,482,0.751
35,Flaaffy,0.93811,665,0.761,486,0.758
36,Minior,0.93753,673,0.771,487,0.759
37,Floatzel,0.93643,666,0.763,504,0.786
38,Ditto,0.93569,640,0.733,485,0.756
39,Kricketune,0.93567,651,0.745,491,0.765
40,Hitmonchan,0.93417,699,0.800,511,0.797
41,Roggenrola,0.93324,636,0.728,455,0.709
42,Carbink,0.93017,690,0.790,503,0.784
43,Pyroar,0.92999,687,0.787,531,0.828
44,Scrafty,0.92977,665,0.761,482,0.751
45,Luxray,0.92964,643,0.736,473,0.737
46,Clamperl,0.92928,663,0.759,472,0.736
47,Paras,0.92840,639,0.732,457,0.712
48,Glaceon,0.92443,708,0.811,504,0.786
49,Pansage,0.92175,656,0.751,476,0.742
50,Camerupt,0.92116,679,0.777,510,0.795
51,Lunala,0.92013,657,0.752,476,0.742
52,Jumpluff,0.92011,644,0.737,475,0.740
53,Monferno,0.91941,662,0.758,482,0.751
54,Marill,0.91657,694,0.795,504,0.786
55,Chikorita,0.91187,627,0.718,447,0.697
56,Gengar,0.91136,650,0.744,500,0.779
57,Tentacool,0.90913,669,0.766,503,0.784
58,Shelgon,0.90886,670,0.767,485,0.756
59,Sigilyph,0.90882,652,0.746,464,0.723
60,Treecko,0.90615,645,0.738,485,0.756
61,Gothitelle,0.90602,724,0.829,515,0.803
62,Honedge,0.90510,661,0.757,513,0.800
63,Honchkrow,0.90266,691,0.791,483,0.753
64,Beartic,0.90135,694,0.795,507,0.790
65,Duosion,0.90073,648,0.742,470,0.733
66,Morelull,0.90060,643,0.736,475,0.740
67,Finneon,0.89751,647,0.741,463,0.722
68,Gastly,0.89573,636,0.728,468,0.730
69,Koffing,0.89549,632,0.724,485,0.756
70,Dusknoir,0.89545,626,0.717,470,0.733
71,Gothita,0.89480,685,0.784,480,0.748
72,Meowstic,0.89445,702,0.804,506,0.789
73,Shaymin,0.89386,672,0.769,470,0.733
74,Eelektross,0.89381,657,0.752,450,0.701
75,Mankey,0.89368,661,0.757,468,0.730
76,Shellder,0.89340,649,0.743,478,0.745
77,Tranquill,0.89173,661,0.757,487,0.759
78,Parasect,0.88765,655,0.750,469,0.731
79,Sudowoodo,0.88750,662,0.758,499,0.778
80,Klefki,0.88683,621,0.711,485,0.756
81,Metapod,0.88654,651,0.745,494,0.770
82,Breloom,0.88463,637,0.729,457,0.712
83,Fomantis,0.88364,692,0.792,518,0.807
