Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Steelix,33.77884,55468,15.746,48930,17.763
2,Drapion,21.89888,37200,10.560,29792,10.816
3,Rotom-Mow,20.17143,23076,6.551,19254,6.990
4,Virizion,16.60632,23672,6.720,18171,6.597
5,Emboar,16.44459,25192,7.151,19458,7.064
6,Meloetta,16.00539,24796,7.039,18749,6.807
7,Golbat,14.67634,21223,6.025,17226,6.254
8,Slowbro,14.59533,30185,8.569,24052,8.732
9,Sneasel,12.84178,21923,6.223,16461,5.976
10,Hitmonlee,11.25426,32883,9.334,24584,8.925
11,Whimsicott,10.74674,17076,4.847,13898,5.045
12,Garbodor,10.66680,21121,5.996,18044,6.551
13,Spiritomb,10.58126,9797,2.781,7895,2.866
14,Rhydon,10.50441,13019,3.696,10948,3.975
15,Machamp,10.27273,30300,8.601,24136,8.762
16,Sceptile,10.08353,22078,6.267,16549,6.008
17,Incineroar,9.72210,15635,4.438,12756,4.631
18,Xatu,9.36845,19574,5.556,15758,5.721
19,Braviary,8.95761,21625,6.139,16568,6.015
20,Slowking,8.78084,20677,5.870,16153,5.864
21,Cofagrigus,8.25533,18077,5.132,14383,5.222
22,Omastar,7.90395,12324,3.498,10337,3.753
23,Delphox,7.81334,26014,7.385,19222,6.978
24,Vaporeon,7.57573,16428,4.663,12760,4.632
25,Seismitoad,7.34901,15495,4.399,13592,4.934
26,Sandslash-Alola,7.25679,10687,3.034,8562,3.108
27,Sigilyph,6.64114,13522,3.838,10309,3.743
28,Aurorus,6.53283,9238,2.622,8116,2.946
29,Cryogonal,6.26521,15141,4.298,11551,4.193
30,Jellicent,6.25914,17092,4.852,13715,4.979
31,Sawk,6.12015,6487,1.841,4912,1.783
32,Mismagius,5.93288,22104,6.275,16660,6.048
33,Turtonator,5.75089,6986,1.983,5356,1.944
34,Druddigon,5.24127,16175,4.592,14220,5.162
35,Raticate-Alola,5.03130,1701,0.483,1291,0.469
36,Uxie,4.98438,13870,3.937,12336,4.478
37,Mesprit,4.85058,8708,2.472,7227,2.624
38,Barbaracle,4.64535,9342,2.652,6558,2.381
39,Hitmontop,4.54630,26035,7.391,21325,7.742
40,Vileplume,4.41253,9305,2.641,7448,2.704
41,Houndoom,4.20123,16823,4.776,12597,4.573
42,Vivillon,3.89318,10658,3.025,7987,2.900
43,Vikavolt,3.62089,14490,4.113,11253,4.085
44,Qwilfish,3.54741,9562,2.714,8429,3.060
45,Oricorio,3.50576,1023,0.290,793,0.288
46,Guzzlord,3.47826,10274,2.916,7773,2.822
47,Malamar,3.38834,17865,5.071,14131,5.130
48,Gallade,3.36384,14226,4.038,10520,3.819
