Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Typhlosion,22.68033,23857,11.998,18341,11.560
2,Scyther,21.31999,30657,15.417,23821,15.013
3,Qwilfish,20.33882,16661,8.379,14607,9.206
4,Mesprit,16.34288,24065,12.102,20896,13.170
5,Hariyama,16.14218,10134,5.096,8624,5.435
6,Hitmonchan,15.62984,31214,15.697,25367,15.988
7,Probopass,13.81094,4876,2.452,4323,2.725
8,Audino,13.17404,6452,3.245,5082,3.203
9,Sawk,12.39781,9923,4.990,7688,4.845
10,Vileplume,12.20248,9071,4.562,7423,4.678
11,Klinklang,11.21194,9172,4.613,7071,4.457
12,Kangaskhan,10.34657,7025,3.533,5739,3.617
13,Lanturn,9.60234,12934,6.504,10670,6.725
14,Granbull,9.47047,9004,4.528,7324,4.616
15,Malamar,9.20422,18808,9.458,14879,9.378
16,Gallade,8.98696,22740,11.436,17586,11.084
17,Piloswine,8.92328,16964,8.531,14841,9.354
18,Samurott,8.53493,4934,2.481,3716,2.342
19,Lurantis,8.50940,6264,3.150,4943,3.115
20,Raichu-Alola,8.33007,15490,7.790,11787,7.429
21,Liepard,8.13512,8694,4.372,6941,4.375
22,Togetic,8.10120,18249,9.177,14320,9.025
23,Skuntank,7.53968,12817,6.446,10449,6.586
24,Sandslash-Alola,7.23486,13151,6.614,10873,6.853
25,Quagsire,6.89127,9549,4.802,7823,4.931
26,Misdreavus,6.70941,4269,2.147,3432,2.163
27,Gurdurr,6.65751,9857,4.957,8178,5.154
28,Aurorus,6.31937,10222,5.141,9476,5.972
29,Sableye,6.15487,12645,6.359,10542,6.644
30,Haunter,6.04198,19613,9.863,14768,9.308
31,Lilligant,5.53818,8095,4.071,5716,3.603
32,Aggron,5.35379,12960,6.518,10256,6.464
33,Guzzlord,5.26382,10572,5.317,8372,5.277
34,Pawniard,4.92977,9780,4.918,7381,4.652
35,Silvally-Ghost,4.75217,5915,2.975,4811,3.032
36,Ferroseed,4.62180,9936,4.997,9002,5.674
37,Charizard,4.53882,8712,4.381,6958,4.385
38,Golurk,4.36222,10494,5.277,8768,5.526
39,Monferno,4.11220,5528,2.780,4552,2.869
40,Lycanroc,4.06569,9566,4.811,8063,5.082
41,Tangela,3.92511,6811,3.425,5371,3.385
42,Golem,3.90712,5127,2.578,4559,2.873
43,Turtonator,3.88733,7532,3.788,5883,3.708
44,Swanna,3.76101,4427,2.226,3582,2.258
