Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Registeel,31.75540,12469,11.725,11165,13.510
2,Gligar,30.46266,15781,14.840,12885,15.592
3,Doublade,26.93798,18544,17.438,14812,17.923
4,Heracross,23.43058,20075,18.878,14768,17.870
5,Umbreon,18.92908,10481,9.856,8083,9.781
6,Flygon,18.83353,14087,13.247,10336,12.507
7,Chesnaught,17.86612,9751,9.169,7950,9.620
8,Mantine,15.83183,10729,10.089,8725,10.558
9,Comfey,14.75619,7860,7.391,5739,6.944
10,Feraligatr,14.57775,13735,12.916,10135,12.264
11,Salazzle,14.22606,16594,15.604,12412,15.019
12,Linoone,12.44918,6984,6.567,4731,5.725
13,Gardevoir,11.92602,10331,9.715,7741,9.367
14,Zoroark,11.13824,9633,9.059,4051,4.902
15,Cresselia,11.06629,7538,7.088,5624,6.805
16,Sharpedo,11.01758,9354,8.796,6880,8.325
17,Swellow,10.77140,12133,11.409,9136,11.055
18,Dragalge,10.65948,7253,6.820,5648,6.834
19,Shaymin,10.25192,9835,9.248,7247,8.769
20,Gigalith,10.16328,6153,5.786,5574,6.745
21,Donphan,9.94871,17947,16.877,15223,18.421
22,Espeon,9.91164,13921,13.091,10209,12.353
23,Reuniclus,9.08675,7157,6.730,5353,6.477
24,Bewear,8.75008,8839,8.312,6823,8.256
25,Rhyperior,8.49091,7067,6.646,5911,7.153
26,Roserade,7.65557,8480,7.974,6589,7.973
27,Quagsire,7.39950,2046,1.924,1630,1.972
28,Escavalier,7.29448,7010,6.592,5822,7.045
29,Sandslash-Alola,7.19938,3784,3.558,3303,3.997
30,Aurorus,6.97943,3746,3.523,3593,4.348
31,Milotic,6.95441,8146,7.660,6520,7.890
32,Kommo-o,6.69764,8140,7.655,6140,7.430
33,Rotom-Heat,6.36381,11008,10.352,9271,11.218
34,Snorlax,6.04763,8408,7.907,6350,7.684
35,Moltres,5.98561,3441,3.236,2749,3.326
36,Pangoro,5.85137,5754,5.411,4581,5.543
37,Stoutland,5.83914,2225,2.092,1623,1.964
38,Cloyster,5.47968,11161,10.495,8216,9.942
39,Bronzong,5.13134,9867,9.279,8647,10.463
40,Florges,5.02805,7621,7.167,5627,6.809
41,Durant,5.00034,6178,5.810,4688,5.673
42,Honchkrow,4.80705,7051,6.630,5259,6.364
43,Diancie,4.61717,6900,6.488,5715,6.915
44,Glalie-Mega,4.59514,8412,7.910,6143,7.433
45,Galvantula,4.47709,8656,8.140,7638,9.242
