Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Mawile-Mega,31.73010,180,8.946,121,8.230
2,Landorus-Therian,31.26429,294,14.612,245,16.665
3,Marowak-Alola,30.56460,225,11.183,164,11.155
4,Greninja-Ash,30.55405,316,15.706,217,14.760
5,Tapu-Fini,27.18268,155,7.704,127,8.638
6,Zygarde,25.61490,121,6.014,67,4.557
7,Tangrowth,24.79194,104,5.169,79,5.374
8,Snorlax,22.24988,133,6.610,89,6.054
9,Malamar,18.82244,103,5.119,64,4.353
10,Shedinja,16.92788,114,5.666,87,5.918
11,Manectric-Mega,16.47130,61,3.032,47,3.197
12,Tapu-Lele,16.43175,347,17.247,229,15.576
13,Kartana,15.39194,230,11.431,159,10.815
14,Keldeo,13.63257,98,4.871,67,4.557
15,Magearna,12.48041,171,8.499,131,8.911
16,Pinsir-Mega,11.67227,222,11.034,144,9.795
17,Porygon-Z,10.39848,121,6.014,71,4.829
18,Diggersby,9.53371,99,4.920,73,4.965
19,Serperior,9.43921,207,10.288,145,9.863
20,Zapdos,9.06168,164,8.151,126,8.570
21,Celesteela,8.62379,235,11.680,174,11.835
22,Chansey,7.96896,179,8.897,128,8.706
23,Mimikyu,7.85982,172,8.549,120,8.162
24,Jirachi,7.78236,256,12.724,212,14.420
25,Suicune,6.99715,37,1.839,28,1.905
26,Tapu-Koko,6.60409,298,14.811,222,15.100
27,Heatran,6.28522,130,6.461,99,6.734
28,Rhyperior,5.70022,53,2.634,28,1.905
29,Galvantula,5.29703,61,3.032,55,3.741
30,Thundurus,5.10156,122,6.064,95,6.462
31,Porygon2,4.98730,86,4.274,64,4.353
32,Primarina,4.81497,55,2.734,35,2.381
33,Diancie,4.78885,50,2.485,49,3.333
34,Ferrothorn,4.63824,134,6.660,121,8.230
35,Toxapex,4.50123,120,5.964,94,6.394
36,Garchomp,3.95720,245,12.177,190,12.924
37,Venusaur-Mega,3.86866,43,2.137,31,2.109
38,Quagsire,3.84285,21,1.044,15,1.020
39,Buzzwole,3.78910,52,2.584,44,2.993
40,Marshadow,3.53645,36,1.789,23,1.564
41,Muk-Alola,3.33739,26,1.292,21,1.428
42,Kyurem-Black,3.23642,106,5.268,68,4.625
43,Tapu-Bulu,3.18863,72,3.579,52,3.537
44,Nihilego,3.14961,84,4.175,61,4.149
45,Aerodactyl-Mega,3.09653,65,3.231,45,3.061
46,Amoonguss,3.03544,53,2.634,33,2.245
47,Terrakion,3.03036,26,1.292,15,1.020
48,Excadrill,2.65375,93,4.622,62,4.217
49,Lopunny-Mega,2.62619,84,4.175,63,4.285
50,Tyranitar,2.44842,123,6.113,93,6.326
51,Rotom-Wash,2.32956,69,3.429,53,3.605
52,Sableye-Mega,2.28549,70,3.479,61,4.149
53,Greninja,2.26930,263,13.072,198,13.468
54,Accelgor,2.12796,73,3.628,66,4.489
55,Scizor-Mega,2.09265,95,4.722,76,5.169
56,Sceptile-Mega,2.08646,162,8.052,121,8.230
57,Persian-Alola,1.95927,9,0.447,8,0.544
58,Beedrill-Mega,1.84266,42,2.087,35,2.381
59,Medicham-Mega,1.83561,47,2.336,33,2.245
60,Slowbro,1.80445,64,3.181,45,3.061
61,Victini,1.71383,21,1.044,15,1.020
62,Charizard-Mega-Y,1.59753,64,3.181,40,2.721
63,Skarmory,1.58481,72,3.579,64,4.353
64,Volcanion,1.55345,45,2.237,35,2.381
65,Volcarona,1.52695,41,2.038,21,1.428
66,Tyranitar-Mega,1.52564,29,1.441,20,1.360
67,Gardevoir-Mega,1.52484,130,6.461,84,5.714
68,Golem-Alola,1.44615,79,3.926,65,4.421
69,Weavile,1.40826,49,2.435,33,2.245
70,Rotom-Heat,1.39127,26,1.292,20,1.360
71,Swampert-Mega,1.37953,55,2.734,46,3.129
72,Thundurus-Therian,1.37266,31,1.541,18,1.224
73,Shuckle,1.13239,61,3.032,52,3.537
74,Salamence,1.12482,86,4.274,63,4.285
75,Alakazam,1.10984,20,0.994,11,0.748
76,Latios,1.10328,86,4.274,59,4.013
77,Swellow,1.03191,41,2.038,31,2.109
78,Pidgeot-Mega,0.96642,69,3.429,50,3.401
79,Mantine,0.91635,103,5.119,84,5.714
80,Slowking,0.89280,6,0.298,6,0.408
81,Pelipper,0.88861,52,2.584,42,2.857
82,Cofagrigus,0.88550,13,0.646,10,0.680
83,Aerodactyl,0.88378,39,1.938,31,2.109
84,Sylveon,0.83170,45,2.237,30,2.041
85,Garchomp-Mega,0.82125,43,2.137,24,1.632
86,Magnezone,0.81356,67,3.330,57,3.877
87,Gyarados-Mega,0.80715,20,0.994,20,1.360
88,Mew,0.79398,34,1.690,24,1.632
89,Dragonite,0.79048,52,2.584,35,2.381
90,Whimsicott,0.63963,44,2.187,26,1.769
91,Klefki,0.63353,76,3.777,69,4.693
92,Azumarill,0.61425,13,0.646,11,0.748
93,Feraligatr,0.60040,18,0.895,15,1.020
94,Empoleon,0.59498,15,0.746,11,0.748
95,Togekiss,0.56524,21,1.044,14,0.952
96,Ditto,0.54994,37,1.839,32,2.177
97,Komala,0.53386,27,1.342,18,1.224
98,Kabutops,0.50832,31,1.541,23,1.564
99,Charizard-Mega-X,0.50137,72,3.579,53,3.605
100,Gengar,0.47116,54,2.684,36,2.449
101,Steelix-Mega,0.46444,5,0.249,5,0.340
102,Golurk,0.46306,2,0.099,2,0.136
103,Xurkitree,0.41857,35,1.740,31,2.109
104,Jellicent,0.40544,9,0.447,9,0.612
105,Clefable,0.39563,53,2.634,40,2.721
106,Manaphy,0.38774,9,0.447,6,0.408
107,Cloyster,0.36977,72,3.579,53,3.605
108,Camerupt-Mega,0.36493,27,1.342,22,1.496
109,Hoopa-Unbound,0.35497,39,1.938,30,2.041
110,Forretress,0.34170,17,0.845,12,0.816
111,Glalie-Mega,0.31926,16,0.795,13,0.884
112,Staraptor,0.31517,43,2.137,32,2.177
113,Drifblim,0.30937,11,0.547,10,0.680
114,Hawlucha,0.30758,19,0.944,15,1.020
115,Swoobat,0.28039,59,2.932,45,3.061
116,Swampert,0.26894,9,0.447,6,0.408
117,Bastiodon,0.26821,7,0.348,6,0.408
118,Gliscor,0.26681,26,1.292,20,1.360
119,Ursaring,0.25830,6,0.298,5,0.340
120,Doublade,0.24440,12,0.596,9,0.612
121,Comfey,0.24138,17,0.845,13,0.884
122,Gallade-Mega,0.22840,37,1.839,29,1.973
123,Mandibuzz,0.21960,7,0.348,7,0.476
124,Ninetales-Alola,0.21831,56,2.783,52,3.537
125,Mamoswine,0.21238,14,0.696,12,0.816
126,Bisharp,0.20739,49,2.435,27,1.837
127,Darmanitan,0.20201,25,1.243,18,1.224
128,Lucario,0.19349,15,0.746,11,0.748
129,Palossand,0.19348,8,0.398,6,0.408
130,Hypno,0.19348,8,0.398,7,0.476
131,Blastoise-Mega,0.19232,30,1.491,20,1.360
132,Leavanny,0.17905,7,0.348,5,0.340
133,Infernape,0.17291,47,2.336,33,2.245
134,Banette-Mega,0.16954,28,1.392,22,1.496
135,Gigalith,0.16439,8,0.398,6,0.408
136,Mudsdale,0.15152,10,0.497,8,0.544
137,Toucannon,0.14782,16,0.795,12,0.816
138,Rampardos,0.14782,24,1.193,17,1.156
139,Dhelmise,0.14264,12,0.596,5,0.340
140,Cradily,0.13956,6,0.298,3,0.204
141,Hydreigon,0.13326,16,0.795,13,0.884
142,Slowbro-Mega,0.13326,9,0.447,4,0.272
143,Scizor,0.12727,48,2.386,36,2.449
144,Aggron,0.12708,14,0.696,7,0.476
145,Vikavolt,0.12675,9,0.447,5,0.340
146,Aggron-Mega,0.11529,18,0.895,13,0.884
147,Type:-Null,0.11467,7,0.348,3,0.204
148,Yanmega,0.09955,15,0.746,12,0.816
149,Wishiwashi,0.09841,20,0.994,16,1.088
150,Slaking,0.09799,45,2.237,41,2.789
151,Leafeon,0.09517,10,0.497,8,0.544
152,Torkoal,0.09507,4,0.199,4,0.272
153,Exeggutor,0.09507,3,0.149,3,0.204
154,Espeon,0.09426,12,0.596,8,0.544
155,Gumshoos,0.08085,16,0.795,13,0.884
156,Regigigas,0.07928,21,1.044,16,1.088
157,Torterra,0.07780,3,0.149,2,0.136
158,Magikarp,0.07405,8,0.398,8,0.544
159,Minior,0.07143,11,0.547,10,0.680
160,Machamp,0.07075,11,0.547,9,0.612
161,Araquanid,0.06525,18,0.895,15,1.020
162,Armaldo,0.06525,3,0.149,3,0.204
163,Venusaur,0.06086,8,0.398,3,0.204
164,Ninetales,0.06069,9,0.447,6,0.408
165,Alakazam-Mega,0.06005,38,1.889,23,1.564
166,Azelf,0.05855,20,0.994,19,1.292
167,Slurpuff,0.05798,19,0.944,11,0.748
168,Klinklang,0.05568,8,0.398,6,0.408
169,Alomomola,0.05394,5,0.249,2,0.136
170,Furfrou,0.05125,1,0.050,1,0.068
171,Trapinch,0.05125,6,0.298,5,0.340
172,Crawdaunt,0.05108,14,0.696,14,0.952
173,Kommo-o,0.05001,13,0.646,11,0.748
174,Necrozma,0.04887,3,0.149,3,0.204
175,Talonflame,0.04770,14,0.696,10,0.680
176,Blissey,0.04396,21,1.044,17,1.156
177,Raichu-Alola,0.04330,15,0.746,11,0.748
178,Dusclops,0.04183,13,0.646,11,0.748
179,Chesnaught,0.04083,6,0.298,2,0.136
180,Heracross,0.03463,7,0.348,3,0.204
181,Avalugg,0.03438,8,0.398,6,0.408
182,Zebstrika,0.03422,3,0.149,3,0.204
183,Houndoom-Mega,0.03421,6,0.298,4,0.272
184,Tornadus-Therian,0.03364,11,0.547,8,0.544
185,Sableye,0.03229,12,0.596,8,0.544
186,Barbaracle,0.02581,5,0.249,5,0.340
187,Emolga,0.02566,2,0.099,0,0.000
188,Aurorus,0.02374,2,0.099,2,0.136
189,Lanturn,0.01924,10,0.497,8,0.544
190,Krookodile,0.01674,7,0.348,7,0.476
191,Heracross-Mega,0.01599,26,1.292,20,1.360
192,Tentacruel,0.01598,4,0.199,4,0.272
193,Mienshao,0.01555,12,0.596,6,0.408
194,Magcargo,0.01402,3,0.149,3,0.204
195,Tyrantrum,0.01257,19,0.944,17,1.156
196,Cresselia,0.01220,39,1.938,29,1.973
197,Meloetta,0.01220,5,0.249,3,0.204
198,Chandelure,0.01068,21,1.044,13,0.884
199,Latias,0.01068,10,0.497,6,0.408
200,Gyarados,0.01029,64,3.181,54,3.673
201,Kingdra,0.01026,13,0.646,7,0.476
202,Murkrow,0.00863,5,0.249,3,0.204
203,Pyukumuku,0.00743,2,0.099,1,0.068
204,Haxorus,0.00660,9,0.447,4,0.272
205,Escavalier,0.00619,4,0.199,2,0.136
206,Starmie,0.00600,12,0.596,8,0.544
207,Salazzle,0.00444,14,0.696,9,0.612
208,Decidueye,0.00432,17,0.845,15,1.020
209,Heatmor,0.00432,1,0.050,0,0.000
210,Relicanth,0.00432,1,0.050,1,0.068
211,Magneton,0.00355,2,0.099,2,0.136
212,Bibarel,0.00352,17,0.845,15,1.020
213,Ninjask,0.00348,3,0.149,3,0.204
214,Sharpedo,0.00299,8,0.398,4,0.272
215,Breloom,0.00258,15,0.746,14,0.952
216,Clamperl,0.00165,8,0.398,6,0.408
217,Umbreon,0.00080,19,0.944,14,0.952
218,Bidoof,0.00074,3,0.149,3,0.204
219,Nidoking,0.00057,9,0.447,6,0.408
220,Hippowdon,0.00054,7,0.348,6,0.408
221,Electrode,0.00053,1,0.050,1,0.068
222,Lycanroc-Midnight,0.00053,6,0.298,3,0.204
223,Weezing,0.00038,8,0.398,7,0.476
224,Beartic,0.00038,8,0.398,8,0.544
225,Regice,0.00016,5,0.249,5,0.340
226,Squirtle,0.00010,4,0.199,4,0.272
227,Jynx,0.00010,3,0.149,2,0.136
228,Meowth-Alola,0.00010,3,0.149,2,0.136
229,Lurantis,0.00009,20,0.994,14,0.952
230,Liepard,0.00004,6,0.298,4,0.272
231,Clawitzer,0.00001,1,0.050,1,0.068
232,Celebi,0.00000,4,0.199,2,0.136
233,Milotic,0.00000,10,0.497,5,0.340
234,Vanilluxe,0.00000,2,0.099,2,0.136
235,Registeel,0.00000,7,0.348,7,0.476
236,Cosmoem,0.00000,3,0.149,3,0.204
237,Tornadus,0.00000,4,0.199,2,0.136
238,Scolipede,0.00000,13,0.646,12,0.816
239,Silvally-Fire,0.00000,5,0.249,4,0.272
240,Eevee,0.00000,2,0.099,2,0.136
241,Fletchinder,0.00000,1,0.050,0,0.000
242,Poliwrath,0.00000,1,0.050,0,0.000
243,Butterfree,0.00000,2,0.099,2,0.136
244,Wobbuffet,0.00000,8,0.398,5,0.340
245,Tangela,0.00000,1,0.050,1,0.068
246,Roggenrola,0.00000,2,0.099,2,0.136
247,Absol,0.00000,8,0.398,6,0.408
248,Azurill,0.00000,1,0.050,1,0.068
249,Magnemite,0.00000,1,0.050,1,0.068
250,Sceptile,0.00000,7,0.348,3,0.204
251,Lapras,0.00000,6,0.298,5,0.340
252,Ampharos,0.00000,1,0.050,1,0.068
253,Omastar,0.00000,2,0.099,2,0.136
254,Walrein,0.00000,1,0.050,0,0.000
255,Heliolisk,0.00000,3,0.149,3,0.204
256,Durant,0.00000,2,0.099,2,0.136
257,Huntail,0.00000,1,0.050,1,0.068
258,Electrike,0.00000,1,0.050,1,0.068
259,Crobat,0.00000,9,0.447,7,0.476
260,Noivern,0.00000,6,0.298,2,0.136
261,Exploud,0.00000,5,0.249,3,0.204
262,Seismitoad,0.00000,4,0.199,4,0.272
263,Bewear,0.00000,5,0.249,5,0.340
264,Charmander,0.00000,1,0.050,1,0.068
265,Dragalge,0.00000,4,0.199,4,0.272
266,Carbink,0.00000,2,0.099,2,0.136
267,Turtonator,0.00000,2,0.099,2,0.136
268,Druddigon,0.00000,1,0.050,1,0.068
269,Aipom,0.00000,2,0.099,2,0.136
270,Pidgey,0.00000,2,0.099,2,0.136
271,Sandslash-Alola,0.00000,5,0.249,3,0.204
272,Espurr,0.00000,1,0.050,1,0.068
273,Victreebel,0.00000,2,0.099,1,0.068
274,Diglett-Alola,0.00000,1,0.050,1,0.068
275,Dartrix,0.00000,1,0.050,1,0.068
276,Goodra,0.00000,6,0.298,3,0.204
277,Unfezant,0.00000,3,0.149,2,0.136
278,Floatzel,0.00000,2,0.099,1,0.068
279,Gourgeist,0.00000,1,0.050,1,0.068
280,Trevenant,0.00000,1,0.050,0,0.000
281,Octillery,0.00000,2,0.099,2,0.136
282,Electabuzz,0.00000,1,0.050,1,0.068
283,Pikachu,0.00000,6,0.298,5,0.340
284,Zoroark,0.00000,6,0.298,2,0.136
285,Numel,0.00000,1,0.050,1,0.068
286,Sigilyph,0.00000,2,0.099,1,0.068
287,Jangmo-o,0.00000,1,0.050,1,0.068
288,Claydol,0.00000,1,0.050,1,0.068
289,Golisopod,0.00000,7,0.348,5,0.340
290,Gallade,0.00000,2,0.099,1,0.068
291,Spiritomb,0.00000,3,0.149,3,0.204
292,Paras,0.00000,3,0.149,3,0.204
293,Wailord,0.00000,3,0.149,2,0.136
294,Mawile,0.00000,1,0.050,1,0.068
295,Aron,0.00000,3,0.149,2,0.136
296,Kricketot,0.00000,1,0.050,1,0.068
297,Slowpoke,0.00000,1,0.050,1,0.068
298,Barboach,0.00000,1,0.050,1,0.068
299,Vivillon,0.00000,4,0.199,4,0.272
300,Grubbin,0.00000,1,0.050,1,0.068
301,Eelektross,0.00000,2,0.099,1,0.068
302,Zangoose,0.00000,1,0.050,1,0.068
303,Florges,0.00000,1,0.050,0,0.000
304,Nidoqueen,0.00000,6,0.298,3,0.204
305,Graveler-Alola,0.00000,2,0.099,1,0.068
306,Oranguru,0.00000,1,0.050,1,0.068
307,Blastoise,0.00000,3,0.149,1,0.068
308,Bulbasaur,0.00000,4,0.199,4,0.272
309,Abra,0.00000,1,0.050,1,0.068
310,Wigglytuff,0.00000,6,0.298,5,0.340
311,Dusknoir,0.00000,4,0.199,3,0.204
312,Rattata,0.00000,6,0.298,6,0.408
313,Basculin,0.00000,2,0.099,2,0.136
314,Granbull,0.00000,2,0.099,2,0.136
315,Haunter,0.00000,1,0.050,1,0.068
316,Togedemaru,0.00000,2,0.099,1,0.068
317,Dedenne,0.00000,3,0.149,3,0.204
318,Nosepass,0.00000,1,0.050,1,0.068
319,Shiinotic,0.00000,3,0.149,2,0.136
320,Scyther,0.00000,2,0.099,2,0.136
321,Honchkrow,0.00000,2,0.099,2,0.136
322,Lycanroc,0.00000,1,0.050,1,0.068
323,Litten,0.00000,1,0.050,1,0.068
324,Eelektrik,0.00000,2,0.099,2,0.136
325,Sewaddle,0.00000,1,0.050,1,0.068
326,Luvdisc,0.00000,1,0.050,1,0.068
327,Lopunny,0.00000,2,0.099,1,0.068
328,Charjabug,0.00000,1,0.050,1,0.068
329,Venomoth,0.00000,5,0.249,3,0.204
330,Smeargle,0.00000,10,0.497,7,0.476
331,Medicham,0.00000,2,0.099,2,0.136
332,Golbat,0.00000,1,0.050,0,0.000
333,Raikou,0.00000,5,0.249,5,0.340
334,Manectric,0.00000,1,0.050,1,0.068
335,Bruxish,0.00000,1,0.050,1,0.068
336,Silvally,0.00000,3,0.149,0,0.000
337,Kakuna,0.00000,1,0.050,1,0.068
338,Crabominable,0.00000,1,0.050,1,0.068
339,Entei,0.00000,2,0.099,2,0.136
340,Beheeyem,0.00000,2,0.099,2,0.136
341,Riolu,0.00000,1,0.050,1,0.068
342,Rotom-Frost,0.00000,3,0.149,1,0.068
343,Ariados,0.00000,1,0.050,1,0.068
344,Tsareena,0.00000,2,0.099,0,0.000
345,Uxie,0.00000,3,0.149,3,0.204
346,Ambipom,0.00000,1,0.050,0,0.000
347,Hitmonlee,0.00000,3,0.149,2,0.136
348,Cacturne,0.00000,1,0.050,1,0.068
349,Raichu,0.00000,1,0.050,1,0.068
350,Emboar,0.00000,3,0.149,2,0.136
351,Rhydon,0.00000,4,0.199,3,0.204
352,Farfetch'd,0.00000,1,0.050,1,0.068
