Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Scizor,41.82082,60196,23.653,49080,24.563
2,Latias,37.84303,50649,19.902,38333,19.185
3,Swampert-Mega,22.91047,27766,10.910,23165,11.593
4,Gliscor,20.44061,44579,17.517,36997,18.516
5,Weavile,19.93927,29251,11.494,22001,11.011
6,Xurkitree,19.42913,41380,16.260,31064,15.547
7,Blissey,15.44346,22532,8.854,17598,8.807
8,Infernape,14.92652,32521,12.779,25634,12.829
9,Hydreigon,13.68069,28358,11.143,21845,10.933
10,Aerodactyl-Mega,13.17443,29799,11.709,22326,11.174
11,Togekiss,12.65056,24836,9.759,18935,9.476
12,Primarina,12.38015,28228,11.092,22675,11.348
13,Klefki,12.37742,19557,7.685,16977,8.496
14,Tentacruel,12.19725,22626,8.891,18415,9.216
15,Suicune,11.36803,12538,4.927,9945,4.977
16,Krookodile,11.27563,30153,11.848,23964,11.993
17,Steelix-Mega,10.97870,9834,3.864,8589,4.299
18,Cobalion,10.24747,21084,8.285,17053,8.535
19,Alomomola,10.01614,13436,5.280,10989,5.500
20,Blastoise-Mega,9.90034,20801,8.174,17233,8.625
21,Ninetales-Alola,9.66622,22710,8.924,18554,9.286
22,Hawlucha,9.15047,18589,7.304,12640,6.326
23,Sharpedo-Mega,8.93512,15947,6.266,11459,5.735
24,Empoleon,8.59371,20844,8.190,17765,8.891
25,Swampert,8.57054,15834,6.222,14219,7.116
26,Mamoswine,8.56361,18749,7.367,15696,7.855
27,Beedrill-Mega,8.07470,33816,13.288,26309,13.167
28,Pidgeot-Mega,6.69293,17682,6.948,13430,6.721
29,Celebi,6.55883,15010,5.898,11746,5.879
30,Bewear,6.38565,4412,1.734,3364,1.684
31,Quagsire,6.29762,4384,1.723,3396,1.700
32,Amoonguss,5.42799,20366,8.003,15703,7.859
33,Kyurem,5.31210,4361,1.714,3330,1.667
34,Sylveon,5.21190,17246,6.777,12824,6.418
35,Mantine,5.19995,4199,1.650,3541,1.772
36,Darmanitan,5.17715,16773,6.591,13223,6.618
37,Terrakion,5.14664,11893,4.673,8846,4.427
38,Crawdaunt,5.11487,14080,5.533,11035,5.523
39,Tornadus,4.89985,13694,5.381,10655,5.333
40,Azelf,4.88252,17168,6.746,15098,7.556
41,Magneton,4.87836,11736,4.612,9264,4.636
42,Entei,4.60899,14636,5.751,11274,5.642
43,Raikou,4.44770,21133,8.304,16103,8.059
44,Nidoking,4.42110,16646,6.541,12837,6.425
45,Crobat,4.20455,19559,7.686,15344,7.679
46,Metagross,4.15406,16658,6.546,13258,6.635
47,Chesnaught,4.03471,3937,1.547,3061,1.532
48,Muk-Alola,3.83481,14086,5.535,11430,5.720
49,Rotom-Mow,3.79195,2428,0.954,2075,1.038
50,Sceptile-Mega,3.68445,19201,7.545,14164,7.089
51,Starmie,3.63800,15516,6.097,11953,5.982
52,Forretress,3.59829,19137,7.520,16870,8.443
53,Volcanion,3.56959,19311,7.588,15493,7.754
54,Haxorus,3.56270,13351,5.246,9410,4.709
55,Kingdra,3.54440,9599,3.772,6695,3.351
56,Doublade,3.41080,3334,1.310,2618,1.310
57,Chandelure,3.31989,21051,8.272,15751,7.883
58,Lucario,3.25666,7830,3.077,5889,2.947
59,Cofagrigus,2.91341,3686,1.448,2859,1.431
60,Heracross,2.86782,4779,1.878,3554,1.779
61,Hippowdon,2.75317,11325,4.450,9741,4.875
62,Slowbro,2.62855,3839,1.508,3063,1.533
63,Mienshao,2.54832,13477,5.296,10654,5.332
64,Absol-Mega,2.46717,14783,5.809,11095,5.553
65,Nidoqueen,2.23496,6396,2.513,5414,2.710
66,Mandibuzz,2.20730,10387,4.081,8254,4.131
67,Arcanine,2.08986,22595,8.878,17834,8.925
68,Rotom-Heat,1.72913,4397,1.728,3762,1.883
69,Talonflame,1.55050,5088,1.999,3860,1.932
70,Tsareena,1.48382,9978,3.921,7745,3.876
71,Zygarde-10,1.45324,7051,2.771,5262,2.633
72,Decidueye,1.24521,12762,5.015,9766,4.888
73,Reuniclus,1.15673,3126,1.228,2310,1.156
74,Goodra,1.03903,4519,1.776,3471,1.737
75,Feraligatr,0.90138,3739,1.469,2862,1.432
76,Froslass,0.85415,1615,0.635,1368,0.685
77,Venusaur,0.80619,2783,1.094,2114,1.058
78,Steelix,0.80348,895,0.352,756,0.378
79,Uxie,0.80318,1312,0.516,1171,0.586
80,Snorlax,0.79539,5485,2.155,4147,2.075
81,Bronzong,0.78185,2899,1.139,2573,1.288
82,Venomoth,0.78173,3461,1.360,2370,1.186
83,Cresselia,0.72482,3432,1.349,2639,1.321
84,Donphan,0.71402,3872,1.521,3293,1.648
85,Florges,0.66877,4151,1.631,3041,1.522
86,Omastar,0.64171,2617,1.028,2233,1.118
87,Shuckle,0.63579,2970,1.167,2690,1.346
88,Galvantula,0.63317,5981,2.350,5275,2.640
89,Jellicent,0.62053,1695,0.666,1370,0.686
90,Cloyster,0.56649,5325,2.092,4095,2.049
91,Ninetales,0.54930,1565,0.615,1265,0.633
92,Tangela,0.53992,1059,0.416,797,0.399
