Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Greninja,65.48285,32900,52.088,16794,61.337
2,Aerodactyl,55.92929,23790,37.665,7842,28.642
3,Togekiss,50.38260,30730,48.653,14851,54.241
4,Breloom,41.52196,17269,27.341,8521,31.121
5,Tapu-Bulu,34.81052,15256,24.154,6839,24.978
6,Chandelure,34.39813,20938,33.150,7811,28.528
7,Gigalith,32.03750,12991,20.568,5920,21.622
8,Weavile,30.06590,23831,37.730,10998,40.168
9,Whimsicott,28.69552,17120,27.105,5631,20.566
10,Terrakion,23.88584,14103,22.328,7109,25.964
11,Slowbro,22.02707,10877,17.221,4330,15.815
12,Latios,21.27002,6860,10.861,2299,8.397
13,Tyranitar,18.63518,19107,30.251,7607,27.783
14,Abomasnow,11.45613,4317,6.835,2179,7.958
15,Mamoswine,10.95328,7532,11.925,3836,14.010
16,Tsareena,8.56442,4323,6.844,2104,7.684
17,Krookodile,7.89262,7095,11.233,2913,10.639
18,Lycanroc,7.27400,3284,5.199,1192,4.354
19,Kommo-o,6.04028,5351,8.472,2427,8.864
20,Latias,5.65873,4103,6.496,1538,5.617
21,Ninjask,5.41625,2372,3.755,861,3.145
22,Bruxish,5.08707,2744,4.344,1205,4.401
23,Crabominable,4.91122,2298,3.638,1195,4.365
24,Lycanroc-Midnight,4.65407,1059,1.677,523,1.910
25,Rhyperior,4.22237,3642,5.766,1851,6.760
26,Serperior,4.04298,5529,8.754,2332,8.517
27,Ribombee,3.97509,4899,7.756,2196,8.021
28,Delphox,3.39193,3809,6.031,1303,4.759
29,Hydreigon,3.22011,4867,7.706,1885,6.885
30,Yanmega,3.19087,2691,4.260,1233,4.503
31,Regirock,3.03617,1205,1.908,597,2.180
32,Dhelmise,2.90183,3898,6.171,2244,8.196
33,Exeggutor-Alola,2.89297,1821,2.883,635,2.319
34,Slowking,2.88431,2500,3.958,992,3.623
35,Crawdaunt,2.87415,3439,5.445,1671,6.103
36,Aurorus,1.69087,1993,3.155,1026,3.747
37,Lurantis,1.46425,496,0.785,192,0.701
38,Guzzlord,1.32222,1908,3.021,869,3.174
39,Palossand,1.26642,2128,3.369,894,3.265
40,Decidueye,1.21773,1431,2.266,685,2.502
41,Virizion,1.14183,989,1.566,441,1.611
42,Poliwrath,1.11237,1871,2.962,928,3.389
43,Hawlucha,1.10736,2924,4.629,1271,4.642
44,Drifblim,0.89622,1388,2.198,502,1.833
45,Starmie,0.85863,2481,3.928,1115,4.072
46,Sharpedo,0.85582,1606,2.543,798,2.915
47,Trevenant,0.81846,1241,1.965,465,1.698
48,Gogoat,0.79883,517,0.819,214,0.782
49,Chesnaught,0.70516,1025,1.623,447,1.633
50,Tangrowth,0.66109,975,1.544,388,1.417
51,Marowak-Alola,0.64568,2006,3.176,778,2.842
52,Golurk,0.58402,708,1.121,376,1.373
53,Tyrantrum,0.49647,1618,2.562,736,2.688
54,Jynx,0.49603,667,1.056,257,0.939
55,Sceptile,0.48151,1077,1.705,499,1.823
56,Claydol,0.47408,1245,1.971,353,1.289
