Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Pidgey,6.16859,155,3.786,116,3.918
2,Hypno,5.97893,178,4.348,129,4.358
3,Blastoise,5.91005,178,4.348,140,4.729
4,Snorlax,5.78698,171,4.177,128,4.324
5,Gloom,5.69113,168,4.104,129,4.358
6,Psyduck,5.64647,175,4.275,127,4.290
7,Moltres,5.47221,177,4.323,126,4.256
8,Porygon,5.42927,178,4.348,140,4.729
9,Electabuzz,5.35191,159,3.884,121,4.087
10,Shellder,5.34514,158,3.859,113,3.817
11,Poliwrath,5.31085,158,3.859,123,4.155
12,Omanyte,5.21106,165,4.030,116,3.918
13,Clefairy,5.20002,164,4.006,128,4.324
14,Nidorino,5.14283,176,4.299,117,3.952
15,Seadra,5.13740,168,4.104,136,4.594
16,Magmar,5.13100,202,4.934,143,4.831
17,Tauros,5.11836,153,3.737,115,3.885
18,Kabuto,5.11369,169,4.128,111,3.750
19,Krabby,5.11049,156,3.810,114,3.851
20,NidoranM,5.10531,180,4.397,118,3.986
21,Slowbro,5.10027,156,3.810,121,4.087
22,Kabutops,5.08115,183,4.470,137,4.628
23,Golduck,5.05265,157,3.835,116,3.918
24,Abra,5.02929,160,3.908,109,3.682
25,Electrode,5.01221,177,4.323,128,4.324
26,Caterpie,4.98267,161,3.933,119,4.020
27,Flareon,4.97645,156,3.810,118,3.986
28,Charmander,4.96392,169,4.128,119,4.020
29,Zubat,4.87802,172,4.201,132,4.459
30,Seel,4.82810,180,4.397,130,4.391
31,Geodude,4.77962,169,4.128,118,3.986
32,Jigglypuff,4.75097,165,4.030,123,4.155
33,Doduo,4.73047,170,4.152,124,4.189
34,Vaporeon,4.66314,162,3.957,127,4.290
35,Raticate,4.65026,164,4.006,121,4.087
36,Dewgong,4.62596,147,3.591,116,3.918
37,Aerodactyl,4.62472,161,3.933,129,4.358
38,Zapdos,4.61822,167,4.079,129,4.358
39,Weepinbell,4.57050,149,3.639,101,3.412
40,Squirtle,4.53024,166,4.055,115,3.885
41,Mr.-Mime,4.48705,149,3.639,107,3.614
42,Gastly,4.46736,160,3.908,125,4.222
43,Dragonite,4.42116,155,3.786,113,3.817
44,Horsea,4.38012,156,3.810,116,3.918
45,Gengar,4.37508,153,3.737,115,3.885
46,Vulpix,4.34005,164,4.006,119,4.020
47,Arcanine,4.33280,171,4.177,117,3.952
48,Onix,4.28303,163,3.981,114,3.851
49,Golbat,4.26683,149,3.639,106,3.581
50,Venonat,4.26369,159,3.884,107,3.614
51,Butterfree,4.18115,156,3.810,114,3.851
52,Ponyta,4.16863,184,4.494,136,4.594
53,Sandshrew,4.16453,181,4.421,127,4.290
54,Nidoking,4.14730,162,3.957,124,4.189
55,Graveler,4.14717,164,4.006,115,3.885
56,Rhyhorn,4.14676,175,4.275,123,4.155
57,Machoke,4.13260,159,3.884,115,3.885
58,Goldeen,4.12603,169,4.128,122,4.121
59,Ditto,4.09688,168,4.104,120,4.054
