Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Machamp,0.00000,2,50.000,2,60.000
2,Jirachi,0.00000,3,75.000,2,60.000
3,Wailord,0.00000,1,25.000,1,30.000
4,Metagross,0.00000,1,25.000,1,30.000
5,Cresselia,0.00000,1,25.000,0,0.000
6,Venusaur,0.00000,1,25.000,1,30.000
7,Starmie,0.00000,2,50.000,1,30.000
8,Dragonite,0.00000,1,25.000,0,0.000
9,Gyarados,0.00000,1,25.000,1,30.000
10,Rotom-Wash,0.00000,1,25.000,1,30.000
11,Staraptor,0.00000,1,25.000,1,30.000
12,Gengar,0.00000,2,50.000,2,60.000
13,Infernape,0.00000,1,25.000,1,30.000
14,Skarmory,0.00000,2,50.000,2,60.000
15,Heatran,0.00000,2,50.000,2,60.000
16,Tyranitar,0.00000,1,25.000,1,30.000
17,Ninjask,0.00000,1,25.000,1,30.000
