Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Chansey,49.70398,8996,21.128,5967,22.913
2,Giratina,45.11397,7093,16.659,5108,19.614
3,Rayquaza-Mega,36.65744,15345,36.040,9025,34.655
4,Zygarde-Complete,33.18880,8133,19.101,5201,19.971
5,Mewtwo-Mega-X,32.74277,7987,18.759,4658,17.886
6,Mewtwo-Mega-Y,29.16193,10042,23.585,5938,22.801
7,Registeel,27.80431,3487,8.190,2543,9.765
8,Kyogre-Primal,22.89030,6420,15.078,4252,16.327
9,Gengar-Mega,20.93699,7209,16.931,4691,18.013
10,Diancie-Mega,18.49165,4698,11.034,3257,12.507
11,Dialga,18.39875,2703,6.348,1891,7.261
12,Audino-Mega,16.56763,2497,5.865,1794,6.889
13,Regigigas,16.44346,5769,13.549,3674,14.108
14,Yveltal,15.98887,3428,8.051,2204,8.463
15,Tyranitar-Mega,15.45525,2352,5.524,1609,6.178
16,Aegislash,13.04074,3351,7.870,2400,9.216
17,Groudon-Primal,9.41007,1189,2.793,635,2.438
18,Xerneas,9.18418,2277,5.348,1549,5.948
19,Shedinja,7.63852,8078,18.972,5301,20.355
20,Gyarados-Mega,7.17911,1881,4.418,1327,5.096
21,Necrozma-Dusk-Mane,7.17566,1594,3.744,1082,4.155
22,Ferrothorn,6.90227,1185,2.783,850,3.264
23,Celesteela,6.35843,1039,2.440,759,2.914
24,Kartana,6.08474,1555,3.652,996,3.825
25,Solgaleo,5.43828,1811,4.253,1231,4.727
26,Sceptile-Mega,5.35788,1489,3.497,922,3.540
27,Magearna,5.14016,1021,2.398,708,2.719
28,Kyurem-Black,4.48528,2503,5.879,1487,5.710
29,Sableye-Mega,4.46784,777,1.825,557,2.139
30,Metagross-Mega,4.40492,2024,4.754,1298,4.984
31,Arceus,4.05039,3292,7.732,1818,6.981
32,Ho-Oh,3.99039,1152,2.706,781,2.999
33,Heracross-Mega,3.98713,1528,3.589,942,3.617
34,Arceus-Psychic,3.83838,378,0.888,226,0.868
35,Garchomp-Mega,3.80237,1238,2.908,752,2.888
36,Deoxys-Speed,3.62376,5432,12.758,4022,15.444
37,Slowbro-Mega,3.50181,470,1.104,293,1.125
38,Blissey,3.20120,4461,10.477,2761,10.602
39,Cresselia,2.95010,306,0.719,220,0.845
40,Slaking,2.89745,3481,8.176,1958,7.519
41,Steelix-Mega,2.82233,1191,2.797,892,3.425
42,Beedrill-Mega,2.77547,812,1.907,561,2.154
43,Kyurem-White,2.70330,1651,3.878,972,3.732
44,Deoxys-Attack,2.62878,2918,6.853,1785,6.854
45,Venusaur-Mega,2.49174,895,2.102,574,2.204
46,Zekrom,2.21332,686,1.611,424,1.628
47,Cacturne,1.87618,137,0.322,94,0.361
48,Shuckle,1.85532,3788,8.897,2540,9.753
49,Aerodactyl-Mega,1.84758,1217,2.858,771,2.961
50,Lopunny-Mega,1.77959,935,2.196,609,2.339
51,Marowak-Alola,1.75122,269,0.632,174,0.668
52,Blaziken-Mega,1.72877,1897,4.455,1201,4.612
53,Pikachu,1.62942,364,0.855,238,0.914
54,Groudon,1.62891,568,1.334,396,1.521
55,Pheromosa,1.58091,1136,2.668,739,2.838
56,Darmanitan,1.22502,458,1.076,342,1.313
57,Lugia,1.11586,1892,4.444,1204,4.623
58,Stakataka,1.02965,653,1.534,396,1.521
59,Heatran,1.02655,397,0.932,253,0.971
60,Aggron-Mega,0.99792,1176,2.762,762,2.926
