Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Giratina,49.36477,4360,18.120,3148,21.339
2,Rayquaza-Mega,40.36922,9030,37.528,5107,34.618
3,Chansey,39.24290,5435,22.587,3571,24.206
4,Mewtwo-Mega-X,36.05229,5133,21.332,3006,20.376
5,Mewtwo-Mega-Y,32.54102,6471,26.893,3561,24.139
6,Zygarde-Complete,28.92946,4731,19.662,3189,21.617
7,Registeel,26.38054,2206,9.168,1668,11.307
8,Kyogre-Primal,25.86141,3741,15.547,2440,16.540
9,Diancie-Mega,23.35590,2946,12.243,2049,13.889
10,Gengar-Mega,21.92172,4091,17.002,2589,17.550
11,Regigigas,20.74628,3633,15.098,2253,15.272
12,Dialga,16.97657,1716,7.132,1215,8.236
13,Tyranitar-Mega,14.91770,2100,8.727,1415,9.592
14,Shedinja,14.08338,4831,20.077,3227,21.875
15,Yveltal,13.98441,2283,9.488,1480,10.032
16,Audino-Mega,12.33291,1288,5.353,943,6.392
17,Sceptile-Mega,12.26256,992,4.123,645,4.372
18,Aegislash,11.18414,1911,7.942,1364,9.246
19,Groudon-Primal,9.37271,720,2.992,448,3.037
20,Solgaleo,8.22818,987,4.102,681,4.616
21,Xerneas,8.00934,1585,6.587,1074,7.280
22,Metagross-Mega,7.28725,1035,4.301,647,4.386
23,Slaking,6.62631,1753,7.285,940,6.372
24,Gyarados-Mega,6.58131,995,4.135,675,4.576
25,Magearna,6.07285,593,2.464,454,3.077
26,Necrozma-Dusk-Mane,5.99437,921,3.828,602,4.081
27,Blissey,5.44427,2503,10.402,1527,10.351
28,Kyurem-Black,4.97446,1361,5.656,840,5.694
29,Celesteela,4.95696,625,2.597,485,3.288
30,Kartana,4.94245,1301,5.407,836,5.667
31,Arceus,3.60767,1827,7.593,1055,7.151
32,Scizor-Mega,3.17571,747,3.104,513,3.477
33,Garchomp-Mega,3.00702,684,2.843,394,2.671
34,Arceus-Ghost,2.93499,474,1.970,324,2.196
35,Deoxys-Speed,2.87235,2843,11.815,2054,13.923
36,Beedrill-Mega,2.56833,362,1.504,251,1.701
37,Greninja-Ash,2.37513,1375,5.714,892,6.047
38,Aggron-Mega,2.31335,792,3.291,520,3.525
39,Ho-Oh,2.29649,562,2.336,396,2.684
40,Ferrothorn,2.23122,608,2.527,452,3.064
41,Heracross-Mega,1.78250,721,2.996,420,2.847
42,Deoxys-Attack,1.73621,1580,6.566,960,6.507
43,Ampharos-Mega,1.71062,247,1.027,176,1.193
44,Hoopa-Unbound,1.67635,580,2.410,359,2.434
45,Darmanitan,1.64083,334,1.388,233,1.579
46,Lopunny-Mega,1.60373,454,1.887,305,2.067
47,Lucario-Mega,1.59889,994,4.131,634,4.298
48,Type:-Null,1.59238,94,0.391,76,0.515
49,Shuckle,1.58952,2182,9.068,1477,10.012
50,Arceus-Psychic,1.42813,121,0.503,91,0.617
51,Kangaskhan-Mega,1.41606,448,1.862,194,1.315
52,Slowbro-Mega,1.24692,251,1.043,180,1.220
53,Aerodactyl-Mega,1.23855,475,1.974,308,2.088
54,Heatran,1.18966,180,0.748,139,0.942
55,Steelix-Mega,1.18706,609,2.531,445,3.016
56,Alakazam-Mega,1.12698,560,2.327,342,2.318
57,Kyurem-White,1.08673,598,2.485,308,2.088
58,Regirock,1.07475,128,0.532,103,0.698
59,Pikachu,1.06890,211,0.877,127,0.861
60,Lugia,1.04678,799,3.321,534,3.620
61,Blaziken-Mega,1.00579,1038,4.314,644,4.365
62,Toxapex,0.96120,205,0.852,135,0.915
63,Cresselia,0.89875,125,0.519,90,0.610
64,Gallade-Mega,0.87890,254,1.056,158,1.071
65,Arceus-Dragon,0.85377,76,0.316,45,0.305
66,Pheromosa,0.83478,465,1.933,256,1.735
