Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Gastrodon,4.24210,9365,4.240,7310,4.416
2,Ferroseed,3.94790,8276,3.747,7248,4.379
3,Excadrill,3.60798,8494,3.846,6545,3.954
4,Bronzong,3.30550,7501,3.396,6429,3.884
5,Quagsire,3.24932,7146,3.236,5508,3.328
6,Shuckle,3.17104,6781,3.070,5961,3.601
7,Gliscor,3.11218,6927,3.136,5329,3.220
8,Muk-Alola,3.10534,7290,3.301,5721,3.456
9,Araquanid,3.07187,6913,3.130,5572,3.366
10,Landorus-Therian,3.02014,6311,2.858,5187,3.134
11,Mantine,2.94736,7028,3.182,5274,3.186
12,Jellicent,2.92126,7334,3.321,5496,3.320
13,Celesteela,2.90641,6072,2.749,4820,2.912
14,Nidoqueen,2.88297,6285,2.846,5124,3.096
15,Cryogonal,2.85173,5714,2.587,4204,2.540
16,Cloyster,2.84353,6394,2.895,4649,2.809
17,Sandslash-Alola,2.76036,6635,3.004,4626,2.795
18,Chansey,2.74815,5077,2.299,4014,2.425
19,Toxicroak,2.68171,5622,2.546,4082,2.466
20,Smeargle,2.66166,6107,2.765,5303,3.204
21,Ferrothorn,2.63151,5577,2.525,4638,2.802
22,Skarmory,2.62282,5809,2.630,4654,2.812
23,Pelipper,2.61060,5441,2.464,4200,2.537
24,Whimsicott,2.60707,5263,2.383,3943,2.382
25,Froslass,2.59060,5846,2.647,4658,2.814
26,Toxapex,2.54191,5979,2.707,4667,2.820
27,Hydreigon,2.51565,5744,2.601,4150,2.507
28,Blastoise,2.49498,5755,2.606,4446,2.686
29,Kabutops,2.47026,6116,2.769,4350,2.628
30,Greninja,2.46698,5615,2.542,4269,2.579
31,Rhyperior,2.40174,4712,2.134,3552,2.146
32,Doublade,2.34538,5441,2.464,4059,2.452
33,Vivillon,2.31391,4104,1.858,2949,1.782
34,Ditto,2.30156,5555,2.515,4207,2.542
35,Latias,2.27617,5013,2.270,3489,2.108
36,Yanmega,2.26505,4828,2.186,3331,2.012
37,Florges,2.23689,4744,2.148,3410,2.060
38,Diancie,2.23551,4808,2.177,3833,2.316
39,Moltres,2.23128,4923,2.229,3727,2.252
40,Sigilyph,2.21197,5157,2.335,3762,2.273
41,Mesprit,2.18811,4869,2.205,3815,2.305
42,Mamoswine,2.16632,4883,2.211,3719,2.247
43,Stoutland,2.15039,4878,2.209,3394,2.051
44,Gigalith,2.13144,4626,2.095,3920,2.368
45,Landorus,2.12628,4502,2.038,3319,2.005
46,Nihilego,2.12055,5226,2.366,3871,2.339
47,Zapdos,2.11596,4386,1.986,3354,2.026
48,Terrakion,2.10505,4608,2.086,3198,1.932
49,Chesnaught,2.10209,4567,2.068,3349,2.023
50,Tsareena,2.08348,4693,2.125,3418,2.065
51,Azumarill,2.06711,4467,2.023,3248,1.962
52,Sableye,2.06708,4213,1.908,3352,2.025
53,Marowak-Alola,2.06135,4896,2.217,3530,2.133
54,Crawdaunt,2.05698,4551,2.061,3259,1.969
55,Volcanion,2.04294,4540,2.056,3445,2.081
56,Serperior,2.03571,4332,1.961,3265,1.973
57,Nidoking,2.03393,5370,2.431,3977,2.403
58,Suicune,2.01921,4422,2.002,3148,1.902
59,Haunter,2.00651,4302,1.948,3153,1.905
60,Blissey,1.99882,4354,1.971,3332,2.013
61,Rotom-Mow,1.97787,4688,2.123,3647,2.203
62,Umbreon,1.95510,4429,2.005,3225,1.948
63,Hippowdon,1.94452,4684,2.121,3816,2.305
64,Togekiss,1.93874,4193,1.899,3056,1.846
65,Bewear,1.93236,3725,1.687,2548,1.539
66,Honchkrow,1.92367,4149,1.879,2861,1.729
67,Skuntank,1.91810,4210,1.906,3100,1.873
68,Probopass,1.91530,4194,1.899,3502,2.116
69,Necrozma,1.91287,4459,2.019,3462,2.092
70,Dugtrio,1.91003,3945,1.786,2841,1.716
71,Crobat,1.90765,4225,1.913,3125,1.888
72,Camerupt-Mega,1.89170,4227,1.914,3243,1.959
73,Ho-Oh,1.88585,3899,1.765,2977,1.799
74,Magearna,1.87962,3407,1.543,2590,1.565
75,Scolipede,1.86925,4196,1.900,3055,1.846
76,Alomomola,1.84425,4547,2.059,3333,2.014
77,Tapu-Koko,1.84202,4172,1.889,3244,1.960
78,Klefki,1.80460,5130,2.323,4248,2.566
79,Feraligatr,1.79712,3822,1.731,2781,1.680
80,Rotom-Heat,1.79181,4106,1.859,3430,2.072
81,Omastar,1.76658,3792,1.717,2729,1.649
82,Tapu-Lele,1.75131,3728,1.688,2527,1.527
83,Scizor-Mega,1.73431,3976,1.800,3034,1.833
84,Gourgeist-Super,1.73227,4300,1.947,3231,1.952
85,Ludicolo,1.73031,3595,1.628,2653,1.603
86,Lanturn,1.72301,3797,1.719,2912,1.759
87,Altaria-Mega,1.71885,3838,1.738,2751,1.662
88,Uxie,1.71233,4046,1.832,3449,2.084
89,Drampa,1.70527,3718,1.683,2641,1.596
90,Xerneas,1.70463,3618,1.638,2408,1.455
91,Diancie-Mega,1.70205,4248,1.923,3327,2.010
92,Slowking,1.69927,3687,1.669,2740,1.655
