Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Victreebel,0.00000,1,50.000,0,0.000
2,Cacturne,0.00000,1,50.000,1,100.000
3,Gliscor,0.00000,1,50.000,1,100.000
4,Breloom,0.00000,1,50.000,1,100.000
5,Toxapex,0.00000,1,50.000,1,100.000
6,Electivire,0.00000,1,50.000,0,0.000
7,Exeggutor,0.00000,1,50.000,0,0.000
8,Vileplume,0.00000,1,50.000,0,0.000
9,Sunflora,0.00000,1,50.000,1,100.000
10,Torterra,0.00000,1,50.000,1,100.000
11,Aggron-Mega,0.00000,1,50.000,0,0.000
12,Articuno,0.00000,1,50.000,0,0.000
