Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Magnezone,7.71083,2616,6.468,1001,5.716
2,Kartana,7.27353,2782,6.879,1599,9.131
3,Gliscor,6.92059,2491,6.159,1070,6.110
4,Breloom,6.73861,2587,6.396,1251,7.143
5,Cresselia,6.69498,2414,5.969,660,3.769
6,Umbreon,6.62529,2518,6.226,769,4.391
7,Nidoking,6.59974,2367,5.853,1257,7.178
8,Suicune,6.46176,2341,5.788,818,4.671
9,Muk-Alola,6.43110,2512,6.211,1005,5.739
10,Tapu-Fini,6.25008,2297,5.679,1029,5.876
11,Garchomp,6.20313,2564,6.340,1178,6.727
12,Tapu-Bulu,6.16899,2529,6.253,1039,5.933
13,Amoonguss,6.11090,2442,6.038,823,4.700
14,Buzzwole,6.10668,2418,5.979,1059,6.047
15,Hydreigon,6.08492,2729,6.748,1126,6.430
16,Aegislash,6.08295,2323,5.744,1145,6.538
17,Porygon2,6.07931,2093,5.175,873,4.985
18,Clefable,6.06179,2494,6.167,936,5.345
19,Stakataka,6.05957,2464,6.092,958,5.470
20,Ferrothorn,6.02744,2734,6.760,1080,6.167
21,Latios,5.98226,2441,6.036,994,5.676
22,Cloyster,5.94753,2087,5.160,1090,6.224
23,Tapu-Lele,5.93675,2326,5.751,1252,7.149
24,Xurkitree,5.92719,2358,5.830,1189,6.789
25,Venusaur-Mega,5.88940,2000,4.945,929,5.305
26,Heatran,5.83919,2355,5.823,935,5.339
27,Terrakion,5.82654,2031,5.022,998,5.699
28,Kingdra,5.81825,2293,5.670,741,4.231
29,Toxapex,5.79463,2214,5.474,760,4.340
30,Landorus-Therian,5.76323,2443,6.040,1425,8.137
31,Rhyperior,5.72243,2392,5.914,928,5.299
32,Milotic,5.66678,2224,5.499,796,4.545
33,Skarmory,5.66376,2189,5.412,649,3.706
34,Tapu-Koko,5.65811,2332,5.766,1380,7.880
35,Blissey,5.65796,1962,4.851,554,3.163
36,Marowak-Alola,5.64979,2035,5.032,813,4.642
37,Ditto,5.64813,2007,4.962,908,5.185
38,Pheromosa,5.63915,2306,5.702,1371,7.829
39,Naganadel,5.63302,2495,6.169,1479,8.445
40,Celesteela,5.63016,2463,6.090,1186,6.772
41,Mimikyu,5.62947,2303,5.694,1305,7.452
42,Conkeldurr,5.61940,2387,5.902,1010,5.767
43,Hippowdon,5.57719,2178,5.385,667,3.809
44,Araquanid,5.57531,2192,5.420,767,4.380
45,Pelipper,5.53306,2052,5.074,703,4.014
46,Golisopod,5.51383,2269,5.610,856,4.888
47,Slurpuff,5.50587,2084,5.153,929,5.305
48,Mawile-Mega,5.49896,2199,5.437,1047,5.979
49,Espeon,5.48653,2182,5.395,665,3.797
50,Bronzong,5.47280,2498,6.176,601,3.432
51,Greninja,5.44047,2200,5.440,1234,7.046
52,Raikou,5.43110,2325,5.749,980,5.596
53,Arcanine,5.42787,2170,5.365,896,5.116
54,Manectric-Mega,5.38722,2105,5.205,1170,6.681
55,Azumarill,5.34060,2351,5.813,1050,5.996
56,Metagross-Mega,5.31758,1917,4.740,1120,6.395
57,Zapdos,5.27176,2333,5.768,995,5.682
58,Reuniclus,5.26324,2213,5.472,540,3.084
59,Politoed,5.24161,2108,5.212,582,3.323
60,Pyukumuku,5.22962,2258,5.583,507,2.895
61,Excadrill,5.17723,2442,6.038,1109,6.333
62,Volcarona,5.16202,2310,5.712,1171,6.687
63,Beedrill-Mega,5.14515,1843,4.557,984,5.619
64,Dragonite,5.14480,2191,5.417,1140,6.510
65,Entei,5.12763,2191,5.417,883,5.042
66,Chansey,5.08672,1992,4.925,653,3.729
67,Chandelure,5.07151,1968,4.866,863,4.928
68,Quagsire,5.03604,2319,5.734,789,4.505
69,Togekiss,5.00890,2258,5.583,916,5.231
70,Nihilego,4.99907,2112,5.222,898,5.128
71,Weavile,4.93541,2070,5.118,1021,5.830
72,Snorlax,4.87271,2128,5.262,793,4.528
73,Primarina,4.85742,2299,5.684,1072,6.121
74,Gardevoir-Mega,4.84768,1921,4.750,886,5.059
75,Altaria-Mega,4.84210,1956,4.836,826,4.717
76,Jellicent,4.79627,2066,5.108,549,3.135
77,Shuckle,4.77523,1720,4.253,664,3.792
78,Alakazam-Mega,4.73555,1834,4.535,808,4.614
79,Mamoswine,4.70922,2171,5.368,979,5.590
80,Mandibuzz,4.61731,1801,4.453,417,2.381
81,Gigalith,4.61474,1663,4.112,509,2.906
82,Porygon-Z,4.58975,1933,4.779,1051,6.001
83,Pinsir-Mega,4.44451,1916,4.737,923,5.271
84,Kangaskhan-Mega,4.42503,1720,4.253,976,5.573
85,Medicham-Mega,4.38971,1953,4.829,1130,6.453
86,Blastoise-Mega,4.29763,1963,4.854,883,5.042
87,Steelix-Mega,4.24332,2053,5.076,639,3.649
88,Blacephalon,4.17014,2015,4.982,927,5.293
89,Lucario-Mega,4.13590,1707,4.221,904,5.162
90,Lapras,4.11948,1784,4.411,618,3.529
91,Blaziken,4.11248,1705,4.216,941,5.373
92,Gyarados,4.06510,1661,4.107,802,4.580
93,Pidgeot-Mega,4.05391,1918,4.742,940,5.368
94,Heracross-Mega,3.96498,1437,3.553,659,3.763
95,Salamence-Mega,3.92523,1687,4.171,949,5.419
96,Lopunny-Mega,3.79367,1791,4.428,1138,6.498
97,Rotom-Heat,3.60022,1538,3.803,607,3.466
98,Tyranitar,3.58776,1610,3.981,692,3.951
99,Gengar-Mega,3.34748,1474,3.645,739,4.220
100,Latias,3.31890,1555,3.845,449,2.564
101,Scizor,3.21705,1287,3.182,521,2.975
102,Rotom-Wash,3.15744,963,2.381,465,2.655
103,Thundurus,3.07385,1407,3.479,660,3.769
104,Swampert-Mega,3.02912,1233,3.049,640,3.655
105,Kommo-o-Totem,3.01308,1239,3.063,822,4.694
106,Charizard-Mega-X,3.00761,1241,3.068,661,3.774
107,Glalie,2.95330,1357,3.355,495,2.827
108,Sharpedo-Mega,2.90036,1152,2.848,500,2.855
109,Ninetales-Alola,2.89236,1349,3.335,727,4.151
110,Slowbro-Mega,2.83901,1023,2.529,348,1.987
111,Scizor-Mega,2.80732,1131,2.796,529,3.021
112,Kommo-o,2.74620,1188,2.937,557,3.181
113,Thundurus-Therian,2.53993,1149,2.841,636,3.632
114,Slowbro,2.52565,954,2.359,390,2.227
115,Latias-Mega,2.48470,715,1.768,287,1.639
116,Heracross,2.31320,715,1.768,340,1.941
117,Sharpedo,2.29301,930,2.299,477,2.724
118,Charizard-Mega-Y,2.13731,796,1.968,481,2.747
119,Glalie-Mega,2.00660,649,1.605,240,1.370
120,Swampert,1.97864,949,2.346,351,2.004
121,Ninetales,1.76412,548,1.355,141,0.805
122,Silvally-Electric,1.33491,395,0.977,128,0.731
123,Piloswine,1.22936,405,1.001,125,0.714
124,Lucario,1.19854,593,1.466,275,1.570
125,Silvally,1.15579,646,1.597,240,1.370
126,Salamence,1.03766,493,1.219,297,1.696
127,Gyarados-Mega,1.01080,433,1.071,238,1.359
128,Gengar,1.00768,445,1.100,278,1.587
129,Blaziken-Mega,0.79604,326,0.806,191,1.091
130,Silvally-Fighting,0.72125,331,0.818,100,0.571
131,Silvally-Ground,0.66637,349,0.863,115,0.657
132,Silvally-Steel,0.65339,359,0.888,114,0.651
133,Tyranitar-Mega,0.43693,199,0.492,107,0.611
134,Aron,0.17355,48,0.119,25,0.143
