Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Kartana,39.01051,13954,26.433,10596,25.630
2,Landorus-Therian,33.66632,14930,28.282,13149,31.805
3,Noivern,25.32465,18936,35.870,14142,34.207
4,Tapu-Koko,25.29513,14941,28.303,11652,28.184
5,Zygarde,25.21279,12943,24.518,9831,23.780
6,Arcanine,24.99803,8186,15.507,6769,16.373
7,Medicham-Mega,19.34139,7193,13.626,5583,13.504
8,Tapu-Lele,19.05683,8009,15.171,6013,14.545
9,Chansey,16.00548,2703,5.120,2098,5.075
10,Tapu-Bulu,15.06923,5188,9.828,3802,9.196
11,Skarmory,13.95752,2263,4.287,2014,4.872
12,Slowbro,13.92777,1160,2.197,944,2.283
13,Scizor-Mega,12.87203,5129,9.716,4199,10.157
14,Marowak-Alola,11.42235,3694,6.998,2842,6.874
15,Gliscor,11.39583,5143,9.742,4286,10.367
16,Magearna,10.97261,4748,8.994,3743,9.054
17,Stakataka,10.08637,2389,4.525,1793,4.337
18,Tyranitar,9.50444,2155,4.082,1708,4.131
19,Cresselia,9.41747,1667,3.158,1221,2.953
20,Crawdaunt,8.46461,1507,2.855,1060,2.564
21,Porygon2,8.20553,400,0.758,333,0.805
22,Weavile,7.95988,6851,12.978,5483,13.263
23,Mawile-Mega,7.43538,1449,2.745,1069,2.586
24,Jirachi,7.28315,3903,7.393,3198,7.735
25,Mimikyu,7.26599,3999,7.575,2959,7.157
26,Ferrothorn,6.52582,2936,5.562,2595,6.277
27,Cloyster,6.31241,3318,6.285,2518,6.091
28,Gyarados-Mega,6.12968,1661,3.146,1282,3.101
29,Kommo-o,6.06823,6019,11.402,4364,10.556
30,Lucario,6.05216,5741,10.875,4192,10.140
31,Magnezone,6.02495,2102,3.982,1674,4.049
32,Aerodactyl-Mega,5.94218,4372,8.282,3337,8.072
33,Entei,5.63679,4269,8.087,3374,8.161
34,Excadrill,5.50904,2912,5.516,2458,5.946
35,Heatran,5.40269,2858,5.414,2402,5.810
36,Zeraora,5.11560,4081,7.731,3290,7.958
37,Carbink,5.00080,865,1.639,843,2.039
38,Hippowdon,4.61612,906,1.716,809,1.957
39,Uxie,4.59595,651,1.233,622,1.505
40,Aerodactyl,4.58550,2051,3.885,1684,4.073
41,Diancie-Mega,4.41821,3254,6.164,2691,6.509
42,Toxapex,4.21958,1655,3.135,1351,3.268
43,Araquanid,4.13019,2736,5.183,2400,5.805
44,Zapdos,3.86194,969,1.836,776,1.877
45,Greninja-Ash,3.67219,2405,4.556,1874,4.533
46,Azelf,3.43815,1612,3.054,1517,3.669
47,Gyarados,3.21515,2147,4.067,1640,3.967
48,Swampert-Mega,3.20395,1845,3.495,1526,3.691
49,Doublade,3.15911,720,1.364,586,1.417
50,Rotom-Wash,3.15154,1206,2.285,1052,2.545
51,Tapu-Fini,3.07238,1234,2.338,1029,2.489
52,Steelix-Mega,2.77239,258,0.489,227,0.549
53,Pelipper,2.69576,1466,2.777,1299,3.142
54,Ditto,2.58257,1383,2.620,1031,2.494
55,Tsareena,2.50073,895,1.695,645,1.560
56,Celesteela,2.49557,2954,5.596,2441,5.904
57,Avalugg,2.43557,615,1.165,523,1.265
58,Lopunny-Mega,2.28703,2270,4.300,1833,4.434
59,Tangrowth,2.27377,737,1.396,577,1.396
60,Togekiss,1.99105,2435,4.613,1810,4.378
61,Scolipede,1.96062,377,0.714,312,0.755
62,Hawlucha,1.80892,1210,2.292,832,2.012
63,Blissey,1.77822,254,0.481,190,0.460
64,Salamence,1.76418,1640,3.107,1177,2.847
65,Terrakion,1.62979,989,1.873,712,1.722
66,Azumarill,1.59290,802,1.519,622,1.505
67,Mamoswine,1.53996,1920,3.637,1543,3.732
68,Mandibuzz,1.52641,112,0.212,82,0.198
69,Slowbro-Mega,1.47399,849,1.608,690,1.669
70,Charizard-Mega-X,1.43459,2289,4.336,1787,4.322
71,Blacephalon,1.30728,1669,3.162,1255,3.036
72,Primarina,1.26773,664,1.258,518,1.253
73,Pikachu,1.26452,1274,2.413,900,2.177
74,Mew,1.20565,1360,2.576,1180,2.854
75,Shuckle,1.20523,656,1.243,632,1.529
76,Victini,1.13611,1103,2.089,863,2.087
77,Greninja,1.12023,1303,2.468,1066,2.578
78,Garchomp,1.11219,1614,3.057,1326,3.207
79,Sableye-Mega,1.06311,1109,2.101,975,2.358
80,Scizor,0.99242,1162,2.201,923,2.233
81,Clefable,0.95275,1536,2.910,1190,2.878
82,Starmie,0.94587,712,1.349,525,1.270
83,Aggron-Mega,0.91827,507,0.960,435,1.052
84,Whimsicott,0.90212,765,1.449,607,1.468
85,Flygon,0.84625,1628,3.084,1257,3.040
86,Heracross,0.81599,986,1.868,625,1.512
87,Nidoqueen,0.79436,45,0.085,38,0.092
88,Hydreigon,0.72043,1318,2.497,1004,2.429
89,Quagsire,0.67358,394,0.746,341,0.825
90,Alakazam-Mega,0.59780,968,1.834,687,1.662
91,Forretress,0.58657,490,0.928,459,1.110
92,Latios-Mega,0.57428,409,0.775,299,0.723
93,Lycanroc-Dusk,0.56345,1150,2.178,1003,2.426
94,Porygon-Z,0.55195,1513,2.866,1033,2.499
95,Empoleon,0.54472,500,0.947,436,1.055
96,Politoed,0.53480,324,0.614,278,0.672
97,Diancie,0.52738,290,0.549,257,0.622
98,Conkeldurr,0.51683,903,1.711,699,1.691
99,Metagross,0.50619,798,1.512,657,1.589
100,Mr.-Mime,0.49474,283,0.536,210,0.508
101,Rhyperior,0.47554,427,0.809,355,0.859
102,Rhydon,0.45859,203,0.385,162,0.392
103,Beedrill-Mega,0.45476,1752,3.319,1278,3.091
104,Tyranitar-Mega,0.43780,617,1.169,475,1.149
105,Incineroar,0.43596,547,1.036,476,1.151
106,Klefki,0.42078,283,0.536,244,0.590
107,Infernape,0.41360,715,1.354,603,1.459
108,Houndoom-Mega,0.41123,293,0.555,224,0.542
109,Espeon,0.40565,584,1.106,417,1.009
110,Umbreon,0.38516,82,0.155,58,0.140
111,Kingdra,0.37865,199,0.377,135,0.327
112,Thundurus,0.37670,413,0.782,296,0.716
113,Swellow,0.37189,1285,2.434,919,2.223
114,Ribombee,0.37149,849,1.608,774,1.872
115,Hoopa-Unbound,0.36533,1175,2.226,849,2.054
116,Muk-Alola,0.32912,336,0.636,266,0.643
117,Absol-Mega,0.32724,461,0.873,304,0.735
118,Keldeo,0.31965,423,0.801,297,0.718
119,Latias,0.30636,151,0.286,112,0.271
120,Kyurem,0.28005,419,0.794,310,0.750
121,Alomomola,0.27615,253,0.479,216,0.522
122,Charizard-Mega-Y,0.26516,388,0.735,302,0.730
123,Gallade-Mega,0.26462,621,1.176,441,1.067
