Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Incineroar,36.64832,40424,25.945,34570,27.869
2,Slowbro,29.82124,24096,15.466,19429,15.663
3,Steelix,27.80649,25229,16.193,22129,17.839
4,Passimian,26.80953,16299,10.461,13014,10.491
5,Diancie,23.09230,17648,11.327,14944,12.047
6,Braviary,16.64865,15862,10.181,12039,9.705
7,Silvally-Steel,14.71349,10124,6.498,8504,6.855
8,Rotom,14.47319,11199,7.188,9423,7.596
9,Sneasel,14.12185,11958,7.675,9069,7.311
10,Palossand,13.68178,12154,7.801,10369,8.359
11,Decidueye,13.01650,12935,8.302,10452,8.426
12,Whimsicott,12.97239,18700,12.002,15044,12.128
13,Xatu,12.41561,16394,10.522,13277,10.703
14,Heliolisk,12.12276,21263,13.647,16913,13.634
15,Hariyama,9.96920,11228,7.206,9218,7.431
16,Comfey,9.76184,13688,8.785,10440,8.416
17,Vanilluxe,9.64828,9258,5.942,7355,5.929
18,Garbodor,9.28593,9851,6.323,8355,6.735
19,Blastoise,9.21154,14875,9.547,12103,9.757
20,Audino-Mega,8.71396,14227,9.131,10765,8.678
21,Vaporeon,8.39695,14775,9.483,11806,9.517
22,Dhelmise,8.27410,8022,5.149,6760,5.450
23,Golbat,8.19223,12212,7.838,9935,8.009
24,Vileplume,8.08392,12311,7.902,10030,8.086
25,Ferroseed,7.74215,6728,4.318,5980,4.821
26,Aerodactyl,7.73004,8187,5.255,6647,5.358
27,Slowking,7.68567,10086,6.474,7992,6.443
28,Klinklang,7.46546,12540,8.049,9615,7.751
29,Hitmonlee,6.88891,14720,9.448,10949,8.827
30,Sceptile,6.71826,12542,8.050,9393,7.572
31,Medicham,6.48154,11845,7.603,9047,7.293
32,Vikavolt,6.43931,12734,8.173,9959,8.028
33,Delphox,6.20028,15249,9.787,11428,9.213
34,Rhydon,6.06247,11621,7.459,9559,7.706
35,Cryogonal,6.02607,8655,5.555,6663,5.371
36,Druddigon,6.02202,13121,8.421,11436,9.219
37,Scrafty,5.34982,13339,8.561,10216,8.236
38,Sigilyph,5.14881,9412,6.041,7172,5.782
39,Guzzlord,4.83625,7004,4.495,5477,4.415
40,Magmortar,4.29750,4139,2.657,3147,2.537
41,Miltank,4.23455,10282,6.599,8343,6.726
42,Mismagius,4.08368,10969,7.040,8163,6.581
43,Sandslash-Alola,4.01146,1954,1.254,1600,1.290
44,Piloswine,3.91750,7586,4.869,6582,5.306
45,Hoopa,3.79343,3231,2.074,2504,2.019
46,Torterra,3.69746,5370,3.447,4439,3.578
47,Houndoom,3.68949,8999,5.776,6854,5.525
48,Dodrio,3.49191,6662,4.276,4803,3.872
49,Quagsire,3.38745,6063,3.891,4869,3.925
50,Clawitzer,3.17838,12313,7.903,9595,7.735
51,Uxie,2.97785,8807,5.653,7633,6.153
52,Omastar,2.85931,4802,3.082,3795,3.059
53,Kingler,2.82472,1675,1.075,1308,1.054
54,Malamar,2.77998,10178,6.533,8036,6.478
55,Gallade,2.77693,4421,2.838,3413,2.751
56,Vivillon,2.60578,7943,5.098,5833,4.702
57,Toxicroak,2.52028,5331,3.422,4094,3.300
58,Accelgor,2.46290,11603,7.447,9222,7.434
59,Togedemaru,2.39913,1363,0.875,1150,0.927
60,Jellicent,2.22928,9234,5.927,7302,5.887
61,Hitmontop,2.21161,10011,6.425,8136,6.559
62,Articuno,2.19609,1043,0.669,790,0.637
63,Minior,2.07040,11497,7.379,8400,6.772
64,Ambipom,2.01133,17821,11.438,14508,11.696
65,Pyukumuku,2.00261,1425,0.915,1170,0.943
66,Exeggutor-Alola,1.95692,1777,1.141,1393,1.123
67,Qwilfish,1.84455,3512,2.254,3075,2.479
68,Type: Null,1.62126,927,0.595,711,0.573
69,Samurott,1.53165,3702,2.376,2826,2.278
70,Mesprit,1.52714,1965,1.261,1618,1.304
71,Altaria,1.52713,3233,2.075,2436,1.964
72,Froslass,1.48893,4903,3.147,4057,3.271
73,Aromatisse,1.44360,2944,1.890,2283,1.840
74,Probopass,1.40139,1590,1.021,1269,1.023
75,Marowak,1.37338,799,0.513,635,0.512
76,Archeops,1.36259,3706,2.379,2985,2.406
77,Charizard,1.35427,3496,2.244,2691,2.169
78,Spiritomb,1.35079,1437,0.922,1158,0.934
79,Scyther,1.34682,5966,3.829,4535,3.656
80,Kabutops,1.18447,1916,1.230,1589,1.281
81,Cinccino,1.16032,12888,8.272,9909,7.988
82,Gorebyss,1.09604,729,0.468,537,0.433
83,Tangela,1.07818,2054,1.318,1589,1.281
84,Weezing,1.07497,2413,1.549,2031,1.637
85,Skuntank,1.07396,1377,0.884,1115,0.899
86,Typhlosion,1.06402,5674,3.642,4243,3.420
87,Gourgeist-Super,1.06174,844,0.542,705,0.568
88,Vikavolt-Totem,1.05640,191,0.123,158,0.127
89,Ditto,0.94326,1116,0.716,841,0.678
90,Tauros,0.87611,4144,2.660,3018,2.433
91,Electrode,0.78995,1064,0.683,909,0.733
92,Granbull,0.76907,855,0.549,684,0.551
93,Turtonator,0.76045,726,0.466,578,0.466
94,Drampa,0.71872,1486,0.954,1071,0.863
95,Lycanroc,0.70566,985,0.632,832,0.671
96,Absol,0.69367,1132,0.727,836,0.674
97,Claydol,0.66674,2014,1.293,1701,1.371
98,Zangoose,0.66057,1844,1.184,1344,1.083
99,Sandslash,0.64763,2644,1.697,2238,1.804
100,Haunter,0.62844,815,0.523,624,0.503
101,Rampardos,0.61731,1041,0.668,737,0.594
102,Abomasnow,0.60608,585,0.375,469,0.378
103,Jumpluff,0.60019,494,0.317,382,0.308
104,Monferno,0.59003,223,0.143,191,0.154
105,Shuckle,0.55473,3766,2.417,3382,2.726
106,Dugtrio,0.54233,620,0.398,463,0.373
107,Sawk,0.50982,2430,1.560,1846,1.488
108,Silvally-Ghost,0.50242,341,0.219,282,0.227
109,Frogadier,0.49829,593,0.381,476,0.384
110,Aggron,0.47990,1570,1.008,1276,1.029
111,Ninjask,0.46670,582,0.374,460,0.371
112,Clefairy,0.46210,461,0.296,371,0.299
113,Exeggutor,0.46034,942,0.605,718,0.579
114,Gastrodon,0.45543,1055,0.677,872,0.703
115,Lanturn,0.45034,1881,1.207,1550,1.250
116,Arbok,0.44666,667,0.428,518,0.418
117,Crabominable,0.44631,1024,0.657,775,0.625
118,Eelektross,0.43842,1672,1.073,1365,1.100
119,Silvally-Poison,0.43330,122,0.078,98,0.079
120,Lapras,0.43126,819,0.526,627,0.505
121,Silvally-Electric,0.42558,187,0.120,164,0.132
122,Masquerain,0.41788,1341,0.861,1196,0.964
123,Electivire,0.40060,1990,1.277,1555,1.254
124,Wormadam-Trash,0.37626,318,0.204,281,0.227
125,Murkrow,0.36752,254,0.163,202,0.163
126,Liepard,0.35420,1257,0.807,1018,0.821
127,Primeape,0.34157,1288,0.827,999,0.805
128,Ludicolo,0.33247,1334,0.856,1093,0.881
129,Regice,0.33013,738,0.474,575,0.464
130,Oricorio-Pom-Pom,0.32281,69,0.044,54,0.044
131,Ursaring,0.30969,741,0.476,553,0.446
132,Victreebel,0.30899,780,0.501,628,0.506
133,Stoutland,0.30554,1681,1.079,1266,1.021
134,Hitmonchan,0.28868,1667,1.070,1283,1.034
135,Persian-Alola,0.27182,829,0.532,699,0.563
136,Regirock,0.27122,1500,0.963,1336,1.077
137,Sableye,0.25704,1197,0.768,1017,0.820
138,Simipour,0.24064,413,0.265,317,0.256
139,Jynx,0.21765,599,0.384,423,0.341
140,Slaking,0.21660,735,0.472,595,0.480
141,Swanna,0.21118,381,0.245,312,0.252
142,Aurorus,0.21037,737,0.473,605,0.488
143,Crustle,0.20700,812,0.521,695,0.560
144,Silvally-Water,0.20128,525,0.337,430,0.347
145,Hippopotas,0.20113,492,0.316,460,0.371
146,Smeargle,0.19130,738,0.474,646,0.521
147,Togetic,0.19004,433,0.278,336,0.271
148,Clamperl,0.18670,92,0.059,63,0.051
149,Lurantis,0.18356,607,0.390,476,0.384
150,Kangaskhan,0.18167,420,0.270,337,0.272
151,Cradily,0.17866,1094,0.702,902,0.727
152,Rotom-Frost,0.17654,521,0.334,435,0.351
153,Audino,0.17581,725,0.465,581,0.468
154,Muk,0.17261,1967,1.262,1501,1.210
155,Pinsir,0.17002,701,0.450,515,0.415
156,Mudsdale,0.16921,784,0.503,651,0.525
157,Kecleon,0.16857,726,0.466,604,0.487
158,Raichu-Alola,0.16738,1087,0.698,840,0.677
159,Chatot,0.16252,707,0.454,568,0.458
160,Oricorio-Sensu,0.16120,291,0.187,233,0.188
161,Golurk,0.15936,1296,0.832,1015,0.818
162,Lilligant,0.15933,816,0.524,630,0.508
163,Manectric,0.15850,1052,0.675,833,0.672
