Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Slowbro,32.54700,1752,17.268,1369,17.390
2,Incineroar,26.42987,2255,22.226,1840,23.372
3,Gigalith,24.65948,1180,11.630,1061,13.477
4,Whimsicott,23.53021,1476,14.548,1186,15.065
5,Silvally-Steel,22.95055,863,8.506,747,9.489
6,Sandslash,21.60140,569,5.608,458,5.818
7,Stoutland,21.59889,633,6.239,469,5.957
8,Palossand,18.94050,731,7.205,624,7.926
9,Passimian,18.13340,873,8.604,688,8.739
10,Xatu,17.74893,1012,9.974,798,10.137
11,Diancie,16.28760,897,8.841,758,9.628
12,Steelix,15.95833,1483,14.617,1277,16.221
13,Audino-Mega,13.96760,907,8.939,652,8.282
14,Heliolisk,13.20632,1511,14.893,1201,15.256
15,Cryogonal,12.61908,497,4.898,357,4.535
16,Pyukumuku,9.88134,156,1.538,129,1.639
17,Vaporeon,9.35569,737,7.264,553,7.024
18,Garbodor,9.24715,624,6.150,526,6.681
19,Sneasel,9.23831,626,6.170,459,5.830
20,Braviary,8.69774,684,6.742,501,6.364
21,Sandslash-Alola,8.57967,104,1.025,80,1.016
22,Delphox,8.55485,961,9.472,709,9.006
23,Ferroseed,8.42372,316,3.115,284,3.607
24,Vileplume,8.32656,962,9.482,738,9.374
25,Sceptile,8.28014,817,8.052,605,7.685
26,Comfey,7.92663,774,7.629,567,7.202
27,Sigilyph,7.83207,961,9.472,720,9.146
28,Weezing,6.96485,281,2.770,174,2.210
29,Toxicroak,6.96400,1017,10.024,703,8.930
30,Blastoise,6.89249,956,9.422,801,10.175
31,Rotom,6.88531,700,6.899,604,7.672
32,Samurott,6.57108,252,2.484,179,2.274
33,Hariyama,5.54765,669,6.594,533,6.770
34,Slowking,5.51318,661,6.515,515,6.542
35,Cinccino,5.46772,848,8.358,645,8.193
36,Golbat,5.37136,640,6.308,511,6.491
37,Accelgor,5.25472,667,6.574,520,6.605
38,Torterra,4.82946,251,2.474,202,2.566
39,Vikavolt,4.73593,763,7.520,598,7.596
40,Klinklang,4.69406,771,7.599,588,7.469
41,Scyther,4.67831,630,6.209,477,6.059
42,Dodrio,4.47718,452,4.455,345,4.382
43,Medicham,4.42712,563,5.549,419,5.322
44,Miltank,4.26698,652,6.426,510,6.478
45,Uxie,4.20218,544,5.362,446,5.665
46,Vanilluxe,3.85575,474,4.672,343,4.357
47,Kabutops,3.69136,127,1.252,102,1.296
48,Rhydon,3.52288,708,6.978,563,7.151
49,Hitmonlee,3.28390,923,9.097,689,8.752
50,Druddigon,3.09739,731,7.205,645,8.193
51,Ambipom,2.94653,1129,11.128,923,11.724
52,Malamar,2.86528,742,7.313,594,7.545
53,Lilligant,2.84633,38,0.375,23,0.292
54,Jellicent,2.77922,767,7.560,582,7.393
55,Scrafty,2.68986,761,7.500,586,7.444
56,Hitmontop,2.66958,661,6.515,523,6.643
57,Vivillon,2.62517,435,4.287,287,3.646
58,Gallade,2.61984,305,3.006,236,2.998
59,Sawk,2.34478,142,1.400,100,1.270
60,Exeggutor-Alola,2.30485,85,0.838,66,0.838
61,Clawitzer,2.25151,730,7.195,541,6.872
62,Omastar,2.14525,408,4.021,322,4.090
63,Houndoom,2.06630,662,6.525,508,6.453
64,Minior,2.06203,801,7.895,542,6.885
65,Piloswine,2.05367,490,4.829,424,5.386
66,Archeops,2.02328,219,2.158,183,2.325
67,Mismagius,1.79340,855,8.427,610,7.748
68,Froslass,1.78816,526,5.184,430,5.462
69,Aromatisse,1.50623,418,4.120,273,3.468
70,Probopass,1.49919,40,0.394,37,0.470
71,Gastrodon,1.49674,121,1.193,105,1.334
72,Tangela,1.49343,147,1.449,110,1.397
73,Altaria,1.37815,382,3.765,305,3.874
74,Lycanroc,1.13414,125,1.232,104,1.321
75,Marowak,1.13006,50,0.493,39,0.495
76,Qwilfish,1.10270,483,4.760,425,5.399
77,Typhlosion,0.93722,331,3.262,220,2.795
78,Guzzlord,0.93332,376,3.706,297,3.773
79,Clefairy,0.84843,58,0.572,54,0.686
80,Rotom-Frost,0.84506,55,0.542,43,0.546
81,Swanna,0.78987,48,0.473,39,0.495
82,Tauros,0.77146,222,2.188,150,1.905
83,Magmortar,0.76881,214,2.109,164,2.083
84,Mesprit,0.65152,92,0.907,69,0.876
85,Skuntank,0.62740,83,0.818,63,0.800
86,Ninjask,0.61595,49,0.483,34,0.432
87,Poliwrath,0.61544,71,0.700,54,0.686
88,Carracosta,0.58721,84,0.828,59,0.749
89,Gurdurr,0.52866,58,0.572,47,0.597
90,Regice,0.52860,62,0.611,46,0.584
91,Dugtrio-Alola,0.51193,59,0.582,45,0.572
92,Charizard,0.49863,258,2.543,189,2.401
93,Gourgeist-Super,0.49484,75,0.739,62,0.788
94,Ampharos,0.47042,48,0.473,29,0.368
95,Lanturn,0.46483,101,0.995,84,1.067
96,Sawsbuck,0.45125,63,0.621,43,0.546
97,Golurk,0.45105,92,0.907,74,0.940
98,Pyroar,0.42612,86,0.848,55,0.699
99,Drifblim,0.41574,77,0.759,61,0.775
100,Shuckle,0.40038,130,1.281,114,1.448
101,Absol,0.39296,60,0.591,48,0.610
102,Liepard,0.38118,134,1.321,108,1.372
103,Haunter,0.36789,100,0.986,61,0.775
104,Honedge,0.34773,2,0.020,2,0.025
105,Electrode,0.34135,315,3.105,289,3.671
106,Komala,0.34022,45,0.444,30,0.381
107,Silvally-Poison,0.33739,20,0.197,17,0.216
108,Ditto,0.29687,91,0.897,71,0.902
109,Silvally-Water,0.28878,41,0.404,34,0.432
110,Claydol,0.28080,62,0.611,44,0.559
111,Bronzor,0.27696,19,0.187,18,0.229
112,Drampa,0.27539,88,0.867,63,0.800
113,Gloom,0.27219,19,0.187,15,0.191
114,Electivire,0.25014,153,1.508,112,1.423
115,Type:-Null,0.24978,75,0.739,62,0.788
