Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Tapu-Koko,31.58956,10247,29.292,8053,29.781
2,Chansey,27.19710,3655,10.448,2782,10.288
3,Keldeo,24.60241,8077,23.089,5823,21.534
4,Ferrothorn,21.65885,3536,10.108,3070,11.353
5,Naganadel,19.96221,6012,17.186,4492,16.612
6,Sableye-Mega,17.09016,676,1.932,611,2.260
7,Gyarados,15.87644,3606,10.308,2979,11.017
8,Clefable,15.78379,818,2.338,569,2.104
9,Toxapex,14.67925,1779,5.085,1356,5.015
10,Landorus-Therian,14.36564,6127,17.515,4919,18.191
11,Latios-Mega,12.77968,2222,6.352,1574,5.821
12,Alomomola,11.92815,330,0.943,262,0.969
13,Tangrowth,11.69035,1312,3.751,1029,3.805
14,Reshiram,11.11477,1567,4.479,1222,4.519
15,Swampert-Mega,10.84539,2838,8.113,2361,8.731
16,Skarmory,10.42539,1498,4.282,1226,4.534
17,Pelipper,10.24256,2923,8.356,2721,10.062
18,Magearna,9.55623,4209,12.032,3281,12.133
19,Tapu-Bulu,9.49760,5187,14.828,3837,14.190
20,Nidoking,9.19421,4289,12.261,3257,12.045
21,Celesteela,9.15283,1426,4.076,1142,4.223
22,Charizard-Mega-Y,8.94983,4296,12.281,3268,12.085
23,Hippowdon,8.74277,1588,4.539,1368,5.059
24,Darmanitan,8.38145,2643,7.555,1963,7.259
25,Alakazam-Mega,7.31783,4449,12.718,3325,12.296
26,Kartana,7.22999,4568,13.058,3509,12.977
27,Sceptile-Mega,7.19881,2988,8.542,2232,8.254
28,Latios,7.04555,2762,7.895,1935,7.156
29,Dragonite,6.87955,2100,6.003,1564,5.784
30,Amoonguss,6.78660,442,1.264,369,1.365
31,Azumarill,6.57698,2594,7.415,1958,7.241
32,Marshadow,5.83378,1626,4.648,1228,4.541
33,Zapdos,4.96379,834,2.384,673,2.489
34,Togekiss,4.96299,2293,6.555,1742,6.442
35,Garchomp,4.93069,2352,6.723,1896,7.012
36,Gliscor,4.85209,628,1.795,516,1.908
37,Regigigas,4.34159,2497,7.138,1899,7.023
38,Excadrill,4.31295,2416,6.906,2083,7.703
39,Machamp,4.21761,1903,5.440,1454,5.377
40,Greninja,3.80426,1953,5.583,1551,5.736
41,Nihilego,3.66494,1908,5.454,1500,5.547
42,Hoopa-Unbound,3.64026,1333,3.811,906,3.350
43,Mamoswine,3.62420,1366,3.905,1136,4.201
44,Scizor-Mega,3.62246,1486,4.248,1226,4.534
45,Araquanid,3.59269,2348,6.712,2156,7.973
46,Pyukumuku,3.44575,110,0.314,89,0.329
47,Zygarde,3.33922,790,2.258,571,2.112
48,Metagross-Mega,3.21646,777,2.221,640,2.367
49,Porygon-Z,3.15153,1927,5.509,1297,4.796
50,Sylveon,3.09664,1096,3.133,835,3.088
51,Weavile,3.04156,2573,7.355,1831,6.771
52,Gardevoir-Mega,2.97975,1520,4.345,1108,4.097
53,Mantine,2.93896,1149,3.285,923,3.413
54,Tyranitar-Mega,2.92754,622,1.778,514,1.901
55,Jirachi,2.92376,467,1.335,388,1.435
56,Crobat,2.73106,1077,3.079,819,3.029
57,Toucannon,2.61189,1999,5.714,1480,5.473
58,Volcarona,2.58050,1438,4.111,1081,3.998
59,Garchomp-Mega,2.55681,667,1.907,488,1.805
60,Rampardos,2.54146,1209,3.456,865,3.199
61,Tornadus-Therian,2.51088,495,1.415,392,1.450
62,Empoleon,2.39506,1396,3.991,1114,4.120
63,Greninja-Ash,2.36352,1428,4.082,1078,3.987
64,Sceptile,2.28027,951,2.719,649,2.400
65,Golem-Alola,2.20759,1452,4.151,1102,4.075
66,Alakazam,2.20377,1603,4.582,1134,4.194
67,Gallade-Mega,2.11566,911,2.604,667,2.467
68,Tsareena,2.08004,97,0.277,76,0.281
69,Accelgor,2.05238,314,0.898,286,1.058
70,Rotom-Wash,1.92611,236,0.675,205,0.758
71,Gastrodon,1.91454,213,0.609,174,0.643
72,Shuckle,1.91438,804,2.298,749,2.770
73,Tyranitar,1.81643,1901,5.434,1542,5.702
74,Zeraora,1.76455,880,2.516,714,2.640
75,Pyroar,1.70374,1288,3.682,981,3.628
76,Ditto,1.69651,284,0.812,205,0.758
77,Tapu-Fini,1.66609,593,1.695,486,1.797
78,Cryogonal,1.66099,344,0.983,286,1.058
79,Gengar,1.64179,1340,3.831,1013,3.746
80,Yanmega,1.61469,299,0.855,245,0.906
81,Diancie-Mega,1.60010,470,1.344,388,1.435
82,Gyarados-Mega,1.54465,801,2.290,678,2.507
83,Thundurus-Therian,1.52906,493,1.409,377,1.394
84,Tauros,1.48823,905,2.587,694,2.566
85,Tentacruel,1.45690,471,1.346,375,1.387
86,Entei,1.44613,206,0.589,153,0.566
87,Quagsire,1.39683,178,0.509,122,0.451
88,Heatran,1.37561,985,2.816,802,2.966
89,Thundurus,1.28731,400,1.143,302,1.117
90,Gigalith,1.28482,279,0.798,226,0.836
91,Azelf,1.27353,302,0.863,280,1.035
92,Steelix,1.20402,621,1.775,554,2.049
93,Ribombee,1.16287,561,1.604,514,1.901
94,Swellow,1.14299,664,1.898,514,1.901
95,Milotic,1.12765,510,1.458,370,1.368
96,Lopunny-Mega,1.06777,1080,3.087,807,2.984
97,Banette-Mega,1.06075,771,2.204,577,2.134
98,Poliwrath,0.96136,232,0.663,172,0.636
99,Klefki,0.95852,157,0.449,136,0.503
100,Slowbro,0.82501,234,0.669,189,0.699
101,Politoed,0.81439,267,0.763,235,0.869
102,Serperior,0.75002,296,0.846,230,0.851
103,Scizor,0.73855,696,1.990,572,2.115
104,Rhyperior,0.72485,712,2.035,592,2.189
105,Jellicent,0.69696,76,0.217,62,0.229
106,Kyurem-White,0.68722,588,1.681,427,1.579
107,Mandibuzz,0.68682,126,0.360,104,0.385
108,Xurkitree,0.68338,503,1.438,377,1.394
109,Dhelmise,0.67539,450,1.286,366,1.354
110,Kommo-o,0.65746,486,1.389,372,1.376
111,Goodra,0.63845,417,1.192,325,1.202
112,Whimsicott,0.63458,205,0.586,170,0.629
113,Roserade,0.59506,525,1.501,401,1.483
114,Latias-Mega,0.58594,167,0.477,132,0.488
115,Victini,0.54760,409,1.169,317,1.172
116,Metagross,0.52488,467,1.335,391,1.446
117,Reuniclus,0.51676,497,1.421,408,1.509
118,Rhydon,0.49690,115,0.329,101,0.374
119,Qwilfish,0.48587,28,0.080,23,0.085
120,Mew,0.47861,740,2.115,609,2.252
121,Zoroark,0.46195,382,1.092,192,0.710
122,Porygon2,0.45674,175,0.500,141,0.521
123,Aggron-Mega,0.44072,565,1.615,480,1.775
124,Slowbro-Mega,0.41744,317,0.906,256,0.947
125,Manaphy,0.40795,145,0.414,102,0.377
126,Golurk,0.40794,179,0.512,144,0.533
127,Avalugg,0.40522,318,0.909,250,0.925
128,Volcanion,0.38636,379,1.083,305,1.128
129,Illumise,0.38586,24,0.069,23,0.085
130,Uxie,0.37188,324,0.926,314,1.161
131,Kingdra,0.36594,185,0.529,119,0.440
132,Slurpuff,0.36171,409,1.169,346,1.280
133,Snorlax,0.36102,422,1.206,359,1.328
134,Kabutops,0.34406,147,0.420,99,0.366
135,Hydreigon,0.33749,331,0.946,250,0.925
136,Banette,0.33593,31,0.089,20,0.074
137,Beedrill-Mega,0.33000,630,1.801,459,1.697
138,Blastoise,0.32902,391,1.118,297,1.098
139,Latias,0.32895,222,0.635,172,0.636
140,Tornadus,0.32847,416,1.189,296,1.095
