Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Sableye-Mega,38.38975,16,9.639,16,12.632
2,Aegislash,29.52853,19,11.446,16,12.632
3,Breloom,29.40067,14,8.434,12,9.474
4,Amoonguss,29.29193,11,6.627,8,6.316
5,Landorus-Therian,28.78861,8,4.819,8,6.316
6,Munchlax,27.95005,8,4.819,7,5.526
7,Ho-Oh,27.95001,3,1.807,3,2.368
8,Gastrodon,27.95001,3,1.807,3,2.368
9,Scizor,25.06317,10,6.024,7,5.526
10,Ferrothorn,21.30681,11,6.627,7,5.526
11,Skarmory,15.52831,7,4.217,4,3.158
12,Solosis,14.05089,16,9.639,12,9.474
13,Trapinch,13.72920,3,1.807,2,1.579
14,Smeargle,13.68713,21,12.651,20,15.789
15,Rotom-Wash,13.65577,6,3.614,5,3.947
16,Litwick,13.64501,3,1.807,1,0.789
17,Blaziken,13.57367,17,10.241,16,12.632
18,Togekiss,13.56710,2,1.205,2,1.579
19,Gabite,13.56710,2,1.205,2,1.579
20,Clefable,12.66286,23,13.855,18,14.211
21,Haunter,11.62838,5,3.012,4,3.158
22,Mantine,11.49606,5,3.012,4,3.158
23,Naganadel,11.49606,2,1.205,2,1.579
24,Quagsire,11.30345,5,3.012,5,3.947
25,Butterfree,11.26976,4,2.410,2,1.579
26,Pikipek,11.26974,2,1.205,2,1.579
27,Lileep,11.26974,2,1.205,2,1.579
28,Magnemite,11.26974,4,2.410,3,2.368
29,Slowbro,11.26974,2,1.205,2,1.579
30,Chansey,9.29835,6,3.614,4,3.158
31,Mandibuzz,8.98060,1,0.602,0,0.000
32,Houndour,4.06183,5,3.012,5,3.947
33,Mimikyu,4.06155,3,1.807,3,2.368
34,Woobat,4.06115,2,1.205,1,0.789
35,Marshadow,4.06115,2,1.205,0,0.000
36,Meditite,3.48447,17,10.241,13,10.263
37,Beedrill-Mega,2.70868,24,14.458,16,12.632
38,Azumarill,2.19349,16,9.639,13,10.263
39,Bellossom,2.13591,1,0.602,1,0.789
40,Pelipper,1.62949,20,12.048,19,15.000
41,Wooper,1.35352,14,8.434,12,9.474
42,Omanyte,1.26622,12,7.229,8,6.316
43,Politoed,1.26622,12,7.229,11,8.684
44,Lotad,1.26622,10,6.024,7,5.526
45,Misdreavus,1.04495,2,1.205,2,1.579
46,Pawniard,1.03936,2,1.205,2,1.579
47,Drilbur,1.03936,6,3.614,4,3.158
48,Araquanid,1.03935,1,0.602,1,0.789
49,Larvesta,1.03935,1,0.602,1,0.789
50,Mawile,1.03935,1,0.602,1,0.789
51,Toxapex,0.90769,6,3.614,3,2.368
52,Tornadus-Therian,0.80730,3,1.807,2,1.579
53,Forretress,0.76346,4,2.410,4,3.158
54,Zygarde-10,0.72596,7,4.217,6,4.737
55,Duosion,0.72596,3,1.807,1,0.789
56,Lunala,0.72596,5,3.012,4,3.158
57,Audino,0.70990,4,2.410,3,2.368
58,Yungoos,0.58452,10,6.024,7,5.526
59,Rattata-Alola,0.54926,6,3.614,4,3.158
60,Darumaka,0.52937,5,3.012,5,3.947
61,Meowth-Alola,0.41244,4,2.410,1,0.789
62,Vulpix-Alola,0.40590,4,2.410,3,2.368
63,Sandile,0.40588,10,6.024,8,6.316
64,Ribombee,0.40588,2,1.205,1,0.789
65,Paras,0.36326,5,3.012,5,3.947
66,Horsea,0.36326,5,3.012,5,3.947
67,Honedge,0.36326,5,3.012,4,3.158
68,Riolu,0.35955,4,2.410,3,2.368
69,Tapu-Bulu,0.35955,5,3.012,4,3.158
70,Gliscor,0.35955,3,1.807,3,2.368
71,Grimer-Alola,0.35955,3,1.807,3,2.368
72,Serperior,0.30506,4,2.410,2,1.579
73,Manectric-Mega,0.30466,3,1.807,0,0.000
74,Talonflame,0.30466,3,1.807,1,0.789
75,Zorua,0.24556,5,3.012,2,1.579
76,Tirtouga,0.20868,3,1.807,2,1.579
77,Hitmontop,0.20405,11,6.627,7,5.526
78,Krabby,0.19782,6,3.614,4,3.158
79,Cyndaquil,0.19742,3,1.807,2,1.579
80,Pichu,0.19742,3,1.807,2,1.579
81,Kecleon,0.18692,3,1.807,3,2.368
82,Togetic,0.18692,4,2.410,3,2.368
83,Staraptor,0.18692,1,0.602,1,0.789
84,Cranidos,0.18668,14,8.434,10,7.895
85,Persian-Alola,0.18600,1,0.602,1,0.789
86,Slowking,0.18600,1,0.602,1,0.789
87,Medicham,0.18600,1,0.602,1,0.789
88,Diglett,0.18046,2,1.205,2,1.579
89,Anorith,0.15458,2,1.205,2,1.579
90,Staryu,0.13232,1,0.602,1,0.789
91,Marowak-Alola,0.08867,4,2.410,1,0.789
