Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Landorus-Therian,66.84153,76,34.862,70,39.886
2,Tapu-Bulu,41.60646,21,9.633,18,10.256
3,Scizor-Mega,41.47935,18,8.257,17,9.687
4,Alakazam,37.73128,19,8.716,13,7.407
5,Sylveon,35.82852,40,18.349,28,15.954
6,Rotom-Wash,35.58243,38,17.431,34,19.373
7,Celesteela,35.28617,26,11.927,23,13.105
8,Keldeo,32.87238,43,19.725,33,18.803
9,Ferrothorn,31.75797,39,17.890,33,18.803
10,Hoopa-Unbound,24.17492,35,16.055,27,15.385
11,Aerodactyl,24.04499,44,20.183,33,18.803
12,Charizard-Mega-X,23.59217,23,10.550,18,10.256
13,Thundurus,19.32907,36,16.514,27,15.385
14,Meloetta,10.29495,14,6.422,10,5.698
15,Steelix-Mega,9.99175,10,4.587,10,5.698
16,Dragonite,9.95051,10,4.587,8,4.558
17,Cloyster,9.95049,8,3.670,5,2.849
18,Garchomp,9.42813,25,11.468,22,12.536
19,Greninja-Ash,8.94874,34,15.596,27,15.385
20,Sableye-Mega,8.29679,23,10.550,19,10.826
21,Pidgeot-Mega,8.05431,41,18.807,33,18.803
22,Heatran,6.80260,15,6.881,12,6.838
23,Hawlucha,6.80260,4,1.835,2,1.140
24,Snorlax,6.35236,13,5.963,9,5.128
25,Cobalion,6.35232,9,4.128,6,3.419
26,Steelix,6.35232,3,1.376,2,1.140
27,Yanmega,3.69791,10,4.587,9,5.128
28,Chansey,3.47215,19,8.716,17,9.687
29,Tangrowth,3.08276,5,2.294,4,2.279
30,Mawile-Mega,3.08083,4,1.835,2,1.140
31,Chandelure,1.98379,9,4.128,6,3.419
32,Infernape,1.94245,9,4.128,8,4.558
33,Beedrill-Mega,1.92823,8,3.670,7,3.989
34,Seismitoad,1.92823,6,2.752,6,3.419
35,Talonflame,1.59508,9,4.128,7,3.989
36,Blastoise-Mega,1.34955,4,1.835,4,2.279
37,Crustle,1.34955,4,1.835,4,2.279
38,Scizor,1.00911,11,5.046,11,6.268
39,Pelipper,0.97637,7,3.211,7,3.989
40,Kingdra,0.97637,5,2.294,4,2.279
41,Swampert-Mega,0.95286,5,2.294,5,2.849
42,Jolteon,0.95092,2,0.917,1,0.570
43,Goodra,0.95092,1,0.459,0,0.000
44,Excadrill,0.81782,17,7.798,9,5.128
45,Tyranitar,0.79117,40,18.349,34,19.373
46,Celebi,0.58533,2,0.917,2,1.140
47,Toxapex,0.57842,12,5.505,7,3.989
48,Mimikyu,0.57338,14,6.422,13,7.407
49,Milotic,0.53500,7,3.211,7,3.989
50,Forretress,0.53500,7,3.211,7,3.989
51,Lycanroc-Dusk,0.49895,6,2.752,6,3.419
52,Terrakion,0.47569,7,3.211,3,1.709
53,Drapion,0.47569,3,1.376,1,0.570
54,Garchomp-Mega,0.33800,4,1.835,4,2.279
55,Quagsire,0.31856,6,2.752,5,2.849
56,Whimsicott,0.29824,10,4.587,8,4.558
57,Pyukumuku,0.25986,3,1.376,2,1.140
58,Hippowdon,0.25230,9,4.128,7,3.989
59,Gengar,0.25157,12,5.505,9,5.128
60,Gastrodon,0.25157,2,0.917,2,1.140
61,Altaria-Mega,0.25041,11,5.046,9,5.128
62,Medicham-Mega,0.19925,4,1.835,3,1.709
63,Araquanid,0.19056,17,7.798,13,7.407
64,Skarmory,0.18205,9,4.128,8,4.558
65,Scolipede,0.17618,5,2.294,4,2.279
66,Bronzong,0.15829,1,0.459,1,0.570
67,Uxie,0.15829,1,0.459,1,0.570
68,Marowak-Alola,0.15829,5,2.294,4,2.279
69,Cofagrigus,0.15829,1,0.459,1,0.570
70,Abomasnow-Mega,0.15829,1,0.459,1,0.570
71,Venusaur-Mega,0.13673,5,2.294,4,2.279
72,Togedemaru,0.10769,5,2.294,4,2.279
73,Magearna,0.10470,6,2.752,4,2.279
74,Stakataka,0.10470,3,1.376,3,1.709
75,Espeon,0.10470,3,1.376,3,1.709
76,Swampert,0.10064,4,1.835,3,1.709
77,Charizard-Mega-Y,0.08575,14,6.422,11,6.268
78,Buzzwole,0.08505,4,1.835,2,1.140
79,Volcanion,0.06709,3,1.376,2,1.140
80,Mandibuzz,0.04927,8,3.670,7,3.989
81,Jellicent,0.04126,4,1.835,3,1.709
82,Liepard,0.03838,5,2.294,4,2.279
83,Blissey,0.03838,5,2.294,5,2.849
84,Thundurus-Therian,0.02650,5,2.294,4,2.279
85,Rotom-Heat,0.02620,5,2.294,5,2.849
86,Decidueye,0.02584,5,2.294,4,2.279
87,Heracross,0.02584,3,1.376,2,1.140
88,Zygarde,0.02551,6,2.752,5,2.849
89,Zebstrika,0.02551,2,0.917,2,1.140
90,Pinsir-Mega,0.02346,3,1.376,3,1.709
91,Golem-Alola,0.02324,2,0.917,2,1.140
92,Empoleon,0.02324,2,0.917,2,1.140
93,Ninetales-Alola,0.02324,3,1.376,3,1.709
94,Lopunny-Mega,0.02175,7,3.211,6,3.419
95,Ribombee,0.02175,1,0.459,1,0.570
96,Mimikyu-Totem,0.02175,1,0.459,1,0.570
97,Trevenant,0.01721,1,0.459,0,0.000
98,Togekiss,0.01426,6,2.752,6,3.419
99,Hydreigon,0.01422,3,1.376,2,1.140
100,Tapu-Fini,0.00353,13,5.963,13,7.407
101,Diggersby,0.00281,4,1.835,3,1.709
102,Golurk,0.00255,3,1.376,2,1.140
103,Heliolisk,0.00255,3,1.376,1,0.570
104,Conkeldurr,0.00255,3,1.376,2,1.140
105,Porygon2,0.00072,6,2.752,2,1.140
106,Arcanine,0.00072,6,2.752,6,3.419
107,Oricorio-Sensu,0.00046,2,0.917,2,1.140
108,Masquerain,0.00046,2,0.917,2,1.140
109,Rampardos,0.00036,1,0.459,1,0.570
110,Klefki,0.00036,1,0.459,1,0.570
111,Charizard,0.00022,1,0.459,1,0.570
112,Galvantula,0.00002,5,2.294,4,2.279
113,Diancie-Mega,0.00002,4,1.835,4,2.279
114,Jirachi,0.00002,1,0.459,1,0.570
115,Gyarados,0.00001,2,0.917,2,1.140
116,Walrein,0.00001,4,1.835,3,1.709
117,Jumpluff,0.00001,1,0.459,1,0.570
118,Electivire,0.00001,1,0.459,0,0.000
119,Ninetales,0.00001,2,0.917,2,1.140
120,Azelf,0.00001,1,0.459,0,0.000
121,Weavile,0.00001,3,1.376,1,0.570
122,Greninja,0.00000,1,0.459,1,0.570
123,Lanturn,0.00000,1,0.459,1,0.570
124,Muk-Alola,0.00000,1,0.459,1,0.570
125,Amoonguss,0.00000,1,0.459,1,0.570
126,Nihilego,0.00000,1,0.459,0,0.000
127,Mew,0.00000,1,0.459,1,0.570
128,Kabutops,0.00000,1,0.459,0,0.000
129,Umbreon,0.00000,3,1.376,2,1.140
130,Bisharp,0.00000,7,3.211,7,3.989
131,Gallade-Mega,0.00000,3,1.376,2,1.140
132,Tyranitar-Mega,0.00000,1,0.459,1,0.570
133,Honchkrow,0.00000,1,0.459,1,0.570
134,Spiritomb,0.00000,1,0.459,1,0.570
135,Beedrill,0.00000,3,1.376,3,1.709
136,Machamp,0.00000,2,0.917,2,1.140
137,Gliscor,0.00000,2,0.917,1,0.570
138,Alakazam-Mega,0.00000,1,0.459,1,0.570
139,Exeggutor-Alola,0.00000,3,1.376,3,1.709
140,Kommo-o,0.00000,2,0.917,2,1.140
141,Vulpix-Alola,0.00000,4,1.835,0,0.000
142,Lucario,0.00000,1,0.459,0,0.000
143,Raticate,0.00000,1,0.459,1,0.570
144,Doublade,0.00000,1,0.459,0,0.000
145,Aggron,0.00000,1,0.459,0,0.000
146,Ampharos,0.00000,2,0.917,1,0.570
147,Leafeon,0.00000,1,0.459,1,0.570
148,Incineroar,0.00000,2,0.917,2,1.140
149,Gyarados-Mega,0.00000,1,0.459,1,0.570
150,Salamence,0.00000,5,2.294,4,2.279
151,Arbok,0.00000,1,0.459,0,0.000
152,Absol-Mega,0.00000,2,0.917,2,1.140
153,Glaceon,0.00000,1,0.459,1,0.570
154,Bellossom,0.00000,1,0.459,1,0.570
155,Latios,0.00000,5,2.294,5,2.849
156,Aron,0.00000,1,0.459,1,0.570
157,Bewear,0.00000,1,0.459,1,0.570
158,Electrode,0.00000,4,1.835,4,2.279
159,Dragalge,0.00000,1,0.459,1,0.570
160,Barbaracle,0.00000,1,0.459,1,0.570
161,Virizion,0.00000,1,0.459,1,0.570
162,Froslass,0.00000,2,0.917,2,1.140
163,Tyrantrum,0.00000,2,0.917,2,1.140
164,Houndoom-Mega,0.00000,1,0.459,1,0.570
165,Slowking,0.00000,1,0.459,1,0.570
166,Drampa,0.00000,1,0.459,1,0.570
167,Rotom-Mow,0.00000,1,0.459,1,0.570
168,Medicham,0.00000,1,0.459,0,0.000
169,Typhlosion,0.00000,1,0.459,0,0.000
170,Metagross,0.00000,3,1.376,2,1.140
171,Nidoking,0.00000,1,0.459,1,0.570
172,Zapdos,0.00000,1,0.459,0,0.000
173,Moltres,0.00000,1,0.459,1,0.570
174,Flareon,0.00000,1,0.459,1,0.570
175,Tornadus-Therian,0.00000,3,1.376,3,1.709
176,Xatu,0.00000,1,0.459,1,0.570
177,Magmortar,0.00000,1,0.459,0,0.000
178,Abomasnow,0.00000,1,0.459,1,0.570
179,Sigilyph,0.00000,1,0.459,1,0.570
180,Latios-Mega,0.00000,2,0.917,1,0.570
181,Malamar,0.00000,1,0.459,1,0.570
182,Entei,0.00000,2,0.917,2,1.140
183,Magnezone,0.00000,1,0.459,1,0.570
184,Volbeat,0.00000,1,0.459,1,0.570
