Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Murkrow,56.26650,21,11.798,20,14.670
2,Absol-Mega,49.15322,25,14.045,18,13.203
3,Smeargle,49.15048,114,64.045,95,69.682
4,Mismagius,48.16097,24,13.483,21,15.403
5,Charizard,46.85069,38,21.348,33,24.205
6,Tapu-Bulu,45.59396,7,3.933,7,5.134
7,Xatu,45.59396,9,5.056,8,5.868
8,Abra,23.20707,17,9.551,11,8.068
9,Gengar-Mega,18.32225,11,6.180,11,8.068
10,Smoochum,17.68895,4,2.247,2,1.467
11,Paras,17.68883,3,1.685,2,1.467
12,Persian-Alola,17.68883,2,1.124,2,1.467
13,Gastly,12.05043,17,9.551,11,8.068
14,Mewtwo,11.75404,20,11.236,17,12.469
15,Poliwag,10.28868,15,8.427,15,11.002
16,Liepard,9.83410,2,1.124,2,1.467
17,Latias,9.83410,2,1.124,2,1.467
18,Accelgor,7.16757,16,8.989,16,11.736
19,Salazzle,7.01209,13,7.303,12,8.802
20,Floatzel,7.01209,9,5.056,7,5.134
21,Alakazam,7.01209,11,6.180,10,7.335
22,Medicham,7.01209,9,5.056,7,5.134
23,Espeon,5.91503,32,17.978,27,19.804
24,Gothitelle,5.25693,22,12.360,17,12.469
25,Magikarp,5.01721,15,8.427,12,8.802
26,Alomomola,4.99911,12,6.742,8,5.868
27,Feebas,4.97814,5,2.809,2,1.467
28,Ralts,4.97814,8,4.494,2,1.467
29,Wishiwashi,4.97814,5,2.809,5,3.667
30,Slowpoke,4.56788,19,10.674,16,11.736
31,Darmanitan,4.48716,7,3.933,5,3.667
32,Dugtrio,4.09990,12,6.742,10,7.335
33,Braixen,3.43589,2,1.124,2,1.467
34,Marowak-Alola,2.81212,20,11.236,17,12.469
35,Sunkern,2.26240,18,10.112,14,10.269
36,Gothita,2.03707,15,8.427,11,8.068
37,Aerodactyl,1.91525,10,5.618,8,5.868
38,Pichu,1.91525,12,6.742,6,4.401
39,Snorlax,1.76120,11,6.180,11,8.068
40,Charmander,1.72213,9,5.056,9,6.601
41,Ditto,1.55263,25,14.045,25,18.337
42,Mightyena,1.26507,10,5.618,9,6.601
43,Slowking,1.03453,5,2.809,5,3.667
44,Cottonee,0.93099,1,0.562,1,0.733
45,Deoxys-Speed,0.67750,12,6.742,12,8.802
46,Sneasel,0.66384,8,4.494,7,5.134
47,Linoone,0.56367,1,0.562,1,0.733
48,Spheal,0.50063,2,1.124,2,1.467
49,Mimikyu,0.23474,3,1.685,1,0.733
50,Clawitzer,0.23474,1,0.562,1,0.733
51,Diancie-Mega,0.12064,10,5.618,9,6.601
52,Blacephalon,0.12029,5,2.809,3,2.200
53,Lapras,0.09504,5,2.809,4,2.934
54,Comfey,0.09504,5,2.809,5,3.667
55,Lopunny,0.06199,3,1.685,3,2.200
56,Mew,0.04782,3,1.685,2,1.467
57,Kirlia,0.04781,1,0.562,1,0.733
58,Swoobat,0.03304,1,0.562,1,0.733
59,Misdreavus,0.02857,3,1.685,3,2.200
60,Rattata-Alola,0.02097,4,2.247,2,1.467
61,Amoonguss,0.01824,8,4.494,3,2.200
62,Hawlucha,0.01812,9,5.056,9,6.601
63,Igglybuff,0.01810,4,2.247,4,2.934
64,Haunter,0.01810,4,2.247,3,2.200
65,Banette,0.01805,1,0.562,1,0.733
66,Diglett,0.01696,7,3.933,4,2.934
67,Jynx,0.01047,1,0.562,1,0.733
68,Yamask,0.00934,4,2.247,4,2.934
69,Inkay,0.00934,1,0.562,1,0.733
70,Victini,0.00902,9,5.056,6,4.401
71,Klefki,0.00902,8,4.494,8,5.868
72,Riolu,0.00902,8,4.494,5,3.667
73,Kadabra,0.00761,1,0.562,1,0.733
74,Trapinch,0.00761,1,0.562,1,0.733
75,Starmie,0.00315,1,0.562,1,0.733
76,Jolteon,0.00154,2,1.124,2,1.467
77,Arceus,0.00100,4,2.247,3,2.200
78,Wigglytuff,0.00100,2,1.124,1,0.733
79,Ninjask,0.00035,7,3.933,5,3.667
80,Scyther,0.00035,4,2.247,3,2.200
81,Masquerain,0.00034,1,0.562,1,0.733
82,Natu,0.00017,4,2.247,4,2.934
83,Sigilyph,0.00017,2,1.124,2,1.467
84,Kommo-o,0.00013,6,3.371,6,4.401
85,Garchomp-Mega,0.00013,7,3.933,1,0.733
86,Charizard-Mega-X,0.00013,12,6.742,1,0.733
87,Quagsire,0.00013,5,2.809,0,0.000
88,Conkeldurr,0.00013,5,2.809,0,0.000
89,Bagon,0.00013,1,0.562,0,0.000
90,Axew,0.00013,1,0.562,1,0.733
91,Togepi,0.00013,4,2.247,2,1.467
92,Sandygast,0.00013,1,0.562,1,0.733
93,Cyndaquil,0.00013,1,0.562,0,0.000
94,Gulpin,0.00007,8,4.494,8,5.868
95,Slurpuff,0.00002,3,1.685,3,2.200
96,Charizard-Mega-Y,0.00002,3,1.685,2,1.467
97,Ledian,0.00002,3,1.685,3,2.200
98,Lickitung,0.00001,1,0.562,0,0.000
99,Ribombee,0.00001,1,0.562,1,0.733
100,Gardevoir,0.00001,1,0.562,1,0.733
101,Absol,0.00000,4,2.247,3,2.200
102,Volcarona,0.00000,1,0.562,0,0.000
103,Zapdos,0.00000,2,1.124,0,0.000
104,Florges,0.00000,1,0.562,0,0.000
105,Oranguru,0.00000,1,0.562,0,0.000
106,Escavalier,0.00000,1,0.562,0,0.000
107,Archeops,0.00000,1,0.562,1,0.733
108,Caterpie,0.00000,3,1.685,3,2.200
109,Eevee,0.00000,2,1.124,1,0.733
110,Wynaut,0.00000,1,0.562,1,0.733
111,Machamp,0.00000,1,0.562,1,0.733
112,Necrozma-Dusk-Mane,0.00000,1,0.562,0,0.000
113,Gliscor,0.00000,1,0.562,1,0.733
114,Chansey,0.00000,1,0.562,1,0.733
115,Rhydon,0.00000,1,0.562,1,0.733
116,Garchomp,0.00000,2,1.124,0,0.000
117,Gardevoir-Mega,0.00000,2,1.124,1,0.733
118,Milotic,0.00000,2,1.124,2,1.467
119,Lilligant,0.00000,2,1.124,1,0.733
120,Toxapex,0.00000,1,0.562,1,0.733
121,Deoxys-Attack,0.00000,1,0.562,0,0.000
122,Cleffa,0.00000,3,1.685,3,2.200
123,Shellder,0.00000,2,1.124,2,1.467
124,Landorus-Therian,0.00000,1,0.562,0,0.000
125,Bisharp,0.00000,2,1.124,1,0.733
126,Vulpix-Alola,0.00000,2,1.124,1,0.733
127,Starly,0.00000,1,0.562,1,0.733
128,Blaziken-Mega,0.00000,2,1.124,0,0.000
129,Hoopa-Unbound,0.00000,1,0.562,0,0.000
130,Serperior,0.00000,1,0.562,1,0.733
131,Oricorio-Sensu,0.00000,1,0.562,0,0.000
132,Venusaur,0.00000,1,0.562,1,0.733
133,Heliolisk,0.00000,2,1.124,2,1.467
134,Beedrill-Mega,0.00000,1,0.562,1,0.733
135,Swampert-Mega,0.00000,2,1.124,0,0.000
