Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Groudon-Primal,76.65583,202749,45.304,160343,50.380
2,Necrozma-Dusk-Mane,49.60586,104225,23.289,74854,23.519
3,Yveltal,47.57745,102877,22.988,79372,24.939
4,Xerneas,43.98121,138383,30.922,94572,29.714
5,Marshadow,38.26629,101310,22.638,69010,21.683
6,Arceus,22.31711,57865,12.930,39989,12.565
7,Arceus-Ground,22.02202,28824,6.441,22475,7.062
8,Zygarde,17.51954,47282,10.565,33629,10.566
9,Arceus-Fairy,17.22071,34995,7.820,26837,8.432
10,Kyogre-Primal,17.12315,93812,20.962,66593,20.923
11,Salamence-Mega,14.38789,43516,9.724,29611,9.304
12,Ho-Oh,13.18439,38991,8.712,28671,9.008
13,Rayquaza,11.58103,41916,9.366,29378,9.231
14,Gengar-Mega,10.67254,32774,7.323,22260,6.994
15,Smeargle,8.84720,17831,3.984,16528,5.193
16,Arceus-Water,8.38780,21551,4.816,16261,5.109
17,Giratina-Origin,8.24340,28320,6.328,20868,6.557
18,Excadrill,7.41648,10584,2.365,9147,2.874
19,Deoxys-Speed,7.24479,23342,5.216,21214,6.665
20,Deoxys-Attack,7.16262,25963,5.801,18654,5.861
21,Ferrothorn,7.04746,22991,5.137,18731,5.885
22,Lunala,6.97957,15404,3.442,10814,3.398
23,Lucario-Mega,6.86206,36755,8.213,25062,7.874
24,Magearna,6.76035,16305,3.643,12498,3.927
25,Mewtwo-Mega-Y,6.46413,38720,8.652,25372,7.972
26,Lugia,5.92227,41321,9.233,28714,9.022
27,Necrozma-Dawn-Wings,4.11756,19587,4.377,12976,4.077
28,Kyurem-White,3.82298,16343,3.652,10736,3.373
29,Kyogre,3.60784,12293,2.747,8432,2.649
30,Shaymin-Sky,3.48055,16630,3.716,11280,3.544
31,Diancie-Mega,3.45799,6562,1.466,5292,1.663
32,Arceus-Dark,3.12255,6526,1.458,4751,1.493
33,Sableye-Mega,3.10986,6734,1.505,5666,1.780
34,Kangaskhan-Mega,2.96570,15922,3.558,12100,3.802
35,Giratina,2.92609,9933,2.220,7144,2.245
36,Ditto,2.89584,7780,1.738,5386,1.692
37,Blissey,2.79851,7023,1.569,5128,1.611
38,Cloyster,2.71253,9468,2.116,7452,2.341
39,Mewtwo-Mega-X,2.46183,19086,4.265,13030,4.094
40,Dialga,2.15684,17833,3.985,12953,4.070
41,Gothitelle,1.97208,4300,0.961,2816,0.885
42,Palkia,1.90632,12670,2.831,8653,2.719
43,Mewtwo,1.89275,10737,2.399,7238,2.274
44,Arceus-Steel,1.85447,8650,1.933,6133,1.927
