Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Groudon-Primal,79.86751,69827,45.634,54797,50.574
2,Necrozma-Dusk-Mane,52.98326,36062,23.568,25272,23.324
3,Yveltal,47.72206,35434,23.157,27050,24.965
4,Xerneas,41.38313,45262,29.580,29930,27.623
5,Marshadow,34.36172,33516,21.904,22308,20.589
6,Arceus-Ground,21.47121,10316,6.742,7795,7.194
7,Salamence-Mega,19.00971,14916,9.748,9908,9.144
8,Arceus,18.71230,18343,11.988,12363,11.410
9,Arceus-Fairy,17.57904,12839,8.391,9599,8.859
10,Zygarde,16.51892,16051,10.490,11311,10.439
11,Gengar-Mega,14.68780,12422,8.118,8515,7.859
12,Ho-Oh,14.30227,13939,9.110,10266,9.475
13,Kyogre-Primal,13.76884,32794,21.432,23207,21.419
14,Smeargle,13.21008,7139,4.666,6594,6.086
15,Rayquaza-Mega,10.99837,12120,7.921,8431,7.781
16,Arceus-Water,10.14613,7870,5.143,5907,5.452
17,Lugia,8.59806,12951,8.464,8918,8.231
18,Lunala,8.28409,6519,4.260,4657,4.298
19,Ferrothorn,7.89670,7480,4.888,6054,5.587
20,Magearna,7.69233,6290,4.111,4691,4.329
21,Excadrill,7.35202,3300,2.157,2799,2.583
22,Giratina-Origin,6.10668,9924,6.486,7276,6.715
23,Lucario-Mega,5.96653,12084,7.897,8093,7.469
24,Deoxys-Speed,5.89085,8492,5.550,7793,7.192
25,Giratina,5.41401,3557,2.325,2662,2.457
26,Cloyster,5.31370,3925,2.565,3223,2.975
27,Blissey,4.77917,2535,1.657,1877,1.732
28,Sableye-Mega,4.63859,2501,1.634,2164,1.997
29,Mewtwo-Mega-Y,4.46920,13222,8.641,8576,7.915
30,Mewtwo-Mega-X,4.40354,6901,4.510,4819,4.448
31,Arceus-Dark,4.17887,2556,1.670,1962,1.811
32,Ditto,3.95811,3329,2.176,2240,2.067
33,Diancie-Mega,3.51214,2882,1.883,2351,2.170
34,Deoxys-Attack,3.30127,7909,5.169,5598,5.167
35,Kyogre,3.07709,4056,2.651,2796,2.581
36,Naganadel,2.70193,6932,4.530,4298,3.967
37,Aegislash,2.43758,13599,8.887,9417,8.691
38,Arceus-Poison,2.41147,1353,0.884,897,0.828
39,Tyranitar-Mega,2.34556,1971,1.288,1427,1.317
40,Mewtwo,2.10074,3540,2.314,2402,2.217
41,Tapu-Lele,1.96756,3046,1.991,2220,2.049
42,Celesteela,1.91984,2561,1.674,1860,1.717
43,Arceus-Flying,1.74928,1261,0.824,847,0.782
44,Toxapex,1.69814,2838,1.855,2126,1.962
45,Kyurem-White,1.69689,5570,3.640,3752,3.463
46,Darkrai,1.62685,10515,6.872,7389,6.820
47,Necrozma-Dawn-Wings,1.56863,5857,3.828,3836,3.540
48,Skarmory,1.56107,2166,1.416,1700,1.569
49,Shaymin-Sky,1.52924,6192,4.047,4238,3.911
50,Arceus-Steel,1.41496,2966,1.938,1989,1.836
51,Blaziken-Mega,1.31701,10827,7.076,7322,6.758
52,Dialga,1.28982,5345,3.493,3914,3.612
53,Palkia,1.18735,3687,2.410,2503,2.310
54,Greninja,1.18073,5567,3.638,4168,3.847
55,Tyranitar,1.15533,2879,1.882,2109,1.946
56,Pheromosa,1.14222,4650,3.039,3241,2.991
57,Landorus,1.01513,3003,1.963,2201,2.031
58,Arceus-Ghost,1.00138,2432,1.589,1633,1.507
59,Metagross-Mega,0.97715,5870,3.836,4122,3.804
60,Kangaskhan-Mega,0.96066,5414,3.538,4132,3.814
61,Gothitelle,0.96045,1567,1.024,1050,0.969
62,Scizor-Mega,0.86757,2547,1.665,1740,1.606
63,Mew,0.83914,2478,1.619,1950,1.800
64,Klefki,0.82092,1387,0.906,1126,1.039
65,Arceus-Dragon,0.81359,1154,0.754,835,0.771
66,Arceus-Grass,0.80171,777,0.508,530,0.489
67,Genesect,0.76726,4031,2.634,2835,2.617
68,Chansey,0.76674,3490,2.281,2440,2.252
69,Dugtrio,0.72141,1593,1.041,1218,1.124
70,Clefable,0.59264,1972,1.289,1372,1.266
71,Slowbro-Mega,0.58666,355,0.232,249,0.230
72,Aerodactyl,0.57956,323,0.211,284,0.262
73,Landorus-Therian,0.57911,2627,1.717,2011,1.856
74,Solgaleo,0.57606,3105,2.029,2038,1.881
75,Cottonee,0.56593,1996,1.304,1265,1.168
76,Shuckle,0.51412,3592,2.347,3209,2.962
77,Venusaur-Mega,0.50844,2105,1.376,1458,1.346
78,Zekrom,0.50613,3575,2.336,2320,2.141
79,Zeraora,0.50468,3746,2.448,2754,2.542
80,Blaziken,0.46716,4880,3.189,3363,3.104
81,Tapu-Koko,0.45952,3149,2.058,2304,2.126
82,Scolipede,0.45263,938,0.613,770,0.711
83,Gyarados-Mega,0.45068,1724,1.127,1319,1.217
84,Lopunny-Mega,0.41904,1077,0.704,790,0.729
85,Stakataka,0.39524,625,0.408,483,0.446
86,Cofagrigus,0.35744,509,0.333,389,0.359
87,Aerodactyl-Mega,0.35504,908,0.593,663,0.612
88,Shedinja,0.32842,1126,0.736,758,0.700
89,Groudon,0.31723,959,0.627,759,0.701
90,Mimikyu,0.29152,4117,2.691,2891,2.668
91,Xurkitree,0.28386,1229,0.803,821,0.758
92,Arceus-Electric,0.27372,816,0.533,517,0.477
