Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Marshadow,100.00000,5,8.065,1,4.255
2,Genesect,99.93238,1,1.613,0,0.000
3,Vivillon,99.93238,1,1.613,1,4.255
4,Blaziken-Mega,99.93238,6,9.677,3,12.766
5,Zygarde,99.93238,3,4.839,1,4.255
6,Necrozma-Dawn-Wings,99.93238,2,3.226,1,4.255
7,Volcarona,0.06762,6,9.677,0,0.000
8,Garchomp,0.06762,9,14.516,3,12.766
9,Ferrothorn,0.06762,8,12.903,8,34.043
10,Pelipper,0.06762,4,6.452,0,0.000
11,Electivire,0.06762,6,9.677,1,4.255
12,Porygon-Z,0.00000,1,1.613,1,4.255
13,Thundurus,0.00000,2,3.226,1,4.255
14,Mimikyu,0.00000,4,6.452,3,12.766
15,Starly,0.00000,6,9.677,1,4.255
16,Gliscor,0.00000,3,4.839,0,0.000
17,Cresselia,0.00000,3,4.839,2,8.511
18,Xurkitree,0.00000,3,4.839,2,8.511
19,Chansey,0.00000,2,3.226,1,4.255
20,Magearna,0.00000,6,9.677,1,4.255
21,Absol,0.00000,2,3.226,1,4.255
22,Gardevoir-Mega,0.00000,10,16.129,5,21.277
23,Slurpuff,0.00000,2,3.226,0,0.000
24,Kommo-o,0.00000,1,1.613,0,0.000
25,Milotic,0.00000,1,1.613,0,0.000
26,Ditto,0.00000,1,1.613,1,4.255
27,Linoone,0.00000,1,1.613,1,4.255
28,Deoxys-Attack,0.00000,1,1.613,0,0.000
29,Landorus-Therian,0.00000,3,4.839,3,12.766
30,Bisharp,0.00000,7,11.290,1,4.255
31,Krookodile,0.00000,1,1.613,1,4.255
32,Lucario,0.00000,1,1.613,1,4.255
33,Venusaur-Mega,0.00000,1,1.613,0,0.000
34,Tyranitar-Mega,0.00000,5,8.065,1,4.255
35,Rampardos,0.00000,1,1.613,0,0.000
36,Scolipede,0.00000,4,6.452,2,8.511
37,Hoopa-Unbound,0.00000,2,3.226,2,8.511
38,Togekiss,0.00000,2,3.226,1,4.255
39,Serperior,0.00000,2,3.226,0,0.000
40,Celebi,0.00000,1,1.613,0,0.000
41,Ampharos,0.00000,2,3.226,0,0.000
42,Naganadel,0.00000,2,3.226,1,4.255
43,Victini,0.00000,1,1.613,0,0.000
44,Venusaur,0.00000,1,1.613,1,4.255
45,Articuno,0.00000,2,3.226,2,8.511
46,Rhyperior,0.00000,1,1.613,1,4.255
47,Tapu-Bulu,0.00000,1,1.613,0,0.000
48,Incineroar,0.00000,3,4.839,0,0.000
49,Meowstic,0.00000,2,3.226,0,0.000
50,Ampharos-Mega,0.00000,1,1.613,0,0.000
51,Gyarados-Mega,0.00000,7,11.290,5,21.277
52,Gengar-Mega,0.00000,1,1.613,0,0.000
53,Greninja,0.00000,3,4.839,3,12.766
54,Absol-Mega,0.00000,2,3.226,2,8.511
55,Porygon2,0.00000,1,1.613,0,0.000
56,Arcanine,0.00000,1,1.613,0,0.000
57,Crawdaunt,0.00000,2,3.226,1,4.255
58,Magikarp,0.00000,6,9.677,2,8.511
59,Darkrai,0.00000,5,8.065,2,8.511
60,Mew,0.00000,1,1.613,0,0.000
61,Celesteela,0.00000,2,3.226,1,4.255
62,Infernape,0.00000,1,1.613,0,0.000
63,Rattata,0.00000,1,1.613,1,4.255
64,Guzzlord,0.00000,2,3.226,0,0.000
65,Buzzwole,0.00000,1,1.613,1,4.255
66,Garchomp-Mega,0.00000,2,3.226,1,4.255
67,Decidueye,0.00000,2,3.226,2,8.511
