Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Jynx,99.98737,79,35.909,73,40.518
2,Starmie,99.98737,129,58.636,104,57.724
3,Alakazam,99.98737,164,74.545,136,75.486
4,Rhydon,88.37152,103,46.818,85,47.179
5,Lapras,87.46885,61,27.727,40,22.202
6,Gengar,87.46885,106,48.182,82,45.513
7,Victreebel,12.53115,38,17.273,32,17.761
8,Golem,11.61585,60,27.273,50,27.752
9,Persian,11.61585,52,23.636,38,21.092
10,Kangaskhan,0.90267,11,5.000,8,4.440
11,Gyarados,0.01263,19,8.636,13,7.216
12,Sandslash,0.01263,17,7.727,14,7.771
13,Tentacruel,0.01263,7,3.182,6,3.330
14,Electrode,0.01263,8,3.636,8,4.440
15,Magneton,0.00950,3,1.364,2,1.110
16,Golduck,0.00313,1,0.455,1,0.555
17,Pinsir,0.00000,1,0.455,1,0.555
18,Moltres,0.00000,6,2.727,4,2.220
19,Flareon,0.00000,1,0.455,0,0.000
20,Cloyster,0.00000,28,12.727,25,13.876
21,Dragonite,0.00000,24,10.909,20,11.101
22,Eevee,0.00000,1,0.455,1,0.555
23,Vaporeon,0.00000,1,0.455,1,0.555
24,Kadabra,0.00000,2,0.909,2,1.110
25,Bulbasaur,0.00000,2,0.909,2,1.110
26,Primeape,0.00000,1,0.455,1,0.555
27,Beedrill,0.00000,3,1.364,3,1.665
28,Hitmonlee,0.00000,2,0.909,1,0.555
29,Ponyta,0.00000,2,0.909,2,1.110
30,Squirtle,0.00000,2,0.909,2,1.110
31,Machamp,0.00000,9,4.091,4,2.220
32,Butterfree,0.00000,2,0.909,2,1.110
33,Zapdos,0.00000,75,34.091,60,33.302
34,Raichu,0.00000,2,0.909,1,0.555
35,Charizard,0.00000,24,10.909,24,13.321
36,Pikachu,0.00000,5,2.273,3,1.665
37,Tangela,0.00000,5,2.273,5,2.775
38,Dragonair,0.00000,1,0.455,1,0.555
39,Hypno,0.00000,5,2.273,4,2.220
40,Machoke,0.00000,1,0.455,1,0.555
41,Horsea,0.00000,1,0.455,1,0.555
42,Dewgong,0.00000,1,0.455,1,0.555
43,Hitmonchan,0.00000,1,0.455,1,0.555
44,Clefable,0.00000,8,3.636,8,4.440
45,Jolteon,0.00000,58,26.364,47,26.087
46,Kabutops,0.00000,1,0.455,1,0.555
47,Ditto,0.00000,6,2.727,5,2.775
48,Aerodactyl,0.00000,7,3.182,6,3.330
49,Pidgeot,0.00000,8,3.636,8,4.440
50,Rhyhorn,0.00000,1,0.455,1,0.555
51,Haunter,0.00000,1,0.455,1,0.555
52,Wigglytuff,0.00000,2,0.909,2,1.110
53,Dratini,0.00000,1,0.455,1,0.555
54,Vileplume,0.00000,1,0.455,1,0.555
55,Rapidash,0.00000,3,1.364,3,1.665
56,Nidoqueen,0.00000,4,1.818,4,2.220
57,Charmeleon,0.00000,1,0.455,1,0.555
58,Dugtrio,0.00000,4,1.818,4,2.220
59,Kingler,0.00000,1,0.455,1,0.555
60,Dodrio,0.00000,8,3.636,7,3.885
61,Slowbro,0.00000,46,20.909,38,21.092
62,Seadra,0.00000,1,0.455,1,0.555
63,Arcanine,0.00000,15,6.818,14,7.771
64,Omastar,0.00000,2,0.909,2,1.110
65,Nidoking,0.00000,5,2.273,5,2.775
66,Scyther,0.00000,2,0.909,2,1.110
67,Staryu,0.00000,1,0.455,1,0.555
68,Venusaur,0.00000,33,15.000,27,14.986
69,Articuno,0.00000,10,4.545,9,4.995
70,Blastoise,0.00000,16,7.273,16,8.881
