Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Latias,98.47809,189,73.256,164,84.974
2,Skarmory,93.22486,96,37.209,78,40.415
3,Gengar,89.34229,111,43.023,79,40.933
4,Magneton,85.11068,89,34.496,69,35.751
5,Metagross,76.01915,125,48.450,87,45.078
6,Snorlax,70.15090,59,22.868,46,23.834
7,Dragonite,15.50505,39,15.116,20,10.363
8,Zapdos,14.38832,40,15.504,28,14.508
9,Registeel,13.36741,22,8.527,19,9.845
10,Dugtrio,12.48307,60,23.256,38,19.689
11,Salamence,12.41625,57,22.093,44,22.798
12,Medicham,10.65771,13,5.039,12,6.218
13,Moltres,3.49763,11,4.264,9,4.663
14,Blissey,1.52191,35,13.566,24,12.435
15,Hariyama,1.02092,7,2.713,5,2.591
16,Milotic,0.50100,24,9.302,20,10.363
17,Jirachi,0.50100,12,4.651,10,5.181
18,Tyranitar,0.50100,54,20.930,46,23.834
19,Forretress,0.50100,16,6.202,13,6.736
20,Arcanine,0.40589,9,3.488,8,4.145
21,Flygon,0.36979,29,11.240,26,13.472
22,Swellow,0.03610,3,1.163,2,1.036
23,Weezing,0.00000,2,0.775,2,1.036
24,Mightyena,0.00000,1,0.388,0,0.000
25,Regirock,0.00000,2,0.775,2,1.036
26,Poliwrath,0.00000,3,1.163,3,1.554
27,Machamp,0.00000,1,0.388,1,0.518
28,Cacturne,0.00000,4,1.550,2,1.036
29,Raichu,0.00000,4,1.550,4,2.073
30,Blaziken,0.00000,11,4.264,8,4.145
31,Rhydon,0.00000,1,0.388,1,0.518
32,Exeggutor,0.00000,1,0.388,0,0.000
33,Sceptile,0.00000,5,1.938,4,2.073
34,Aerodactyl,0.00000,18,6.977,13,6.736
35,Linoone,0.00000,2,0.775,2,1.036
36,Magmar,0.00000,1,0.388,0,0.000
37,Zangoose,0.00000,1,0.388,1,0.518
38,Dratini,0.00000,1,0.388,1,0.518
39,Aggron,0.00000,8,3.101,7,3.627
40,Celebi,0.00000,44,17.054,26,13.472
41,Ampharos,0.00000,2,0.775,2,1.036
42,Walrein,0.00000,2,0.775,2,1.036
43,Articuno,0.00000,6,2.326,5,2.591
44,Blastoise,0.00000,4,1.550,4,2.073
45,Cloyster,0.00000,9,3.488,8,4.145
46,Raikou,0.00000,8,3.101,4,2.073
47,Muk,0.00000,2,0.775,2,1.036
48,Marowak,0.00000,2,0.775,1,0.518
49,Porygon2,0.00000,11,4.264,8,4.145
50,Crobat,0.00000,2,0.775,1,0.518
51,Chansey,0.00000,2,0.775,2,1.036
52,Nidoking,0.00000,2,0.775,2,1.036
53,Primeape,0.00000,2,0.775,2,1.036
54,Gardevoir,0.00000,8,3.101,8,4.145
55,Lanturn,0.00000,6,2.326,3,1.554
56,Jolteon,0.00000,9,3.488,5,2.591
57,Venusaur,0.00000,6,2.326,4,2.073
58,Slaking,0.00000,3,1.163,2,1.036
59,Umbreon,0.00000,1,0.388,1,0.518
60,Alakazam,0.00000,10,3.876,7,3.627
61,Heracross,0.00000,30,11.628,20,10.363
62,Mr.-Mime,0.00000,1,0.388,1,0.518
63,Gyarados,0.00000,13,5.039,8,4.145
64,Vaporeon,0.00000,2,0.775,2,1.036
65,Ursaring,0.00000,2,0.775,2,1.036
66,Breloom,0.00000,2,0.775,2,1.036
67,Smeargle,0.00000,1,0.388,1,0.518
68,Pidgeot,0.00000,1,0.388,1,0.518
69,Tentacruel,0.00000,1,0.388,1,0.518
70,Swampert,0.00000,58,22.481,40,20.725
71,Sableye,0.00000,1,0.388,0,0.000
72,Typhlosion,0.00000,3,1.163,3,1.554
73,Dodrio,0.00000,2,0.775,2,1.036
74,Suicune,0.00000,23,8.915,16,8.290
75,Scizor,0.00000,4,1.550,4,2.073
76,Donphan,0.00000,1,0.388,1,0.518
77,Ninjask,0.00000,10,3.876,10,5.181
78,Electrode,0.00000,1,0.388,1,0.518
79,Flareon,0.00000,3,1.163,2,1.036
80,Manectric,0.00000,1,0.388,0,0.000
81,Charizard,0.00000,2,0.775,2,1.036
82,Pikachu,0.00000,1,0.388,1,0.518
83,Caterpie,0.00000,1,0.388,1,0.518
84,Ludicolo,0.00000,1,0.388,1,0.518
85,Claydol,0.00000,12,4.651,9,4.663
86,Starmie,0.00000,16,6.202,13,6.736
87,Entei,0.00000,2,0.775,0,0.000
88,Steelix,0.00000,1,0.388,1,0.518
89,Regice,0.00000,9,3.488,6,3.109
90,Houndoom,0.00000,2,0.775,2,1.036
91,Azumarill,0.00000,2,0.775,0,0.000
92,Glalie,0.00000,2,0.775,2,1.036
93,Camerupt,0.00000,1,0.388,1,0.518
94,Hitmontop,0.00000,2,0.775,2,1.036
95,Kingdra,0.00000,3,1.163,3,1.554
