Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Tornadus-Therian,54.06255,311,15.068,272,16.865
2,Landorus-Therian,49.87869,319,15.455,294,18.229
3,Latias-Mega,34.57000,183,8.866,159,9.858
4,Clefable,33.04173,167,8.091,128,7.936
5,Reuniclus,32.70062,135,6.541,108,6.696
6,Necrozma,31.16244,81,3.924,55,3.410
7,Mew,23.26992,315,15.262,253,15.687
8,Tapu-Koko,17.11197,185,8.963,150,9.300
9,Volcarona,14.25576,302,14.632,206,12.773
10,Kommo-o,14.13118,219,10.610,167,10.354
11,Gyarados-Mega,12.92853,255,12.355,179,11.098
12,Stakataka,11.23470,117,5.669,81,5.022
13,Chesnaught,10.39518,49,2.374,40,2.480
14,Medicham-Mega,10.32070,116,5.620,98,6.076
15,Serperior,9.96984,99,4.797,78,4.836
16,Florges,9.79797,47,2.277,39,2.418
17,Sharpedo-Mega,9.78301,70,3.391,54,3.348
18,Rhydon,9.77505,59,2.859,54,3.348
19,Hydreigon,8.85826,278,13.469,233,14.447
20,Zeraora,7.70742,160,7.752,122,7.564
21,Magearna,7.30937,177,8.576,121,7.502
22,Porygon-Z,7.01668,160,7.752,106,6.572
23,Heracross,6.48915,71,3.440,50,3.100
24,Heatran,6.11767,223,10.804,189,11.719
25,Cresselia,6.09644,118,5.717,83,5.146
26,Azelf,5.78432,128,6.202,106,6.572
27,Tapu-Lele,5.78056,112,5.426,80,4.960
28,Lucario,5.59604,168,8.140,120,7.440
29,Tapu-Bulu,5.39317,116,5.620,76,4.712
30,Excadrill,5.16688,62,3.004,50,3.100
31,Latios,4.79089,183,8.866,136,8.432
32,Hoopa-Unbound,4.75719,85,4.118,63,3.906
33,Manaphy,4.68715,44,2.132,27,1.674
34,Goodra,4.52488,156,7.558,126,7.812
35,Charizard-Mega-X,4.46805,65,3.149,49,3.038
36,Gliscor,4.31801,159,7.703,132,8.184
37,Ditto,3.60752,20,0.969,14,0.868
38,Marowak-Alola,3.55369,29,1.405,25,1.550
39,Conkeldurr,3.36195,41,1.986,35,2.170
40,Tangrowth,3.33843,65,3.149,45,2.790
41,Slowbro-Mega,3.19485,20,0.969,13,0.806
