Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Kartana,39.35301,15570,24.829,11514,25.122
2,Kyurem-Black,30.17290,15632,24.928,10854,23.682
3,Celesteela,20.00943,10126,16.148,7882,17.197
4,Blacephalon,19.71792,9011,14.370,6376,13.911
5,Keldeo,17.43019,7727,12.322,5556,12.122
6,Zeraora,16.23496,5919,9.439,4559,9.947
7,Clefable,13.87922,4892,7.801,3528,7.697
8,Kecleon,13.65717,3094,4.934,2577,5.623
9,Tapu-Koko,13.36597,6859,10.938,5314,11.594
10,Chansey,13.16331,6385,10.182,4654,10.154
11,Hoopa-Unbound,12.29836,5232,8.343,3638,7.937
12,Dragonite,10.57367,5937,9.468,4043,8.821
13,Heatran,10.55011,5347,8.527,3968,8.657
14,Toxapex,10.12871,5127,8.176,4048,8.832
15,Aggron-Mega,10.03365,990,1.579,807,1.761
16,Gengar,9.57022,5279,8.418,3711,8.097
17,Mawile-Mega,9.11588,3251,5.184,2356,5.140
18,Pinsir-Mega,9.10019,4497,7.171,2961,6.460
19,Snorlax,9.05229,5451,8.693,3927,8.568
20,Landorus-Therian,7.98989,5694,9.080,4250,9.273
21,Weavile,7.95818,3464,5.524,2536,5.533
22,Garchomp,7.65730,5936,9.466,4267,9.310
23,Xurkitree,7.10106,3262,5.202,2349,5.125
24,Cresselia,7.07750,2076,3.311,1524,3.325
25,Magearna,6.77746,5497,8.766,4140,9.033
26,Pidgeot-Mega,6.23836,4510,7.192,3459,7.547
27,Suicune,6.18344,1767,2.818,1403,3.061
28,Buzzwole,6.10378,3631,5.790,2640,5.760
29,Excadrill,5.91321,4277,6.821,3162,6.899
30,Gyarados-Mega,5.86585,4441,7.082,2895,6.316
31,Ferrothorn,5.75078,4652,7.419,3818,8.330
32,Muk-Alola,5.70621,1968,3.138,1510,3.295
33,Tyranitar,5.43782,4994,7.964,3299,7.198
34,Marowak,5.42246,655,1.045,506,1.104
35,Archeops,5.34196,3892,6.207,2829,6.172
36,Swampert,5.31026,3671,5.854,2787,6.081
37,Terrakion,5.28638,3585,5.717,2522,5.503
38,Torkoal,5.05441,1566,2.497,1394,3.041
39,Bewear,4.88856,1928,3.075,1359,2.965
40,Lopunny-Mega,4.81047,2769,4.416,1941,4.235
41,Cloyster,4.79256,1851,2.952,1438,3.137
42,Aerodactyl,4.71173,2187,3.488,1862,4.063
43,Greninja,4.42778,4045,6.451,3087,6.735
44,Ninjask,4.41751,2344,3.738,2159,4.711
45,Zapdos,4.32980,3232,5.154,2472,5.393
46,Kommo-o,4.15035,1194,1.904,831,1.813
47,Nidoking,4.04043,3697,5.896,2769,6.041
48,Skarmory,3.96444,1656,2.641,1345,2.935
49,Nihilego,3.70659,1098,1.751,814,1.776
50,Shuckle,3.48391,1070,1.706,855,1.865
51,Venusaur-Mega,3.21807,1174,1.872,845,1.844
52,Tapu-Fini,3.01016,2436,3.885,1861,4.060
53,Araquanid,2.97496,1571,2.505,1300,2.836
54,Alakazam,2.96544,1265,2.017,887,1.935
55,Diancie-Mega,2.92029,1565,2.496,1212,2.644
