Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Aerodactyl-Mega,99.48179,83,62.879,37,45.214
2,Zapdos,98.85489,62,46.970,33,40.326
3,Venusaur,97.28773,50,37.879,23,28.106
4,Melmetal,97.27859,70,53.030,42,51.324
5,Raichu-Alola,96.77633,46,34.848,42,51.324
6,Persian,82.11869,39,29.545,21,25.662
7,Rhydon,15.16904,14,10.606,7,8.554
8,Alakazam-Mega,2.69632,27,20.455,18,21.996
9,Muk-Alola,1.56716,18,13.636,10,12.220
10,Persian-Alola,1.56716,10,7.576,6,7.332
11,Dugtrio-Alola,1.56716,13,9.848,8,9.776
12,Eevee-Starter,1.12916,21,15.909,13,15.886
13,Cloyster,0.62690,19,14.394,16,19.552
14,Charizard-Mega-Y,0.62690,10,7.576,7,8.554
15,Venusaur-Mega,0.62690,14,10.606,13,15.886
16,Kangaskhan,0.51140,7,5.303,6,7.332
17,Dragonite,0.51140,19,14.394,12,14.664
18,Snorlax,0.50226,16,12.121,15,18.330
19,Aerodactyl,0.50226,10,7.576,8,9.776
20,Mew,0.50226,16,12.121,8,9.776
21,Victreebel,0.01595,1,0.758,1,1.222
22,Blastoise-Mega,0.01595,4,3.030,2,2.444
23,Pidgeot,0.01595,5,3.788,3,3.666
24,Arcanine,0.01595,10,7.576,10,12.220
25,Nidoking,0.01595,7,5.303,2,2.444
26,Electrode,0.01595,5,3.788,2,2.444
27,Moltres,0.00000,2,1.515,1,1.222
28,Golem-Alola,0.00000,2,1.515,2,2.444
29,Gyarados,0.00000,9,6.818,9,10.998
30,Bulbasaur,0.00000,1,0.758,0,0.000
31,Gyarados-Mega,0.00000,8,6.061,4,4.888
32,Gengar-Mega,0.00000,15,11.364,10,12.220
33,Poliwrath,0.00000,2,1.515,0,0.000
34,Machamp,0.00000,4,3.030,4,4.888
35,Butterfree,0.00000,3,2.273,2,2.444
36,Charizard,0.00000,5,3.788,4,4.888
37,Onix,0.00000,1,0.758,0,0.000
38,Tangela,0.00000,2,1.515,1,1.222
39,Blastoise,0.00000,7,5.303,5,6.110
40,Jynx,0.00000,1,0.758,1,1.222
41,Dragonair,0.00000,1,0.758,0,0.000
42,Exeggutor-Alola,0.00000,11,8.333,9,10.998
43,Chansey,0.00000,3,2.273,3,3.666
44,Dewgong,0.00000,2,1.515,1,1.222
45,Sandslash-Alola,0.00000,3,2.273,2,2.444
46,Slowbro-Mega,0.00000,1,0.758,0,0.000
47,Clefable,0.00000,2,1.515,2,2.444
48,Alakazam,0.00000,4,3.030,3,3.666
49,Parasect,0.00000,1,0.758,1,1.222
50,Pikachu-Starter,0.00000,5,3.788,3,3.666
51,Ninetales-Alola,0.00000,2,1.515,2,2.444
52,Ditto,0.00000,2,1.515,2,2.444
53,Marowak-Alola,0.00000,3,2.273,2,2.444
54,Starmie,0.00000,10,7.576,8,9.776
55,Beedrill,0.00000,3,2.273,1,1.222
56,Pidgeot-Mega,0.00000,4,3.030,3,3.666
57,Articuno,0.00000,2,1.515,1,1.222
58,Charizard-Mega-X,0.00000,11,8.333,7,8.554
59,Golbat,0.00000,3,2.273,1,1.222
60,Jolteon,0.00000,7,5.303,7,8.554
61,Squirtle,0.00000,1,0.758,0,0.000
62,Vileplume,0.00000,1,0.758,0,0.000
63,Clefairy,0.00000,1,0.758,1,1.222
64,Nidoqueen,0.00000,5,3.788,3,3.666
65,Golduck,0.00000,1,0.758,1,1.222
66,Mr.-Mime,0.00000,1,0.758,0,0.000
67,Beedrill-Mega,0.00000,1,0.758,0,0.000
68,Dugtrio,0.00000,1,0.758,1,1.222
69,Eevee,0.00000,1,0.758,0,0.000
70,Lapras,0.00000,4,3.030,1,1.222
71,Raticate-Alola,0.00000,1,0.758,1,1.222
72,Dodrio,0.00000,3,2.273,1,1.222
73,Ekans,0.00000,1,0.758,1,1.222
74,Kangaskhan-Mega,0.00000,6,4.545,2,2.444
75,Gengar,0.00000,11,8.333,8,9.776
76,Charmander,0.00000,1,0.758,1,1.222
77,Pikachu,0.00000,1,0.758,1,1.222
78,Kingler,0.00000,3,2.273,2,2.444
79,Meltan,0.00000,2,1.515,1,1.222
