Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Melmetal,95.17778,6732,49.406,5549,49.541
2,Mew,85.02265,5261,38.610,4755,42.452
3,Zapdos,53.06098,4762,34.948,3960,35.355
4,Muk-Alola,46.17304,5098,37.414,4069,36.328
5,Gengar-Mega,42.46312,3061,22.464,2463,21.989
6,Dugtrio-Alola,40.79933,1614,11.845,1327,11.847
7,Gyarados-Mega,34.66109,2602,19.096,2196,19.606
8,Alakazam-Mega,20.79893,3606,26.464,2755,24.596
9,Exeggutor-Alola,20.25541,715,5.247,602,5.375
10,Aerodactyl-Mega,19.18382,4061,29.803,3551,31.703
11,Poliwrath,16.38650,1229,9.020,1053,9.401
12,Nidoqueen,12.51958,723,5.306,640,5.714
13,Snorlax,12.49279,2801,20.556,2247,20.061
14,Starmie,11.16996,3129,22.963,2578,23.016
15,Nidoking,10.61297,1316,9.658,1115,9.955
16,Dragonite,10.04440,2725,19.999,2139,19.097
17,Venusaur-Mega,9.71514,2646,19.419,2216,19.784
18,Eevee-Starter,8.53863,2633,19.323,2093,18.686
19,Beedrill-Mega,6.81628,1099,8.065,899,8.026
20,Rhydon,6.06117,2588,18.993,2236,19.963
21,Clefable,5.84369,626,4.594,540,4.821
22,Electrode,5.07927,745,5.467,655,5.848
23,Charizard-Mega-X,4.16840,1969,14.450,1534,13.695
24,Kangaskhan-Mega,2.61744,489,3.589,409,3.652
25,Chansey,2.21181,807,5.923,641,5.723
26,Cloyster,2.20127,1219,8.946,947,8.455
27,Sandslash-Alola,1.55294,698,5.123,595,5.312
28,Rapidash,1.34717,602,4.418,415,3.705
29,Machamp,1.19577,345,2.532,283,2.527
30,Venusaur,1.00653,767,5.629,638,5.696
31,Arcanine,0.93661,838,6.150,653,5.830
32,Dodrio,0.81227,141,1.035,106,0.946
33,Aerodactyl,0.66613,696,5.108,625,5.580
34,Omastar,0.64482,135,0.991,119,1.062
35,Ninetales-Alola,0.59969,196,1.438,155,1.384
36,Dugtrio,0.59860,233,1.710,196,1.750
37,Blastoise-Mega,0.55491,779,5.717,664,5.928
38,Gengar,0.46722,456,3.347,358,3.196
39,Hitmonlee,0.45847,177,1.299,131,1.170
40,Sandslash,0.43375,682,5.005,594,5.303
41,Wigglytuff,0.42265,118,0.866,100,0.893
42,Pinsir-Mega,0.42129,100,0.734,83,0.741
43,Venomoth,0.37668,464,3.405,370,3.303
44,Golduck,0.36295,103,0.756,77,0.687
45,Charizard-Mega-Y,0.35570,428,3.141,351,3.134
46,Golem,0.33736,210,1.541,191,1.705
47,Jolteon,0.23814,620,4.550,502,4.482
48,Pikachu-Starter,0.23401,1037,7.610,806,7.196
49,Marowak,0.15274,47,0.345,40,0.357
50,Tauros,0.13288,171,1.255,149,1.330
51,Kingler,0.11914,137,1.005,105,0.937
52,Vaporeon,0.11868,403,2.958,363,3.241
53,Slowbro-Mega,0.10191,221,1.622,186,1.661
54,Articuno,0.09598,223,1.637,166,1.482
55,Jynx,0.09103,91,0.668,77,0.687
56,Exeggutor,0.08829,301,2.209,261,2.330
57,Alakazam,0.08458,369,2.708,275,2.455
58,Gyarados,0.08039,213,1.563,179,1.598
59,Lapras,0.07683,595,4.367,471,4.205
60,Persian-Alola,0.07377,223,1.637,182,1.625
61,Electabuzz,0.06414,80,0.587,67,0.598
62,Charizard,0.06156,252,1.849,203,1.812
63,Blastoise,0.05732,221,1.622,183,1.634
64,Moltres,0.03838,154,1.130,125,1.116
65,Raticate,0.03787,13,0.095,11,0.098
66,Kadabra,0.03634,9,0.066,8,0.071
67,Marowak-Alola,0.03440,129,0.947,104,0.929
68,Slowbro,0.03439,124,0.910,101,0.902
69,Kabutops,0.03386,84,0.616,76,0.679
70,Hitmonchan,0.02928,49,0.360,39,0.348
71,Primeape,0.02913,62,0.455,48,0.429
72,Tentacruel,0.02599,85,0.624,67,0.598
73,Golbat,0.02557,29,0.213,22,0.196
74,Magneton,0.02548,170,1.248,142,1.268
75,Pidgeot-Mega,0.02319,239,1.754,186,1.661
76,Vileplume,0.02319,79,0.580,63,0.562
77,Mr.-Mime,0.01316,146,1.071,126,1.125
78,Tangela,0.01024,214,1.571,167,1.491
79,Magmar,0.00971,60,0.440,42,0.375
80,Raticate-Alola,0.00875,130,0.954,95,0.848
81,Raichu-Alola,0.00712,246,1.805,220,1.964
82,Victreebel,0.00620,257,1.886,212,1.893
83,Scyther,0.00612,82,0.602,65,0.580
84,Ninetales,0.00447,130,0.954,104,0.929
85,Persian,0.00345,37,0.272,34,0.304
86,Porygon,0.00283,32,0.235,25,0.223
87,Parasect,0.00219,107,0.785,87,0.777
88,Pinsir,0.00162,19,0.139,15,0.134
89,Dewgong,0.00160,33,0.242,27,0.241
90,Raichu,0.00125,186,1.365,145,1.295
91,Golem-Alola,0.00077,95,0.697,79,0.705
92,Hypno,0.00041,45,0.330,31,0.277
93,Flareon,0.00041,82,0.602,67,0.598
94,Kangaskhan,0.00031,55,0.404,50,0.446
95,Sandshrew-Alola,0.00023,8,0.059,5,0.045
96,Pidgeot,0.00017,50,0.367,42,0.375
97,Butterfree,0.00015,62,0.455,42,0.375
98,Farfetch'd,0.00014,16,0.117,11,0.098
99,Weepinbell,0.00014,4,0.029,3,0.027
100,Seadra,0.00013,20,0.147,17,0.152
101,Ditto,0.00008,49,0.360,43,0.384
102,Onix,0.00005,33,0.242,32,0.286
103,Beedrill,0.00003,35,0.257,27,0.241
104,Lickitung,0.00003,18,0.132,16,0.143
105,Meltan,0.00002,16,0.117,12,0.107
106,Fearow,0.00001,21,0.154,20,0.179
107,Pikachu,0.00001,84,0.616,71,0.634
108,Arbok,0.00000,32,0.235,26,0.232
109,Eevee,0.00000,22,0.161,17,0.152
110,Squirtle,0.00000,22,0.161,18,0.161
111,Bulbasaur,0.00000,26,0.191,22,0.196
112,Ivysaur,0.00000,3,0.022,3,0.027
113,Charmander,0.00000,7,0.051,6,0.054
114,Weezing,0.00000,25,0.183,22,0.196
115,Mankey,0.00000,4,0.029,4,0.036
116,Paras,0.00000,3,0.022,3,0.027
117,Slowpoke,0.00000,2,0.015,2,0.018
118,Dragonair,0.00000,2,0.015,1,0.009
119,Magnemite,0.00000,2,0.015,2,0.018
120,Vulpix-Alola,0.00000,5,0.037,4,0.036
121,Dratini,0.00000,2,0.015,2,0.018
122,Charmeleon,0.00000,1,0.007,0,0.000
123,Psyduck,0.00000,3,0.022,3,0.027
124,Abra,0.00000,1,0.007,1,0.009
125,Doduo,0.00000,2,0.015,2,0.018
126,Muk,0.00000,13,0.095,11,0.098
127,Wartortle,0.00000,3,0.022,2,0.018
128,Magikarp,0.00000,1,0.007,1,0.009
129,Geodude,0.00000,1,0.007,1,0.009
130,Pidgeotto,0.00000,4,0.029,4,0.036
131,Rattata,0.00000,1,0.007,1,0.009
132,Vulpix,0.00000,2,0.015,2,0.018
133,Meowth-Alola,0.00000,3,0.022,3,0.027
134,Meowth,0.00000,1,0.007,1,0.009
135,Rattata-Alola,0.00000,1,0.007,1,0.009
136,Voltorb,0.00000,1,0.007,0,0.000
137,Metapod,0.00000,1,0.007,1,0.009
138,Haunter,0.00000,5,0.037,4,0.036
139,Gastly,0.00000,1,0.007,1,0.009
140,Pidgey,0.00000,5,0.037,4,0.036
141,Sandshrew,0.00000,4,0.029,4,0.036
142,Krabby,0.00000,2,0.015,1,0.009
143,Zubat,0.00000,3,0.022,3,0.027
144,NidoranM,0.00000,1,0.007,1,0.009
145,Venonat,0.00000,2,0.015,2,0.018
146,Seaking,0.00000,4,0.029,3,0.027
147,Rhyhorn,0.00000,2,0.015,2,0.018
148,Weedle,0.00000,1,0.007,1,0.009
149,Grimer-Alola,0.00000,1,0.007,1,0.009
