Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Kartana,34.51046,7581,20.330,5740,19.878
2,Tangrowth,23.45823,6027,16.163,4640,16.068
3,Clefable,22.09543,1090,2.923,819,2.836
4,Shuckle,19.79013,7375,19.777,6539,22.645
5,Excadrill,16.64145,1856,4.977,1514,5.243
6,Mawile-Mega,15.84772,3743,10.038,2784,9.641
7,Azumarill,15.28587,4955,13.288,3796,13.146
8,Toxapex,14.78209,1366,3.663,1118,3.872
9,Salamence,14.47238,3200,8.581,2618,9.066
10,Alomomola,12.28000,1027,2.754,814,2.819
11,Magearna,11.04008,5160,13.837,3995,13.835
12,Vaporeon,10.26376,624,1.673,501,1.735
13,Diancie-Mega,9.74733,2769,7.426,2317,8.024
14,Tapu-Bulu,9.64816,3419,9.169,2551,8.834
15,Beedrill-Mega,9.39835,393,1.054,298,1.032
16,Hippowdon,9.20883,778,2.086,687,2.379
17,Landorus-Therian,8.77878,4423,11.861,3800,13.159
18,Charizard-Mega-Y,8.58930,682,1.829,556,1.925
19,Quagsire,8.50168,328,0.880,247,0.855
20,Marowak-Alola,8.14951,2846,7.632,2057,7.123
21,Steelix,8.09772,2049,5.495,1651,5.717
22,Steelix-Mega,8.05992,1730,4.639,1476,5.111
23,Camerupt-Mega,7.97669,2915,7.817,2255,7.809
24,Carbink,7.77232,1021,2.738,980,3.394
25,Araquanid,7.67247,2396,6.425,1971,6.826
26,Greninja-Ash,7.39291,1343,3.602,1021,3.536
27,Magnezone,6.70155,3146,8.437,2474,8.568
28,Tapu-Koko,6.58150,3852,10.330,3014,10.438
29,Mimikyu,6.57865,977,2.620,711,2.462
30,Tapu-Lele,6.35271,2609,6.997,1858,6.434
31,Cresselia,6.05480,1496,4.012,1126,3.899
32,Hoopa,5.90812,1911,5.125,1377,4.769
33,Aggron-Mega,5.74508,1547,4.149,1275,4.415
34,Aggron,5.55056,3716,9.965,3098,10.728
35,Buzzwole,5.46452,2933,7.865,2224,7.702
36,Torkoal,5.41104,3071,8.235,2461,8.523
37,Tyranitar,5.39944,1979,5.307,1540,5.333
38,Kommo-o,5.19877,3027,8.117,2159,7.477
39,Hawlucha,5.12464,1232,3.304,855,2.961
40,Alakazam,4.98814,897,2.405,696,2.410
41,Metagross,4.82638,1876,5.031,1429,4.949
42,Cofagrigus,4.65778,349,0.936,274,0.949
43,Volcanion,4.40932,2556,6.854,2017,6.985
44,Charizard-Mega-X,4.22536,2292,6.146,1705,5.904
45,Reuniclus,4.19085,855,2.293,698,2.417
46,Gigalith,4.13844,424,1.137,363,1.257
47,Togekiss,3.87484,1949,5.227,1478,5.118
48,Kyurem,3.80214,1135,3.044,845,2.926
49,Garchomp-Mega,3.73618,1903,5.103,1478,5.118
50,Blacephalon,3.73176,3025,8.112,2218,7.681
51,Celesteela,3.41953,2082,5.583,1721,5.960
52,Ditto,3.40565,174,0.467,114,0.395
53,Tapu-Fini,3.20758,567,1.521,447,1.548
54,Swampert-Mega,3.15373,722,1.936,593,2.054
55,Nihilego,2.95754,1739,4.663,1429,4.949
56,Pelipper,2.95554,1012,2.714,929,3.217
57,Ninjask,2.82638,2556,6.854,2032,7.037
58,Nidoking,2.74557,1112,2.982,816,2.826
59,Diggersby,2.68036,1045,2.802,757,2.622
60,Dragonite,2.67308,1290,3.459,991,3.432
61,Heatran,2.41280,1112,2.982,878,3.041
62,Exeggutor-Alola,2.40393,1109,2.974,791,2.739
63,Espeon,2.26727,1283,3.441,1039,3.598
64,Heracross-Mega,2.25710,1832,4.913,1359,4.706
65,Uxie,2.25651,602,1.614,563,1.950
66,Ferrothorn,2.23695,1179,3.162,1000,3.463
67,Machamp,2.23290,1824,4.891,1350,4.675
68,Amoonguss,2.19521,352,0.944,285,0.987
69,Gastrodon,2.18535,1326,3.556,999,3.460
70,Tentacruel,2.12926,1490,3.996,1186,4.107
71,Diancie,2.09266,481,1.290,390,1.351
72,Gliscor,2.07456,1067,2.861,874,3.027
73,Wishiwashi,2.04785,1646,4.414,1282,4.440
74,Carracosta,2.01533,1100,2.950,867,3.002
75,Serperior,1.97259,1445,3.875,1013,3.508
76,Abomasnow-Mega,1.87603,1095,2.936,863,2.989
