Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Clefairy,80.39054,72,40.000,67,44.866
2,Monferno,48.81907,48,26.667,41,27.455
3,Frogadier,47.69999,43,23.889,33,22.098
4,Poipole,46.38604,18,10.000,14,9.375
5,Kadabra,43.65925,95,52.778,77,51.562
6,Electabuzz,43.21881,28,15.556,26,17.411
7,Haunter,36.96793,20,11.111,15,10.045
8,Klang,34.19534,15,8.333,13,8.705
9,Combusken,30.36098,51,28.333,43,28.795
10,Murkrow,28.91515,29,16.111,22,14.732
11,Servine,22.29698,20,11.111,16,10.714
12,Roselia,18.96804,25,13.889,20,13.393
13,Machoke,15.70200,19,10.556,18,12.054
14,Pikachu,13.76113,43,23.889,36,24.107
15,Krokorok,13.10644,25,13.889,20,13.393
16,Natu,9.08572,2,1.111,2,1.339
17,Numel,9.08572,1,0.556,1,0.670
18,Ferroseed,7.58484,25,13.889,22,14.732
19,Wartortle,6.49830,29,16.111,23,15.402
20,Dragonair,5.66838,8,4.444,7,4.688
21,Zweilous,4.47661,2,1.111,0,0.000
22,Dewott,4.47661,2,1.111,1,0.670
23,Swirlix,3.98742,1,0.556,1,0.670
24,Marshtomp,2.65293,8,4.444,8,5.357
25,Fletchinder,2.61678,7,3.889,6,4.018
26,Mareanie,2.21987,10,5.556,9,6.027
27,Gabite,2.20080,13,7.222,13,8.705
28,Duosion,2.12784,13,7.222,9,6.027
29,Prinplup,2.00433,5,2.778,5,3.348
30,Grimer-Alola,2.00430,9,5.000,7,4.688
31,Sliggoo,1.63936,14,7.778,11,7.366
32,Togetic,1.46976,12,6.667,11,7.366
33,Pawniard,1.14555,17,9.444,13,8.705
34,Tentacool,0.95288,4,2.222,4,2.679
35,Dusclops,0.45963,25,13.889,19,12.723
36,Seadra,0.32533,11,6.111,7,4.688
37,Marill,0.31739,7,3.889,4,2.679
38,Grovyle,0.27984,5,2.778,5,3.348
39,Ivysaur,0.27984,8,4.444,7,4.688
40,Metang,0.27297,11,6.111,10,6.696
41,Magmar,0.27297,21,11.667,15,10.045
42,Zigzagoon,0.27297,4,2.222,3,2.009
43,Steenee,0.24457,16,8.889,13,8.705
44,Hakamo-o,0.19510,14,7.778,13,8.705
45,Graveler-Alola,0.13537,6,3.333,6,4.018
46,Lampent,0.12496,18,10.000,16,10.714
47,Grotle,0.08164,9,5.000,9,6.027
48,Luxio,0.08164,6,3.333,6,4.018
49,Fraxure,0.08164,8,4.444,3,2.009
50,Pupitar,0.08133,16,8.889,13,8.705
51,Boldore,0.05697,5,2.778,5,3.348
52,Porygon,0.04244,1,0.556,1,0.670
53,Vullaby,0.01996,3,1.667,3,2.009
54,Drilbur,0.01996,3,1.667,2,1.339
55,Swadloon,0.00286,7,3.889,6,4.018
56,Munchlax,0.00198,1,0.556,1,0.670
57,Quilava,0.00198,1,0.556,1,0.670
58,Whirlipede,0.00088,9,5.000,9,6.027
59,Staravia,0.00009,7,3.889,6,4.018
60,Poliwhirl,0.00000,4,2.222,4,2.679
61,Croconaw,0.00000,8,4.444,5,3.348
62,Lombre,0.00000,3,1.667,2,1.339
63,Palpitoad,0.00000,4,2.222,3,2.009
64,Scraggy,0.00000,1,0.556,1,0.670
65,Nuzleaf,0.00000,1,0.556,1,0.670
66,Mudbray,0.00000,1,0.556,1,0.670
67,Eelektrik,0.00000,12,6.667,9,6.027
68,Lairon,0.00000,11,6.111,10,6.696
69,Clamperl,0.00000,8,4.444,6,4.018
70,Misdreavus,0.00000,3,1.667,3,2.009
71,Omanyte,0.00000,1,0.556,1,0.670
72,Zorua,0.00000,1,0.556,0,0.000
73,Loudred,0.00000,2,1.111,2,1.339
74,Tangela,0.00000,1,0.556,1,0.670
75,Woobat,0.00000,1,0.556,1,0.670
76,Charmeleon,0.00000,3,1.667,3,2.009
77,Shellos,0.00000,1,0.556,0,0.000
78,Meditite,0.00000,5,2.778,3,2.009
79,Cosmoem,0.00000,1,0.556,1,0.670
80,Pidgeotto,0.00000,3,1.667,2,1.339
81,Skiploom,0.00000,5,2.778,4,2.679
82,Quilladin,0.00000,4,2.222,4,2.679
83,Herdier,0.00000,3,1.667,3,2.009
84,Bayleef,0.00000,3,1.667,3,2.009
85,Charjabug,0.00000,3,1.667,3,2.009
86,Kirlia,0.00000,6,3.333,5,3.348
87,Gloom,0.00000,2,1.111,2,1.339
88,Nidorino,0.00000,4,2.222,3,2.009
89,Weepinbell,0.00000,4,2.222,4,2.679
90,Bronzor,0.00000,2,1.111,2,1.339
91,Dartrix,0.00000,1,0.556,1,0.670
92,Charmander,0.00000,1,0.556,1,0.670
93,Brionne,0.00000,5,2.778,4,2.679
94,Flaaffy,0.00000,1,0.556,1,0.670
95,Kakuna,0.00000,1,0.556,0,0.000
