Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Mudsdale,25.77681,34809,13.293,29945,14.368
2,Eelektross,20.04771,43367,16.561,37190,17.844
3,Silvally-Fairy,19.65818,30082,11.488,24577,11.792
4,Primeape,18.56565,31502,12.030,25025,12.007
5,Qwilfish,18.38804,25794,9.850,22390,10.743
6,Hitmonchan,18.07047,38929,14.866,31317,15.026
7,Sandslash-Alola,14.90221,22753,8.689,18442,8.849
8,Froslass,14.83575,26736,10.210,22298,10.699
9,Gurdurr,13.74354,23969,9.153,19642,9.425
10,Guzzlord,13.37470,22012,8.406,17235,8.270
11,Victreebel,13.30361,18178,6.942,14815,7.108
12,Dodrio,12.71595,31597,12.066,23568,11.308
13,Skuntank,12.59634,24815,9.476,20084,9.637
14,Regirock,11.30891,21174,8.086,18157,8.712
15,Jellicent,11.19327,26684,10.190,21306,10.223
16,Aurorus,9.67256,16581,6.332,13588,6.520
17,Ferroseed,9.65083,18110,6.916,16228,7.786
18,Persian-Alola,9.64842,21148,8.076,17550,8.421
19,Claydol,9.47223,27689,10.574,23018,11.044
20,Lycanroc,8.97886,19596,7.483,15537,7.455
21,Raichu-Alola,8.74917,24348,9.298,18074,8.672
22,Aggron,8.36149,24434,9.331,19876,9.537
23,Clefairy,8.03756,14208,5.426,11424,5.481
24,Sableye,7.92870,13503,5.156,11279,5.412
25,Audino,7.51028,14009,5.350,10920,5.240
26,Cryogonal,7.08395,13512,5.160,10845,5.204
27,Stoutland,6.98146,15211,5.809,11570,5.551
28,Oricorio-Pom-Pom,6.85873,6114,2.335,4821,2.313
29,Articuno,6.77164,17089,6.526,13225,6.346
30,Quagsire,6.71867,16035,6.123,12861,6.171
31,Drampa,6.68421,19549,7.465,14875,7.137
32,Rotom-Frost,5.86852,9754,3.725,7989,3.833
33,Lanturn,5.86250,15444,5.898,12585,6.038
34,Tangela,5.83932,14381,5.492,11572,5.552
35,Abomasnow,5.83212,9909,3.784,8230,3.949
36,Scyther,5.77761,23458,8.958,18018,8.645
37,Kangaskhan,5.72760,13332,5.091,10811,5.187
38,Omastar,5.72116,14609,5.579,11306,5.425
39,Lurantis,5.49631,15883,6.065,12867,6.174
40,Metang,5.11517,5406,2.064,4872,2.338
41,Mr.-Mime,4.76195,11133,4.251,8678,4.164
42,Altaria,4.56280,6627,2.531,4973,2.386
43,Cinccino,4.51494,6020,2.299,4789,2.298
44,Oricorio-Sensu,4.41613,10148,3.875,7960,3.819
45,Golurk,4.25226,14822,5.660,12065,5.789
46,Abomasnow-Mega,4.02920,6747,2.577,5516,2.647
47,Absol,3.98725,16908,6.457,12546,6.020
48,Swanna,3.86085,4733,1.807,3738,1.794
49,Kabutops,3.75811,10253,3.915,7739,3.713
50,Silvally-Ghost,3.71215,6921,2.643,5522,2.650
51,Lickilicky,3.54395,2485,0.949,1906,0.915
52,Simisear,3.52469,6044,2.308,4629,2.221
53,Haunter,3.48960,18802,7.180,14268,6.846
54,Gastrodon,3.06393,16980,6.484,13344,6.403
55,Bronzor,3.04168,2036,0.777,1840,0.883
56,Zangoose,2.80050,10744,4.103,8019,3.848
57,Manectric,2.77714,12319,4.704,9486,4.552
58,Ludicolo,2.77241,13011,4.969,10362,4.972
59,Carracosta,2.77154,13601,5.194,10310,4.947
60,Dugtrio-Alola,2.75282,10896,4.161,9034,4.335
61,Roselia,2.67370,10890,4.159,8919,4.279
62,Turtonator,2.60986,6522,2.491,5039,2.418
63,Spiritomb,2.60219,9729,3.715,7634,3.663
64,Combusken,2.57004,5854,2.235,4556,2.186
65,Throh,2.35068,2998,1.145,2445,1.173
66,Carbink,2.33941,3683,1.406,3370,1.617
67,Crabominable,2.28731,4476,1.709,3451,1.656
68,Floatzel,2.14389,5678,2.168,4355,2.090
69,Bellossom,2.07142,3571,1.364,2743,1.316
70,Stunfisk,2.05531,1795,0.685,1584,0.760
71,Shuckle,2.03142,9441,3.605,8424,4.042
72,Silvally-Water,2.02050,1904,0.727,1552,0.745
73,Kecleon,1.93647,5481,2.093,4593,2.204
74,Volbeat,1.82008,5518,2.107,4814,2.310
75,Poliwrath,1.81425,7603,2.903,5927,2.844
76,Liepard,1.68535,12251,4.678,10046,4.820
77,Beheeyem,1.67374,3422,1.307,2652,1.272
78,Gorebyss,1.62989,2997,1.144,2223,1.067
79,Regice,1.56218,3950,1.508,2994,1.437
80,Pyukumuku,1.54079,3196,1.220,2523,1.211
81,Avalugg,1.52647,3917,1.496,3043,1.460
82,Jynx,1.48018,5317,2.030,3988,1.914
