Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Incineroar,84.97353,366793,64.464,183575,68.182
2,Rayquaza-Mega,45.87528,182035,31.993,121461,45.112
3,Tapu-Koko,43.80844,187523,32.957,73173,27.177
4,Xerneas,41.72306,202823,35.646,124919,46.397
5,Tapu-Fini,39.13301,148588,26.114,53258,19.781
6,Lunala,33.52957,100950,17.742,61280,22.760
7,Groudon-Primal,31.58110,186810,32.832,133500,49.584
8,Amoonguss,27.57003,112077,19.698,30480,11.321
9,Salamence-Mega,25.11692,85053,14.948,32536,12.084
10,Kyogre-Primal,21.66542,206527,36.297,139147,51.681
11,Stakataka,18.01669,56726,9.970,19729,7.328
12,Kangaskhan-Mega,14.21177,53775,9.451,23759,8.824
13,Kartana,12.66948,32038,5.631,12644,4.696
14,Tapu-Lele,12.39640,124474,21.876,52243,19.404
15,Necrozma-Dusk-Mane,11.68910,28115,4.941,16618,6.172
16,Nihilego,9.77105,45071,7.921,13608,5.054
17,Ferrothorn,7.48966,55346,9.727,23934,8.889
18,Ditto,6.91794,8564,1.505,3506,1.302
19,Crobat,6.65233,46940,8.250,13735,5.101
20,Tornadus,6.13996,49786,8.750,19351,7.187
21,Landorus-Therian,6.03125,45033,7.915,17839,6.626
22,Metagross-Mega,5.54658,31851,5.598,12614,4.685
23,Gengar-Mega,5.33696,60169,10.575,18739,6.960
24,Yveltal,4.88787,54003,9.491,28975,10.762
25,Mimikyu,4.46426,14152,2.487,5047,1.875
26,Togedemaru,4.45990,27738,4.875,10208,3.791
27,Celesteela,4.17772,49977,8.783,20642,7.667
28,Solgaleo,4.03910,19255,3.384,10991,4.082
29,Smeargle,3.65598,31433,5.524,11278,4.189
30,Braviary,3.54025,4697,0.826,1326,0.492
31,Shedinja,3.30641,13080,2.299,5389,2.002
32,Umbreon,2.67168,1245,0.219,459,0.170
33,Gengar,2.43024,8285,1.456,2649,0.984
34,Mandibuzz,2.26144,3463,0.609,1137,0.422
