Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Tauros,91.16267,20064,63.445,15207,58.084
2,Chansey,84.24161,17695,55.954,14935,57.045
3,Snorlax,81.37295,16320,51.606,13502,51.571
4,Exeggutor,66.89640,15147,47.897,13193,50.391
5,Starmie,51.20289,11589,36.646,10135,38.711
6,Alakazam,47.75768,15843,50.098,13834,52.840
7,Jynx,29.38190,5565,17.597,5315,20.301
8,Rhydon,25.61270,9761,30.866,7777,29.705
9,Cloyster,21.80226,5526,17.474,4611,17.612
10,Gengar,13.92476,8848,27.979,7616,29.090
11,Zapdos,13.31658,6933,21.923,5654,21.596
12,Lapras,9.29131,3954,12.503,3219,12.295
13,Jolteon,9.03231,5432,17.177,4645,17.742
14,Slowbro,8.76135,3258,10.302,2635,10.064
15,Persian,7.14415,2272,7.184,1864,7.120
16,Dragonite,6.52129,3615,11.431,2779,10.615
17,Golem,5.81266,2631,8.320,2168,8.281
18,Victreebel,4.47864,2395,7.573,1843,7.039
19,Hypno,2.95103,991,3.134,892,3.407
20,Articuno,2.73890,1330,4.206,1081,4.129
21,Sandslash,1.92230,882,2.789,730,2.788
22,Machamp,1.82763,964,3.048,753,2.876
23,Kangaskhan,1.35298,450,1.423,387,1.478
24,Pinsir,1.33658,269,0.851,210,0.802
25,Moltres,0.91761,719,2.274,543,2.074
26,Kingler,0.90099,340,1.075,269,1.027
27,Omastar,0.84075,418,1.322,356,1.360
28,Venusaur,0.75475,1745,5.518,1432,5.470
29,Clefable,0.59138,412,1.303,352,1.344
30,Dodrio,0.58525,914,2.890,800,3.056
31,Ninetales,0.52402,475,1.502,402,1.535
32,Dugtrio,0.50446,818,2.587,704,2.689
33,Raichu,0.43486,802,2.536,656,2.506
34,Kabutops,0.40972,207,0.655,183,0.699
35,Kadabra,0.37141,232,0.734,219,0.836
36,Porygon,0.34426,138,0.436,104,0.397
37,Poliwrath,0.29562,347,1.097,281,1.073
38,Charizard,0.29201,2613,8.263,2140,8.174
39,Vileplume,0.27823,269,0.851,215,0.821
40,Lickitung,0.22863,107,0.338,79,0.302
41,Weezing,0.21517,151,0.477,133,0.508
42,Arcanine,0.18995,1007,3.184,788,3.010
43,Electrode,0.17524,778,2.460,700,2.674
44,Parasect,0.16056,253,0.800,214,0.817
45,Nidoqueen,0.14168,271,0.857,226,0.863
46,Blastoise,0.13915,1428,4.516,1193,4.557
47,Gyarados,0.13893,1000,3.162,805,3.075
48,Aerodactyl,0.10999,654,2.068,525,2.005
49,Raticate,0.08959,222,0.702,182,0.695
50,Nidoking,0.07209,714,2.258,569,2.173
51,Dewgong,0.06443,162,0.512,145,0.554
52,Flareon,0.05111,273,0.863,220,0.840
53,Tangela,0.05109,184,0.582,171,0.653
54,Tentacruel,0.04432,345,1.091,264,1.008
55,Rapidash,0.03893,299,0.945,263,1.005
56,Mr.-Mime,0.02815,141,0.446,123,0.470
57,Hitmonlee,0.02459,405,1.281,320,1.222
58,Arbok,0.01558,233,0.737,180,0.688
59,Electabuzz,0.01493,452,1.429,383,1.463
60,Onix,0.01458,299,0.945,248,0.947
61,Magneton,0.01294,172,0.544,151,0.577
62,Golduck,0.00885,258,0.816,204,0.779
63,Seaking,0.00856,24,0.076,19,0.073
64,Butterfree,0.00823,302,0.955,261,0.997
65,Vaporeon,0.00550,284,0.898,213,0.814
66,Scyther,0.00399,417,1.319,342,1.306
67,Dragonair,0.00391,93,0.294,75,0.286
68,Primeape,0.00341,348,1.100,290,1.108
69,Beedrill,0.00264,256,0.810,184,0.703
70,Muk,0.00255,236,0.746,189,0.722
71,Marowak,0.00138,219,0.693,179,0.684
72,Staryu,0.00113,45,0.142,42,0.160
73,Ditto,0.00104,160,0.506,126,0.481
74,Pidgeot,0.00101,540,1.708,412,1.574
75,Pikachu,0.00097,627,1.983,553,2.112
76,Venomoth,0.00082,136,0.430,119,0.455
77,Haunter,0.00055,91,0.288,77,0.294
78,Magmar,0.00049,176,0.557,133,0.508
79,Golbat,0.00049,172,0.544,142,0.542
80,Wigglytuff,0.00042,97,0.307,78,0.298
81,Graveler,0.00029,60,0.190,52,0.199
82,Eevee,0.00017,81,0.256,67,0.256
83,Fearow,0.00012,153,0.484,127,0.485
84,Hitmonchan,0.00009,150,0.474,112,0.428
85,Bulbasaur,0.00008,227,0.718,184,0.703
86,Squirtle,0.00008,223,0.705,173,0.661
87,Zubat,0.00007,18,0.057,15,0.057
88,Pidgeotto,0.00006,51,0.161,39,0.149
89,Rattata,0.00004,46,0.145,42,0.160
90,Spearow,0.00004,14,0.044,9,0.034
91,Ivysaur,0.00004,48,0.152,42,0.160
92,Jigglypuff,0.00003,28,0.089,24,0.092
93,Vulpix,0.00003,14,0.044,13,0.050
94,Charmander,0.00003,91,0.288,82,0.313
95,Paras,0.00002,14,0.044,12,0.046
96,Venonat,0.00001,20,0.063,16,0.061
97,Gloom,0.00001,12,0.038,10,0.038
98,Oddish,0.00001,13,0.041,8,0.031
99,Farfetch'd,0.00001,58,0.183,44,0.168
100,Wartortle,0.00001,60,0.190,52,0.199
101,Doduo,0.00000,30,0.095,25,0.095
102,Gastly,0.00000,27,0.085,24,0.092
103,Omanyte,0.00000,23,0.073,21,0.080
104,Sandshrew,0.00000,19,0.060,16,0.061
105,Dratini,0.00000,15,0.047,13,0.050
106,Abra,0.00000,41,0.130,41,0.157
107,Machoke,0.00000,65,0.206,44,0.168
108,Seadra,0.00000,41,0.130,27,0.103
109,Caterpie,0.00000,48,0.152,44,0.168
110,Pidgey,0.00000,26,0.082,26,0.099
111,Weedle,0.00000,32,0.101,28,0.107
112,Magikarp,0.00000,33,0.104,30,0.115
113,Magnemite,0.00000,6,0.019,6,0.023
114,Voltorb,0.00000,21,0.066,20,0.076
115,Poliwhirl,0.00000,32,0.101,26,0.099
116,Growlithe,0.00000,13,0.041,13,0.050
117,Ponyta,0.00000,19,0.060,18,0.069
118,Geodude,0.00000,35,0.111,33,0.126
119,Rhyhorn,0.00000,17,0.054,17,0.065
120,Nidorina,0.00000,10,0.032,9,0.034
121,Weepinbell,0.00000,20,0.063,20,0.076
122,Grimer,0.00000,9,0.028,6,0.023
123,Slowpoke,0.00000,9,0.028,8,0.031
124,Diglett,0.00000,3,0.009,3,0.011
125,Tentacool,0.00000,9,0.028,7,0.027
126,Koffing,0.00000,20,0.063,19,0.073
127,Shellder,0.00000,4,0.013,4,0.015
128,Mankey,0.00000,9,0.028,8,0.031
129,Charmeleon,0.00000,34,0.108,28,0.107
130,Psyduck,0.00000,12,0.038,9,0.034
131,Bellsprout,0.00000,15,0.047,15,0.057
132,Poliwag,0.00000,7,0.022,6,0.023
133,Ekans,0.00000,9,0.028,6,0.023
134,Metapod,0.00000,24,0.076,23,0.088
135,Drowzee,0.00000,8,0.025,8,0.031
136,Goldeen,0.00000,7,0.022,6,0.023
137,Meowth,0.00000,34,0.108,24,0.092
138,Nidorino,0.00000,12,0.038,9,0.034
139,Exeggcute,0.00000,15,0.047,13,0.050
140,Krabby,0.00000,9,0.028,8,0.031
