Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Rillaboom,15.46527,44409,9.313,12938,16.490
2,Primarina,13.54002,44300,9.290,13441,17.131
3,Urshifu-Rapid-Strike,13.07711,40323,8.456,13297,16.947
4,Zeraora,12.85066,44559,9.344,16581,21.133
5,Magnezone,12.06734,36547,7.664,13265,16.907
6,Dragapult,11.69518,41671,8.739,13702,17.464
7,Sylveon,9.73914,29100,6.102,9797,12.487
8,Togekiss,9.51590,39417,8.266,13176,16.793
9,Haxorus,8.06943,28126,5.898,9224,11.756
10,Porygon-Z,7.68788,37102,7.781,12910,16.454
11,Dracovish,7.28829,21587,4.527,6988,8.906
12,Azumarill,6.24365,27748,5.819,9007,11.480
13,Darmanitan-Galar,6.16042,29591,6.205,10687,13.621
14,Arcanine,5.36408,11865,2.488,4144,5.282
15,Urshifu,5.03517,25625,5.374,9057,11.543
16,Aegislash,4.89860,17220,3.611,6304,8.035
17,Kommo-o,4.44658,14186,2.975,4408,5.618
18,Rotom-Heat,4.25902,15462,3.242,5087,6.484
19,Raboot,4.15544,6321,1.326,2541,3.239
20,Scizor,4.03251,18287,3.835,5979,7.620
21,Rhyperior,3.92961,7445,1.561,2633,3.356
22,Darmanitan,3.75247,11418,2.394,3757,4.788
23,Avalugg,3.42401,11723,2.458,4659,5.938
24,Steelix,3.32381,12517,2.625,4848,6.179
25,Snorlax,3.28397,11005,2.308,4093,5.217
26,Alakazam,3.18551,14453,3.031,4674,5.957
27,Grimmsnarl,3.13275,6056,1.270,1935,2.466
28,Hydreigon,2.97853,10276,2.155,3179,4.052
29,Marowak-Alola,2.93236,15432,3.236,5189,6.614
30,Volcarona,2.87411,18825,3.948,5572,7.102
31,Crustle,2.71985,13130,2.753,4713,6.007
32,Corviknight,2.65697,12465,2.614,3612,4.604
33,Incineroar,2.54586,9088,1.906,3149,4.013
34,Chansey,2.42332,13244,2.777,4168,5.312
35,Hawlucha,2.41022,10126,2.123,3843,4.898
36,Venusaur,2.30916,10137,2.126,3284,4.186
37,Gengar,2.23677,13388,2.808,4637,5.910
38,Diggersby,2.22609,5268,1.105,1945,2.479
39,Whimsicott,2.17929,14882,3.121,5097,6.496
40,Ferrothorn,2.17297,13779,2.890,4607,5.872
41,Sawk,2.12506,11289,2.367,4304,5.486
42,Porygon2,1.93817,5456,1.144,1922,2.450
43,Clefable,1.92315,7366,1.545,2475,3.154
44,Excadrill,1.76595,11675,2.448,3245,4.136
45,Kyurem,1.64149,10936,2.293,3681,4.692
46,Rotom-Wash,1.49023,5860,1.229,2077,2.647
47,Goodra,1.47641,6652,1.395,2458,3.133
48,Corsola-Galar,1.43343,9917,2.080,3827,4.878
49,Conkeldurr,1.42831,13082,2.743,4010,5.111
50,Toxapex,1.42735,9215,1.932,2638,3.362
51,Indeedee,1.42661,9220,1.933,3315,4.225
52,Silvally-Fairy,1.41660,611,0.128,206,0.263
53,Dracozolt,1.34376,7890,1.655,2964,3.778
54,Gardevoir,1.33838,7982,1.674,3038,3.872
55,Aromatisse,1.29997,2683,0.563,889,1.133
56,Celebi,1.22031,2317,0.486,759,0.967
57,Chandelure,1.18978,9139,1.917,2733,3.483
58,Talonflame,1.16002,4361,0.915,1407,1.793
59,Weezing-Galar,1.09995,6956,1.459,2519,3.211
60,Salazzle,1.08140,9035,1.895,3074,3.918
61,Skarmory,1.03339,6903,1.448,2699,3.440
62,Bisharp,1.02234,4613,0.967,1246,1.588
63,Toxtricity,1.02230,5658,1.187,1785,2.275
64,Slowbro-Galar,1.00086,8077,1.694,2929,3.733
65,Comfey,0.94256,1752,0.367,588,0.749
66,Gyarados,0.93179,4236,0.888,1403,1.788
67,Togedemaru,0.89889,9241,1.938,3848,4.904
68,Inteleon,0.89730,4127,0.865,1473,1.877
69,Durant,0.85030,7174,1.504,2642,3.367
70,Cloyster,0.79298,5474,1.148,1983,2.527
71,Silvally-Poison,0.78390,411,0.086,136,0.173
72,Gastrodon,0.77888,6596,1.383,2055,2.619
73,Hatterene,0.77346,4453,0.934,1294,1.649
74,Tyranitar,0.77333,5700,1.195,1758,2.241
75,Weavile,0.75938,4697,0.985,1547,1.972
76,Slowbro,0.69532,4378,0.918,1303,1.661
77,Golisopod,0.63398,3004,0.630,1128,1.438
78,Scrafty,0.62693,1546,0.324,589,0.751
79,Espeon,0.58937,2104,0.441,693,0.883
80,Druddigon,0.56835,1274,0.267,459,0.585
81,Ninetales-Alola,0.56563,4847,1.016,1407,1.793
82,Vikavolt,0.56133,1380,0.289,499,0.636
83,Dragalge,0.53013,4116,0.863,1347,1.717
84,Pyukumuku,0.52573,4346,0.911,1699,2.165
85,Gurdurr,0.51766,441,0.092,124,0.158
86,Malamar,0.51703,2516,0.528,966,1.231
87,Hitmonlee,0.50436,4132,0.867,1622,2.067
88,Machamp,0.50161,2453,0.514,981,1.250
89,Shedinja,0.49924,3527,0.740,1152,1.468
90,Runerigus,0.46322,688,0.144,280,0.357
91,Klefki,0.45742,3155,0.662,1312,1.672
92,Indeedee-F,0.45716,1886,0.396,744,0.948
93,Mandibuzz,0.44737,1246,0.261,324,0.413
94,Sudowoodo,0.43728,2853,0.598,1181,1.505
95,Crawdaunt,0.42606,1592,0.334,462,0.589
96,Centiskorch,0.41947,2416,0.507,771,0.983
97,Torkoal,0.41815,915,0.192,369,0.470
98,Hippowdon,0.40889,2603,0.546,723,0.921
99,Milotic,0.40688,5671,1.189,1724,2.197
100,Charizard,0.39221,4870,1.021,1702,2.169
101,Obstagoon,0.37906,3767,0.790,1345,1.714
102,Blissey,0.37260,5184,1.087,1740,2.218
103,Ditto,0.34549,2901,0.608,1213,1.546
104,Coalossal,0.34133,1825,0.383,582,0.742
105,Cinccino,0.33981,5539,1.162,1930,2.460
106,Bewear,0.32855,7401,1.552,3036,3.869
107,Scolipede,0.31417,4614,0.968,1438,1.833
108,Blastoise,0.30785,4782,1.003,1638,2.088
109,Silvally-Fire,0.30535,232,0.049,88,0.112
110,Kingdra,0.30054,3346,0.702,1060,1.351
111,Virizion,0.29688,875,0.183,258,0.329
112,Amoonguss,0.29252,3300,0.692,949,1.210
113,Magnemite,0.29146,7239,1.518,2743,3.496
114,Escavalier,0.28573,1722,0.361,745,0.950
115,Keldeo,0.28392,1778,0.373,485,0.618
116,Duraludon,0.28286,1698,0.356,641,0.817
117,Copperajah,0.27442,1403,0.294,525,0.669
118,Silvally-Flying,0.26096,149,0.031,66,0.084
119,Shuckle,0.25878,4323,0.907,1918,2.445
120,Ninetales,0.25870,4211,0.883,1515,1.931
121,Wobbuffet,0.25558,2864,0.601,1022,1.303
122,Frosmoth,0.24749,597,0.125,157,0.200
123,Eiscue,0.23809,3196,0.670,1065,1.357
124,Bouffalant,0.23518,1591,0.334,640,0.816
125,Mamoswine,0.23472,1580,0.331,508,0.647
126,Araquanid,0.22929,2529,0.530,755,0.962
127,Appletun,0.22638,1406,0.295,528,0.673
128,Gigalith,0.22125,2432,0.510,931,1.187
129,Sirfetch'd,0.21515,3918,0.822,1369,1.745
130,Lopunny,0.21098,632,0.133,234,0.298
131,Luxray,0.20610,1270,0.266,456,0.581
132,Reuniclus,0.20484,1156,0.242,457,0.582
133,Clawitzer,0.19284,3318,0.696,1101,1.403
134,Jolteon,0.18824,771,0.162,312,0.398
135,Golurk,0.18446,1467,0.308,451,0.575
136,Beheeyem,0.18150,276,0.058,110,0.140
137,Krookodile,0.16972,4159,0.872,1222,1.557
138,Heliolisk,0.16699,605,0.127,202,0.257
139,Swoobat,0.16599,725,0.152,243,0.310
140,Type:-Null,0.16506,3005,0.630,1175,1.498
141,Terrakion,0.15940,748,0.157,219,0.279
142,Tangrowth,0.15195,1680,0.352,547,0.697
143,Ludicolo,0.15183,732,0.154,211,0.269
144,Mienshao,0.15168,1838,0.385,601,0.766
145,Umbreon,0.14612,2541,0.533,816,1.040
146,Lurantis,0.14392,1670,0.350,558,0.711
147,Poliwrath,0.13927,1396,0.293,503,0.641
148,Barraskewda,0.13820,935,0.196,377,0.480
149,Lycanroc-Dusk,0.13393,2862,0.600,980,1.249
150,Pincurchin,0.13264,1871,0.392,651,0.830
151,Bronzong,0.13139,1146,0.240,420,0.535
152,Vileplume,0.12907,738,0.155,287,0.366
153,Sigilyph,0.12821,1095,0.230,376,0.479
154,Rotom-Mow,0.12475,625,0.131,187,0.238
155,Vaporeon,0.11988,982,0.206,279,0.356
156,Roserade,0.11727,1918,0.402,679,0.865
157,Lucario,0.11719,3922,0.822,1421,1.811
158,Heracross,0.11648,1704,0.357,558,0.711
159,Silvally-Grass,0.11343,200,0.042,56,0.071
160,Alcremie,0.10830,1218,0.255,384,0.489
161,Drampa,0.10720,792,0.166,249,0.317
162,Liepard,0.10583,1009,0.212,406,0.517
163,Dhelmise,0.10563,2774,0.582,967,1.232
164,Noivern,0.10323,1423,0.298,574,0.732
165,Exeggutor,0.10269,462,0.097,163,0.208
166,Gothitelle,0.09937,348,0.073,150,0.191
167,Dusknoir,0.09042,5814,1.219,2962,3.775
168,Pelipper,0.09015,1483,0.311,487,0.621
169,Sandaconda,0.08982,483,0.101,132,0.168
