Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Urshifu,62.14862,5956,33.052,3271,41.258
2,Porygon2,60.57644,4801,26.643,2239,28.241
3,Magnezone,50.57672,6278,34.839,2480,31.281
4,Gyarados,49.45327,5941,32.969,2996,37.789
5,Azumarill,48.33597,4428,24.573,1819,22.944
6,Porygon-Z,31.89713,3807,21.127,1837,23.171
7,Lycanroc-Dusk,26.42815,4110,22.808,2008,25.327
8,Volcarona,23.99549,4490,24.917,1699,21.430
9,Urshifu-Rapid-Strike,23.80349,5352,29.700,2694,33.980
10,Klefki,16.07084,2826,15.683,1689,21.304
11,Marowak-Alola,15.39689,3331,18.485,1329,16.763
12,Goodra,15.25072,2156,11.964,1004,12.664
13,Talonflame,13.57165,3033,16.831,1259,15.880
14,Venusaur,13.35736,4246,23.563,1663,20.976
15,Lanturn,10.24397,264,1.465,169,2.132
16,Alakazam,9.42866,2550,14.151,995,12.550
17,Toxapex,9.15234,2173,12.059,864,10.898
18,Skarmory,7.64352,2260,12.542,1165,14.694
19,Emolga,7.05145,57,0.316,11,0.139
20,Mandibuzz,6.87704,942,5.228,274,3.456
21,Raichu-Alola,5.45385,1050,5.827,560,7.063
22,Scizor,5.11841,1857,10.305,743,9.372
23,Chansey,4.87914,981,5.444,372,4.692
24,Torkoal,4.59225,2060,11.432,995,12.550
25,Ditto,4.38221,1000,5.549,348,4.389
26,Amoonguss,4.24534,1481,8.219,531,6.698
27,Krookodile,4.09595,1340,7.436,562,7.089
28,Gardevoir,4.06222,1086,6.027,500,6.307
29,Comfey,3.80253,1032,5.727,347,4.377
30,Blastoise,3.52324,842,4.673,352,4.440
31,Quagsire,3.01235,683,3.790,293,3.696
32,Pincurchin,2.91690,575,3.191,304,3.834
33,Heracross,2.70684,361,2.003,118,1.488
34,Druddigon,2.49346,255,1.415,185,2.333
35,Slowbro-Galar,2.48428,1192,6.615,430,5.424
36,Rhyperior,2.42974,1000,5.549,436,5.499
37,Braviary,2.42755,468,2.597,238,3.002
38,Kingdra,2.29544,1544,8.568,611,7.707
39,Scolipede,2.13146,1408,7.814,688,8.678
40,Exploud,2.12338,138,0.766,58,0.732
41,Gallade,1.77965,180,0.999,57,0.719
42,Luxray,1.74684,1065,5.910,480,6.054
43,Politoed,1.42781,728,4.040,246,3.103
44,Slowbro,1.39193,323,1.792,99,1.249
45,Kommo-o,1.25683,1262,7.003,479,6.042
46,Tangrowth,1.22929,753,4.179,266,3.355
47,Scyther,1.16044,1045,5.799,419,5.285
48,Dragalge,1.08533,515,2.858,187,2.359
49,Malamar,0.97674,215,1.193,106,1.337
50,Slowking,0.96771,106,0.588,33,0.416
51,Palossand,0.93567,316,1.754,123,1.551
52,Blissey,0.77153,763,4.234,344,4.339
53,Escavalier,0.66569,200,1.110,87,1.097
54,Flapple,0.58122,136,0.755,53,0.669
55,Magneton,0.57487,111,0.616,53,0.669
56,Appletun,0.56250,372,2.064,137,1.728
57,Drifblim,0.54082,127,0.705,45,0.568
58,Bisharp,0.52806,391,2.170,98,1.236
59,Salazzle,0.51567,355,1.970,130,1.640
60,Mienshao,0.46452,354,1.964,178,2.245
61,Sandaconda,0.43912,492,2.730,259,3.267
62,Zoroark,0.43126,675,3.746,201,2.535
63,Morpeko,0.39857,451,2.503,259,3.267
64,Dedenne,0.37734,81,0.450,27,0.341
65,Sandslash,0.36531,113,0.627,70,0.883
66,Starmie,0.34380,386,2.142,173,2.182
67,Cloyster,0.33661,435,2.414,191,2.409
68,Lurantis,0.32843,299,1.659,123,1.551
69,Lycanroc,0.32591,178,0.988,108,1.362
70,Pelipper,0.31529,328,1.820,161,2.031
71,Gigalith,0.30432,442,2.453,170,2.144
72,Toxicroak,0.23441,239,1.326,71,0.896
73,Exeggutor,0.17951,160,0.888,68,0.858
74,Wigglytuff,0.16373,270,1.498,76,0.959
75,Jellicent,0.15506,124,0.688,65,0.820
76,Sharpedo,0.15298,220,1.221,87,1.097
77,Barraskewda,0.13496,227,1.260,102,1.287
78,Oranguru,0.12616,28,0.155,9,0.114
79,Whiscash,0.12578,13,0.072,2,0.025
80,Tentacruel,0.11929,245,1.360,83,1.047
81,Marowak,0.11804,111,0.616,58,0.732
82,Poliwrath,0.11718,213,1.182,98,1.236
83,Dunsparce,0.10295,138,0.766,101,1.274
84,Drapion,0.10282,435,2.414,212,2.674
85,Stoutland,0.09281,135,0.749,76,0.959
86,Lycanroc-Midnight,0.06154,73,0.405,27,0.341
87,Bouffalant,0.04983,52,0.289,18,0.227
88,Lopunny,0.04707,70,0.388,20,0.252
89,Raichu,0.03502,142,0.788,56,0.706
90,Drednaw,0.02819,247,1.371,120,1.514
91,Mantine,0.01244,61,0.339,25,0.315
92,Swoobat,0.01023,101,0.560,46,0.580
93,Lilligant,0.00932,31,0.172,12,0.151
94,Accelgor,0.00850,248,1.376,122,1.539
95,Exeggutor-Alola,0.00601,18,0.100,7,0.088
96,Crustle,0.00584,124,0.688,43,0.542
97,Dottler,0.00544,57,0.316,14,0.177
98,Greedent,0.00544,81,0.450,47,0.593
99,Wishiwashi,0.00350,20,0.111,3,0.038
100,Golisopod,0.00303,129,0.716,54,0.681
101,Crawdaunt,0.00228,71,0.394,30,0.378
102,Miltank,0.00189,40,0.222,15,0.189
103,Kangaskhan,0.00182,106,0.588,51,0.643
104,Pikachu,0.00124,28,0.155,10,0.126
105,Sandslash-Alola,0.00087,35,0.194,7,0.088
106,Kingler,0.00073,35,0.194,15,0.189
107,Rockruff,0.00065,11,0.061,10,0.126
108,Grapploct,0.00049,14,0.078,9,0.114
109,Tauros,0.00028,104,0.577,59,0.744
110,Octillery,0.00021,18,0.100,11,0.139
111,Scrafty,0.00019,42,0.233,20,0.252
112,Lickilicky,0.00010,11,0.061,7,0.088
113,Clawitzer,0.00007,50,0.277,21,0.265
114,Jigglypuff,0.00002,10,0.055,2,0.025
115,Vullaby,0.00000,7,0.039,1,0.013
116,Wailord,0.00000,6,0.033,2,0.025
117,Seaking,0.00000,7,0.039,3,0.038
118,Pinsir,0.00000,8,0.044,5,0.063
119,Passimian,0.00000,45,0.250,28,0.353
120,Rhydon,0.00000,29,0.161,17,0.214
121,Fletchinder,0.00000,1,0.006,1,0.013
122,Buneary,0.00000,3,0.017,3,0.038
123,Tangela,0.00000,1,0.006,0,0.000
124,Kadabra,0.00000,6,0.033,0,0.000
125,Skrelp,0.00000,2,0.011,1,0.013
126,Zorua,0.00000,9,0.050,3,0.038
127,Abra,0.00000,2,0.011,2,0.025
128,Boldore,0.00000,4,0.022,0,0.000
