Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Cinderace,59.44127,135822,44.561,67793,50.884
2,Dragapult,39.46947,86280,28.307,37092,27.841
3,Porygon2,38.93405,60315,19.788,25614,19.225
4,Rillaboom,37.43467,87321,28.648,33573,25.199
5,Togekiss,33.76682,66831,21.926,27473,20.621
6,Mimikyu,27.65692,57461,18.852,23812,17.873
7,Hippowdon,27.18610,39980,13.117,16573,12.439
8,Gyarados,25.75334,48516,15.917,22607,16.968
9,Urshifu,14.94029,30146,9.890,15083,11.321
10,Primarina,14.75410,20238,6.640,8284,6.218
11,Urshifu-Rapid-Strike,14.42060,34202,11.221,17378,13.044
12,Excadrill,12.39062,41155,13.502,16373,12.289
13,Magnezone,12.38410,30870,10.128,12163,9.129
14,Dracozolt,10.34047,26267,8.618,12385,9.296
15,Lapras,9.72130,25628,8.408,13068,9.809
16,Porygon-Z,9.65642,18309,6.007,8033,6.029
17,Toxapex,8.82746,30291,9.938,13220,9.923
18,Chansey,8.49101,8312,2.727,3322,2.493
19,Skarmory,8.18330,14685,4.818,7123,5.346
20,Ferrothorn,8.03214,23629,7.752,10070,7.558
21,Rotom-Heat,8.02570,16368,5.370,7408,5.560
22,Azumarill,7.07379,26978,8.851,11464,8.605
23,Indeedee,6.54925,11617,3.811,5061,3.799
24,Arcanine,6.43836,11307,3.710,5068,3.804
25,Volcarona,4.58194,24700,8.104,9244,6.938
26,Blissey,4.47936,9759,3.202,4319,3.242
27,Whimsicott,4.39675,13814,4.532,7509,5.636
28,Lycanroc-Dusk,4.26046,14079,4.619,7472,5.608
29,Marowak-Alola,4.06182,16782,5.506,7243,5.436
30,Grimmsnarl,4.03287,21732,7.130,12417,9.320
31,Amoonguss,3.92420,10063,3.301,3761,2.823
32,Rotom-Wash,3.86981,16775,5.504,7465,5.603
33,Darmanitan-Galar,3.64934,14424,4.732,6360,4.774
34,Gastrodon,3.50599,7222,2.369,2927,2.197
35,Incineroar,3.48552,10904,3.577,5665,4.252
36,Ditto,3.42168,8639,2.834,3676,2.759
37,Kingdra,3.42008,15887,5.212,6767,5.079
38,Corviknight,3.28425,23039,7.559,7494,5.625
39,Clefable,3.09049,13131,4.308,5226,3.923
40,Dragalge,2.94360,9110,2.989,4457,3.345
41,Snorlax,2.94252,14602,4.791,5746,4.313
42,Quagsire,2.82186,5612,1.841,2109,1.583
43,Rhyperior,2.72681,8802,2.888,3795,2.848
44,Charizard,2.54907,15370,5.043,7086,5.319
45,Hatterene,2.32633,13347,4.379,6761,5.075
46,Tyranitar,2.27356,15996,5.248,6932,5.203
47,Dracovish,2.15512,12157,3.988,5092,3.822
48,Scolipede,2.11300,8407,2.758,5232,3.927
49,Pelipper,2.10868,6509,2.135,3485,2.616
50,Talonflame,2.04166,8452,2.773,3700,2.777
51,Toxtricity,1.96800,8523,2.796,3598,2.701
52,Slowbro,1.94883,4186,1.373,1760,1.321
53,Aegislash,1.84787,10434,3.423,3817,2.865
54,Inteleon,1.83440,10709,3.513,5382,4.040
55,Scizor,1.75405,17459,5.728,7401,5.555
56,Venusaur,1.72733,11064,3.630,4940,3.708
57,Corsola-Galar,1.68868,6572,2.156,2505,1.880
58,Slowbro-Galar,1.67237,9709,3.185,4031,3.026
59,Reuniclus,1.66999,2344,0.769,845,0.634
60,Duraludon,1.61452,6207,2.036,2958,2.220
61,Krookodile,1.61416,7711,2.530,4211,3.161
62,Torkoal,1.56819,9443,3.098,5197,3.901
63,Rotom-Fan,1.54110,5561,1.824,2419,1.816
64,Gothitelle,1.51885,3745,1.229,1192,0.895
65,Luxray,1.40892,7105,2.331,3179,2.386
66,Klefki,1.35261,10010,3.284,5428,4.074
67,Umbreon,1.27417,5284,1.734,1780,1.336
68,Coalossal,1.12223,2775,0.910,1286,0.965
69,Diggersby,1.03820,3723,1.221,1462,1.097
70,Hydreigon,1.01739,10786,3.539,3680,2.762
71,Pyukumuku,0.91927,1835,0.602,776,0.582
72,Gengar,0.85969,6958,2.283,2940,2.207
73,Sylveon,0.83950,8664,2.843,3261,2.448
74,Indeedee-F,0.81533,2379,0.781,1093,0.820
75,Mandibuzz,0.76986,4166,1.367,1606,1.205
76,Mamoswine,0.74889,3810,1.250,2014,1.512
77,Araquanid,0.73409,1653,0.542,615,0.462
78,Ninetales-Alola,0.72976,5357,1.758,2780,2.087
79,Blastoise,0.72678,6662,2.186,3029,2.274
80,Politoed,0.71822,4758,1.561,2061,1.547
81,Conkeldurr,0.66985,5838,1.915,2334,1.752
82,Haxorus,0.66539,7695,2.525,3471,2.605
83,Glalie,0.65075,1330,0.436,365,0.274
84,Togedemaru,0.64761,2104,0.690,1092,0.820
85,Alakazam,0.62932,8236,2.702,2916,2.189
86,Cloyster,0.57721,4893,1.605,2129,1.598
87,Gardevoir,0.56519,4198,1.377,1805,1.355
88,Eldegoss,0.53835,898,0.295,405,0.304
89,Hawlucha,0.53184,6319,2.073,2599,1.951
90,Seismitoad,0.52816,3463,1.136,1441,1.082
91,Terrakion,0.51576,2680,0.879,1384,1.039
92,Chandelure,0.50457,5307,1.741,2542,1.908
93,Sharpedo,0.50421,2695,0.884,1345,1.010
94,Cobalion,0.48958,2384,0.782,1290,0.968
95,Goodra,0.48842,6106,2.003,2309,1.733
96,Zoroark,0.48794,9129,2.995,3116,2.339
97,Obstagoon,0.45943,2831,0.929,1297,0.974
98,Frosmoth,0.39411,782,0.257,185,0.139
99,Braviary,0.35295,2303,0.756,897,0.673
100,Swoobat,0.34224,955,0.313,521,0.391
101,Pincurchin,0.34015,4632,1.520,2444,1.834
102,Bisharp,0.32956,4011,1.316,1542,1.157
103,Milotic,0.31665,4108,1.348,1771,1.329
104,Tangrowth,0.31127,2708,0.888,1029,0.772
105,Trevenant,0.29078,887,0.291,355,0.266
106,Gigalith,0.28548,1356,0.445,682,0.512
107,Mudsdale,0.27451,2673,0.877,1128,0.847
108,Kommo-o,0.26853,5009,1.643,2083,1.563
109,Avalugg,0.26786,1818,0.596,688,0.516
110,Heracross,0.26497,2589,0.849,1041,0.781
111,Starmie,0.26315,1901,0.624,873,0.655
112,Comfey,0.25963,3514,1.153,1619,1.215
113,Golurk,0.25061,636,0.209,322,0.242
114,Vaporeon,0.24567,2910,0.955,1398,1.049
115,Steelix,0.22084,996,0.327,423,0.317
116,Weezing-Galar,0.21882,3904,1.281,1947,1.461
117,Mienshao,0.21475,1937,0.635,946,0.710
118,Weavile,0.20324,3638,1.194,1627,1.221
119,Noivern,0.20226,1848,0.606,881,0.661
120,Eiscue,0.20205,2786,0.914,1161,0.871
121,Durant,0.19695,3139,1.030,1499,1.125
122,Scyther,0.18690,3683,1.208,1555,1.167
123,Raichu-Alola,0.17970,3283,1.077,1371,1.029
124,Lanturn,0.17219,1024,0.336,469,0.352
125,Palossand,0.17062,1511,0.496,548,0.411
126,Polteageist,0.16787,4245,1.393,2087,1.566
127,Slurpuff,0.16110,1970,0.646,1118,0.839
128,Poliwrath,0.16035,1552,0.509,767,0.576
129,Crawdaunt,0.15902,2074,0.680,941,0.706
130,Bronzong,0.14084,1736,0.570,790,0.593
131,Sirfetch'd,0.13680,2219,0.728,886,0.665
132,Drednaw,0.13564,1719,0.564,771,0.579
133,Exeggutor-Alola,0.13049,769,0.252,303,0.227
134,Dusclops,0.12949,2147,0.704,1152,0.865
135,Abomasnow,0.12664,791,0.260,416,0.312
136,Slowking,0.12195,714,0.234,300,0.225
137,Flygon,0.11991,2066,0.678,830,0.623
138,Sandaconda,0.11529,2389,0.784,1321,0.992
139,Barraskewda,0.10896,1530,0.502,718,0.539
140,Wobbuffet,0.10795,903,0.296,332,0.249
141,Butterfree,0.10315,3320,1.089,1817,1.364
142,Lucario,0.10005,3781,1.240,1671,1.254
143,Greedent,0.09850,662,0.217,290,0.218
144,Lycanroc,0.09769,1095,0.359,484,0.363
145,Bouffalant,0.09542,1231,0.404,425,0.319
146,Silvally,0.09426,538,0.177,246,0.185
147,Jolteon,0.09047,2826,0.927,1321,0.992
148,Sandslash,0.08947,272,0.089,106,0.080
149,Runerigus,0.08796,1716,0.563,824,0.618
