Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Krilowatt,15.67661,415,12.015,154,26.752
2,Fidgit,14.27940,356,10.307,139,24.146
3,Necturna,14.18171,359,10.394,126,21.888
4,Mollux,13.93462,375,10.857,132,22.930
5,Kitsunoh,13.73442,368,10.654,103,17.892
6,Arghonaut,13.69526,389,11.262,157,27.273
7,Cawmodore,13.26698,359,10.394,136,23.625
8,Cyclohm,13.19245,361,10.452,118,20.498
9,Kerfluffle,13.12173,383,11.089,152,26.404
10,Revenankh,12.85232,383,11.089,147,25.536
11,Caribolt,12.13218,319,9.236,67,11.639
12,Astrolotl,11.02065,348,10.075,150,26.057
13,Voodoom,10.70070,350,10.133,105,18.240
14,Syclant,10.42449,279,8.078,47,8.164
15,Volkraken,10.31989,315,9.120,115,19.977
16,Stratagem,9.88487,372,10.770,125,21.714
17,Jumbao,9.72630,314,9.091,56,9.728
18,Colossoil,9.67565,357,10.336,115,19.977
19,Snaelstrom,8.87478,461,13.347,226,39.259
20,Pyroak,8.51073,409,11.841,156,27.099
21,Malaconda,8.28784,385,11.146,100,17.371
22,Equilibra,8.06125,351,10.162,105,18.240
23,Tomohawk,7.98754,451,13.057,199,34.569
24,Pajantom,7.55557,316,9.149,106,18.413
25,Plasmanta,7.49618,317,9.178,93,16.155
26,Smokomodo,6.86947,271,7.846,55,9.554
27,Naviathan,5.04073,345,9.988,122,21.193
28,Aurumoth,4.77415,291,8.425,54,9.380
29,Crucibelle,4.72151,363,10.510,94,16.329
