Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Scyther,56.54997,17975,48.333,13349,48.565
2,Sneasel,34.74616,12419,33.393,9709,35.322
3,Magneton,30.02323,9981,26.838,7689,27.973
4,Tangela,27.18977,5932,15.951,4389,15.968
5,Rhydon,22.90611,5845,15.717,4424,16.095
6,Chansey,22.75491,3629,9.758,2776,10.099
7,Dusclops,21.89077,5364,14.423,4190,15.244
8,Wailmer,20.77885,3494,9.395,2731,9.936
9,Munchlax,20.56944,5625,15.125,4219,15.349
10,Corsola-Galar,19.60405,5069,13.630,3971,14.447
11,Spritzee,17.47004,2388,6.421,1720,6.258
12,Vullaby,13.37759,2363,6.354,1861,6.771
13,Zacian-Crowned,13.11080,2769,7.446,2026,7.371
14,Doublade,12.86180,4168,11.207,3135,11.405
15,Haunter,12.12223,3916,10.530,2776,10.099
16,Ponyta,11.49814,4099,11.022,3011,10.954
17,Klang,9.48868,4606,12.385,3386,12.319
18,Honedge,8.57009,1310,3.522,1041,3.787
19,Farfetch'd-Galar,8.35743,3445,9.263,2550,9.277
20,Porygon2,8.34078,3635,9.774,2679,9.746
21,Raboot,7.94054,1471,3.955,1190,4.329
22,Carvanha,7.85799,2027,5.450,1592,5.792
23,Ferroseed,7.33222,3173,8.532,2610,9.495
24,Porygon,7.19271,2167,5.827,1599,5.817
25,Kubfu,6.46090,4867,13.087,3455,12.570
26,Ditto,6.15888,900,2.420,626,2.277
27,Tentacool,5.59657,667,1.793,536,1.950
28,Ponyta-Galar,5.19547,1100,2.958,748,2.721
29,Togetic,4.58478,987,2.654,697,2.536
30,Cutiefly,4.58323,975,2.622,750,2.729
31,Onix,4.55567,2756,7.411,2192,7.975
32,Seadra,4.52665,1869,5.026,1388,5.050
33,Abra,4.46306,3130,8.416,2232,8.120
34,Gastly,4.34221,870,2.339,638,2.321
35,Mr.-Mime-Galar,4.31922,2204,5.926,1509,5.490
36,Mudbray,4.19930,1620,4.356,1257,4.573
37,Sandygast,4.00955,2337,6.284,1892,6.883
38,Krabby,3.84417,3676,9.884,2861,10.409
39,Sinistea,3.72431,1030,2.770,699,2.543
40,Wartortle,3.67384,1186,3.189,834,3.034
41,Drakloak,3.64806,3391,9.118,2508,9.124
42,Pawniard,3.50950,1491,4.009,1146,4.169
43,Sliggoo,3.46078,649,1.745,434,1.579
44,Hippopotas,3.29759,597,1.605,491,1.786
45,Trapinch,3.28781,727,1.955,559,2.034
46,Mantyke,3.27675,963,2.589,713,2.594
47,Kadabra,3.01331,2542,6.835,1701,6.188
48,Pumpkaboo-Super,2.87095,437,1.175,329,1.197
49,Lickitung,2.76701,1559,4.192,1179,4.289
50,Slowpoke,2.42460,658,1.769,527,1.917
51,Drilbur,2.36625,756,2.033,595,2.165
52,Fraxure,2.25783,1880,5.055,1295,4.711
53,Staryu,2.17721,885,2.380,663,2.412
54,Zweilous,2.06930,444,1.194,334,1.215
55,Gurdurr,2.00813,921,2.476,731,2.659
56,Snover,1.96191,1314,3.533,979,3.562
57,Piloswine,1.90518,596,1.603,469,1.706
58,Koffing,1.88689,426,1.145,350,1.273
59,Cufant,1.86346,350,0.941,281,1.022
60,Whirlipede,1.80291,155,0.417,126,0.458
61,Swirlix,1.80249,801,2.154,646,2.350
62,Duskull,1.74186,397,1.067,297,1.081
63,Darumaka,1.59183,735,1.976,513,1.866
64,Rhyhorn,1.52857,612,1.646,469,1.706
65,Frillish,1.52374,720,1.936,544,1.979
66,Salandit,1.41050,1418,3.813,1040,3.784
67,Helioptile,1.38244,1271,3.418,924,3.362
68,Linoone-Galar,1.37008,1005,2.702,738,2.685
69,Clefairy,1.30611,285,0.766,207,0.753
70,Shelmet,1.26784,128,0.344,108,0.393
