Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Incineroar,43.56736,6145,17.391,4352,20.020
2,Rillaboom,38.89750,6862,19.420,4495,20.678
3,Dragapult,29.59834,5316,15.045,3343,15.378
4,Togekiss,26.89434,5930,16.783,3664,16.855
5,Indeedee-F,23.02088,5528,15.645,3316,15.254
6,Cinderace,19.53571,5945,16.825,3602,16.570
7,Zeraora,19.40134,2985,8.448,1904,8.759
8,Blastoise,17.14812,1867,5.284,1124,5.171
9,Azumarill,16.40206,3249,9.195,2247,10.337
10,Corviknight,15.13412,2575,7.288,1615,7.429
11,Necrozma,12.88763,585,1.656,304,1.398
12,Porygon2,12.86125,2274,6.436,1320,6.072
13,Mew,11.89909,1077,3.048,689,3.170
14,Urshifu,11.34670,1654,4.681,1073,4.936
15,Kingdra,11.20475,2387,6.756,1623,7.466
16,Alakazam,11.14417,3236,9.158,1967,9.049
17,Amoonguss,10.80357,3691,10.446,2327,10.705
18,Venusaur,9.37382,2884,8.162,1822,8.382
19,Urshifu-Rapid-Strike,8.89568,2164,6.124,1344,6.183
20,Hatterene,8.24519,3750,10.613,2096,9.642
21,Kyurem,8.23247,313,0.886,193,0.888
22,Pelipper,7.71314,1986,5.621,1178,5.419
23,Terrakion,7.62929,571,1.616,319,1.467
24,Charizard,7.62512,1943,5.499,1203,5.534
25,Whimsicott,7.59918,4013,11.357,2244,10.323
26,Ferrothorn,7.59834,1994,5.643,1281,5.893
27,Torkoal,7.24255,2695,7.627,1736,7.986
28,Kommo-o,7.06926,764,2.162,433,1.992
29,Ninetales,6.63041,1030,2.915,623,2.866
30,Excadrill,6.31212,3224,9.124,2038,9.375
31,Marowak-Alola,5.74143,1867,5.284,1188,5.465
32,Lapras,5.63018,1861,5.267,1114,5.125
33,Hawlucha,5.56243,1241,3.512,803,3.694
34,Tyranitar,5.52350,3631,10.276,2373,10.916
35,Inteleon,5.48613,1470,4.160,910,4.186
36,Dusclops,5.38936,3487,9.869,1971,9.067
37,Indeedee,5.34183,2021,5.720,1233,5.672
38,Gothitelle,5.18021,648,1.834,428,1.969
39,Primarina,5.15455,2330,6.594,1434,6.597
40,Chandelure,5.14377,1757,4.973,1095,5.037
41,Manectric,4.90812,323,0.914,206,0.948
42,Dracovish,4.28750,2521,7.135,1613,7.420
43,Conkeldurr,4.21933,2714,7.681,1707,7.853
44,Politoed,3.82180,1537,4.350,881,4.053
45,Sylveon,3.74459,1457,4.124,964,4.435
46,Grimmsnarl,3.53592,2038,5.768,1289,5.930
47,Volcarona,3.48202,2088,5.909,1294,5.953
48,Darmanitan-Galar,3.40013,1942,5.496,1192,5.483
49,Scizor,2.78819,1415,4.005,929,4.274
50,Coalossal,2.76446,1589,4.497,654,3.009
51,Toxtricity,2.49757,1488,4.211,954,4.389
52,Gastrodon,2.49605,2552,7.223,1709,7.862
53,Rotom-Wash,2.37952,934,2.643,608,2.797
54,Mr.-Mime,2.26264,300,0.849,234,1.076
55,Gyarados,2.22453,1467,4.152,942,4.333
56,Sirfetch'd,2.14799,538,1.523,329,1.513
57,Duraludon,2.03429,1009,2.856,626,2.880
58,Raichu-Alola,1.98111,495,1.401,282,1.297
59,Oranguru,1.73352,778,2.202,458,2.107
60,Rhyperior,1.65761,1460,4.132,949,4.366
61,Dragalge,1.60588,716,2.026,474,2.180
62,Escavalier,1.56678,376,1.064,239,1.099
63,Porygon-Z,1.47903,1055,2.986,620,2.852
64,Drampa,1.47180,315,0.891,194,0.892
65,Slowbro-Galar,1.46165,783,2.216,467,2.148
66,Reuniclus,1.42898,497,1.407,273,1.256
67,Pincurchin,1.39521,640,1.811,418,1.923
68,Krookodile,1.29677,1090,3.085,657,3.022
69,Mimikyu,1.25279,813,2.301,500,2.300
70,Pikachu,1.20316,338,0.957,190,0.874
71,Braviary,1.18718,691,1.956,401,1.845
72,Clawitzer,1.15925,591,1.673,331,1.523
73,Accelgor,1.06473,1452,4.109,1047,4.816
74,Palossand,1.05174,1536,4.347,624,2.871
75,Milotic,0.99804,1784,5.049,1069,4.918
76,Goodra,0.95351,762,2.157,490,2.254
77,Gigalith,0.95240,468,1.325,293,1.348
78,Clefairy,0.94422,1204,3.407,786,3.616
79,Cofagrigus,0.91433,248,0.702,146,0.672
80,Snorlax,0.91197,942,2.666,650,2.990
81,Bisharp,0.89454,793,2.244,497,2.286
82,Barraskewda,0.85438,499,1.412,345,1.587
83,Aegislash,0.84599,684,1.936,425,1.955
84,Gardevoir,0.81149,834,2.360,531,2.443
85,Butterfree,0.79570,779,2.205,450,2.070
86,Passimian,0.74480,1249,3.535,359,1.651
87,Sableye,0.70967,604,1.709,371,1.707
88,Exeggutor-Alola,0.70262,294,0.832,178,0.819
89,Comfey,0.70232,1528,4.324,963,4.430
90,Bronzong,0.67169,824,2.332,480,2.208
91,Liepard,0.64922,462,1.308,259,1.191
92,Slowbro,0.64576,376,1.064,226,1.040
93,Arcanine,0.59305,1269,3.591,810,3.726
94,Dracozolt,0.57492,539,1.525,340,1.564
95,Alcremie,0.56023,958,2.711,597,2.746
96,Malamar,0.55477,672,1.902,426,1.960
97,Gengar,0.55281,844,2.389,495,2.277
98,Talonflame,0.53407,1695,4.797,1058,4.867
99,Jellicent,0.50175,434,1.228,268,1.233
100,Drifblim,0.49413,316,0.894,177,0.814
101,Meowstic,0.47504,385,1.090,230,1.058
102,Mudsdale,0.46533,437,1.237,286,1.316
103,Chansey,0.40348,238,0.674,150,0.690
104,Luxray,0.39658,339,0.959,231,1.063
105,Rotom-Heat,0.39138,460,1.302,303,1.394
106,Corsola-Galar,0.38037,528,1.494,358,1.647
107,Weavile,0.37528,976,2.762,607,2.792
108,Copperajah,0.36450,614,1.738,405,1.863
109,Araquanid,0.35798,637,1.803,403,1.854
110,Ninetales-Alola,0.35579,1000,2.830,642,2.953
111,Exeggutor,0.34489,120,0.340,57,0.262
112,Durant,0.33641,508,1.438,300,1.380
113,Shiinotic,0.30777,202,0.572,122,0.561
114,Diggersby,0.30669,217,0.614,130,0.598
115,Morpeko,0.28774,123,0.348,86,0.396
116,Ribombee,0.25316,472,1.336,324,1.490
117,Lilligant,0.25024,191,0.541,91,0.419
118,Darmanitan,0.24892,142,0.402,86,0.396
119,Ludicolo,0.24761,354,1.002,280,1.288
120,Lycanroc-Dusk,0.24691,307,0.869,206,0.948
121,Lickilicky,0.24270,99,0.280,74,0.340
122,Hydreigon,0.23572,651,1.842,420,1.932
123,Golurk,0.23426,105,0.297,66,0.304
124,Trevenant,0.23081,153,0.433,99,0.455
125,Machamp,0.23058,344,0.974,222,1.021
126,Seismitoad,0.22778,259,0.733,184,0.846
127,Tsareena,0.22550,357,1.010,223,1.026
128,Vanilluxe,0.21467,175,0.495,109,0.501
129,Riolu,0.21048,755,2.137,371,1.707
130,Scrafty,0.20283,395,1.118,275,1.265
131,Raichu,0.20037,311,0.880,206,0.948
132,Togedemaru,0.20021,320,0.906,212,0.975
133,Shiftry,0.19932,112,0.317,61,0.281
134,Crawdaunt,0.19008,168,0.475,119,0.547
135,Toxapex,0.18947,546,1.545,356,1.638
136,Dhelmise,0.18639,285,0.807,185,0.851
137,Obstagoon,0.18605,351,0.993,230,1.058
138,Eldegoss,0.18558,106,0.300,66,0.304
139,Mamoswine,0.18346,150,0.425,87,0.400
140,Clefable,0.17757,719,2.035,419,1.927
141,Cinccino,0.17446,243,0.688,162,0.745
142,Dusknoir,0.15774,458,1.296,270,1.242
143,Vikavolt,0.14818,333,0.942,208,0.957
144,Espeon,0.14614,491,1.390,284,1.306
145,Runerigus,0.14415,370,1.047,209,0.961
146,Mr.-Rime,0.14181,55,0.156,34,0.156
147,Scyther,0.14138,461,1.305,297,1.366
148,Swoobat,0.13909,253,0.716,135,0.621
149,Stonjourner,0.13689,361,1.022,230,1.058
150,Noivern,0.13242,290,0.821,181,0.833
151,Galvantula,0.12597,360,1.019,197,0.906
152,Jolteon,0.12160,397,1.124,281,1.293
153,Weezing-Galar,0.12056,963,2.725,571,2.627
154,Haxorus,0.11693,519,1.469,299,1.375
155,Kingler,0.11077,87,0.246,58,0.267
156,Ditto,0.10515,140,0.396,85,0.391
157,Togetic,0.10497,143,0.405,89,0.409
158,Roserade,0.10431,423,1.197,254,1.168
159,Appletun,0.10179,386,1.092,242,1.113
160,Tentacruel,0.10023,143,0.405,98,0.451
161,Dugtrio,0.09716,127,0.359,94,0.432
162,Gourgeist,0.09674,33,0.093,20,0.092
163,Umbreon,0.09228,362,1.025,229,1.053
164,Slowking,0.09214,172,0.487,120,0.552
165,Scolipede,0.08910,277,0.784,176,0.810
166,Lucario,0.08793,417,1.180,240,1.104
167,Dedenne,0.08291,80,0.226,45,0.207
168,Rotom-Mow,0.08248,168,0.475,104,0.478
169,Flapple,0.08222,224,0.634,137,0.630
170,Seaking,0.08128,182,0.515,137,0.630
171,Silvally,0.08120,29,0.082,12,0.055
172,Shuckle,0.07878,433,1.225,266,1.224
173,Hippowdon,0.07647,228,0.645,134,0.616
174,Heliolisk,0.07624,476,1.347,293,1.348
175,Turtonator,0.07567,79,0.224,41,0.189
176,Golisopod,0.07469,304,0.860,206,0.948
177,Drapion,0.07411,251,0.710,178,0.819
178,Magnezone,0.07329,585,1.656,376,1.730
179,Crustle,0.07264,223,0.631,109,0.501
180,Stoutland,0.07100,397,1.124,273,1.256
181,Heracross,0.07035,213,0.603,136,0.626
182,Abomasnow,0.06894,106,0.300,56,0.258
183,Mienshao,0.06666,299,0.846,171,0.787
184,Gallade,0.06353,260,0.736,159,0.731
185,Aromatisse,0.06339,214,0.606,107,0.492
186,Starmie,0.06266,183,0.518,102,0.469
187,Centiskorch,0.06264,400,1.132,261,1.201
188,Beartic,0.06197,116,0.328,72,0.331
189,Vaporeon,0.05922,256,0.725,161,0.741
190,Falinks,0.05883,128,0.362,70,0.322
191,Glaceon,0.05788,150,0.425,83,0.382
192,Froslass,0.05534,254,0.719,210,0.966
193,Persian-Alola,0.05516,58,0.164,38,0.175
194,Garbodor,0.05394,61,0.173,31,0.143
195,Leafeon,0.05002,203,0.575,133,0.612
196,Gourgeist-Super,0.04914,48,0.136,28,0.129
197,Hitmontop,0.04836,296,0.838,187,0.860
198,Marowak,0.04687,78,0.221,52,0.239
199,Klinklang,0.04656,40,0.113,22,0.101
200,Tauros,0.04563,325,0.920,101,0.465
201,Boltund,0.04427,123,0.348,78,0.359
202,Perrserker,0.04294,126,0.357,86,0.396
203,Cherrim,0.04187,187,0.529,121,0.557
204,Wailord,0.04142,17,0.048,7,0.032
205,Eiscue,0.04068,131,0.371,64,0.294
206,Sandslash-Alola,0.04025,224,0.634,136,0.626
207,Shellos,0.03933,16,0.045,4,0.018
208,Polteageist,0.03930,252,0.713,158,0.727
209,Salazzle,0.03834,218,0.617,118,0.543
