Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Magearna,36.51212,21754,30.182,15300,30.022
2,Volcarona,29.12277,15686,21.763,10400,20.407
3,Zeraora,27.95865,16539,22.947,12235,24.008
4,Cinderace,24.20245,13993,19.414,9956,19.536
5,Mew,22.64250,13396,18.586,10276,20.164
6,Urshifu,20.86536,12225,16.961,8228,16.145
7,Rillaboom,18.75426,8515,11.814,6053,11.877
8,Marowak-Alola,18.13937,10004,13.880,7283,14.291
9,Excadrill,17.57934,12007,16.659,8217,16.124
10,Dragapult,17.44041,13935,19.334,9577,18.792
11,Slowbro,14.99362,7279,10.099,5353,10.504
12,Clefable,13.82509,9074,12.589,6319,12.399
13,Mimikyu,13.32662,4124,5.722,2971,5.830
14,Grimmsnarl,12.34532,8408,11.665,6965,13.667
15,Ferrothorn,12.30178,8592,11.921,6822,13.386
16,Weavile,11.64950,12236,16.977,8738,17.146
17,Sharpedo,11.64363,3580,4.967,2569,5.041
18,Urshifu-Rapid-Strike,11.31927,5270,7.312,3812,7.480
19,Scizor,10.54511,6503,9.022,4659,9.142
20,Barraskewda,9.22700,2676,3.713,1941,3.809
21,Crawdaunt,8.93678,3432,4.762,2412,4.733
22,Comfey,8.38831,3233,4.486,2218,4.352
23,Quagsire,7.61648,2496,3.463,1892,3.713
24,Jirachi,7.42149,5549,7.699,3728,7.315
25,Porygon2,7.08282,3027,4.200,2364,4.639
26,Indeedee,6.72550,5017,6.961,3372,6.617
27,Togekiss,6.54765,3792,5.261,2560,5.023
28,Corviknight,5.88786,3704,5.139,2520,4.945
29,Alakazam,5.80595,7566,10.497,4564,8.956
30,Azumarill,5.34641,5111,7.091,3698,7.256
31,Scolipede,5.12403,3353,4.652,2397,4.704
32,Bisharp,5.01731,3205,4.447,2208,4.333
33,Conkeldurr,4.90376,2975,4.128,2122,4.164
34,Haxorus,4.75591,4688,6.504,2894,5.679
35,Araquanid,4.75377,1119,1.553,833,1.635
36,Hawlucha,4.66126,3353,4.652,2170,4.258
37,Polteageist,4.34446,2125,2.948,1378,2.704
38,Hatterene,4.33362,2767,3.839,1860,3.650
39,Pincurchin,4.24161,2595,3.600,1948,3.822
40,Hippowdon,4.21700,1373,1.905,1083,2.125
41,Talonflame,4.11450,3870,5.369,2871,5.634
42,Steelix,3.94623,491,0.681,373,0.732
43,Kingdra,3.87528,4166,5.780,2663,5.225
44,Mienshao,3.87355,1680,2.331,1235,2.423
45,Pelipper,3.77438,2279,3.162,1945,3.817
46,Magnezone,3.67844,1625,2.255,1145,2.247
47,Gyarados,3.65185,2222,3.083,1502,2.947
48,Shuckle,3.52102,4664,6.471,4136,8.116
49,Klefki,3.40523,2952,4.096,2410,4.729
50,Ditto,3.39148,1848,2.564,1203,2.361
51,Accelgor,3.32830,2284,3.169,1895,3.718
52,Mantine,3.15734,517,0.717,372,0.730
53,Kommo-o,3.13660,6089,8.448,4084,8.014
54,Cloyster,3.11741,4648,6.449,3209,6.297
55,Whimsicott,2.81806,2440,3.385,1883,3.695
56,Skarmory,2.74174,1611,2.235,1299,2.549
57,Rotom-Heat,2.68791,2314,3.211,1798,3.528
58,Rhyperior,2.61777,1420,1.970,999,1.960
59,Incineroar,2.48793,2092,2.902,1723,3.381
60,Hydreigon,2.43477,2237,3.104,1426,2.798
61,Tyranitar,2.30413,1829,2.538,1363,2.675
62,Bronzong,2.16621,929,1.289,822,1.613
63,Pangoro,2.12489,1003,1.392,633,1.242
64,Jolteon,1.92645,1133,1.572,858,1.684
65,Ribombee,1.88711,2956,4.101,2530,4.964
66,Chansey,1.75807,1959,2.718,1318,2.586
67,Vikavolt,1.73304,644,0.894,443,0.869
68,Tangrowth,1.71206,823,1.142,574,1.126
69,Gengar,1.67044,2245,3.115,1481,2.906
70,Torkoal,1.65863,926,1.285,790,1.550
71,Lycanroc-Dusk,1.54140,2057,2.854,1557,3.055
72,Toxapex,1.43186,2170,3.011,1493,2.930
73,Copperajah,1.38720,765,1.061,542,1.064
74,Charizard,1.34841,1215,1.686,847,1.662
75,Mandibuzz,1.32206,1365,1.894,913,1.792
76,Krookodile,1.31423,1897,2.632,1349,2.647
77,Pyukumuku,1.29825,2459,3.412,1701,3.338
78,Porygon-Z,1.26287,2815,3.906,1765,3.463
79,Centiskorch,1.14170,396,0.549,284,0.557
80,Terrakion,0.99518,646,0.896,473,0.928
81,Ninjask,0.91514,1942,2.694,1392,2.731
82,Octillery,0.91481,383,0.531,250,0.491
83,Necrozma,0.91439,939,1.303,606,1.189
84,Amoonguss,0.91300,1499,2.080,1038,2.037
85,Aegislash,0.86580,1219,1.691,852,1.672
86,Scyther,0.81970,728,1.010,501,0.983
87,Starmie,0.81650,922,1.279,586,1.150
88,Golisopod,0.80383,1023,1.419,781,1.533
89,Palossand,0.78861,310,0.430,237,0.465
90,Sirfetch'd,0.72406,704,0.977,485,0.952
91,Dragalge,0.68242,392,0.544,259,0.508
92,Ninetales-Alola,0.61614,858,1.190,678,1.330
93,Snorlax,0.58966,719,0.998,484,0.950
94,Darmanitan,0.57924,1143,1.586,814,1.597
95,Xatu,0.56176,469,0.651,335,0.657
96,Arctozolt,0.55695,74,0.103,52,0.102
97,Inteleon,0.54313,1572,2.181,1059,2.078
98,Togedemaru,0.53574,1278,1.773,972,1.907
99,Swoobat,0.53036,1487,2.063,896,1.758
100,Noivern,0.51223,450,0.624,334,0.655
101,Dubwool,0.50948,847,1.175,570,1.118
102,Beheeyem,0.49916,66,0.092,45,0.088
103,Drednaw,0.47079,129,0.179,88,0.173
104,Dracozolt,0.46872,739,1.025,535,1.050
105,Diggersby,0.43775,1251,1.736,802,1.574
106,Scrafty,0.43584,326,0.452,218,0.428
107,Arcanine,0.43424,746,1.035,538,1.056
108,Arctovish,0.40431,56,0.078,44,0.086
109,Durant,0.40023,1478,2.051,1110,2.178
110,Froslass,0.38850,317,0.440,275,0.540
111,Tsareena,0.38690,1062,1.473,677,1.328
112,Chandelure,0.36974,1385,1.922,991,1.945
113,Slowbro-Galar,0.33627,1277,1.772,880,1.727
114,Malamar,0.33616,817,1.134,583,1.144
115,Cobalion,0.33504,240,0.333,213,0.418
116,Lucario,0.32039,1088,1.510,712,1.397
117,Exploud,0.31957,486,0.674,314,0.616
