Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Magearna,43.97601,262,19.848,181,20.033
2,Mandibuzz,39.37072,158,11.970,90,9.961
3,Clefable,38.91382,147,11.136,90,9.961
4,Excadrill,31.84275,205,15.530,139,15.385
5,Urshifu,29.15655,136,10.303,101,11.179
6,Dragapult,28.04926,256,19.394,169,18.705
7,Toxapex,26.89862,92,6.970,72,7.969
8,Blissey,19.72759,21,1.591,19,2.103
9,Tangrowth,18.71631,20,1.515,16,1.771
10,Slowbro-Galar,18.35149,33,2.500,27,2.988
11,Drednaw,17.35936,26,1.970,19,2.103
12,Cinderace,17.25789,370,28.030,272,30.105
13,Urshifu-Rapid-Strike,16.51415,134,10.152,94,10.404
14,Hydreigon,14.08508,119,9.015,83,9.186
15,Zeraora,13.56224,248,18.788,180,19.923
16,Rillaboom,13.02548,183,13.864,127,14.056
17,Starmie,12.22801,7,0.530,5,0.553
18,Coalossal,10.98581,62,4.697,46,5.091
19,Gengar,10.88667,121,9.167,86,9.519
20,Heracross,9.16283,25,1.894,16,1.771
21,Chansey,9.05284,83,6.288,48,5.313
22,Kommo-o,8.79182,119,9.015,76,8.412
23,Mew,8.71442,95,7.197,84,9.297
24,Sandaconda,8.26123,76,5.758,54,5.977
25,Centiskorch,8.06219,34,2.576,23,2.546
26,Slowbro,7.81183,90,6.818,59,6.530
27,Hawlucha,7.60774,87,6.591,49,5.423
28,Butterfree,7.40247,38,2.879,25,2.767
29,Alakazam,6.81504,176,13.333,116,12.839
30,Copperajah,5.53251,49,3.712,28,3.099
31,Marowak-Alola,5.41105,93,7.045,74,8.190
32,Lycanroc-Dusk,5.32895,60,4.545,50,5.534
33,Ferrothorn,5.23198,108,8.182,83,9.186
34,Quagsire,5.19546,8,0.606,5,0.553
35,Indeedee,5.00895,43,3.258,39,4.317
36,Hatterene,4.75608,90,6.818,60,6.641
37,Exeggutor-Alola,4.39977,19,1.439,11,1.217
