Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Zygarde-Complete,45.92131,6460,25.101,4634,27.533
2,Chansey,35.31056,4866,18.907,3412,20.273
3,Giratina,29.65367,3821,14.847,2683,15.941
4,Mewtwo-Mega-Y,28.50933,7088,27.541,4287,25.472
5,Gyarados-Mega,24.61608,2406,9.349,1678,9.970
6,Greninja-Ash,24.16864,6286,24.425,4113,24.438
7,Arceus-Water,22.74238,1360,5.284,1031,6.126
8,Ho-Oh,22.38920,1296,5.036,922,5.478
9,Mewtwo-Mega-X,20.88867,4143,16.098,2711,16.108
10,Gengar-Mega,19.97884,2592,10.071,1676,9.958
11,Kyogre-Primal,18.26996,3717,14.443,2457,14.598
12,Eternatus,14.22352,1817,7.060,1265,7.516
13,Arceus-Steel,13.58070,1405,5.459,996,5.918
14,Beedrill-Mega,13.27502,1136,4.414,807,4.795
15,Diancie-Mega,12.72037,2383,9.259,1678,9.970
16,Yveltal,11.51501,2112,8.206,1410,8.378
17,Audino-Mega,10.06975,1004,3.901,751,4.462
18,Zamazenta-Crowned,9.91034,2584,10.040,1859,11.045
19,Darmanitan-Galar-Zen,9.76197,1615,6.275,1182,7.023
20,Slaking,8.85884,2020,7.849,1360,8.081
21,Groudon-Primal,8.70099,1577,6.128,1131,6.720
22,Heracross-Mega,8.21379,981,3.812,651,3.868
23,Necrozma-Dusk-Mane,7.79373,820,3.186,621,3.690
24,Xerneas,7.60093,1425,5.537,979,5.817
25,Blissey,7.27825,2140,8.315,1514,8.996
26,Aegislash,7.25343,678,2.634,489,2.905
27,Arceus,7.13006,2287,8.886,1489,8.847
28,Regigigas,6.47646,3156,12.263,2079,12.353
29,Registeel,6.37500,1114,4.329,810,4.813
30,Deoxys-Attack,6.26890,2080,8.082,1394,8.283
31,Melmetal,6.04475,767,2.980,576,3.422
32,Kartana,5.57101,1701,6.609,1121,6.661
33,Solgaleo,5.33187,377,1.465,267,1.586
34,Dialga,5.06699,1365,5.304,993,5.900
35,Steelix-Mega,4.93766,883,3.431,648,3.850
36,Zekrom,4.84069,929,3.610,640,3.803
37,Necrozma-Ultra,4.19085,1788,6.947,1085,6.447
38,Swampert-Mega,4.14797,901,3.501,672,3.993
39,Landorus-Therian,4.09083,350,1.360,214,1.272
40,Zacian-Crowned,4.02965,1506,5.852,1064,6.322
41,Alakazam-Mega,3.92946,1401,5.444,872,5.181
42,Tyranitar-Mega,3.91436,1138,4.422,738,4.385
43,Arceus-Fighting,3.77070,124,0.482,95,0.564
44,Kyurem-Black,3.57973,1353,5.257,867,5.151
45,Arceus-Dark,3.40452,928,3.606,659,3.916
46,Arceus-Fairy,3.36540,845,3.283,585,3.476
47,Charizard-Mega-Y,3.17811,945,3.672,647,3.844
48,Arceus-Ghost,2.60576,411,1.597,268,1.592
49,Deoxys-Speed,2.30989,2905,11.288,2382,14.153
50,Garchomp-Mega,2.23041,1019,3.959,689,4.094
51,Dragapult,2.15374,1521,5.910,1005,5.971
52,Kyurem-White,2.13879,988,3.839,596,3.541
53,Arceus-Fire,1.93714,472,1.834,290,1.723
54,Hoopa-Unbound,1.78542,388,1.508,228,1.355
55,Blaziken-Mega,1.67821,1061,4.123,708,4.207
56,Metagross-Mega,1.48134,603,2.343,429,2.549
57,Slowbro-Mega,1.44461,447,1.737,308,1.830
58,Lugia,1.38863,1089,4.231,726,4.314
59,Zacian,1.32745,364,1.414,258,1.533
60,Meloetta,1.20964,545,2.118,397,2.359
61,Snorlax,1.12519,473,1.838,324,1.925
62,Banette-Mega,1.12163,322,1.251,185,1.099
63,Arceus-Grass,1.09077,320,1.243,199,1.182
64,Giratina-Origin,1.07321,709,2.755,449,2.668
65,Arceus-Ground,1.03277,189,0.734,129,0.766
66,Marshadow,1.03153,972,3.777,618,3.672
67,Sableye-Mega,1.01031,325,1.263,238,1.414
68,Magearna,0.96074,614,2.386,413,2.454
69,Celesteela,0.94448,262,1.018,164,0.974
70,Darmanitan-Zen,0.92964,547,2.125,372,2.210
71,Cresselia,0.81543,190,0.738,157,0.933
72,Type:-Null,0.78617,219,0.851,155,0.921
73,Ferrothorn,0.77733,489,1.900,355,2.109
74,Guzzlord,0.77390,327,1.271,219,1.301
75,Deoxys,0.71115,83,0.323,60,0.356
76,Tapu-Fini,0.64903,170,0.661,119,0.707
77,Aggron-Mega,0.64575,579,2.250,388,2.305
78,Lapras,0.63479,107,0.416,95,0.564
79,Arceus-Poison,0.60245,157,0.610,107,0.636
80,Sceptile-Mega,0.59557,769,2.988,491,2.917
81,Muk-Alola,0.55831,103,0.400,74,0.440
82,Arceus-Dragon,0.54034,74,0.288,46,0.273
83,Reshiram,0.53157,244,0.948,157,0.933
84,Spiritomb,0.51735,48,0.187,39,0.232
85,Shuckle,0.48628,1264,4.911,939,5.579
86,Manectric-Mega,0.48025,208,0.808,141,0.838
87,Kangaskhan-Mega,0.44570,365,1.418,281,1.670
88,Palkia,0.42313,427,1.659,249,1.479
89,Golisopod,0.38348,488,1.896,331,1.967
90,Lunala,0.36230,244,0.948,154,0.915
91,Tapu-Koko,0.35443,430,1.671,289,1.717
92,Pheromosa,0.33178,760,2.953,457,2.715
93,Landorus,0.32075,88,0.342,44,0.261
94,Umbreon,0.30942,106,0.412,59,0.351
95,Dusclops,0.28627,67,0.260,47,0.279
96,Salamence-Mega,0.27690,563,2.188,328,1.949
97,Abomasnow-Mega,0.25011,104,0.404,68,0.404
98,Cosmoem,0.24629,301,1.170,211,1.254
99,Ferroseed,0.23540,244,0.948,192,1.141
100,Toxapex,0.23227,360,1.399,257,1.527
101,Scizor-Mega,0.23017,572,2.223,406,2.412
102,Aerodactyl-Mega,0.22994,640,2.487,405,2.406
103,Wobbuffet,0.22641,245,0.952,130,0.772
104,Eevee,0.20996,267,1.037,208,1.236
105,Necrozma-Dawn-Wings,0.20828,205,0.797,125,0.743
106,Archeops,0.20183,285,1.107,161,0.957
107,Ampharos-Mega,0.19504,401,1.558,238,1.414
108,Xurkitree,0.19222,435,1.690,269,1.598
109,Regice,0.17811,147,0.571,99,0.588
110,Zeraora,0.17491,644,2.502,451,2.680
111,Incineroar,0.16973,76,0.295,59,0.351
112,Deoxys-Defense,0.16791,515,2.001,376,2.234
113,Regirock,0.16751,81,0.315,64,0.380
114,Gardevoir-Mega,0.16523,426,1.655,264,1.569
115,Arceus-Electric,0.15703,305,1.185,215,1.277
116,Excadrill,0.15094,93,0.361,63,0.374
117,Blastoise-Mega,0.14999,400,1.554,271,1.610
118,Rayquaza,0.14699,349,1.356,212,1.260
119,Darkrai,0.14321,432,1.679,318,1.889
120,Shaymin-Sky,0.13910,253,0.983,140,0.832
121,Altaria-Mega,0.13690,88,0.342,54,0.321
122,Porygon-Z,0.13385,45,0.175,18,0.107
123,Togekiss,0.13247,124,0.482,77,0.458
124,Lopunny-Mega,0.12955,609,2.366,382,2.270
125,Keldeo,0.12925,108,0.420,68,0.404
126,Thundurus-Therian,0.12741,289,1.123,182,1.081
127,Arceus-Bug,0.12419,19,0.074,16,0.095
128,Suicune,0.12369,68,0.264,47,0.279
129,Latias-Mega,0.11700,213,0.828,134,0.796
130,Latios-Mega,0.11324,185,0.719,95,0.564
131,Pikachu,0.11229,397,1.543,283,1.681
132,Snom,0.10573,44,0.171,39,0.232
133,Ninjask,0.10140,380,1.477,287,1.705
134,Stakataka,0.10133,265,1.030,183,1.087
135,Rayquaza-Mega,0.09964,170,0.661,116,0.689
136,Drapion,0.09604,101,0.392,75,0.446
137,Sharpedo-Mega,0.09464,181,0.703,116,0.689
138,Pidgeot-Mega,0.09433,244,0.948,142,0.844
139,Pinsir-Mega,0.09145,134,0.521,77,0.458
140,Blacephalon,0.08918,276,1.072,164,0.974
141,Mewtwo,0.08710,201,0.781,128,0.761
142,Urshifu,0.07959,252,0.979,178,1.058
143,Munchlax,0.07618,46,0.179,37,0.220
144,Zamazenta,0.07614,94,0.365,70,0.416
145,Volcarona,0.07475,125,0.486,73,0.434
146,Barraskewda,0.07327,167,0.649,128,0.761
147,Drifblim,0.06497,44,0.171,28,0.166
148,Breloom,0.06490,69,0.268,47,0.279
149,Honchkrow,0.06469,24,0.093,9,0.053
150,Turtonator,0.06337,25,0.097,18,0.107
151,Lucario-Mega,0.05423,570,2.215,383,2.276
152,Urshifu-Rapid-Strike,0.05205,254,0.987,153,0.909
153,Venusaur-Mega,0.04749,283,1.100,193,1.147
154,Groudon,0.04589,165,0.641,106,0.630
155,Naganadel,0.04451,258,1.002,155,0.921
156,Diancie,0.04421,19,0.074,14,0.083
157,Celebi,0.04266,48,0.187,40,0.238
158,Rotom-Mow,0.03635,43,0.167,31,0.184
159,Darmanitan-Galar,0.03307,139,0.540,86,0.511
160,Absol-Mega,0.03171,121,0.470,80,0.475
161,Grimmsnarl,0.03169,126,0.490,76,0.452
162,Infernape,0.03161,146,0.567,83,0.493
163,Houndoom-Mega,0.03115,120,0.466,84,0.499
164,Torkoal,0.03108,7,0.027,6,0.036
165,Sunflora,0.02983,45,0.175,34,0.202
166,Mew,0.02939,147,0.571,95,0.564
167,Doublade,0.02803,17,0.066,13,0.077
168,Tapu-Lele,0.02742,167,0.649,95,0.564
169,Hippowdon,0.02678,66,0.256,40,0.238
170,Genesect,0.02298,235,0.913,157,0.933
171,Garchomp,0.02269,67,0.260,51,0.303
172,Buzzwole,0.02233,81,0.315,58,0.345
173,Gallade-Mega,0.02014,225,0.874,151,0.897
174,Tyranitar,0.01993,34,0.132,23,0.137
175,Salamence,0.01831,28,0.109,18,0.107
176,Heatran,0.01781,144,0.560,109,0.648
177,Obstagoon,0.01708,176,0.684,107,0.636
178,Centiskorch,0.01685,68,0.264,36,0.214
179,Camerupt-Mega,0.01608,100,0.389,63,0.374
180,Wishiwashi-School,0.01573,35,0.136,27,0.160
181,Poochyena,0.01564,8,0.031,3,0.018
182,Mawile-Mega,0.01551,108,0.420,77,0.458
183,Volcanion,0.01526,63,0.245,50,0.297
184,Charizard-Mega-X,0.01466,462,1.795,323,1.919
185,Heliolisk,0.01451,42,0.163,22,0.131
186,Nihilego,0.01445,71,0.276,35,0.208
187,Wailord,0.01410,24,0.093,15,0.089
188,Marowak-Alola,0.01277,106,0.412,72,0.428
189,Zapdos,0.01248,110,0.427,72,0.428
190,Cradily,0.01239,74,0.288,53,0.315
191,Sunkern,0.01236,34,0.132,24,0.143
192,Weavile,0.01227,114,0.443,74,0.440
193,Medicham-Mega,0.01224,39,0.152,28,0.166
194,Hawlucha,0.01213,24,0.093,13,0.077
195,Arceus-Ice,0.00940,49,0.190,38,0.226
196,Terrakion,0.00930,28,0.109,16,0.095
197,Mimikyu,0.00775,101,0.392,73,0.434
198,Accelgor,0.00763,120,0.466,76,0.452
199,Gastrodon,0.00745,25,0.097,16,0.095
200,Cobalion,0.00721,17,0.066,11,0.065
201,Tangrowth,0.00670,44,0.171,30,0.178
202,Caterpie,0.00647,42,0.163,37,0.220
203,Sirfetch'd,0.00615,60,0.233,42,0.250
204,Orbeetle,0.00608,44,0.171,23,0.137
205,Charjabug,0.00566,12,0.047,10,0.059
206,Magnezone,0.00566,33,0.128,26,0.154
207,Runerigus,0.00566,19,0.074,17,0.101
208,Victini,0.00536,91,0.354,63,0.374
209,Hatterene,0.00493,190,0.738,122,0.725
210,Arceus-Flying,0.00481,96,0.373,62,0.368
211,Rampardos,0.00473,108,0.420,58,0.345
212,Crobat,0.00459,84,0.326,40,0.238
213,Gyarados,0.00387,44,0.171,27,0.160
214,Corviknight,0.00382,130,0.505,82,0.487
215,Milotic,0.00378,78,0.303,42,0.250
216,Articuno,0.00373,65,0.253,32,0.190
217,Shaymin,0.00371,35,0.136,25,0.149
218,Vikavolt,0.00353,45,0.175,24,0.143
219,Araquanid,0.00353,7,0.027,6,0.036
220,Emboar,0.00343,17,0.066,11,0.065
221,Kommo-o,0.00338,92,0.357,62,0.368
222,Alakazam,0.00322,32,0.124,21,0.125
223,Electrode,0.00320,48,0.187,38,0.226
224,Cinderace,0.00318,125,0.486,62,0.368
225,Mandibuzz,0.00308,58,0.225,16,0.095
226,Diggersby,0.00286,34,0.132,24,0.143
227,Bewear,0.00277,34,0.132,22,0.131
228,Butterfree,0.00276,33,0.128,10,0.059
