Rank,Pokemon,Usage %,Raw,%,Real,%
1,Vaporeon,26.57955%,25521,18.977%,20415,18.819%
2,Charizard,24.58433%,28566,21.242%,22817,21.033%
3,Porygon2,23.32116%,20089,14.938%,16738,15.429%
4,Vileplume,20.47662%,18860,14.024%,15292,14.096%
5,Drapion,19.29024%,19560,14.545%,16223,14.954%
6,Espeon,19.17217%,25769,19.162%,20102,18.530%
7,Passimian,18.49560%,15660,11.645%,12721,11.726%
8,Rhydon,15.13822%,13660,10.157%,11379,10.489%
9,Duraludon,14.45933%,16476,12.251%,13320,12.278%
10,Rotom-Mow,12.82794%,16639,12.373%,13689,12.619%
11,Silvally-Fairy,12.63118%,12140,9.027%,9247,8.524%
12,Coalossal,12.30968%,12671,9.422%,11102,10.234%
13,Centiskorch,11.73045%,13387,9.954%,11033,10.170%
14,Braviary,11.60200%,18191,13.527%,14410,13.283%
15,Aromatisse,11.20633%,8442,6.277%,6497,5.989%
16,Mudsdale,11.16568%,13208,9.821%,11290,10.407%
17,Salazzle,10.96361%,20548,15.279%,16386,15.105%
18,Torkoal,10.82555%,17702,13.163%,16422,15.138%
19,Machamp,10.62150%,10439,7.762%,8590,7.918%
20,Exeggutor-Alola,10.17063%,8364,6.219%,6670,6.148%
21,Xatu,9.99122%,10836,8.058%,8626,7.951%
22,Dhelmise,9.50451%,15522,11.542%,12543,11.562%
23,Ribombee,9.34653%,9943,7.394%,8236,7.592%
24,Sandslash-Alola,9.07386%,7848,5.836%,6383,5.884%
25,Runerigus,8.76944%,9129,6.788%,7857,7.243%
26,Heliolisk,8.57643%,14809,11.012%,11424,10.531%
27,Claydol,8.50840%,15801,11.750%,13427,12.377%
28,Tauros,8.34062%,8026,5.968%,6128,5.649%
29,Jellicent,7.96309%,13295,9.886%,10608,9.778%
30,Scrafty,7.96018%,13647,10.148%,10697,9.861%
31,Frosmoth,7.81660%,12624,9.387%,9391,8.657%
32,Sableye,7.68176%,7776,5.782%,6500,5.992%
33,Weezing,7.58176%,3153,2.345%,2719,2.506%
34,Silvally-Steel,7.16783%,2878,2.140%,2460,2.268%
35,Bewear,7.08207%,8408,6.252%,6324,5.829%
36,Miltank,6.80692%,2759,2.052%,2333,2.151%
37,Vikavolt,6.16721%,9079,6.751%,7527,6.938%
38,Decidueye,6.00238%,5044,3.751%,4103,3.782%
39,Whimsicott,5.90337%,9312,6.924%,7470,6.886%
40,Hitmonlee,5.47737%,15253,11.342%,11332,10.446%
41,Quagsire,5.21236%,2997,2.229%,2349,2.165%
42,Vanilluxe,5.14466%,5804,4.316%,5010,4.618%
43,Leafeon,4.99167%,3935,2.926%,3122,2.878%
44,Pincurchin,4.97520%,10242,7.616%,8782,8.095%
45,Stunfisk-Galar,4.70341%,1271,0.945%,1155,1.065%
46,Corsola-Galar,4.23141%,10457,7.776%,8482,7.819%
47,Gastrodon,4.08410%,12366,9.195%,9980,9.200%
48,Exeggutor,3.66796%,1627,1.210%,1352,1.246%
49,Magneton,3.64659%,6393,4.754%,5296,4.882%
50,Sneasel,3.49121%,5481,4.076%,4282,3.947%
51,Indeedee-F,2.87762%,4307,3.203%,3408,3.142%
52,Thwackey,2.78718%,2018,1.501%,1698,1.565%
53,Golurk,2.58873%,3158,2.348%,2630,2.424%
54,Galvantula,2.49344%,12675,9.425%,11093,10.226%
55,Togedemaru,2.48406%,1707,1.269%,1443,1.330%
56,Cinccino,2.47544%,16941,12.597%,13290,12.251%
57,Raichu-Alola,2.44483%,5027,3.738%,3831,3.531%
58,Ditto,2.38437%,7387,5.493%,5388,4.967%
59,Turtonator,2.36742%,5222,3.883%,4236,3.905%
60,Accelgor,2.18822%,10315,7.670%,8672,7.994%
61,Bouffalant,2.09633%,5833,4.337%,4627,4.265%
62,Kingler,1.96934%,4524,3.364%,3313,3.054%
63,Garbodor,1.96063%,975,0.725%,850,0.784%
