Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Giratina,65.16349,3716,13.411,2203,15.048
2,Diancie-Mega,32.65540,2007,7.243,1337,9.133
3,Mewtwo-Mega-X,27.26979,5897,21.283,3229,22.057
4,Arceus,26.96962,2358,8.510,1390,9.495
5,Audino-Mega,25.41300,1242,4.482,827,5.649
6,Groudon-Primal,25.06635,3295,11.892,1898,12.965
7,Mewtwo-Mega-Y,24.10250,4408,15.909,2340,15.984
8,Rayquaza-Mega,23.19912,9021,32.557,4919,33.601
9,Aerodactyl-Mega,23.03928,1267,4.573,671,4.584
10,Yveltal,20.95781,768,2.772,507,3.463
11,Gengar-Mega,17.16428,5834,21.055,3087,21.087
12,Xerneas,16.56583,1664,6.005,1046,7.145
13,Scizor-Mega,16.54609,1314,4.742,883,6.032
14,Deoxys-Speed,14.80201,10337,37.307,5852,39.974
15,Swampert-Mega,13.31424,1467,5.294,959,6.551
16,Gyarados-Mega,12.39820,1832,6.612,1147,7.835
17,Lopunny-Mega,11.78213,444,1.602,258,1.762
18,Venusaur-Mega,11.59561,425,1.534,268,1.831
19,Beedrill-Mega,11.02528,717,2.588,366,2.500
20,Lugia,11.01626,613,2.212,360,2.459
21,Blissey,8.95314,2810,10.141,1575,10.759
22,Sableye-Mega,8.86788,1951,7.041,1368,9.345
23,Drapion,8.48925,1193,4.306,872,5.957
24,Shedinja,8.40582,10224,36.899,5488,37.488
25,Latios-Mega,7.61154,527,1.902,285,1.947
26,Regigigas,7.47753,1568,5.659,925,6.319
27,Registeel,6.69784,461,1.664,305,2.083
28,Arceus-Ghost,6.30550,688,2.483,454,3.101
29,Banette-Mega,6.21539,331,1.195,215,1.469
30,Genesect,5.45030,455,1.642,276,1.885
31,Aegislash,5.12537,1514,5.464,848,5.793
32,Ampharos-Mega,4.68811,666,2.404,458,3.129
33,Chansey,4.44925,1125,4.060,613,4.187
34,Kyogre-Primal,4.24363,2156,7.781,1146,7.828
35,Metagross-Mega,3.92202,1295,4.674,659,4.502
36,Manectric-Mega,3.18520,1667,6.016,1048,7.159
37,Shuckle,3.05415,3079,11.112,2035,13.901
38,Arceus-Electric,3.00578,1878,6.778,1122,7.664
39,Altaria-Mega,2.91469,268,0.967,205,1.400
40,Deoxys-Attack,2.74753,1698,6.128,925,6.319
41,Aggron-Mega,2.54719,600,2.165,408,2.787
42,Slowbro-Mega,2.46198,163,0.588,97,0.663
43,Deoxys-Defense,2.37184,1862,6.720,1195,8.163
44,Spiritomb,2.23149,1409,5.085,840,5.738
45,Alakazam-Mega,2.17885,863,3.115,512,3.497
46,Electrode,2.08610,1242,4.482,865,5.909
47,Darkrai,1.90092,1148,4.143,700,4.782
48,Palkia,1.73747,365,1.317,187,1.277
49,Kyurem-Black,1.67952,550,1.985,298,2.036
