Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Altaria-Mega,91.61246,35,16.827,28,17.195
2,Alomomola,47.57536,22,10.577,18,11.054
3,Rotom-Heat,42.89282,22,10.577,18,11.054
4,Blissey,40.67194,11,5.288,8,4.913
5,Gengar,36.63623,15,7.212,11,6.755
6,Krookodile,36.62428,19,9.135,13,7.984
7,Cobalion,36.60406,10,4.808,9,5.527
8,Celebi,36.59385,9,4.327,9,5.527
9,Darmanitan,36.28188,2,0.962,2,1.228
10,Muk-Alola,36.28174,14,6.731,12,7.369
11,Forretress,36.28174,1,0.481,1,0.614
12,Scizor,18.14830,39,18.750,29,17.810
13,Nihilego,13.74671,8,3.846,5,3.071
14,Gligar,8.67107,18,8.654,15,9.212
15,Galvantula,8.04228,7,3.365,5,3.071
16,Bisharp,7.47280,19,9.135,14,8.598
17,Starmie,7.45048,19,9.135,17,10.440
18,Nidoking,6.88832,16,7.692,11,6.755
19,Chandelure,4.80291,17,8.173,16,9.826
20,Amoonguss,4.40574,33,15.865,31,19.038
21,Magneton,4.34600,10,4.808,6,3.685
22,Manectric-Mega,4.32127,12,5.769,11,6.755
23,Toxicroak,4.29084,3,1.442,3,1.842
24,Suicune,4.29084,5,2.404,4,2.456
25,Houndoom-Mega,1.70521,21,10.096,14,8.598
26,Ambipom,1.68286,9,4.327,8,4.913
27,Tentacruel,1.60957,19,9.135,12,7.369
28,Moltres,1.60698,21,10.096,20,12.282
29,Spiritomb,1.60697,11,5.288,7,4.299
30,Piloswine,1.60697,15,7.212,13,7.984
31,Goodra,1.60697,11,5.288,9,5.527
32,Heracross,1.60697,12,5.769,7,4.299
33,Drampa,1.57792,3,1.442,3,1.842
34,Garbodor,1.57792,3,1.442,3,1.842
35,Shedinja,1.57792,3,1.442,3,1.842
36,Aerodactyl-Mega,1.50589,18,8.654,16,9.826
37,Hydreigon,1.11682,39,18.750,32,19.652
38,Aggron-Mega,0.61835,15,7.212,13,7.984
39,Honchkrow,0.61429,8,3.846,8,4.913
40,Lucario,0.59196,14,6.731,9,5.527
41,Chesnaught,0.52258,4,1.923,3,1.842
42,Sylveon,0.51207,9,4.327,5,3.071
43,Flygon,0.21453,12,5.769,8,4.913
44,Haxorus,0.20543,9,4.327,7,4.299
45,Noivern,0.19545,12,5.769,10,6.141
46,Tyrantrum,0.19545,3,1.442,2,1.228
47,Kingdra,0.19545,6,2.885,3,1.842
48,Shelgon,0.14582,2,0.962,2,1.228
49,Zeraora,0.11491,32,15.385,24,14.739
50,Donphan,0.10494,6,2.885,5,3.071
51,Togekiss,0.04420,20,9.615,16,9.826
52,Feraligatr,0.03430,25,12.019,14,8.598
53,Pyukumuku,0.03424,2,0.962,2,1.228
54,Latias,0.03050,17,8.173,12,7.369
55,Primarina,0.03043,11,5.288,8,4.913
56,Porygon2,0.02235,4,1.923,0,0.000
57,Mamoswine,0.02235,17,8.173,11,6.755
58,Pidgeot-Mega,0.02018,14,6.731,10,6.141
59,Milotic,0.01908,1,0.481,1,0.614
60,Arcanine,0.01908,1,0.481,0,0.000
61,Infernape,0.01908,39,18.750,31,19.038
62,Jolteon,0.01908,1,0.481,1,0.614
63,Banette-Mega,0.01908,1,0.481,1,0.614
64,Swampert,0.01287,22,10.577,20,12.282
65,Sceptile-Mega,0.01197,16,7.692,13,7.984
66,Doublade,0.01195,9,4.327,7,4.299
67,Crobat,0.01195,8,3.846,6,3.685
68,Volcanion,0.01051,20,9.615,17,10.440
69,Sharpedo-Mega,0.01051,8,3.846,6,3.685
70,Victreebel,0.01051,1,0.481,1,0.614
71,Ninetales,0.01051,3,1.442,2,1.228
72,Empoleon,0.01021,17,8.173,13,7.984
73,Nidoqueen,0.01021,8,3.846,7,4.299
74,Ampharos-Mega,0.00015,1,0.481,1,0.614
75,Relicanth,0.00015,1,0.481,1,0.614
76,Ivysaur,0.00015,1,0.481,1,0.614
77,Metagross,0.00007,9,4.327,8,4.913
78,Umbreon,0.00007,3,1.442,3,1.842
79,Typhlosion,0.00005,1,0.481,1,0.614
80,Raikou,0.00002,4,1.923,4,2.456
81,Bewear,0.00002,5,2.404,5,3.071
82,Zoroark,0.00002,7,3.365,6,3.685
83,Marowak-Alola,0.00002,2,0.962,2,1.228
84,Steelix-Mega,0.00000,9,4.327,6,3.685
85,Hitmontop,0.00000,8,3.846,5,3.071
86,Mimikyu,0.00000,7,3.365,5,3.071
87,Necrozma,0.00000,2,0.962,1,0.614
88,Azelf,0.00000,11,5.288,8,4.913
89,Zangoose,0.00000,1,0.481,1,0.614
90,Swanna,0.00000,1,0.481,1,0.614
91,Togedemaru,0.00000,1,0.481,1,0.614
92,Froslass,0.00000,2,0.962,2,1.228
93,Crabominable,0.00000,1,0.481,1,0.614
94,Absol-Mega,0.00000,1,0.481,1,0.614
95,Mandibuzz,0.00000,1,0.481,0,0.000
96,Bronzong,0.00000,1,0.481,1,0.614
97,Raichu-Alola,0.00000,1,0.481,1,0.614
98,Uxie,0.00000,2,0.962,2,1.228
99,Swellow,0.00000,1,0.481,1,0.614
100,Mew,0.00000,4,1.923,3,1.842
101,Persian-Alola,0.00000,2,0.962,1,0.614
102,Scrafty,0.00000,7,3.365,5,3.071
103,Ditto,0.00000,1,0.481,1,0.614
104,Aerodactyl,0.00000,5,2.404,4,2.456
105,Eelektross,0.00000,5,2.404,3,1.842
106,Stakataka,0.00000,3,1.442,3,1.842
107,Rampardos,0.00000,1,0.481,1,0.614
108,Mantine,0.00000,1,0.481,1,0.614
109,Silvally-Water,0.00000,1,0.481,1,0.614
110,Torterra,0.00000,6,2.885,5,3.071
111,Meloetta,0.00000,3,1.442,3,1.842
112,Walrein,0.00000,1,0.481,1,0.614
113,Diancie,0.00000,3,1.442,3,1.842
114,Rhyperior,0.00000,2,0.962,2,1.228
115,Pinsir,0.00000,3,1.442,2,1.228
116,Incineroar,0.00000,2,0.962,1,0.614
117,Meowstic,0.00000,1,0.481,1,0.614
118,Mudsdale,0.00000,2,0.962,2,1.228
119,Klefki,0.00000,11,5.288,9,5.527
120,Muk,0.00000,3,1.442,1,0.614
121,Crawdaunt,0.00000,5,2.404,5,3.071
122,Mismagius,0.00000,5,2.404,4,2.456
123,Gardevoir,0.00000,2,0.962,2,1.228
124,Decidueye,0.00000,3,1.442,2,1.228
125,Seismitoad,0.00000,1,0.481,1,0.614
126,Talonflame,0.00000,1,0.481,1,0.614
127,Beedrill-Mega,0.00000,20,9.615,17,10.440
128,Reuniclus,0.00000,1,0.481,1,0.614
129,Ribombee,0.00000,6,2.885,6,3.685
130,Terrakion,0.00000,5,2.404,4,2.456
131,Haunter,0.00000,1,0.481,1,0.614
132,Slowking,0.00000,3,1.442,2,1.228
133,Blastoise,0.00000,1,0.481,0,0.000
134,Hypno,0.00000,3,1.442,2,1.228
135,Rotom-Mow,0.00000,4,1.923,4,2.456
136,Cloyster,0.00000,7,3.365,4,2.456
137,Slowbro-Mega,0.00000,4,1.923,4,2.456
138,Drapion,0.00000,2,0.962,2,1.228
139,Aromatisse,0.00000,1,0.481,1,0.614
