Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Corviknight,33.37484,6977,21.148,5835,22.454
2,Tapu-Fini,33.13427,3799,11.515,3230,12.430
3,Mew,29.68221,5988,18.150,4850,18.664
4,Heatran,25.67967,4448,13.482,3533,13.596
5,Swampert,22.17292,7360,22.308,6426,24.728
6,Tapu-Koko,20.53084,2851,8.641,2374,9.136
7,Blissey,15.95956,3256,9.869,2647,10.186
8,Barraskewda,15.79012,3157,9.569,2590,9.967
9,Weavile,15.75270,6268,18.999,5096,19.610
10,Toxapex,15.45327,4046,12.264,3283,12.634
11,Zapdos-Galar,14.02941,1868,5.662,1455,5.599
12,Landorus-Therian,13.31566,4028,12.209,3292,12.668
13,Chansey,13.11551,2449,7.423,1901,7.315
14,Genesect,12.92284,3201,9.702,2529,9.732
15,Hippowdon,12.74501,1083,3.283,879,3.383
16,Cobalion,11.84655,1255,3.804,1067,4.106
17,Garchomp,11.54158,4103,12.436,3097,11.918
18,Zapdos,9.99918,5605,16.989,4652,17.902
19,Blacephalon,9.99521,4085,12.382,3034,11.675
20,Ferrothorn,9.48500,3607,10.933,3110,11.968
21,Primarina,9.43695,968,2.934,782,3.009
22,Zarude,9.09511,2219,6.726,1709,6.577
23,Talonflame,9.04566,1519,4.604,1219,4.691
24,Skarmory,8.65252,2180,6.608,1785,6.869
25,Tapu-Bulu,7.42984,1465,4.440,1057,4.068
26,Cinderace,7.31615,1448,4.389,1147,4.414
27,Volcanion,7.22119,1313,3.980,1022,3.933
28,Incineroar,7.20522,1013,3.070,866,3.333
29,Terrakion,6.72543,2025,6.138,1564,6.019
30,Mandibuzz,6.70217,1541,4.671,1240,4.772
31,Volcarona,6.65437,3279,9.939,2405,9.255
32,Latios,6.62691,1692,5.129,1278,4.918
33,Pikachu,6.58076,694,2.104,550,2.116
34,Dhelmise,6.54518,1974,5.983,1552,5.972
35,Xurkitree,6.01510,2032,6.159,1688,6.496
36,Silvally-Dragon,5.96715,331,1.003,279,1.074
37,Azelf,5.12154,733,2.222,605,2.328
38,Moltres,5.03571,1358,4.116,1001,3.852
39,Kommo-o,5.00089,2626,7.960,1933,7.439
40,Blaziken,4.97798,374,1.134,268,1.031
41,Tapu-Lele,4.95180,1290,3.910,848,3.263
42,Thundurus-Therian,4.88785,869,2.634,713,2.744
