Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Ferrothorn,64.28623,90,16.364,78,18.690
2,Mandibuzz,57.71508,75,13.636,58,13.898
3,Heatran,55.03752,124,22.545,96,23.003
4,Quagsire,30.81767,22,4.000,18,4.313
5,Sirfetch'd,30.81553,27,4.909,17,4.073
6,Cresselia,28.11523,20,3.636,17,4.073
7,Pelipper,22.78541,66,12.000,60,14.377
8,Barraskewda,21.92022,35,6.364,28,6.709
9,Porygon-Z,18.90804,89,16.182,66,15.815
10,Kingdra,17.75130,30,5.455,19,4.553
11,Corviknight,16.79356,74,13.455,54,12.939
12,Thundurus-Therian,16.62939,16,2.909,12,2.875
13,Omastar,16.55272,5,0.909,5,1.198
14,Landorus-Therian,16.25280,107,19.455,92,22.045
15,Zeraora,15.85587,84,15.273,58,13.898
16,Clefable,15.35797,59,10.727,48,11.502
17,Volcanion,10.72778,76,13.818,57,13.658
18,Skarmory,9.66895,19,3.455,17,4.073
19,Gengar,8.70369,7,1.273,5,1.198
20,Nidoking,8.50022,14,2.545,8,1.917
21,Hydreigon,7.66958,33,6.000,22,5.272
22,Gyarados,6.31512,40,7.273,33,7.907
23,Toxapex,6.19844,40,7.273,33,7.907
24,Volcarona,5.85214,57,10.364,40,9.585
25,Salazzle,5.75724,11,2.000,10,2.396
26,Hawlucha,5.36910,55,10.000,28,6.709
27,Zapdos,5.27573,45,8.182,32,7.668
28,Venusaur,5.21587,18,3.273,11,2.636
29,Sableye,5.21586,1,0.182,0,0.000
30,Ninetales,5.21586,2,0.364,1,0.240
31,Garchomp,5.12639,60,10.909,44,10.543
32,Tornadus-Therian,5.08242,23,4.182,17,4.073
33,Zygarde-10,4.72033,10,1.818,9,2.157
34,Blaziken,4.18220,21,3.818,16,3.834
35,Tapu-Koko,3.81734,46,8.364,38,9.105
36,Melmetal,3.79179,25,4.545,20,4.792
37,Scizor,3.01924,20,3.636,16,3.834
38,Slowking-Galar,2.81363,38,6.909,31,7.428
39,Tapu-Fini,2.80470,30,5.455,22,5.272
40,Blissey,2.12126,41,7.455,29,6.949
41,Rillaboom,2.00581,62,11.273,46,11.022
42,Kyurem,1.98584,45,8.182,34,8.147
43,Lycanroc-Dusk,1.94571,7,1.273,6,1.438
44,Alakazam,1.69774,43,7.818,24,5.751
45,Excadrill,1.41390,24,4.364,23,5.511
46,Noivern,1.28854,9,1.636,6,1.438
47,Araquanid,1.28807,6,1.091,6,1.438
48,Tapu-Lele,1.03951,8,1.455,7,1.677
49,Crawdaunt,0.91620,32,5.818,23,5.511
50,Latios,0.66742,15,2.727,8,1.917
51,Regieleki,0.59896,27,4.909,18,4.313
52,Obstagoon,0.58925,28,5.091,21,5.032
53,Gardevoir,0.58805,6,1.091,4,0.958
54,Tsareena,0.58805,1,0.182,1,0.240
55,Vaporeon,0.57323,5,0.909,4,0.958
56,Dhelmise,0.55920,4,0.727,3,0.719
57,Umbreon,0.54308,13,2.364,12,2.875
58,Toxtricity,0.54246,10,1.818,5,1.198
59,Conkeldurr,0.18019,13,2.364,11,2.636
60,Keldeo,0.17957,5,0.909,3,0.719
61,Magnezone,0.17943,32,5.818,28,6.709
62,Amoonguss,0.17943,1,0.182,1,0.240
63,Darmanitan,0.17943,1,0.182,1,0.240
64,Victini,0.11453,11,2.000,7,1.677
65,Tyranitar,0.11391,61,11.091,52,12.460
66,Ninetales-Alola,0.09683,20,3.636,16,3.834
67,Stakataka,0.08038,33,6.000,28,6.709
68,Swampert,0.07492,17,3.091,12,2.875
69,Torkoal,0.07158,26,4.727,25,5.990
70,Haxorus,0.05980,16,2.909,13,3.115
