Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Rayquaza,96.57170,14,14.000,0,0.000
2,Mawile,96.49079,16,16.000,16,96.000
3,Calyrex-Ice,96.31596,15,15.000,0,0.000
4,Raichu-Alola,96.23842,3,3.000,0,0.000
5,Xurkitree,96.23842,3,3.000,0,0.000
6,Sylveon,96.23842,5,5.000,0,0.000
7,Calyrex-Shadow,2.67761,12,12.000,0,0.000
8,Lugia,1.97428,27,27.000,1,6.000
9,Zacian,1.77720,6,6.000,1,6.000
10,Necrozma-Dusk-Mane,1.38873,1,1.000,0,0.000
11,Kyurem,1.38873,2,2.000,0,0.000
12,Cinderace,1.38873,2,2.000,1,6.000
13,Gardevoir,1.34068,15,15.000,14,84.000
14,Gallade,1.28459,8,8.000,0,0.000
15,Cresselia,0.89056,7,7.000,0,0.000
16,Torkoal,0.89056,7,7.000,0,0.000
17,Blissey,0.89006,8,8.000,0,0.000
18,Mew,0.58092,21,21.000,0,0.000
19,Regieleki,0.40964,6,6.000,0,0.000
20,Xerneas,0.40182,14,14.000,1,6.000
21,Bronzong,0.39832,1,1.000,0,0.000
22,Joltik,0.39832,1,1.000,1,6.000
23,Galvantula,0.39832,1,1.000,0,0.000
24,Marshadow,0.35381,14,14.000,0,0.000
25,Scizor,0.33294,7,7.000,1,6.000
26,Urshifu-Rapid-Strike,0.32896,9,9.000,0,0.000
27,Malamar,0.32896,2,2.000,0,0.000
28,Xatu,0.31732,1,1.000,0,0.000
29,Tangrowth,0.31732,1,1.000,0,0.000
30,Groudon,0.26818,17,17.000,0,0.000
31,Hatterene,0.16399,10,10.000,0,0.000
32,Jirachi,0.16399,8,8.000,0,0.000
33,Kyogre,0.10760,11,11.000,0,0.000
34,Espeon,0.10415,9,9.000,0,0.000
35,Indeedee-F,0.07747,9,9.000,0,0.000
36,Togekiss,0.07737,11,11.000,1,6.000
37,Aegislash,0.07731,7,7.000,0,0.000
38,Aurorus,0.05554,3,3.000,0,0.000
39,Garchomp,0.05550,2,2.000,0,0.000
40,Kommo-o,0.05550,2,2.000,0,0.000
41,Buzzwole,0.05550,2,2.000,0,0.000
42,Regirock,0.01751,5,5.000,1,6.000
43,Ferrothorn,0.01576,3,3.000,2,12.000
44,Shellder,0.01353,1,1.000,0,0.000
45,Amoonguss,0.01353,1,1.000,0,0.000
46,Nincada,0.01353,1,1.000,0,0.000
47,Sudowoodo,0.01353,1,1.000,0,0.000
48,Dialga,0.01135,9,9.000,3,18.000
49,Boltund,0.01132,4,4.000,0,0.000
50,Marowak-Alola,0.01132,4,4.000,0,0.000
51,Gyarados,0.01132,6,6.000,4,24.000
52,Celebi,0.00454,1,1.000,0,0.000
53,Kyurem-Black,0.00409,13,13.000,1,6.000
54,Dragonite,0.00408,7,7.000,0,0.000
55,Regigigas,0.00401,3,3.000,2,12.000
56,Incineroar,0.00401,2,2.000,0,0.000
57,Pangoro,0.00401,2,2.000,0,0.000
58,Persian-Alola,0.00399,10,10.000,2,12.000
59,Wooper,0.00398,4,4.000,1,6.000
60,Corviknight,0.00398,5,5.000,1,6.000
61,Kartana,0.00367,5,5.000,0,0.000
62,Swoobat,0.00344,5,5.000,0,0.000
63,Kyurem-White,0.00344,2,2.000,0,0.000
64,Kingdra,0.00344,1,1.000,1,6.000
65,Victini,0.00060,5,5.000,0,0.000
66,Politoed,0.00044,2,2.000,0,0.000
67,Darmanitan-Galar,0.00026,8,8.000,0,0.000
68,Zamazenta,0.00025,7,7.000,1,6.000
69,Emolga,0.00022,1,1.000,0,0.000
70,Pikachu,0.00010,5,5.000,2,12.000
71,Stakataka,0.00010,2,2.000,0,0.000
72,Pyukumuku,0.00010,2,2.000,0,0.000
73,Sableye,0.00010,2,2.000,0,0.000
74,Ho-Oh,0.00009,10,10.000,4,24.000
75,Reshiram,0.00009,7,7.000,0,0.000
76,Zeraora,0.00003,7,7.000,2,12.000
77,Mr.-Rime,0.00001,1,1.000,0,0.000
78,Weavile,0.00001,1,1.000,0,0.000
79,Glastrier,0.00001,1,1.000,1,6.000
80,Wobbuffet,0.00001,5,5.000,0,0.000
81,Skuntank,0.00001,5,5.000,5,30.000
82,Snom,0.00001,5,5.000,0,0.000
83,Giratina,0.00001,5,5.000,0,0.000
84,Tyranitar,0.00000,3,3.000,0,0.000
85,Clawitzer,0.00000,1,1.000,0,0.000
86,Dracovish,0.00000,1,1.000,1,6.000
87,Araquanid,0.00000,2,2.000,1,6.000
88,Togedemaru,0.00000,1,1.000,0,0.000
89,Azumarill,0.00000,1,1.000,0,0.000
90,Urshifu,0.00000,4,4.000,2,12.000
91,Eevee,0.00000,1,1.000,1,6.000
92,Obstagoon,0.00000,1,1.000,0,0.000
93,Noctowl,0.00000,1,1.000,0,0.000
94,Tapu-Koko,0.00000,1,1.000,0,0.000
95,Blacephalon,0.00000,5,5.000,0,0.000
96,Clefable,0.00000,5,5.000,2,12.000
97,Rotom-Heat,0.00000,3,3.000,2,12.000
98,Jellicent,0.00000,1,1.000,0,0.000
99,Ludicolo,0.00000,1,1.000,1,6.000
100,Swampert,0.00000,1,1.000,0,0.000
101,Snorlax,0.00000,1,1.000,0,0.000
102,Butterfree,0.00000,1,1.000,1,6.000
103,Blaziken,0.00000,2,2.000,0,0.000
104,Magearna,0.00000,1,1.000,1,6.000
105,Slurpuff,0.00000,1,1.000,0,0.000
