Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Tapu-Bulu,20.31926,1609,7.433,1086,7.910
2,Victini,18.40457,1466,6.773,898,6.541
3,Ninetales-Alola,17.08204,1529,7.064,965,7.029
4,Sylveon,16.90899,1597,7.378,1195,8.704
5,Kyurem,15.96905,834,3.853,561,4.086
6,Weavile,15.22903,1218,5.627,703,5.120
7,Gigalith,15.04257,2314,10.690,1510,10.998
8,Hitmontop,13.87277,1476,6.819,1060,7.721
9,Entei,13.83702,544,2.513,340,2.476
10,Indeedee,13.82088,1646,7.604,1009,7.349
11,Celesteela,12.83139,1263,5.835,831,6.053
12,Arctozolt,12.60078,581,2.684,393,2.862
13,Vanilluxe,12.46476,503,2.324,292,2.127
14,Scrafty,12.44178,1586,7.327,1137,8.281
15,Krookodile,11.48039,2093,9.669,1388,10.109
16,Mamoswine,11.00000,358,1.654,224,1.632
17,Tornadus,10.94955,1348,6.227,793,5.776
18,Politoed,10.65758,1687,7.794,1054,7.677
19,Dusclops,10.59185,1253,5.789,783,5.703
20,Ferrothorn,10.37265,2003,9.253,1298,9.454
21,Primarina,10.03693,1748,8.075,1141,8.310
22,Arcanine,8.85976,2438,11.263,1656,12.061
23,Spectrier,8.72102,992,4.583,594,4.326
24,Glastrier,8.62423,740,3.419,439,3.197
25,Registeel,8.60241,317,1.464,209,1.522
26,Moltres-Galar,7.72008,1346,6.218,878,6.395
27,Dracozolt,7.57098,1303,6.020,886,6.453
28,Duraludon,7.19487,355,1.640,243,1.770
29,Aegislash,7.09821,866,4.001,591,4.305
30,Omastar,7.01568,248,1.146,170,1.238
31,Ninetales,6.90050,1146,5.294,715,5.208
32,Grimmsnarl,6.79400,2339,10.806,1306,9.512
33,Scizor,6.66498,1775,8.200,1224,8.915
34,Naganadel,6.46058,1072,4.952,666,4.851
35,Cinderace,6.37336,1625,7.507,1079,7.859
36,Milotic,6.00447,712,3.289,460,3.350
37,Cresselia,5.78623,1391,6.426,906,6.599
38,Wartortle,5.43329,708,3.271,488,3.554
39,Accelgor,5.31105,505,2.333,342,2.491
40,Vikavolt,4.67576,243,1.123,173,1.260
41,Aromatisse,4.58853,348,1.608,200,1.457
42,Regidrago,4.51792,785,3.627,433,3.154
43,Corsola-Galar,4.50089,401,1.853,276,2.010
44,Rhyperior,4.45982,345,1.594,237,1.726
45,Gastrodon,4.27446,1849,8.542,1206,8.784
46,Comfey,4.19857,1559,7.202,998,7.269
47,Togekiss,3.96501,2250,10.395,1424,10.372
48,Terrakion,3.75590,353,1.631,206,1.500
49,Garchomp,3.40662,574,2.652,371,2.702
50,Ludicolo,3.40521,447,2.065,336,2.447
51,Azumarill,3.40214,540,2.495,368,2.680
52,Pheromosa,3.29353,332,1.534,193,1.406
53,Excadrill,3.24937,1003,4.634,635,4.625
54,Clefairy,3.05891,501,2.315,342,2.491
55,Weezing-Galar,2.97242,629,2.906,418,3.045
