Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Gastrodon,6.52020,1,4.545,0,0.000
2,Dragapult,6.52020,5,22.727,0,0.000
3,Ditto,6.52020,2,9.091,2,26.667
4,Togekiss,6.52020,2,9.091,0,0.000
5,Arcanine,6.52020,3,13.636,2,26.667
6,Magnezone,6.52020,2,9.091,2,26.667
7,Mimikyu,0.42667,5,22.727,1,13.333
8,Zoroark,0.10667,1,4.545,1,13.333
9,Zorua,0.10667,1,4.545,0,0.000
10,Quagsire,0.00000,1,4.545,0,0.000
11,Drifblim,0.00000,1,4.545,1,13.333
12,Ninetales,0.00000,1,4.545,1,13.333
13,Dhelmise,0.00000,1,4.545,0,0.000
14,Volcarona,0.00000,2,9.091,1,13.333
15,Cloyster,0.00000,18,81.818,3,40.000
16,Dragonite,0.00000,1,4.545,0,0.000
17,Darmanitan,0.00000,2,9.091,2,26.667
18,Gyarados,0.00000,1,4.545,0,0.000
19,Slowbro,0.00000,2,9.091,0,0.000
20,Chandelure,0.00000,1,4.545,1,13.333
21,Tyranitar,0.00000,5,22.727,1,13.333
22,Aegislash,0.00000,2,9.091,2,26.667
23,Jellicent,0.00000,1,4.545,0,0.000
24,Indeedee-F,0.00000,1,4.545,1,13.333
25,Inteleon,0.00000,1,4.545,0,0.000
26,Conkeldurr,0.00000,2,9.091,1,13.333
27,Pikachu,0.00000,1,4.545,0,0.000
28,Shuckle,0.00000,2,9.091,2,26.667
29,Galvantula,0.00000,1,4.545,1,13.333
30,Garchomp,0.00000,4,18.182,1,13.333
31,Clefable,0.00000,3,13.636,2,26.667
32,Ferrothorn,0.00000,6,27.273,2,26.667
33,Blissey,0.00000,1,4.545,0,0.000
34,Malamar,0.00000,1,4.545,0,0.000
35,Excadrill,0.00000,2,9.091,1,13.333
36,Ninetales-Alola,0.00000,1,4.545,1,13.333
37,Beartic,0.00000,1,4.545,1,13.333
38,Metagross,0.00000,1,4.545,0,0.000
39,Hatterene,0.00000,1,4.545,1,13.333
40,Haunter,0.00000,1,4.545,0,0.000
41,Toxapex,0.00000,2,9.091,1,13.333
42,Gardevoir,0.00000,1,4.545,1,13.333
43,Steelix,0.00000,2,9.091,1,13.333
44,Bisharp,0.00000,1,4.545,0,0.000
45,Lucario,0.00000,2,9.091,1,13.333
46,Hitmontop,0.00000,1,4.545,0,0.000
47,Corviknight,0.00000,2,9.091,1,13.333
48,Gengar,0.00000,2,9.091,0,0.000
49,Flareon,0.00000,1,4.545,1,13.333
50,Shiinotic,0.00000,1,4.545,0,0.000
51,Slowking-Galar,0.00000,2,9.091,2,26.667
52,Hydreigon,0.00000,1,4.545,0,0.000
53,Electivire,0.00000,1,4.545,0,0.000
54,Darmanitan-Galar,0.00000,4,18.182,0,0.000
55,Skarmory,0.00000,1,4.545,0,0.000
56,Nidoking,0.00000,2,9.091,0,0.000
57,Venusaur,0.00000,1,4.545,0,0.000
58,Dracovish,0.00000,5,22.727,3,40.000
