Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Corviknight,26.12554,9140,13.798,4392,15.250
2,Landorus-Therian,25.57112,13553,20.460,7548,26.208
3,Slowbro,23.81232,9456,14.275,4768,16.555
4,Melmetal,22.78117,11835,17.866,5908,20.514
5,Victini,19.67199,6154,9.290,3338,11.590
6,Chansey,17.48475,4782,7.219,2080,7.222
7,Skarmory,15.20295,9355,14.122,5059,17.566
8,Urshifu-Rapid-Strike,14.99111,10742,16.216,4747,16.482
9,Hippowdon,14.09201,3569,5.388,2175,7.552
10,Blissey,13.93332,9127,13.778,3871,13.441
11,Dragapult,12.71691,9768,14.746,4070,14.132
12,Regieleki,11.80083,10822,16.337,4526,15.715
13,Ferrothorn,11.67274,8668,13.085,4649,16.142
14,Tapu-Lele,11.36820,5698,8.602,2309,8.017
15,Garchomp,11.26691,5096,7.693,2262,7.854
16,Tornadus-Therian,10.99751,3021,4.561,1408,4.889
17,Diggersby,10.14892,8537,12.888,4036,14.014
18,Toxapex,9.87640,7414,11.192,3480,12.083
19,Clefable,9.45225,5450,8.227,2152,7.472
20,Magnezone,9.34499,3762,5.679,1848,6.417
21,Weavile,9.24890,4024,6.075,1664,5.778
22,Kartana,8.67748,6640,10.024,2382,8.271
23,Kyurem,8.44686,5558,8.390,2439,8.469
24,Tapu-Fini,7.60461,3022,4.562,1553,5.392
25,Crustle,6.67315,5542,8.366,1924,6.680
26,Rillaboom,6.65430,6243,9.425,2506,8.701
27,Slowking,6.52612,4166,6.289,1765,6.128
28,Swampert,6.50847,3519,5.312,1996,6.930
29,Mew,6.48371,5938,8.964,2972,10.319
30,Buzzwole,6.15676,1035,1.562,442,1.535
31,Alakazam,6.08120,2681,4.047,871,3.024
32,Mandibuzz,5.98676,2656,4.010,1076,3.736
33,Aegislash,5.98084,2905,4.385,1303,4.524
34,Dragonite,5.88197,6217,9.385,2431,8.441
35,Scizor,5.69880,4161,6.282,1847,6.413
36,Tapu-Koko,5.64946,4847,7.317,2616,9.083
37,Tyranitar,5.58863,3532,5.332,1914,6.646
38,Togekiss,5.42770,4339,6.550,1668,5.792
39,Slowking-Galar,5.35024,2316,3.496,1048,3.639
40,Dracozolt,5.00215,3215,4.853,1296,4.500
41,Porygon2,4.96197,2583,3.899,1648,5.722
42,Hatterene,4.92261,976,1.473,379,1.316
43,Nidoking,4.87480,1850,2.793,796,2.764
44,Marowak-Alola,4.71683,2389,3.606,1143,3.969
45,Excadrill,4.39562,2757,4.162,1018,3.535
46,Pelipper,4.25977,2251,3.398,1445,5.017
47,Blacephalon,4.19725,5689,8.588,2298,7.979
48,Volcarona,4.11506,3428,5.175,1201,4.170
49,Snorlax,3.82517,1034,1.561,396,1.375
50,Zapdos,3.82169,3010,4.544,1465,5.087
51,Bisharp,3.78145,3914,5.909,1528,5.305
52,Tangrowth,3.43391,1151,1.738,540,1.875
53,Hawlucha,3.36540,2854,4.308,754,2.618
54,Azumarill,3.32139,2988,4.511,1463,5.080
55,Incineroar,3.09303,1380,2.083,836,2.903
56,Cloyster,2.98841,3054,4.610,1112,3.861
57,Darmanitan,2.77129,1381,2.085,608,2.111
58,Torkoal,2.68354,1650,2.491,1281,4.448
59,Mamoswine,2.54441,1559,2.353,719,2.496
60,Conkeldurr,2.50278,1655,2.498,729,2.531
61,Zeraora,2.37547,3381,5.104,1379,4.788
62,Glastrier,2.36621,860,1.298,265,0.920
63,Zapdos-Galar,2.31258,1550,2.340,679,2.358
64,Zoroark,2.29742,2604,3.931,428,1.486
65,Necrozma,2.19655,1177,1.777,464,1.611
66,Cresselia,2.18960,810,1.223,327,1.135
67,Shedinja,2.08672,1314,1.984,565,1.962
68,Ninetales-Alola,2.07534,980,1.479,548,1.903
69,Quagsire,2.03098,975,1.472,488,1.694
70,Golisopod,1.99544,2366,3.572,1075,3.733
71,Thundurus-Therian,1.98781,1230,1.857,518,1.799
72,Hydreigon,1.93624,2222,3.354,875,3.038
73,Pyukumuku,1.93591,1689,2.550,847,2.941
74,Crawdaunt,1.92537,1529,2.308,734,2.549
75,Latios,1.91649,1331,2.009,480,1.667
76,Gengar,1.79425,1646,2.485,621,2.156
77,Haxorus,1.74110,1025,1.547,388,1.347
78,Aggron,1.71892,1118,1.688,538,1.868
79,Primarina,1.69294,1441,2.175,630,2.187
80,Exeggutor-Alola,1.62025,597,0.901,199,0.691
81,Wimpod,1.57345,858,1.295,186,0.646
82,Regidrago,1.49512,1268,1.914,440,1.528
83,Blaziken,1.47904,1713,2.586,702,2.437
84,Jirachi,1.47754,1311,1.979,640,2.222
85,Sylveon,1.42264,916,1.383,414,1.437
86,Terrakion,1.39693,733,1.107,246,0.854
87,Salamence,1.26471,568,0.857,231,0.802
88,Guzzlord,1.25529,70,0.106,29,0.101
89,Avalugg,1.24835,527,0.796,208,0.722
90,Ditto,1.04105,673,1.016,255,0.885
91,Barraskewda,1.04070,1059,1.599,399,1.385
92,Xurkitree,0.99025,1081,1.632,431,1.497
93,Inteleon,0.96602,1011,1.526,419,1.455
94,Chandelure,0.96066,1189,1.795,501,1.740
95,Exploud,0.90425,320,0.483,181,0.628
96,Krookodile,0.88922,407,0.614,153,0.531
97,Weezing-Galar,0.88702,270,0.408,108,0.375
98,Kommo-o,0.86816,695,1.049,295,1.024
99,Charizard,0.86444,906,1.368,370,1.285
100,Entei,0.86311,269,0.406,104,0.361
101,Xatu,0.84197,433,0.654,203,0.705
102,Amoonguss,0.82814,822,1.241,335,1.163
